title,price,size,comedy,drama,fantasy,mystery,romance,thriller,history,n_감동,n_내용,n_넘버,n_노래,n_눈물,n_마음,n_무대,n_사랑,n_생각,n_앙상블,n_연기,n_연출,n_음악,n_처음,n_최고,n_추천,n_페어,n_힐링,a_귀여운,a_따듯한,a_멋있는,a_새로운,a_슬픈,a_신나는,a_아름다운,a_아쉬운,a_예쁜,a_완벽한,a_유쾌한,a_재미있는,a_좋았던,a_즐거운,a_행복한,a_화려한
광화문연가,150000,1,0,0,2,0,1,0,0,7,0,0,10,0,0,5,0,4,0,9,0,0,0,2,0,0,0,0,0,7,0,0,1,2,4,0,0,0,9,10,8,6,0
그날들,160000,1,0,0,0,2,1,0,0,8,0,0,10,0,0,6,2,5,0,9,0,1,3,7,0,0,0,0,0,8,4,0,0,2,6,0,0,0,9,10,7,5,1
레베카,140000,1,0,0,0,0,1,2,0,5,0,6,8,0,0,7,0,4,0,9,0,0,2,10,0,0,0,0,0,9,4,0,0,1,7,0,3,0,8,10,6,5,2
렌트,140000,1,0,2,0,0,1,0,0,2,3,6,10,0,0,5,8,9,0,7,0,0,1,4,0,0,0,0,0,7,0,0,4,1,8,0,0,0,9,10,6,5,0
마리퀴리,99000,1,0,0,0,1,0,0,2,6,0,8,2,3,0,4,1,7,0,9,0,0,0,10,0,0,0,0,0,7,5,3,0,1,8,0,0,0,9,10,0,6,0
맘마미아,150000,1,2,0,0,0,1,0,0,5,0,0,10,0,0,6,0,3,0,7,0,1,2,8,0,0,0,0,0,6,0,0,7,0,4,0,0,2,8,10,9,5,0
모차르트,170000,1,0,1,0,0,0,0,2,5,0,8,10,0,0,7,1,4,0,9,0,3,2,6,0,0,0,0,0,9,6,0,0,3,8,0,1,0,7,10,4,5,2
베르나르다 알바,88000,0,0,0,0,0,1,0,2,0,0,0,1,0,0,9,0,0,0,8,5,0,0,10,3,0,0,0,0,10,0,0,0,0,8,0,0,0,7,9,0,5,0
빌리엘리어트,150000,1,1,2,0,0,0,0,0,9,0,0,0,1,0,6,7,4,0,5,0,0,0,10,2,0,0,0,0,6,0,0,0,3,5,1,2,0,8,9,4,7,0
스위니토드,150000,1,1,0,0,0,0,2,0,0,2,6,7,0,0,9,0,5,3,10,0,0,4,8,0,1,0,1,0,8,4,0,0,0,7,0,3,0,10,9,6,5,0
영웅,150000,1,0,1,0,0,0,0,2,9,0,0,6,1,0,7,0,8,0,5,0,0,0,4,0,0,0,0,0,9,0,0,0,0,8,0,0,0,7,10,5,2,3
지킬앤하이드,150000,1,0,0,0,0,1,2,0,6,0,1,8,0,0,7,0,5,0,10,0,0,4,9,0,0,0,0,0,9,4,0,0,1,7,0,2,0,8,10,6,5,0
헤드윅,110000,1,1,0,0,0,2,0,0,2,0,1,9,0,0,5,6,3,0,8,0,0,4,10,0,0,0,0,0,8,2,1,4,0,6,3,0,0,10,9,5,7,0
