,Adjectives
0,아니고
1,확실히
2,아니까
3,진하게
4,붉어지고
5,멋진
7,좋겠네요
8,격해져
9,아닐까
11,충실하고
12,절묘한
13,뭉클한
14,상관없이
16,애매해
18,생생한
19,있었던
20,부끄럽지
21,없었는지
22,어느새
23,벅찬
24,좋게도
25,고마웠다는
26,아닌지라
27,없었지만
28,익숙한
29,없도록
30,짧은
31,없을
33,없었던
34,강력히
35,없던
37,있다고
39,필요하리
41,힘든
42,있었던
45,있는데
47,신나게
48,있었습니다
50,새로운
51,멋졌습니다
52,대단해요
53,없었습니다
54,그러
55,멋진
59,있답니다
60,아픔이기에
62,유명한
63,젊은
64,재미있었다고
65,재미있게
66,유명한
67,다르고
68,없었지만
70,반가웠어요
71,반가웠어요
72,아니었는데
73,있었던
74,깊은
76,힘들었는데
77,좋을까
78,있다길래
82,자유로운
83,안되는
84,시원시원한
85,시원한
87,잘생긴
88,잘생긴건데
89,애절하게
90,창피하네요
92,멋있고
93,아픈
98,뜨뜻해
99,유쾌한
100,무거운
101,진정한
102,익숙하지
104,있을까요
106,정확히
107,감미롭게
108,아쉽기만
109,짧게
110,없는데요
111,익숙한
112,포근하게
114,아름답게
115,없습니다
117,있는데요
118,같은거라
120,들떠
122,가까워
123,안되어
124,아려오는
126,설레고
127,설레고
128,설레어
129,멋진
130,기대하게
131,어떨까
132,좋았던
133,아련하다
135,좋았지만
136,같았던
137,없었다면
138,같았다
139,새롭게
140,적절한
141,같았던
142,뭉클한
143,넘치는
144,시원시원한
145,없었던거
147,신비로웠다
148,멋진
151,행복한
152,좋았구
153,괜찮았구
155,아쉬웠지만
156,풍부했던
159,충실하고
160,있었던
163,아쉬웠답니다
164,즐거운
165,있다면
169,멋지더라구요
170,좋았답니당
171,탄탄한
172,엄청난
173,야할
174,새로워서
175,기대하고
176,지겹고
177,어둡고
178,없었습니다
180,부족한
181,없지
183,재미있게
184,그러고
186,화려한
189,어설픈
190,실망할텐데
191,멀었다
192,큼지막한
193,좁더라
194,복잡하다거나
195,헷갈리는
197,생생한
199,아쉬운
200,있겠지만
201,자연스럽고
202,진중한
203,중요한
204,없게
205,중요한
206,어땠을까
208,아쉬운
209,틀림없다는
211,비슷하지만
212,많기에
213,그러고
214,어땠을까
215,같은데
216,익숙하지
217,낯설지
218,대단하다는
220,있어서도
221,있어서도
222,편하게
223,있었던
226,색다른
228,무려진
230,좋았아요
231,친숙한
232,괜찮고
233,재미있고
234,좋아해서
236,좋더라구요
237,신선하구요
238,그럴까
239,부족하다는
241,기뻤습니다
242,완벽하게
243,좋겠다
245,아쉬운
246,있다면
247,아니라는
248,안되서
250,아쉽고
251,아쉽고
252,그렇네요
253,새로운
257,아깝지
258,아쉽기
261,익숙하지
264,아쉬운
267,아쉬워서
268,좋아하는
269,행복한
270,괜찮은
271,훌륭했지만
272,아쉬웠기에
274,매끄러웠던
275,없었다
276,좋았던건
279,없었는데
280,아쉬워요
282,많은데
284,즐겁게
285,좋아했던
288,좋았구요
289,좋아하는
292,좋아해서
293,재미있게
296,그런지
297,담담하게
298,슬프네요
300,자리는
302,아쉬웠습니다
305,많았고
306,없습니다
307,있었기에
308,아쉬울게
309,없었습니다
310,아쉽지
311,독특하고
312,멋지고
313,있던
315,멋진
316,연하신다기에
319,대단한거
320,같아용
321,멋진
323,기대하겠
324,완벽한
326,있었던
327,탄탄하니
328,재밌었습니다
331,재미있어요
332,좋았음
333,심각하지도
334,가볍지도
335,적절한
337,적절한
338,없나
339,아깝다
340,재미있는
343,슬프
344,기쁜니다
345,슬프지만
346,즐겁게
347,지루해서
348,재밌더라구요
351,좋더라구요
354,즐겁게
355,멋지고
356,멋진
357,생생합니다
358,좋아하는
359,멋진
360,아름답고
363,예쁘게
365,원합니다
366,완벽한
367,완벽히
368,간절히
369,좋아하는
372,즐겁고
373,즐거운
375,있기
376,없기
377,아름다운
378,뜨거운
379,아쉬울
380,없던
381,강인하게
382,힘드셨을지
383,아쉬우셨을지
385,뭉클했습니다
387,많으셨어요
388,좋으네요
390,찡한
391,아쉬울
392,뿐이였습니다
394,자리는
395,아니지만
398,깊은
400,있으셨어요
401,필요없구요
403,예쁘고
404,좋으셨어요
408,좋았지만
409,솔직히
413,힘든
415,자연스러운
416,익숙한
417,나쁘지
419,아쉬웠어요
420,아련히
421,좋아했
422,아련히
423,미안하지만
424,아프도록
425,즐거운가보다
426,좋겠다
427,좋았을걸
429,고픈
431,행복한
433,행복합니자
434,발랄했던
436,즐겁게
437,행복했습니다
439,부족하네요
440,재미있어요
441,더라구요
443,멋진
446,없었어요
447,재미있는
448,멋진
450,좋아하던
456,같더라고요
457,짠하더라고요
459,복잡해서
460,그런지
461,멋진
462,멋있어요
464,즐겁게
465,있던
466,즐거웠습니다
468,성실함이
469,있다고
471,저렴하게
473,그런지
474,엄청나게
475,슬픈
476,찡해지면서
477,뜨거운
478,없었어요
479,뜨거워졌습니다
480,있었어요
481,좋아하실것
483,탄탄한
485,어색함
486,있었습니다
487,좋아하는
488,좋아하는
489,아니고
490,아깝지
491,아깝지
495,재밌고
497,완벽히
498,화려함
499,지루한
500,재밌는
501,재밌어요
502,화려하지는
503,깔끔한
504,아름다운
505,노래가있었다
506,찡한
507,재미있었네요
508,야하나
509,좋지
514,같은데
515,많아
518,즐겁게
520,멋지게
521,즐겁고
522,깊었던거
524,깊은
525,익숙한
526,똑같은
527,있더라구요
528,재밌는걸
529,그렇네
530,재밌다고
532,즐거운
533,아쉬웠는지
534,있었으면
536,아쉬운
539,지루해요
540,안되
541,반했습니다
542,아쉬웠어요
543,그랬지만
545,익숙해서
546,어려운
547,힘든
549,좋다
550,좋아하더군요
551,잔잔한
552,멋진
553,멋진
554,멋진
555,멋지
556,슬퍼요
561,아쉽지만
562,많으셨어요
566,많아서
567,지루하지
568,있으면서
569,있게끔
570,있었습니다
571,특별한
572,특별함이
573,있었던
575,좋았던
577,싱그럽고
578,젊었던
579,행복한
580,같아서
