,Adjectives
0,귀여운
1,앙큼한
2,발칙함까지
3,생생하게
4,유치한
5,즐거운
6,즐겁게
7,없었어요
8,유명한
9,반가웠던
10,즐겁게
11,좋아용
14,없고
15,없네요
16,재밌는
18,재미있네요
19,재밌는
21,다행히
22,가까운
23,있었고
26,없지만
28,좋았구요
29,좋으시고
30,없으시더라
32,부럽습니다
33,즐거운
36,젊은
37,아쉬운
38,익숙한
40,재미있게
41,아깝지도
42,멋진
43,즐거웠습니다
44,멋진
45,신나고
46,유쾌한
47,재밌는
49,즐겁게
50,즐겁게
52,유명한
54,재밌었구요
56,신나고
57,행복해졌어요
59,재미있고
60,신나는
61,있답니다
63,새로운
66,어이없는
67,싫었어요
69,미친
71,재미있네요
73,재미있습니다
74,간단히
79,아니였습니다
80,갑작스럽게
83,아쉽다
84,재미있다고
85,진지한
88,다양하게
90,좋을
92,즐겁고
93,유쾌한
94,흥겨워
95,즐거운
96,실패하지
98,재밌고
99,좋아하던
100,젊은
101,흥겨웠습니다
102,불편한
103,유쾌하게
108,불친절함과
110,상당히
112,수많은
113,유쾌한
115,가볍게
118,재미있었던
119,신나는
121,만족스러웠던
122,어색해
124,정확하게
125,있었어요
126,재밌었다
129,유쾌한
130,멋지고
131,아름다우
132,없네요
133,아쉽네요
135,신나고
136,즐겁고
138,답답하고
140,좋아하는데
141,같은데
143,아님
144,무리하셨는지
145,불안하고
147,답답했어요
149,부탁드립니다
150,좋아하고
153,좋겠고
154,있긴
155,오래된
157,촌스러워
158,유치해
159,있습니다만
160,뛰어나
162,신났고
163,기대할
164,없지만
166,아쉽지만
167,만족한
169,계신
170,즐거우
171,재미있었어요
172,유명한
173,재미있었습니다
174,멋진
175,있었구요
176,유쾌했던
181,신나게
182,있던
184,흥겹고
185,즐겁다
187,새로운
188,있을지
189,기대해
190,쉬운
191,좋다
193,발랄하게
194,느끼함에
195,익숙한
196,화려한
198,어려운
199,아쉽던지
201,유명한
202,신선한
205,신나는
207,재미있었어요
208,미칠
209,멋지시고
210,힘찬
211,그런지
212,아쉬웠습니다
213,어려웠어요
214,부담스럽더니
215,좋은데
216,좋겠습니다
219,즐겁고
220,신나는
221,행복한
224,익숙한
225,그런지
226,재밌었어요
227,그러다
228,멋있어서
229,재밌었어요
230,불편했지만
231,재밌네요
232,좋으니
233,재미있게
234,아쉬웠지만
235,그래두
236,귀여우셨던
238,재미있었어요
239,재미있어요
240,신나고
241,즐거운
243,아쉬운
245,재미있었다네요
246,같구요
247,재미있었습니다
248,그렇고
249,그렇고
250,좋긴
251,좋더라
254,신났답니다
255,신났던
257,저렴한
258,자세히
261,가까워서
262,그런지
263,있다면
264,불편했어요
265,재미있는
269,재밌었다는
270,흐뭇한
271,좋았는지
272,없고
273,멋진
275,신나게
278,신나는
280,높아
281,아프긴
282,있었습니다
283,없으면서
284,즐겁게
286,재밌었어요
287,유치하기도
290,좁아
291,불편했었고
292,없어
293,재밌고
294,신났지만
296,발랄하고
297,유쾌했던
298,재미있었던
299,재미있게
301,흠잡을
302,없었고
304,그런지
305,어색한
307,스러웠다고
308,어색하긴
309,이상하거나
311,재밌고
312,충분히
313,같구요
314,희인
315,남다르다
316,섹시하다
317,멋져요
318,익숙한
319,그런지
320,멋있고
321,있으신
323,청순한
324,예뻤지만
325,청순한
327,예쁘세요
329,멋있어서
330,없었던
334,아닌데
335,있다고
336,그런지
338,많아서
341,귀여워서
342,귀여웠구요
343,귀엽다
344,이랬던
346,좋아하시는
347,재밌었어요
349,아닌가
351,있나인지
352,있나인지
353,확실히
354,흐뭇했어요
356,좋아하나
357,저래
358,이럴
360,같았어요
361,같지만
362,좋았구요
365,확실하게
366,좋았지만
367,좋았던
370,많으셨고
371,원활히
372,신나고
374,즐겁게
376,행복해요
380,재미있는
381,즐겁고
382,유쾌하고
383,신나는
384,같은데
385,같은데
386,재미있고
387,유쾌해서
389,신나게
390,작다
392,좋았어
395,깨끗하고
401,신났었고
402,즐거웠어요
403,다르긴
405,멋지더군
406,높고
407,좁아서
408,아쉽긴
409,신나고
410,재미있긴
411,높아서
412,괜찮을
414,있더군요
416,재밌었습니다
417,촌스러웠어요
418,재밌어요
419,신나고
420,재미있었어요
421,다르니
422,재미있네요
423,멋진
424,즐거운
425,강한
426,있었어요
427,즐겁고
428,신나는
429,소중한
431,멋있고
434,멋진
435,유쾌한
436,즐겁게
437,즐거웠어요
438,풋풋함이
440,신나는
441,재미있기는
442,작았지만
443,좋앗어
444,굉장히
445,유쾌하더군
446,같아서
448,확실하지
449,있었던
450,아쉽네요
451,재미있었습니다
452,없었던
453,아쉬웠습니다
454,입니다기
457,유명한
458,신나는
459,완벽하진
460,풋풋함과
461,넘치는
462,좋을
466,다양한
468,같아서
470,유치하다면
471,유치하지만
473,유치함이
475,유명해서
478,재미있었어요
479,더울
480,다르
481,재미있고
482,흥미롭게
483,재미있을
485,기대하고
486,아쉽네요
487,편한
489,가벼운
492,가까워서
493,재밌었어요
494,지루하지
495,없네요
496,재밌고
497,재밌고
498,행복해서
500,재밌을
502,행복한
504,멋지
505,이상한
506,재밌는
508,신남
509,신나는
510,지루하지
511,활기차
512,유쾌한
513,좋더라구요
514,좋아하셨어요
515,신나고
516,흥겨워요
517,급격히
518,있었던
519,고맙고
523,추합니다
524,신났어요
525,그런지가
527,아쉬운
528,많았던
530,유명한
531,유쾌하고
532,재미있는
533,있었어요
537,젊은
539,신나는
540,가볍게
542,원할
543,딱인
546,신나고
548,즐거웠습니다
549,뛰어나진
550,신선하고
551,넘치더라구요
552,저렴해서
553,만족합니다
554,추합니다
555,신나고
556,넘치는
557,아닌가
558,늘씬한
559,즐거운
561,좋아하던
562,신나는
565,재밌네요
566,즐겁게
567,다르게
568,깔끔하고
569,좋았구요
570,다르지
571,재미있고
572,즐거웠습니다
575,재미있게
576,많았어요
578,같은데
579,재미있게
580,재미있게
581,재미있습니다
582,자세한
583,깊게
587,같더라
589,재미있고
590,재미있었지만
591,정확히
593,즐거운
594,즐거운
595,즐거운
596,즐거운
597,즐거운
598,즐거운
599,즐거운
