,Adjectives
1,궁금하다
3,아픈
4,있었던
6,어려운
7,무사히
8,있다는
9,인해서
10,당연했던
11,있던
12,소중하다는
13,아무렇지도
14,소중함을
15,슬프고
18,같아서
19,안타까웠고
20,안쓰러웠다
21,꿋꿋하면서도
22,강인하면서도
23,여린
26,행복하다
27,있더라도
30,상관없이
31,많다
32,좋았던
36,좋았지만
38,힘들었을
39,있겠다
40,있거나
41,슬펐다
42,있다는
43,좋으면서도
44,아쉽
46,아픈데도
47,상관없이
48,어려운
50,슬픈
52,아닌가
53,아름답고도
54,슬픈
57,약하다
58,다행히
59,꾸준하게
61,같은데
62,그렇고
63,축축하게
64,없을
66,많아서
68,정확히
70,같은데
71,있었더니
72,있던
73,어려웠는데
74,스러워서
75,예민하시면
76,잔잔하면서도
79,행복했던
82,슬프게도
87,아무런
89,완벽한
90,같아서
91,두려워하고
93,완벽한
96,아닐까
97,완벽했던
99,안타까웠다
100,억울하게
101,당했다
102,행복했
105,좋겠다고
106,행복했지요
107,따뜻함을
108,있었습니다
109,진한
111,섬세한
112,어려워하는
114,애틋했으리라
118,이름난
119,이름난
121,아쉽지만
122,잘생겼지
124,고마워요
126,따뜻하고
127,슬픈
128,있길
129,좋았던
130,좋았던
131,좋았던
132,좋았던
133,아쉽습니다
135,있겠습니다
137,있기에요
139,있으면
142,행복한
147,아프고
154,강하게
155,재미있어요
158,좋아했어요
160,좋은데
161,같아서
164,좋아했어요
166,좋은데
169,이름난
170,이름난
171,행복한
174,행복했습니다
177,많았습니다
178,좋아하는
179,좋지만
183,많은지
184,가득한
186,있는지
187,아름다운
188,아쉬웠고
189,이렇게라도
190,있다니
191,아쉬워요
192,행복했던
193,뿐이었습니다
195,재밌었어요
200,기대하며
201,잘생겨
202,귀여워
203,잘생김
204,아름다운
207,어려웠는데
210,아스라히
212,행복했으면
217,힘든
218,소중한
220,많으셨어요
221,같소
222,기쁩니다
224,유약한
226,얌전히를
227,지겹다고
228,있는데
230,신선해서
232,건강하고
233,행복하셨으면
234,좋겠습니다
235,편히
236,있기를
238,분명합니다
239,행복했습니다
241,많아요
242,작아서
244,당당하게
249,지루한
250,있는데
252,많았는데
254,어려운
255,많으셨습니다
256,달랐고
257,아름다운
258,어려운
259,빠른
264,없고
266,짱짱하고
270,짱짱하고
271,좋았
273,짱짱하고
274,좋았
276,같으시죠
277,있던
278,궁금해지네요
280,인자한
281,가득한
282,완벽했어요
285,무사히
288,행복하고
289,벅참을
291,즐겁고
292,행복한
293,아쉽지만
294,멋진
295,행복했습니다
296,힘드셨을
298,행복했습니다
299,좋았음
300,있다는
302,따뜻했답니
306,멋진
309,행복했어요
310,아쉬워요
311,멋있어요
315,대차게치여서
316,그러했네요
317,빠르게
318,있길
325,잔잔하게
328,재밌었어요
329,좋아했던
331,행복했네요
333,좋았네요
336,완벽했어요
338,아쉽네요
339,좋겠습니다
340,원하는
341,있기를
345,행복했습니다
348,건강한
349,재미있게
350,재미있게
351,궁금한
352,있던
353,애달파
354,상관없었다
355,완벽한
356,없습니다
357,영원히
358,행복하세
359,아름다운
