,Adjectives
1,있겠지만
2,아름다운
3,자유롭게
4,유연한
6,가뿐하게
7,새로운
11,노련한
13,뿐이었다
14,작지
16,대담하고
17,열렬한
18,없었을
20,더할
21,없었겠지만
22,부자연스러
23,완전히
24,담대함은
26,짧지
28,있었다고
31,불안한
33,복잡한
35,순수하게
36,완벽한
37,순수한
38,아름다운
39,아낌없는
40,간절하다
42,수많은
43,훌륭한
44,세련된
48,훌륭한
49,정교한
51,기대한다
55,진지하게
56,새로운
57,옳다고
58,궁금해지더군요
59,아닌것
62,궁금하여
64,당할것
66,적절하게
68,대단했던
69,짱짱한
70,없게
72,재미있는
73,있었고
74,기발한
75,신선했던
78,없었던걸
79,없었지만
80,꼼꼼하게
84,무서운
86,순수하고
89,뿐이었다
90,진정한
92,새로운
93,새로워서
96,강렬했고
97,슬펐습니다
99,행복하네요
101,기대할께요
103,더한
104,멋진
105,화려한
106,넘치는
107,필요없지만
109,강렬한
113,있는거죠
116,나약했던
117,안좋아
121,재미있었어요
122,있더라고요
126,청아한
127,짙은
128,잔혹한
132,완벽하고
133,무서울줄
134,약한
135,재미있는
136,영원한
137,좋다
139,깊은
142,기대합니다
144,즐거웠습니다
146,아쉬운
148,멋진
149,멋진
152,필요한가
153,즐거운
155,진부했지만
157,진부함을
158,엄청난
159,위대한
160,있는것처럼
161,좋아하는
163,유명한
164,없었다는
165,멋있잖아
166,멋지다
167,멋지다
168,없던
170,야해하고서
171,어렵게
172,어렵게
173,슬프고
174,애절하고
175,영원한
178,있나요
179,강인했던
182,아닐거에요
186,괴로워
187,영원한
188,애잔했던
189,풍부한
190,미게
191,생생하다
193,궁금해진다
194,없죠
195,허무하기도
196,멋있었던
197,필요없는
198,아까운
199,아쉽지만
200,행복한
201,으스스한
202,좋겠당
203,재밌었어요
205,아쉽네요
207,좋겠습니다
208,영원한
209,행복하세요
210,행복했던
211,멋져요
212,특별함은
213,아쉬웠어요
214,좋겠네요
217,완벽한
219,새로웠으나
220,부족했음
221,훌륭했음
223,뒤늦게
224,아쉬울
226,안좋더라구요
227,아쉬웠어요
228,좋겠습니다
230,아쉬운
235,좋겠습니다
239,아름다운
240,멋진
242,행복했다
243,멋진
244,행복한
246,강렬한
247,멋진
248,진하게
249,아님의
250,어려웠네요
251,힘들어서
252,힘들었습니다
254,좋으셨어요
255,좋아하는
256,행복했습니다
257,대단하다는
258,행복했어요
264,있을진
266,아쉬웠지만
267,완전히
273,아쉬운
274,기대하겠습니다
275,행복했고
276,아름다운
277,고맙습니다
278,있을지
280,있길
281,기대하겠습니다
282,뜨거운
283,멋있습니다
284,애절하고
285,완벽하게
286,애절하고
287,완벽하게
290,기뻤어요
292,예쁘고
293,멋져
294,기대할께요
295,즐거운
300,있었을걸
301,익숙하지
303,음산한
304,특이한
306,좋았던것
308,좋겠네요
309,오래된
310,단순한
313,아쉬웠습니다
314,멋진
316,있겠죠
317,안되면
319,엄청난
320,아름다운
321,뛰어난
326,뛰어난
329,굉장한
331,아프게
337,어마어마하더라구요
339,귀여운
341,멋진
344,붉은
345,완전한
346,감미로운
347,더해져
348,멋졌습니다
349,애절한
352,안타까웠지만
353,아름다웠어요
354,짧아서
355,아쉬웠어요
356,좋았을
358,있다가
359,아름다운
360,다행히
361,없더라구요
365,아팠습니다
368,같았고
369,강렬했습니다
371,행복한
372,고마워요
373,재밌어서
375,아쉽네요
376,기대할께요
379,안타깝
380,애절한
383,슬프고
384,아름다운
385,좋아하는
387,아쉽더라고요
388,저렴히
389,아쉬워서
390,좋겠고요
391,자잘한
392,있긴
397,행복했습니다
398,으스스한
399,순한
400,필요없죠
401,특별한
404,반해
405,멋져
406,멋져
407,애절하고
408,애틋하고
409,애틋해서
410,없다는건
411,슬픈
412,설렘
413,행복했겠죠
418,훌륭한
420,슬프네요
422,필요없네요
423,어떨지
428,조용하게
431,미친듯
432,조용히
433,엄청난
434,재밌더라구요
435,짧은지
437,필요없이
438,훌륭한
441,강렬한
443,애절한
446,있었을거
447,같다는
450,멋지게
451,야하는
455,재밌던
456,아쉽
458,슬픈
461,아름답고
462,고맙고
466,생생해요
467,멋진
468,슬픈
469,쓸쓸한
470,없겠지
471,영원히
473,섹시한
475,더할
477,세련되게
478,신비한
479,탄탄하
480,훌륭했습니다
482,즐거운
486,좋구요
487,만족스러워서
488,아쉽네요
490,좋겠네요
492,있다는것은
493,입니다만
495,자랑스럽네요
496,재밌어구요
497,기대할게요
499,어렵다
500,안타까운
501,난해한
502,아쉬운
503,좋아해서
504,불편할
506,괜찮아
508,좋겠다는
509,아쉬운건
510,아쉬운
512,가득한
513,고통스러운
515,슬퍼서
516,있는거라곤
517,뿐이었던
518,아픈
520,즐거웠던
521,없었지만
522,즐겁게
525,기대해
526,좋겠네요
527,빨갛고
528,싱그럽던
529,위대한
530,영원히
532,소중히
534,재미있었습니다
535,멋진
536,멋진
537,행복했습니다
540,재미있고
548,귀여운
549,짱짱하세요
550,반하지
552,있겠습니다
554,낯설을
555,미나였어요
556,여리한
558,날카로운
559,짜증나있는
560,다양한
562,서늘하게
564,그랬듯
565,훌륭하게
567,좋을
571,즐거웠던
572,아쉽고
574,기쁜
576,있길
577,대단했습니다
580,멋진
581,행복하고
582,아쉬운
586,좋겠네요
587,야한다고
589,좋아하는
590,심해서
591,아쉽게도
592,멋져요
594,아쉬웠던
595,힘든
597,약했어요
599,강했던
603,간단히
605,당연한
607,힘든
609,있긴하지만
611,젊어지는
615,곤란하게
617,아쉽긴
619,있으니까
620,좋을
622,없다고
624,굳게
627,야무지게
628,뿌듯한
630,편안히
631,멋있고
632,아쉽네요
638,멋있고
640,행복했어요
641,없었지만
643,슬프고도
644,아름다운
647,있다는게
648,슬픈
649,없다는게
650,공허하네요
653,부족한
657,같다는
659,차분히
661,상당한
662,남달랐습니다
664,행복하게
666,아름답고
667,차갑
668,영원히
669,어느새
670,빠른
674,아쉽다
676,같았고
677,위대한
682,같았다
684,굉장한
685,아쉽다
686,단순한
687,흔하게
688,탁월하다고
689,섬세하게
690,훌륭한
691,강하게
692,뭉클했습니다
694,훌륭해서
699,재밌었습니다
702,좋겠네요
704,좋겠네요
706,좋겠네요
708,좋겠네요
710,좋겠네요
712,좋겠네요
714,좋겠네요
716,좋겠네요
718,좋겠네요
720,깊은
724,좋아하는
727,멋지다고
729,멋있었다고
732,애절한
733,어떠했을지
734,그리워지는
735,있길
736,섭섭하기만
737,깊어진
738,자잘한
740,아니었고
742,뿐이었습니다
743,좋아해서
744,딱히
745,없었는데
746,아름다운
748,힘겨워
749,안쓰럽
751,멋진
753,힘들었던
755,있길
756,기대합니다
760,진부하지
761,괜찮은
765,안되는데
766,부족한
767,아니구
769,신선하게
771,지루할
773,같구요
775,깊었습니다
776,아쉬운
777,커다란
778,가까운데
779,미흡하지
780,안되는
781,있기도
784,충분히
785,있었을
786,아쉬워요
787,괜찮은
791,안되는데
792,부족한
793,아니구
795,신선하게
797,지루할
799,같구요
801,깊었습니다
802,아쉬운
803,커다란
804,가까운데
805,미흡하지
806,안되는
807,있기도
810,충분히
811,있었을
812,아쉬워요
815,힘들것
819,애절한
820,생생하네요
821,있을것
823,상당히
825,다양한
828,그러한
829,가능해졌던
830,아름다워서
834,아쉽습니다
835,안된
836,짧은
837,행복한
841,있길
