,Adjectives
1,좋지만
2,나열하여
4,없이도
5,가능한
10,반해서
14,훌륭함도
15,있겠죠
19,강렬한
21,좋았구요
23,멋있고
24,있죠
25,멋진
27,멋진
28,높아만
29,만족스러운
33,어렵지
36,좋았답니다
37,깔끔하게
38,멋진
39,아름다운
40,아쉬웠었습니다
42,섬세했답니다
45,재밌었어요
47,좋아하지만
50,있겠죠
53,넘치는
54,완벽한
55,완벽한
56,훌륭했습니다
57,조화롭게
58,기대하고
61,필요없는
62,입나다
64,멋진
65,새로
66,좋았어서
67,영원한
69,놀라운
70,평범함
72,좋아하는데
73,있었구요
74,노래하나하나
76,가까운
82,어둡고
86,넘치는
87,다정한
89,어색하게
90,아쉬운
91,깊어서
92,비싸게
94,궁금합니다
95,만족하던
97,좋지
98,좋겠습니다
100,재밌었습니다
101,아쉽네요
104,재미있는
105,멋졌습니다
109,좋았지만
110,남다른
111,유명한
112,대단한
113,같았다
114,아쉬운
115,아쉬웠다
117,없었음에도
120,오죽하면
121,그러고
125,같으니라고
126,재미있게
128,계시는
129,계시다면
130,있어도
132,즐거웠고
134,즐거웠습니다
135,가까운
136,예쁘고
138,넘칩니다
140,미친거아냐
141,이랬어요
143,고우
144,필요해요
145,심한
146,어려운
153,신선했어요
154,좋았는데
156,없으실거에
157,멋진
159,생생하게
160,멋진
163,재밌네요
164,멋진
165,고랍니다
166,지루하지
168,이쁘고
169,청아한
170,아쉽다면
175,아쉽다
176,깨끗한
177,진정한
178,깨끗한
179,뻔했어요
180,재밌더라구요
181,치밀한
182,재밌고
183,뚜렷해서
184,좋다고
185,가까워서
188,없겠지요
189,음산한
193,재밌었던거
205,멋지다는것을
207,없겠죠
210,멋진
211,여리한
212,불편했거든요
213,멋진
215,많잖아요
216,아니면서
217,이쁜
218,잘난
219,싫다는데요
220,좋아하는
221,필요해요
222,아니구
223,부럽습니다
225,훌륭했다고
227,재미있게
228,아쉽네요
229,좋겠네요
231,멋진
232,연하면
233,영원한
236,좋을거
239,사랑스럽다
243,완전히
244,새로운
246,아쉽네요
249,지루했지만
250,지루할듯
251,변해가는
252,재미있으며
254,많지만
255,안타까운
256,좋으당
257,멋지고
259,멋진
262,있었음에도
263,좋았지만
268,있더라구요
269,붉어졌습니다
270,이뻐
271,강한
272,약했던것은
274,멋진
275,좋았던
277,그렇고
278,가녀림
279,조화로웠다
282,아쉽지만
285,어마어마한
286,역은
287,넘쳤고
288,다양한
289,섬세한
290,시원한
292,훌륭했다
294,만족할만
295,좋아해서
297,뭉클하네요
299,벅찬
300,그렇겠지만
301,넘치는
302,탄탄함과
303,짱짱한
308,즐겁게
309,멋지십니다
310,설레이는
311,조심스러운
312,아니예요
315,기대한
316,아니었지만
319,있기로
320,유명한
321,있으시니
322,설렘만
323,기대하고
326,가깝고
329,어둡고
330,음울하고
331,놀랬어요
332,좋았으나
333,같더라고요
334,창피하지만
335,지루해지면
337,계신
338,있으신
339,즐거운
340,있으실
341,같지
343,번거로
345,멋진
346,멋졌다
