,Adjectives
1,그리워요
2,그리워요
3,어려운
4,옳다
5,부족하지
6,아쉬웠어요
10,재밌어요
11,아쉽고
12,슬프지만
14,기대합니다
15,아쉬워요
16,예쁘고
17,멋있었어요
19,훌륭했습니다
20,행복하고
21,즐거웠지만
22,허전하구
27,갑작스럽게
28,넘치는
31,건강하길
34,어렵지만
35,그렇기에
36,그만한
38,호화로운
40,힘든
41,변함
46,입니데이
47,재밌어요
48,그리워요
49,적절하게
52,행복했어요
53,아쉽고
54,슬펐습니다
56,완벽했어요
57,즐거웠습니다
58,멋진
59,즐거운
61,재미있게
62,넘치는
63,아쉽습니다
66,아쉽네요
67,슬프면서도
68,따뜻한
69,좋겠네요
70,멋져서
71,아쉬운
72,안좋아서
73,많아요
74,멋진
75,화려한
77,더해진
82,같았다
84,있는게
85,아니었다는
86,고마웠어요
89,다를테니까
90,고마웠어요
92,뜨거운
93,건강하세요
94,안전하게
95,싫네요
96,고마웠고
97,따뜻한
98,많으셨습니다
99,슬프네요
100,행복한
101,그리워요
102,미친
103,있는데다
109,불쾌해서
110,필요없어요
111,아름다운
113,아쉬워요
115,막연히
116,좋다라고만
117,안되었을
118,있더라구요
119,들뜬
125,아쉽고
126,아쉬워요
127,뛰어났고
128,사랑스러웠어요
130,안좋네요
134,부족한
135,있겠지만
136,버거웠어요
137,힘든
138,많으셨습니다
140,오래되었지만
142,허무하게
144,아쉽습니다
145,소중했던
146,슬펐지만
148,재밌었어요
151,재밌는
153,멋진
154,아쉽습니다
155,슬프네요
156,멋진
157,멋진
158,충분히
159,좋았는데
160,많았고
161,낡은
162,아쉽습니다
163,강한
164,확고한
165,슬픈
167,인한
173,안전한
174,탄탄하고
178,대단한
180,고마운
182,대단한
183,힘든
184,아프지만
185,많은걸
186,귀한
187,행복했던
188,괜찮아요
189,그렇다면
190,어때요
191,빠른
193,행복했어요
194,아쉽네요
198,행복했어요
200,행복했고
201,무사히
202,슬퍼요
206,있는걸
207,나쁘지가
208,힘들고
209,기쁘고
210,슬프고
211,행복한
212,당연한
213,당연한
214,같기도
216,있길
217,불편할지도
218,불편하지
220,다망할
222,있다가
223,급하게
224,머시기
225,행복했어요
228,간절하게
230,힘든
232,머시기
233,소중하고
234,사랑스럽고
235,건강하시
236,미쳐
238,당하고
240,흥분한
241,갑작스러운
243,아니었지만
244,깊었습니다
247,슬펐지만
249,아쉬운
254,많으셨습니다
255,안타까웠습니다
256,건강하세요
259,귀한
260,아쉬웠어요
261,아쉽습니다
262,있길
263,기대합니다
264,멋지네요
265,철저한
266,행복했어요
267,행복했어요
268,즐거운
269,아니예요
272,있길
275,따뜻해지는
276,노래네요
277,설렜고
278,넘치는
280,행복했습니다
282,오래된
284,같았네요
285,급하게
286,많으셨습니다
288,재밌어요
289,영원히
293,있길
294,귀한
295,행복할
297,고마웠어요
