,Adjectives
0,그랬거든
2,안타까워서
3,그래요
4,자리고를
5,피곤하지만
8,신나고
9,재미있었습니다
10,강하고
12,재밌습니다
13,힘든가요
15,더해
16,깊어지는
17,아쉽지만
18,재밌었어용
19,재미있게
20,신나는
22,기대할게요
23,심각하네요
24,즐거웠습니다
26,재밌다
30,사랑스러운
31,행복했던
32,좋았던
34,멋졌어요
37,많아서
38,그렇고
39,아쉬웠네요
40,그리운
41,기대합니다
43,아쉽네요
45,슬픈
46,아름답고
47,신나는데
49,아쉽고
50,고마웠고
51,멋진
52,재밌었어요
53,재미있게
55,행복했습니다
59,재밌어요
60,새롭게
62,재미있었습니다
64,아쉽지만
67,즐겁게
68,즐거웠습니다
70,멋지게
71,멋있게
73,귀여운
74,불안하고
75,더해져
76,넘치는
77,고맙습니다
78,벅차게
79,있었기에
80,아쉽게
83,부족해
84,아쉬웠습니다
86,멋진
87,재밌었어요
88,속상하네
90,재밌었어요
92,좋아하는
93,아쉬웠어요
95,아닐까
96,재밌어요
97,잘생겼다
98,아쉬운
99,많았지만
100,재미있게
101,많으셨습니다
103,재밌어요
104,적응하기
105,힘들고
108,아쉬워
109,있었네요
110,추합니다
111,아쉬워요
113,없네요
114,좋았던
116,신나고
117,즐거웠습니다
118,슬펐어요
120,재밌어요
121,아쉬워요
122,기대할
123,재밌어요
124,아쉬워요
125,기대할
127,아쉬운
128,역은
130,아쉽네요
132,부탁드립니다
134,이럴
135,후회되었습니다
137,재밌다고
138,미친
140,슬퍼
142,새로
144,쉬워졌어요
147,멋진
149,행복했습니다
150,허전합니다
151,재밌었어요
154,재미있게
155,재미있었어요
156,좋았지만
157,지루하지
158,없었습니다
159,재밌고
161,재미있었어요
162,아쉬워요
163,재밌었어요
165,멋지고
166,싫거든요
168,아니라서
170,재밌다고
174,멋졌습니다
175,아쉬울
176,재미있었어요
177,멋졌습니다
178,없습니다
179,엄청났습니다
180,같은데
181,행복했던
182,아쉬울
184,강한
185,화려한
187,행복했습니다
188,빠른
189,있었으면
192,행복했습니다
194,젊은
195,달랐었습니다
196,불편했었습니다
197,편한가보다
198,아프더군요
200,확실히
201,있다는
202,역시나였어요
203,가득한
204,좋았네요
205,재미있었어요
206,재밌었어요
207,좋겠습니다
208,기대할게요
213,화려해서
214,재미있게
215,아쉬울
217,차가
218,없다니
219,아깝지
220,만족했습니다
222,좋겠습니다
223,신선하고
224,즐겁게
230,즐겁게
232,없단
233,즐거운
234,기대하겠습니다
236,멋지고
237,멋진
238,멋진
240,많아서
241,힘들었다
243,아니게
246,깔끔한
249,아픈
250,미치셨고
251,미치셨고
252,시원했어요
256,좋겠습니다
257,다르게
258,어느새
260,소심하구
261,어리둥절한
262,손쉽게
263,있으며
264,아름다
265,설렘을
266,부드러울수록
267,허무하게
268,무력함이
270,괴로워
271,애틋함을
272,꼿꼿하게
273,굳세어
276,행복했고
277,영원히
278,같네
279,행복합니다
280,행복했어요
281,아쉬워서
284,즐겁게
285,신나고
286,신나게
287,아쉽네요
288,재미있게
289,좋을
291,다르다
292,재밌었어요
294,빡친
295,좋았지만
296,아쉬워요
297,있기를
299,재밌었어요
300,화려해요
301,아쉽네요
302,넘쳐나는
303,후련하게
304,슬퍼
305,재밌습니다
307,아쉬워요
308,그렇고
309,어색해서
310,가벼웠습니다
312,괜찮네요
313,심해서
314,그렇고
315,어색해서
316,가벼웠습니다
318,괜찮네요
319,심해서
320,그렇
321,어색해서
322,가벼웠습니다
324,괜찮네요
325,심해서
326,그렇고
327,어색해서
328,가벼웠습니다
330,괜찮네요
331,심해서
332,그렇고
333,어색해서
334,가벼웠습니다
336,괜찮네요
337,심해서
338,재밌었어요
339,재밌었어요
340,재밌었어요
341,재밌었어요
342,재밌었어요
343,재밌었어요
344,재밌었어요
345,재밌었어요
346,재밌었어요
347,재밌었어요
348,재밌었어요
349,재밌었어요
350,재밌었어요
351,재밌었어요
352,재밌었어요
353,재밌었어요
354,재밌었어요
355,재밌었어요
356,재밌었어요
357,재밌었어요
358,재밌었어요
359,재밌었어요
360,재밌었어요
361,재밌었어요
362,재밌었어요
363,재밌었어요
364,재밌었어요
365,재밌었어요
366,재밌었어요
367,재밌었어요
368,재밌었어요
369,재밌었어요
370,재밌었어요
371,재밌었어요
372,재밌었어요
373,재밌었어요
374,재밌었어요
375,재밌었어요
376,재밌었어요
377,재밌었
378,재밌었어요
379,재밌었어요
380,재밌었어요
381,재밌었어요
382,재밌었어요
383,재밌었어요
384,재밌었어요
385,재밌었어요
386,재밌었어요
387,재밌었어요
388,재밌었어요
389,재밌었어요
390,재밌었어요
391,재밌었어요
392,재밌었어요
393,재밌었어요
394,재밌었어요
395,재밌었어요
396,재밌었어요
397,재밌었어요
398,재밌었어요
399,재밌었어요
400,재밌었어요
401,재밌었어요
402,재밌었어요
403,재밌었어요
404,재밌었어요
405,재밌었어요
406,재밌었어요
407,재밌었어요
408,재밌었어요
409,재밌었어요
410,재밌었어요
411,재밌었어요
412,재밌었어요
413,재밌었어요
414,재밌었어요
415,재밌었어요
416,재밌었어요
417,재밌었어요
418,재밌었어요
419,재밌었어요
420,재밌었어요
421,재밌었어요
422,재밌었어요
423,재밌었어요
424,재밌었어요
425,재밌었어요
426,재밌었어요
427,재밌었어요
428,재밌었어요
429,재밌었어요
430,재밌었어요
431,재밌었어요
432,재밌었어요
433,재밌었어요
434,재밌었어요
435,재밌었어요
436,재밌었어요
437,재밌었어요
438,재밌었어요
439,재밌었어요
440,재밌었어요
441,재밌었어요
442,재밌었어요
443,재밌었어요
444,재밌었어요
445,재밌었어요
446,재밌었어요
447,재밌었어요
448,재밌었어요
449,재밌었어요
450,재밌었어요
451,재밌었어요
452,재밌었어요
453,재밌었어요
454,재밌었어요
455,재밌었어
456,재밌었어요
457,재밌었어요
458,재밌었어요
459,재밌었어요
460,재밌었어요
461,재밌었어요
462,재밌었어요
463,재밌었어요
464,재밌었어요
