,Adjectives
0,있었구요
1,뭉클하게
2,덤덤했었는데
3,좋았지만
4,억울함에
5,훌륭하게
7,예쁘장한
8,가득한
10,좋았었습니다
11,뛰어난
12,좋아하시는
13,같았구요
15,진실한
16,좋아하는
17,출중하신
19,지루하다는
21,좋았었구요
23,건강하게
26,부탁드립니다
29,유명하시고
30,멋있었습니다
31,강한
32,진정한
33,깊은
34,없더라구요
36,아낌없는
37,맛깔나게
38,넘치는
39,안좋아
40,좋았다고
43,훌륭한
44,성공한
45,화려한
47,화려한
50,사치스런
52,유명한
53,유명한
55,아니라고
59,성공할
61,그만하고
63,좋아하는
64,설레였습니다
65,머니
66,머니
67,화려한
70,화려한
71,즐겁게
73,화려한
74,넘치는
75,대단하죠
77,없겠죠
79,근엄함
80,화려한
81,다양한
82,어려운
83,부은
87,그렇고마
89,그렇질
90,아닙니다
92,강한
93,사치스럽고
94,거만한
96,스러워
97,깊은
98,당한다
99,있기에
100,화려한
101,즐겁게
103,별다른
104,비슷하게
106,청아한
107,매운듯
108,뭉클하게
109,자세히
111,생생하게
113,강한
114,통쾌한
115,아름다운
116,생생하네요
118,대단한
121,같군요
123,고운
124,시원한
125,있니
127,강한
128,힘드셨는지
130,다양한
133,부끄럽기
134,소중한
135,피곤했던
136,화려한
138,화려한
139,화려함보다는
141,진정한
142,깊은
144,멋진
145,멋졌고
146,그렇긴
147,멋진
148,재밌었어요
149,화려하고
150,멋있고
151,화려하고
154,신선했어요
159,훌륭하시지만
160,뒤늦은
161,훌륭했습니다
162,아름다운
163,그리운
167,재미있게
168,좋게
169,이쁜
170,지루했는데
171,슬프고
172,재밌고
173,달랐던
174,사랑스러운
175,묵직한
176,진부했지만
177,화려한
178,괜찮았지만
180,아쉬웠다
181,매끄럽지
184,재밌어요
187,있었고요
188,다르군요
190,같으니
191,심하게
193,앙증맞아
194,재미있었어요
195,어떤거
196,이쁘고
200,신나는
201,무거웠어요
202,아쉽긴
206,좋았던
210,멋진
211,있길
213,높았습니다
214,화려하고
215,멋졌고
217,더할
221,앙이랑
222,충분히
223,진부하다는
227,아슬아슬한
230,관대하
232,몰두하고
234,그랬던것
235,같지만
236,그랬네요
237,있었죠
238,재밌었을
240,뛰어나셔서
241,반하게
242,행복했던
243,멋지셨어요
244,훌륭했습니다
245,아쉽긴
246,행복하게
248,멋지셔서
249,잘생겼더라고요
250,멋졌어요
251,없다는게
252,아쉬울
253,영원히
254,강하고
255,넘치는
256,굳이었어요
257,가깝더라구요
259,그렇고
262,따뜻하고
263,강한
264,이었어요
266,깊은
267,재밌었는데
268,화려함
269,순수함도
271,재밌었어요
272,멋있었어요
273,섬세하고
274,없구
275,화려한
276,저렴하게
277,지겨울까
278,걱정스러웠는데
281,휼륭했고
282,많았던
286,좋았던것
289,재미있다
292,아쉬웠습니다
293,만족하지만
294,지루한
296,좋앗어요
297,아름답고
298,재미있는
299,길고
300,지루한
303,아쉬워요
304,재미있게
305,아쉽네요
306,좋을수가
308,무섭네요
309,귀엽네
310,재밌습니다
311,재밌었어요
312,많으셨습니다
313,화려한
314,당하면서
316,재밌었습니다
317,애절하면서도
318,진하게
320,안되는
323,아쉽더라고요
