,Adjectives
0,훌륭한
2,훌륭한
3,다정한
4,따뜻하고
6,좋은데
8,훌륭해서
9,힘들었어요
10,멋졌고
13,서늘한
16,깊고
21,굉장히
22,많더라구요
24,좋겠습니다
25,벅찬
30,달랐습니다
32,많지
33,스러웠습니다
35,있었어요
36,많으셨던
37,아니었을까
38,아쉬워요
39,매끄럽고
40,좋겠다는
43,아쉽고
44,후회되네요
47,입니
50,멋있어요
51,아쉬웠어요
53,완전히
54,새롭게
57,빠른
58,있길
60,없고
61,더할
62,없을
67,아쉽고
68,안타까울
72,아쉬웠을
75,슬펐던
76,기대합니다
77,아쉽고
78,아쉬웠던
80,슬펐던
82,좋았던
85,중요하단
87,즐겁게
88,있었습니다
89,힘들어서
90,아쉬웠던
91,아쉬웠던
92,부족한
93,연결하여
96,재미있게
98,많았으면
100,충분한
101,아깝다고
102,재미있게
103,있도록
105,성장하여
106,좋겠다
107,힘들어서
108,뒤늦게
109,있기를
110,가득한
112,괜찮지요
113,괜찮아요
114,진정한
116,짧은
117,쉬운
118,아닌데
120,멋진
121,좋겠네요
123,있었을
124,같은데
125,그러지
126,찬찬히
129,많았으면
132,있을까요
133,있었을
135,있겠습니다
136,있다는
137,행복했습니다
138,있다는
142,기쁘거아주
143,벅찬
145,좋겠네요
146,진정한
147,위대한
148,있었네요
150,훌륭합니다
151,짧고
153,빠른
155,있도록
157,없으며
160,재미있을
161,행복했습니다
162,그리운
163,강인한
164,원했는데
165,멋진
166,그리워요
167,재밌어요
170,대단해요
171,좋겟어
175,재미있게
176,재미있어요
179,좋았지만
180,힘든
182,지루했어요
187,그랬어요
188,좋다
189,좋은데
190,있겠
191,얇고
192,동그란
193,있겠
196,짧게
199,막연히
200,궁금해서
202,후회됩니다나는
203,좋겠는데
204,힘들지
205,행복하네요
210,드물다고
211,드물거라고
212,훌륭했지만
216,자세한
217,있었습니다
218,깊게
220,행복하고
221,즐거운
222,깊게
226,충분한
229,많지
230,슬퍼서
232,불편한
233,있던
234,진정한
235,입니
236,아니었으면
238,굉장히
239,심심하거나
240,길게
242,만족스러운
243,있으리라는
244,스러
245,멀었어요
246,완벽히
248,위대한
250,멋지게
251,재밌어요
252,부족하다
255,없었던
256,있으면서
258,좋았고요
259,끊임없이
261,뿐입니다
263,솔직히
264,없을
265,다르다니
267,다른데
268,부족했던
269,엄청난
270,신선한
272,좋았다고
273,단순히
274,선하게만
275,악하게
276,신선하다고
279,있어야지
280,옅어진
281,아쉽지만
282,성장해
283,변할
284,없었겠지
285,없었겠지만
286,아쉬워서
290,아쉽게
291,있다니
293,지루한
296,없습니다
298,재미있었어요
299,있었어요
300,같았어요
302,좋았구요
304,빠른
305,좋겠습니다
307,한결같은
308,좋겠습니다
309,어때요
310,행복했던
311,드물었어요
312,없다고
316,같기도
317,성해진
319,행복했다
320,좋았어서
322,아팠다
323,이렇
325,슬프고
326,아쉽고
327,힘들고
328,행복했고
329,좋았던
330,좋아한
331,빠르게
332,아니었지만
333,짧은
334,있었고
335,있겠다
339,좋아한
340,유일하게
341,있었고
343,만족스러웠다
344,덤덤하지만
345,같았던
346,가까웠던
347,확고한
348,있으면서
353,좋아한
354,같은데
355,슬프
356,엄청나게
357,아니지만
359,자잘하게
361,있어도
362,자연스럽고
364,나쁜
365,미묘한
366,나쁜
367,그렇고
368,그렇고
369,나쁜
370,나쁜
371,좋아하는
372,높은
373,같으면서
374,나쁜
377,슬프다
378,풍부하고
379,풍부하다
380,부담스럽
381,넘쳐
382,강하게
383,부담스럽긴
384,확실한
388,아쉬웠는데
389,가득하고
390,분노하고
391,슬퍼하고
392,미친
393,몰두하는
394,다양한
396,좋았
397,불편한
398,없었습니다
399,통쾌함까지
401,가까운
403,좋다고
405,완벽한
406,분노하던
410,아쉬울
412,괜찮다고
413,좋지
414,아쉽다고
415,많았는데
416,좋겠습니다
419,좋겠습니다
424,재밌어요
425,재밌었어요
427,이상한
428,있는데
429,좋고요
431,어려운데
434,행복했습니다
437,불편했는지
438,충분한
439,그랬니
442,당당하게
443,있었던
444,다양한
445,만족스러웠어요
446,지루하긴
447,재밌었습니다
448,좋았네요
449,기쁘게
451,기쁘고
452,벅찬
453,소중히
454,있다는
455,행복했습니다
456,진정한
457,만족스러울
459,없었습니다
460,만족했던
463,깊숙한
464,같다고
465,많아
466,아쉬웠습니다
467,있다는
468,훌륭한
469,있으면
470,좋겠습니다
472,낯설어지고
473,행복하고
474,행복했습니다
477,빠른
478,있길
479,뜨거운
480,행복했던
481,있던
482,심한
483,면밀히
484,있었으며
485,흥미로웠습니다
487,진지하고
488,심각한
490,좋아해요
491,계신
492,같아서
493,심했답니다노
496,있는지
498,행복했습니다
499,힘드네요
500,멋지고
501,사랑스러웠어요
502,몽글몽글한
503,확실한
504,또렷한
505,고마워요
508,신난
510,그렇기
511,의젓했던
512,멋졌어요
513,좋겠습니다
514,많으셨어요
515,재밌고
520,굉장히
522,새롭게
524,멋있었습니다
525,재밌어요
