,Adjectives
0,있다면
2,재미있게
3,신나고
4,즐거운
5,괜찮아요
6,익숙한
8,재밌는
9,신나지만
11,완벽하고
12,행복한
13,기쁩니다
15,적절한
16,깊었던
18,즐겁고
19,행복했습니다
22,행복하고
23,기뻐요
24,영원하다는
27,좋아해서
28,뻔히
29,있었어요
31,유쾌한
32,좋았어
33,지루하지만
34,재미있게
35,재미있어
36,유명하기도
38,있었습니다
39,귀여우셨고요
40,깊었습니다
41,재밌고
46,가벼운
47,신나고
49,맑고
51,좋았을
52,없었고
53,멀어
54,있다고
55,반했음
56,뻔했잖아요
57,그런지
60,있죠
61,재밌었습니다
63,유쾌하고
64,신나는
70,좋아하셨어요
71,젊을
72,두근거려
73,없거니와
74,즐거운
77,재밌는데
78,미친
79,아니야
80,행복해요
82,익숙하고
87,재미있어요
88,재밌어요
89,남달랐던
90,즐겁게
92,같기도
93,화려하고
95,멋졌어요
97,신나게
100,예쁘고
101,귀엽고
103,부탁드려
104,미다
106,즐거웠습니다
107,행복했고
109,젊은
110,발랄하고
111,없었습니다
113,단순하면서도
115,신나게
118,어려운데
119,즐겁게
123,재밌고
124,민망하기도
128,길지
130,고맙습니다
131,재밌었어요
132,없지만
135,부담스러워요
137,행복합니다
139,있잖아요
140,길어
141,바빴어요
143,신나는
144,신나게
145,신나고
146,행복했어요
147,있었는
148,신나
149,행복하고
150,유명한
151,빼어나
152,좋구요
153,좋을
155,반했습니다
156,흠잡을
157,훌륭합니
159,섹시하시고
160,예뻐서
161,즐거운
162,비싼
163,아깝고
164,저렴하단
165,훌륭한
166,현란하게
167,저렴해서
168,멋졌습니다
170,부탁드립니다아
171,필요한
174,많지
176,신나고
177,좋지
178,어색하지
179,행복해지는
182,있으면
183,행복한
185,있다면
186,유명한지
190,신나고
191,재미있어용
192,없을
193,유명하고
194,있잖아요
195,신나고
196,유쾌하고
197,즐거웠습니다
198,아깝지
199,신나는
200,즐겁게
201,있기에
202,슬플
203,깊은
204,유명한
205,좋아하는
206,설레였고
207,가득했다
209,아쉽
210,신나게
211,싫다고
212,행복하고
213,소중하고
214,아쉬운
215,아팠어요
216,나쁘지
217,있었어
218,어떡하지
219,자세히
220,아쉬웠지만
222,희며
223,좋게
224,즐겁게
226,자세히
228,완벽했어요
229,좋았네요
231,유명한
235,좋아하는
236,좋게도
237,오붓하게
238,멋진
239,엄청난
240,풍부한
241,없었습니다
242,멋지고
243,진정한
245,깊은
246,수많은
247,있었고
248,완벽한
249,있었
250,더할
251,멋진
252,익숙한
254,생소한
255,있었던
256,유쾌함과
257,가득했고
258,좋아하는
260,신났어요
262,재밌었어요
263,익숙하고
264,신나는
265,즐거운
266,멋진
268,힘들더라구요
269,아플
270,아프고
271,편하게
272,가깝게
273,괜찮을
274,같았어요
275,재밌고
276,지루할
277,충분히
281,더라고요
283,좋아하셔서
284,행복한
286,반해
289,재밌고
291,아팠어요
292,확실히
293,경쾌하여
297,자리는
298,아니었지만
299,멋지십니다
300,불편했네요
301,좋아하셨어요
303,서먹하고
305,행복하고
306,어떨까
308,그런지
309,부족한
310,있던
311,재밌다고
312,재밌었어요
313,많았는데
317,좋았네요
318,즐거운
321,즐거웠어요
324,익숙한
326,흥겹고
329,만족하셨어요
331,가능하지
332,즐겁게
335,풋풋한
336,노래라면
337,신나는
338,행복한
340,좋았지요
341,편한
342,있었던
345,많으면
346,많을수록
350,부탁드립니다
351,유명한
353,귀엽고도
354,멋지고
356,있는데
357,솔직한
358,유쾌하고
359,신나고
360,행복하고
362,만족한
363,즐거웠다
364,아니었던
365,부족했다
366,충분할
367,훌륭했다
368,즐겁고
369,신나는
370,신나고
372,익숙한
373,넘치는
377,재밌고
378,변함이
379,없습니다
381,즐겁고
382,재밌고
384,성공했습니다
385,신나게
388,뿌듯하네요
389,없을
390,좋하실
391,훌륭했는데
392,민망한
393,그런듯
395,쿨한
396,괜찮았을
397,많으시더라구요
398,같다고
400,그러함을
401,즐거운
402,즐거운
403,신나게
404,있었던
407,다르게
409,좋을
412,뛰어나서
415,많아서
416,그런지
417,필요해
419,계신지
420,조용히
421,아니겠지
422,있다구요
423,얌전히
424,조용히
425,많아요
427,비싼
428,좋았다고
429,신나고
431,없었어요
432,나쁘지
434,힘들어
435,짜증나서
436,신나는
437,재밌어요
438,아쉽네요
439,있었습니다
442,재밌어
443,재밌는
445,있었나
447,실망했습니다
449,없는데
451,멋있었고
453,멋진
455,재미있을까
456,재밌었고
459,재미있어
460,익숙하지
461,신나고
462,행복한
463,입니
464,멋있어요
465,신나는
466,신나고
467,즐겁습니다
469,엄청난
470,대단하다
472,흠잡을
473,없었다
474,대단한
475,있는데
476,유쾌해서
479,익숙한
480,충분했습니다
481,좋지만
482,익숙하지
484,반갑고
489,뛰어난
490,신나는
491,기대하고
492,아니었나
493,멋졌어요
495,오래된
496,같았는데
497,입니
498,즐겁고
499,신나고
501,행복했습니다
504,바쁘다는
505,부담스럽다는
506,신나는
507,탄탄한
509,재밌고
510,재밌고
511,재밌는
512,필요한가요
513,즐거웠어요
514,즐겁고
515,행복한
516,신나게
517,멋진
518,넘치시고
519,즐겁고
521,불편함
522,신나고
527,좋아하는
529,흔히
530,있다는
531,다름
532,있다고
535,신나고
536,행복합니
537,오래되었으니
538,아쉬운
539,있는데
540,아쉽다거나
542,다양한
543,있다는
545,있었기에
546,있었을
549,좋더라구요
550,즐거워하시는
553,어땠을지
554,완벽했던
555,아쉬웠지만
556,깊었고
557,실망했어요
558,넘치는
559,그러다
560,없었어요
561,있으신
563,신나네요
566,재밌
568,발랄하고
569,흥겨
572,좋겠습니다
573,좋으시네
574,청아한
576,즐거웠습니다
577,넘치는
578,신나고
579,즐거운
580,멋지십니다
581,완벽한
582,부족한
583,계셔서
584,같아서
585,아쉬웠지만
586,재밌었어요
587,생생하거
590,재미있고
592,좋겠다
594,짱짱해서
595,좋앗
597,확실히
598,설레는
599,신나고
601,신나게
602,즐건
604,아름답고
605,건강하게
607,궁금했지만
608,있겠어라고
609,재미있었어용
610,재밌었어요
613,그러더군
615,풍부함
616,벅찬
618,재밌었습니다
620,행복했습니다
623,신나네요
625,신나고
626,재미있어요
627,익숙한
628,신나는
629,만족했습니다
632,죄송하지만
633,즐거웠습니다
634,즐거워서
636,없을
641,있었어요
642,사랑스러운
644,당당하고
645,멋있다고
647,행복한
648,아쉬웠는데
649,딱히
650,아니였구요
651,익숙한
652,좋았네요
653,재밌었습니다
654,죄송하구
655,귀여우셔
657,이렇게나
658,재미있는
660,재밌어하셔서
662,귀엽고
663,영원히
664,계시거나
665,있으시
666,영원히
667,계시거나
668,있으시
672,그래고
673,귀여우시더라구요
674,신나게
675,귀여우셔가지
676,즐거운
677,탄탄한
682,좋아하는
684,가볍게
687,재밌다고
688,좋아하시던
689,좋아하는
690,깊고
691,유쾌하고
692,애잔하면서도
693,사랑스런
694,즐거워하시는
695,재밌다
696,만족스럽
697,완벽하게
698,가득한
699,여전했고
700,짜릿하리만큼
701,좋게
702,있었습니다
703,행복한
704,좋아하셔서
705,익숙한
706,좋았구요
707,즐겁게
708,아쉽네요
709,완벽했습니다
710,완벽했습니다
711,훌륭했고요
712,유명한
713,유명한
716,신나게
718,넘쳐
719,복잡할
720,편하게
722,즐거운
724,즐거운
725,멋진
728,있는데
731,솔직하게
733,중요한
735,한결같으니까
738,솔직히
739,궁금하긴
745,중요할까
746,아름다운
747,신나고
748,행복하게
749,멋진
750,빠르게
754,높은
755,있어야만
756,완벽한
757,스러워지고
759,중요한
762,당돌함과
763,솔직함
765,유명한
766,있다는
768,촌스럽지가
769,확실히
770,어색하지
772,뛰어나
773,스럽
774,당당하며
775,사랑스런
776,섹시한
779,좋다
780,재미있게
782,흥겨운
783,성하게
784,아쉬웠다도
785,가득한
786,신나는
788,아쉽다는
789,재미있었어요
790,미었다면
791,많더라
792,환장할
794,현란하신
795,신날수록
796,떠들썩하게
797,시원한
798,설렘으로
800,없죠
802,즐겁고
803,유쾌한
804,설렘으로
806,없죠
808,즐겁고
809,유쾌한
810,원하던
811,좋게
812,있으셨고
813,좋아하시고
814,고맙다고
815,그리워요
816,재밌었고
817,즐겁게
818,있긴
819,즐겁게
822,궁금하였는데
825,강하고
827,즐겁고
828,행복한
829,재밌다고
830,반하셨다고
832,익숙하고
834,같아서
835,아쉬워요
836,행복했습니다
837,넘쳐서
839,기대했던
842,엄청난
843,그런지
846,행복했습니다
847,즐거운
848,아니였을까
849,즐거운
850,깊게
852,곱던지
853,짱짱한
854,아낌없는
855,즐겁고
856,행복한
857,좋았네요
858,길게
860,불안해하는
862,없고요
864,신나고
865,재밌어요
866,재밌습니다
870,어색한
873,좋아하셨어요
875,신나고
878,없고
879,신나
880,재밌고
881,없었던
882,생생한
883,유명한
884,즐겁게
885,신나고
886,재밌어요
888,즐거웠어요
890,재밌고
891,재미있게
892,유쾌하고
893,재밌으며
895,행복한
897,행복합니다
898,설렘으로
899,만족했어요
900,즐겁게
902,즐거운
904,즐거워지네
905,다양한
906,수줍어하면서도
907,신나게
908,즐겁게
909,넘치는
910,진지한
911,귀여운
912,신선해서
913,좋았구요
914,사랑스런
915,성장하셨네요
916,추합니다
919,설레이고
920,신나
922,없다가도
923,아쉬웠던
924,아쉬운
925,있었습니다
926,엄청나게
927,아쉬웠어요
