,Adjectives
0,아님
4,좋았는데요
5,적절히
6,재밌었습니다
10,몽글몽글하던
12,완벽했던
14,좋아했었는데
16,재미있었어
17,유쾌하시고
18,멋있었습니다
19,좋았어
21,딱히
22,없던
26,힘들더라구요
27,힘들고
28,괜찮아
29,힘든
34,힘들
38,거창한
39,아니야
41,힘든
42,그리워하며
44,설레고
46,없다는
49,소소하지만
51,소중한
53,없다는
54,슬프지만
55,빠른
56,아닌데
57,변함
60,좋았던
62,있었죠
63,난한
67,아쉽지만
68,즐거웠어요
69,따스하고
70,행복했어요
71,있었죠
73,아쉬워요
75,행복했습니다
76,아름다울
77,완벽했습니다
80,아닌지
83,따뜻했어요
84,편안한
85,숨막히는
86,영원히
88,좋지
89,진지하게
90,행복했습니다
92,따뜻하게
94,빠른
97,아쉬운
98,간절함에서
99,완벽한
101,아쉬워요
102,있었습니다
103,있길
104,가득한
106,색다른
108,있었죠
109,좋아하는
111,아름다운
117,좋겠네요
118,없인들
121,슬펐습니다
124,따뜻하기까지
125,따뜻함을
128,좋아하는
129,재미있게
132,급하게
134,재밌고
135,슬프고
136,멋진
139,막연한
142,힘들었던
144,홀가분한
147,좋구요
148,경쾌해서
151,슬프네요
152,귀엽고
153,슬프진
154,슬퍼요
156,슬펐
160,좋겠네요
161,길게
163,좋다
166,따뜻해지는
167,슬퍼요
175,재미있었어요
176,따뜻했어요
178,재밌어요
186,중요한
188,뜨거운
189,애틋한
190,불친절해
191,재미있게
195,따뜻한
196,따뜻함
198,좋았지만
202,가깝게
203,따스해
204,따뜻한
205,좋다는
206,많아
208,깊고
210,원하는
211,느슨한
212,있었기
213,있었다고
215,있는지
216,꾸준히
217,있으리라
219,좋을지
220,가볍지
221,원했습니다
222,그러면서도
223,있었습니다
226,따뜻한
227,깊어진
228,힘들었는데
230,뻔한
234,아쉽지만
235,완벽했던
236,벅차고
237,뜨거워지는
239,새롭게
240,재미있게
241,따뜻해지는
242,고마웠어요
243,좋겠습니다
245,우울해서
246,힘들
247,필요했고
248,다정하고
249,따뜻하셔서
255,아름다운
256,단단히
258,아쉽네요
262,따뜻함을
265,소중히
266,설레고
267,만족할
268,고통스럽고
269,같음
271,있겠지
274,따뜻한
278,있다고
281,짠하고
282,그랬어요
285,그러던
287,좋을
288,같다는
289,충분했습니다
292,비슷하다는
293,많다
299,반해서
300,즐거웠고
301,속상하기도
306,즐거웠고
309,있긴
310,불편하진
313,좋아하지
314,재밌더라구요
321,지루한지
323,뭉클하기도
326,색다른
327,있거나
332,따뜻한
334,즐거운
335,따뜻한
336,재밌어서
337,싫어하는
338,없었음
341,치열하게
343,좋아하는지
348,따뜻한
351,따뜻한
352,아쉬운
353,있긴
356,없지는
357,원하는
361,슬퍼요
362,시원해지는
363,거창하지는
364,설레고
370,뜨겁게
375,재밌었다를
380,있었듯이
383,미치겟어요
466,지루했습니다
467,재밌는
468,뜨겁게
469,있었
471,따스한
483,깊은
484,따뜻해지는
486,가난한
487,가득한
488,재미있게
490,재미있다가
491,슬펐어요
494,궁금해서
495,재밌어요
496,따뜻해지는
499,따뜻해져요
500,궁금했던
502,재밌어용
504,이상하게
506,설레고
507,소중하게
509,재밌습니다
511,힘겹게
512,아닌데
513,똑같아서
514,힘들고
516,추한
517,징징거림이
518,심해서
519,있다는
522,좋아하는
523,좋아하는
524,행복한
525,드문
527,행복했습니다
530,성공함
531,더운데
532,미쳤음
533,재밌었다
534,따뜻해지는
535,좋을
537,행복했습니다
538,따뜻하고
539,유쾌하고
540,슬프고
541,처절하고
542,아파
545,있다는
547,따뜻하고
550,따뜻해지는
551,아니에요
553,아릿하고
556,불안해지고
558,필요한
561,뻔했던
563,시원해지고
564,사랑스러운
565,확실하게
569,간절하게
570,아름다운
572,자리였는데
575,같았다
577,간절하게
578,원했음에도
581,아니어도
583,따뜻하고
584,뭉클한
586,멋진
591,행복하다고
592,싫어도
593,원하는
594,뜨겁게
597,똑같은
598,힘드니까
599,완전히
600,같지는
601,같았
602,같다고
605,똑같지
607,힘든데
609,어렵다
611,힘든데
612,약한
613,같기도
617,있든
618,똑같고
619,똑같다는
621,유약해
622,같았다
624,어렵지
626,당연하게
630,부끄러운
631,부끄러웠다
632,정신차리라고
633,정신차리고
635,정신차리고
636,정신차리고
637,정신차리고
638,미친
639,아닌데
650,많네
651,사랑스럽고
653,힘듦을
655,행복한
659,선명하게
660,슬프고
663,아쉬워요
664,완벽했던
669,좋아하는
672,재밌었어요
673,따뜻하고
675,따뜻한
676,아니었지만
677,따뜻한
678,따뜻하고
679,가득한
680,좋겠는
683,따뜻한
687,원하던
691,있었어요
692,재밌고
693,편하게
695,그렇지만은
698,따뜻하고
699,즐겁게
701,즐거웠어요
703,있다는
707,굵직하게
709,행복한
712,따뜻한
713,행복했습니다
715,충분한
716,위대하다
717,묵묵히
718,위대하고
719,아름답다
727,있었죠
728,지루했는데
733,중요한
735,충실하게
739,좋겠습니다
740,슬프기만
742,아름답고
743,행복하게
744,행복했고
747,뻔하지만
749,따뜻해지는
750,아름답고
752,재밌다고
754,찡하고
755,안쓰러웠어요
756,재밌고
757,행복했습니다
758,많았네요
759,있기에
762,재미있었구
763,따뜻하고
767,완벽하게
769,뜨거우면서도
770,슬픈
771,뜨거운
772,더해져서
773,행복했습니다
774,따뜻한
775,예쁘게
777,좋겠습니다
780,재밌어여
781,팍팍하고
782,같을
783,있었죠
784,힘들고
785,아픈
787,좋을
789,있었어요
790,새로운
791,다양한
793,덜해
794,그러다
798,벅차면서
799,슬프
800,그랬네요
801,설레고
802,뜨겁게
804,미다
805,재미있게
806,슬퍼서
809,궁금해서
810,뻔한
811,뻔해서
812,재미있는
814,행복하고
816,벅차는
817,재미있어요
818,유쾌하게
823,슬픈
824,있을지
825,가능하다고
826,멀고
827,부족해서
828,좋지만
829,불가피한
830,부족한
831,아쉽네요
832,있다는
838,있었죠
840,만족했습니다
841,좋다는
844,아쉬울
845,재미있었어요
846,따뜻함
850,지루하고
851,다를
853,유명한
854,반가운
857,흥미로운
858,지루한
860,따뜻해지고
861,슬프
863,예쁜
864,유일하게
865,따뜻함이
866,따뜻하고
867,예쁜
874,두근거리고
875,행복해서
878,잔잔하지는
880,성장해가는
882,따뜻한
883,시급한
884,완벽한
885,필요하면
886,바쁜
887,따뜻한
889,같았던
890,자세히
892,따뜻해요
893,행복하기를
894,좋다
896,행복합니다
897,따뜻하고
900,뭉클함이
902,행복했습니다
903,재밌어요
904,따뜻한
905,멋져요
910,마땅한
912,있거나
913,변하지
916,귀엽구
917,멋지구
918,깜찍해요
920,따뜻한
923,따뜻하고
925,재미있게
928,즐겁게
930,재미있게
931,힘든
934,따뜻하고
935,아름다운
937,좋을
944,재미있어요
945,따뜻한
946,재밌어요
947,아름다운
949,새로운
951,상관없이
953,부족하네요
955,재밌었습니다
956,따뜻한
959,외로울
960,입니다시
962,다르나
963,힘들어라고
965,사소할지언정
966,소중한
967,있다고
968,따뜻하고
969,고맙게
972,촉촉해져서
973,드문
976,설레고
977,뜨겁게
980,있었죠
981,휩쓸고
983,향기로운
984,있었죠
985,힘들고
986,아픈
988,따스한
989,있었어요
991,따뜻해지는
992,없네
994,적절한
1000,힘들고
1001,괴로워도
1002,깊었습니다
1003,필요할
1006,슬픈지
1008,궁금해서
1010,아프고
1011,시린
1012,아니었다고
1016,좋게
1019,있도록
1021,재미있었습니다
1022,훌륭해서
1025,사랑스런
1026,행복한
1028,슬퍼
1030,벅차오르는
1035,재미있다가
1036,슬퍼서
1041,재밌어요
1043,바빠서
1044,슬픈
1046,따뜻하니까
1049,좋구
1050,아니죠
1052,재밌어요
1053,아름다운
1054,힘든
1055,따뜻해지는
1056,고맙습니다
1057,있어도
1058,없다는
1060,재밌었어요
1061,따뜻한
1064,재밌는
1066,슬픈
1069,원하는
1071,있는지를
1074,그러면서
1075,만족하면서
1076,있는지
1077,더하고
1078,없는지
1080,있었다면
1081,정신차리게
1083,재밌었습니다
1087,있으신
1092,눈부시게
1093,찬란한
1097,행복해
1101,가볍지도
1102,무겁지도
1104,똑같아요
1111,뜨거운
1112,스러져
1114,좋아하고
1115,좋아하는
1116,같지만
1117,괴로워하고
1119,재밌고
1120,이상했어요
1121,좋다고
1123,많던
1126,어느새
1128,소중한
1129,고마워요
1130,따뜻해졌어요
1132,부산스러운
1136,따뜻해지는
1137,찡해
1140,좋아도
1142,슬픈
1143,신나던
1144,우울하시다면
1145,따뜻해져
1147,벅차오르는
1150,재밌고
1151,따뜻한
1153,조아요
1154,행복했습니다
1156,소소한
1157,진한
1158,포근해지고
1159,뜨거워지는
1161,따뜻한
1162,꾸준히
1167,좋은데
1172,불과하다
1173,있었으나
1174,더라구요
1176,좋겠네요
1177,재밌었습니다
1178,뜨겁게
1182,즐거
1183,재밌어요
1184,팍팍한
1185,재미있게
1186,귀여웠습니다
1187,따뜻해지는
1191,남달라
1192,재밌었음
1193,가득한
1194,따뜻한
1195,그리워
1199,좋다
1201,따뜻해지고
1204,있었죠
1206,실패한
1208,좋아할
1210,어느새
1211,따뜻하기만
1213,어줍니다
1219,따뜻하고
1220,포근한
1221,훌륭하시고
1224,다르지만
1225,같은가
1226,재미있어
1231,그리워
1233,설레고
1234,뜨겁게
1236,중요하다
1238,깊은
1240,어렵지만
1242,완벽했어요
1243,따뜻하고
1245,좋을
1246,귀여운데
1247,반했습니다
1248,안됨
1251,따뜻했다
1252,부끄럽지
1254,행복했던
1259,있을지도
1261,따뜻한
1263,힘들었던
1266,어떤지
1267,특별한
1268,특별하게
1276,깊었고
1278,젊은
1281,재밌었어요
1282,중요하네요
1283,새로
1286,지루했는데
1288,평범한
1289,다를
1290,없다는
1291,충분한
1292,어느새로
1293,따스하고
1294,단단한
1296,따스하고
1297,애달프고
1298,다정하고
1299,부러워지는
1300,촌스러울
1302,소박하지만
1303,따뜻한
1304,든든하고
1306,따뜻한
1310,미쳤냐고
1314,말라
1317,슬퍼요
1319,슬픈
1321,슬프게
1322,있나요
1323,아쉬웠지만
1324,가득해서
1325,속절없이
1326,따뜻하고
1327,시끄러워서
1329,궁금해서
1332,행복하길
1333,따뜻한
1335,그랬지
1336,재미있는데
1337,특별한
1341,적당히
1342,촌스러운
1345,아닌지
