,Adjectives
1,섬세한
3,완전하지
5,없게
9,기대합니다
10,멋있었요
12,좋았던
13,좋구나
14,필요합니까
15,행복했습니다
18,새로
19,아쉬워서
22,난해했지만
24,좋았
25,있을까요
28,따뜻한
29,광활한
31,그리운
32,저렴하게
33,어느덧
35,새로워졌다
36,익숙함이
37,편안해서
38,신선했다
40,섬세한
41,아름다운
42,황홀하고
43,완벽한
44,새로운
47,좋았음
49,좋았음
51,즐겁게
53,힘들었지만
55,만족스러웠던
56,즐겁진
57,진지해지는
58,기대하겠습니다
61,아름답다
62,탁월한
63,힘든
65,있는가를
67,고맙고
68,성장하고
69,성숙해진
70,엄청나게
72,강렬했던
73,그리워지네요
74,아쉽네요
75,설렘과
77,불쌍하게
78,있다가
80,행복했습니다
81,대단하셔요
83,깨끗합니
84,미친
86,행복해
87,더할
88,행복했습니다
89,수많은
90,영원하라
91,감미로운
92,대단했음
94,재미있었습니다
95,깊게와
97,다양한
98,원치않게
99,슬프게
101,그렇네요
103,부족한
106,가득하지만
108,즐겁게
109,있길
110,좋다
112,아쉬워서
113,아쉽네요
114,있나요
115,멋있고
116,반했습니다
118,그리워한
119,좋았어라고
121,좋았던
123,썰렁한
127,있었어서
128,좋았구요
130,좋아하는
131,좋았지만
133,가득했어서
134,훈훈했답니다
135,같더라구요
136,아름다운
139,좋아하는
140,매끄러운
143,깊은
146,노련한
148,멋진
149,아름다운
151,아쉬울
152,있길
153,아쉬워요
155,궁금합니다
156,쉬운
157,길은
160,행복했습니다
161,고맙습니다
163,아쉬운
164,아름답던
165,고마워요
166,훌륭해요
168,완벽히
169,없다는
170,황홀했습니다
171,없을만큼
172,우스꽝스런
173,찡한
174,영원히
175,멋진
177,좋음
178,아쉬웠다
182,즐거웠습니다
186,멋진
190,새로
191,좋겠다
192,가득했답니다
193,재미있었어요
194,달랐어요
195,멋있었어요
196,좋았구요
197,흥분해서
198,더웠어요
199,유명해
200,훌륭해서
201,즐거웠던
202,생생한데
204,선하고
206,다른건
211,신기한
212,강렬했고
213,순수한
214,있었네요
215,순수한
216,아프고
217,안타까워
218,있었고
219,진하게
220,좋아하는
221,만족스러웠습니다
222,중요한지
223,섬세함과
224,사랑스러웠습니다
225,명확한
226,현란한
227,기뻤습니다
228,화려함도
231,있던데
232,좋겠다는
233,훌륭히
234,대단하세요
238,즐거웠어요
240,신선하고
241,놀라웠어요
242,힘들었는데
243,아니였는데
244,훌륭한
246,못마땅한
248,시기하고
249,아프지
252,좋았던
254,뜨겁게
256,꾸준히
258,흥분하게
259,충분했다
260,강렬한
263,있단
266,아닌거
268,놀랬는데
269,행복한
270,뛰어난지
271,좋았구요
273,있었네요
274,힘들었는데
278,같지
281,좋지
282,멋진
288,빠른시
289,좋겠습니다
291,아쉬웠는데
294,멋지네요
295,멋졌습니다
296,멋진
298,없었지요
300,멋지네요
301,부드러운
302,멋진
303,새로운
305,너무하시네요
306,없다하고
307,아닐테고
308,없다는게
309,미칠
310,아쉬운데
311,박합니까
312,없네
315,충분히
321,새로운
322,아쉬워요
325,아쉬운건
328,좋았구요
329,그렇고
331,아쉬운
332,없잖아
334,좋았구요
336,행복했어요
337,고맙습니다
338,아쉬웠지만
339,성장한
340,쉬운
341,길은
342,길은
343,찡하다
346,재미있더라구요
348,행복한
349,고마웠어요
353,슬퍼하며
354,처절하기까지
357,좋았구요
358,행복했습니다
359,가까운
360,생생하니
362,있을지
364,아쉽네요
365,안되는
367,행복했습니다
369,안될까
370,쉬운
373,새롭게
374,설레기도
376,좋았던
377,아쉬웠다
378,아쉬웠지만
379,흠잡을
381,재미있게
382,멋있어요
383,좋겠네요
384,아니예요
385,미쳤다고
388,있을지도
389,아깝네요
390,부지런해야
391,행복했습니다
392,같지만
393,새로운
394,새로워진
395,새로운
396,필요해요
397,아쉽다
398,새로운
399,사랑스러워
403,엄청난
404,순수함과
405,쾌활함이
406,새로운
408,상당히
409,멋지시네요
410,멋지시고
411,갑작스럽게
412,훌륭한
414,기대했던
415,자리는
416,아쉬
418,안되서
419,멋있는
422,같고요
423,행복한
424,더군요
426,아쉬었다는
428,같더군요
429,아프게
430,아쉽습니다
431,뛰어났다는
432,아름다웠다는
434,간절합니다
435,아쉽고
436,아쉽고
437,아쉽습니다
439,좋지만
440,아쉬운
443,좋구
444,좋았네요
445,행복한
446,필요없는
449,높았던
450,같았다
452,풍부한
454,아쉽기
456,아쉬웠던
457,아니라는
458,아쉬웠다
459,많으니까
460,멋지게
461,슬프네요
465,변했네요
469,재밌었어요
470,충실한
471,없기에
475,아쉽습니다
477,애절하길래
479,없었는데
481,예쁘고
482,넘치는데
483,황홀할
484,좋거든요
485,정직하게
486,좋더라구요
487,자연스럽고요
488,어색하지
490,조화롭게만
493,즐거웠던게
494,진중하고
497,강해서
498,재밌었습니다
500,기쁩니다
501,좋았을
503,기대합니다
504,좋음
505,좋았음
512,아쉽고
513,슬프고
514,어떨지는
517,재밌고
518,화려함이
519,아쉬웠던
521,좋더라고요
522,멋졌어요
523,있을지
525,슬퍼요
526,아쉬웠지만
527,많으셨습니다
530,행복했습니다
531,넘치는
532,멋진
535,훌륭한
536,멋진
539,보석같은
540,새롭더군요
541,행복했습니다
542,있길
543,재밌었어요
544,슬픈
546,그렇듯이
547,멋지셨구요
550,좋았었어요
552,기대합니다
554,즐거웠습니다
557,아까워
558,오만한
559,나약하고
560,행복하고
561,아름다웠던
566,따뜻했던
567,무덥고
568,지긋지긋하던
570,힘들겠지만
572,없나요
573,즐겁고
574,행복했는데
576,만족스럽다니
577,재밌고
578,귀여웠다
580,힘들이
581,소소하게
583,아쉬운데
585,좋으련만
586,아쉽습니다
587,필요해요
588,애절하게
590,슬펐고
591,귀여운거죠
596,새롭게
598,있을것
600,좋아용
602,놀랬고
603,많더라구요
604,미친다는것도
605,많으셨고
606,좋겠습니다
607,멋진
608,멋진
609,있었던거는
610,어땠을지
611,짠하고
612,아팠습니다
613,멋진
617,고맙다고
618,좋아하실
620,완벽한
622,멋진
625,계시는
626,유쾌한
627,넘쳐
628,좋았구요
630,멋진
631,즐거운
632,아니었을까
633,행복한
635,행복했습니다
636,무사히
637,영원하라
638,벅찬
639,힘드네요
641,행복했습니다
642,영원히
643,있을듯
644,좋았는데
646,길고
648,실망한
649,좋았는데
653,좋아하는데
655,궁금하여
657,까말까
662,슬펐고
663,궁금하네요
664,좋아하는
666,훌륭합니다
667,아닙니까
668,멋진
669,완전히
670,탄탄해서
671,지루할
672,행복하고
673,깊은
674,없군요
676,필요없고
679,길면
680,좋았겠지마는
681,설레는
682,멋진
683,아쉽습니다
684,탄탄해진것
686,알차지만
687,아름다운
691,즐거운
696,지루하다고
698,남다르네요
699,재밌고
701,영원하여라
706,깊지는
711,위대하네요
712,행복했습니다
713,더운
714,시원하게
716,좋으네요
717,아쉬워라
718,좋구
719,화려하고
721,완벽할
722,없다고
723,드문
724,아쉽네요
725,아쉬운
726,멋진
727,아쉬워요
728,아쉬워
729,짧은가요
730,흠잡을데가
733,있더라구요
734,아쉽지만
735,기대하며
737,새로운
738,친절하게
739,좋더라구요
742,부족해서인지
743,깊었다
744,멋진
745,아쉬울
746,새로운
747,친절하게
748,좋더라구요
750,간단한
752,기대했었는데
753,아니었지만
757,재미있게
759,난처했던
760,아련하다
761,힘들게
762,있었던것
764,괜찮았지만
767,찡하더라구요
768,즐겁게
772,아프지만
777,고맙습니다
779,즐거웠어요
780,아쉬울만큼
781,멋진
782,즐거웠고
783,좋겠네요
784,새로
786,건강히
787,많으셨습니다
788,즐거웠어요
789,완벽한
790,충분히
791,있었고
793,멋진
795,아쉬운
800,좋았구요
802,예뻐요
807,반했었는
808,완전히
810,없을만큼
811,멋진
812,아쉬울
813,뿐이네요
817,멋지고
819,필요없어요
821,행복하게
822,부으신
824,아쉽네요
825,짧게나마
827,좋았네요
828,거대해서
830,궁금하기도
831,멋있고
834,공허함마저
838,좋지만은
840,비슷하다고
844,아기자기하고
845,꼼꼼하게
849,좋았는데
850,촌스럽다는
854,아쉬웠어요
855,그랬구요
856,상당히
857,같다는
859,묵직한
861,행복할
863,그러려니
866,있죠
871,익숙함이
872,좋다는
874,더군요
875,새로운
876,기대했던
877,아쉬운
879,좋아함에도
880,좋아하는
883,아픈
884,섣부른
885,아픈
886,있었으니까
887,완벽한
888,만족스러웠구요
889,냉정하게
890,없었으나
891,있어서는
893,그러한
894,어마어마하구나
897,미치게
899,있을지에
900,높기
901,유명하지요
903,상당하기에
904,힘들고
905,어려운
906,훌륭한
907,있나요
909,좋겠습니다
914,깊었어요
916,없었지만
918,행복했습니다
919,가까운
920,탄탄한
921,소중한
922,어마어마한
924,사랑스럽습니다
926,행복했고
928,행복해지고
932,자리는
933,아쉬웠고
934,아쉬운
935,좋아하는지라
939,그럴까
940,간절한
941,자유로운
944,아파하며
945,행복했습니다
947,훌륭한
950,행복했습니다
954,있나요
956,아쉽기만
958,섬세하고
959,자연스러워졌으며
960,완전히
963,변한
965,멋졌어요
967,재미있고
971,힘든
973,화려한
974,화려한
975,분명한
980,좋았음
981,기대했던것보다
984,황홀해하고
985,자유로운
986,아파하고
990,기대하고
992,체념한
995,환한
996,행복했다
997,행복했으면
998,좋겠다
999,멋진
1000,뻔했는지
1001,맑게
1003,사랑스럽고
1008,수줍은
1010,멋졌습니다
1011,많으셨습니다
1012,부탁드립니다
1013,성장한
1014,좋아하는
1015,궁금해서
1020,아쉬웠던
1021,더라구요
1025,좋겠네요
1028,완벽한
1030,심심한
1033,아니었고
1034,멋진
1035,고마워요
1037,아쉬웠지만
1038,좋겠네요
1040,의한
1041,휼륭하게
1045,아쉽네요
1047,괴로웠다
1048,슬픈
1050,애잔하고
1051,안타깝던지
1053,아프고
1054,짠했다
1056,기대할거야
1058,아쉬웠어요
1060,아쉬워요
1061,행복했어요
1062,실망했어요
1063,안되어요
1065,민망한
1072,재밌어요
1073,아쉽네요
1075,좋겠습니다
1083,빠르고
1084,재밌었던
1086,안되나요
1087,안되나요
1090,즐거웠습니다
1091,있겠죠
1093,단순한
1094,좋으냐
1099,안되었던게
1100,아쉽다
1101,기대하는
1102,안남았다는
1103,민망하지도
1105,없다는게
1106,속상하네요
1107,많기도
1108,미워할
1110,궁금했어요
1111,완벽한
1112,흠잡을
1113,없더라구요
1115,좋을
1118,있겠습니다
1120,놀랬습니다
1121,완전히
1122,좋겠네요
