,Adjectives
2,멋있더라구요
3,훌륭한
4,없구요
5,힘든
6,길게
7,추합니당
8,유명하여
9,진부하기
10,젊은
13,없으면을
14,편히
16,실망했지만
17,치밀해
18,놀라웠고
19,훌륭했고
20,아름다웠다
21,만족스럽던
22,묵직한
23,드넓은
25,수많은
26,부끄럽지
27,젊은
28,심하게
29,힘들었던
30,있을만큼
31,단단해진듯
32,지독한
33,없을듯
34,없는게
35,아프니까
37,아쉬운건
38,새롭네요
39,있었다면
40,행복하게
44,있는것도
49,비싸길
50,고급스럽고
51,상당합니다
52,완전히
55,좋아하는
57,조용한
60,지루할
61,아니었습니다
62,달랐습니다
63,짙은
65,아쉽지요
66,아름다웠던
68,즐거웠습니다
69,젊은
70,젊은
72,좋았던
74,사랑스러우세요
75,좋아했어서
77,새로운
82,젊은
84,애잔하고
85,슬펐습니다
86,젊은
87,젊었기에
91,안타까웠습니다
93,좋았던
95,스러웠습니다
97,좋아하는
98,좋으
100,안좋은
101,힘든
102,그랬을까요
104,있으면서
105,있었어요
107,청량하고
108,맑더라구요
109,또렷하셔셔
110,아름다
111,충분했고
112,묵직함이
116,없었으면
117,어둡지
118,미는
119,귀여웠어요
121,즐거웠구요
122,충실함이
123,충분했고
124,젊은
125,이러하죠
126,아름다
127,순수한
128,있으며
130,민감한데
132,쓸쓸함이
136,공허하죠
139,공허해요
140,더운
142,공허함을
147,쓸쓸하잖아요
148,묵묵히
149,강하게
152,멋진지
153,아쉬웠지만
154,좋았던
155,귀엽고
156,사랑스러워요
157,무거웠던
158,가볍게
161,뒤늦게
163,아름다웠습니다
164,아름답고
165,순수한
166,행복한
167,좋아하는
168,부드러운
171,재미있었어요
172,좋아해서
173,부드럽고
174,담담해서
176,애절한
177,좋답니다
178,어마어마했는데
179,높아
180,특별한
181,어렵더라구요
182,좋게
184,좋더군요
185,젊은
187,같았고
188,섬세했고
189,궁금해졌답니다
190,원숙한
192,같아서요
195,은은해서
196,피곤하지
199,많아도
200,많은데
201,죄송하지만
204,이쁜
206,훌륭하고
208,멋있어서
209,좋았지만
211,좋았던
212,좋겠네요
213,멋진
216,좋아하는
218,차가
219,아닌데
220,행복할
222,슬퍼요
224,고마웠습니다
225,따뜻하게
226,따뜻함
229,깊은
231,행복했습니다
232,있길
233,대단한
235,아름다운
237,행복했어요
238,아쉬울
240,완벽합니다
243,아련하고
245,있겠군요
246,있을지
247,안타까운
248,젊은
249,없으면
251,반해
252,반해
255,아름답다
256,슬픈
258,따뜻하고
261,좋았지만
262,있어다오
265,아니하였다
271,아름다웠고
273,재밌었어요
278,아름답네요
279,강력히
280,기쁘다
281,아름다운
282,아팠던
284,깊네요
286,아름다운
289,따뜻한
290,아쉽다
291,불쌍해
293,좋았네요
297,저렇게도
298,아름답지만
299,아프기에
300,힘든
302,있길
304,저렇게도
305,아름답지만
306,아프기에
307,힘든
309,있길
311,아름다운
312,순수한
313,아픔니다
315,강력하게
316,가득한
317,재밌어요
321,딱히
322,화려한게
323,없는데도
326,짙은
330,귀한
331,만족스러웠습니다
332,행복했습니다
334,가혹하니
340,안타까
341,좋아해서
342,좋아하셨습니다
344,슬퍼하고
346,행복했어요
347,아쉬웠지만
348,예쁜
349,사랑스럽니다
350,감미로워요
351,아름다운
352,아슬아슬해서
353,아팠어요
354,아련하고
355,아프고
356,아프고
358,아프다
359,젊은
360,풋풋한
361,지독한
362,아팠습니다
364,멋지다는걸
365,기쁩니다
366,좋아하는
367,지루한
371,깊고
372,길었던
373,좋았고요
375,아쉽
378,싫어요
379,있을만큼
380,멋진
381,젊은
384,있다는걸
385,괜찮았습니다
389,훌륭했습니다
390,설렘
391,있다는
392,체념한
393,좋아하진
395,아쉽습니다
396,무겁지
401,슬프다
402,필요할까
403,있을까요
404,아련합니다
405,아련합니다
411,만족했습니다
413,뜨거웠던
414,따뜻하고
415,아픈
416,멋진
418,따뜻하면서도
419,아픈
422,처절한
423,좋았을걸
424,젊은
426,어떻습니까
427,가득하고
428,가득한
430,아리더니
431,부탁드립니다
434,아쉬웠지만
435,아니더라고요
438,불쌍해서
439,밉다가도
440,그런진
441,좋겠네요
449,행복합니다
452,아픈
453,아쉽고
456,기대하겠습니다
459,아쉽네요
463,있었다는게
468,행복했습니다
469,아쉽고
470,아프지만
472,행복했습니다
473,아쉬울
474,슬프지만
475,아름다운
476,같았다
479,길게
481,아름다운
483,즐거운
486,즐거운
487,아쉽네요
488,재밌습니다
490,실망할
492,미친
493,안되네요
495,젊은
496,어렵
497,지루한면이
501,안타깝게
503,재밌기도
504,사랑스럽
505,슬프
506,슬펐어요
507,좋았을텐데
508,싫어요
510,자리였지만
512,있었네요
513,멋진
514,재미있고
517,순수한
519,있었어요
523,찌질하다
524,젊은
525,순수한
526,아파서
527,아쉬웠습니다
530,좋았지만
531,조용히
532,특별하고
533,좋았던
534,슬프고
535,행복하고
536,아쉽고
537,없을지
538,평온하게
541,기막힌건
543,힘들어
544,있었을것
546,안쓰럽고
547,안타까워
548,야할까봐
550,우아한
551,시린
552,아쉽네요
553,좋아하는
556,즐거웠습니다
557,강력한
559,멋지다
560,좋았네요
561,아름다운
565,안남아서
566,아쉽네요
569,지루한
572,완벽하게
574,불쌍한
580,즐거운
581,아쉬울
583,안타까웠던
584,무모하지만
585,순수한
588,아프지만
589,아름다운
590,아쉽지만
591,아프더군요
599,즐거웠습니다
600,적정했다면
601,더할
605,젊은
607,없었지만
609,있을지
610,기대해
612,많으시더라구요
613,힘겹게
614,넘치는
615,슬퍼도
616,맑고
617,아름다웠답니다
619,뻔했어요
620,애절함이
621,좋았답니다
622,소중하게
623,반가웠구요
624,영원했으면
625,좋겠습니다
626,아름다운
629,좋게
630,애절하고
631,슬픈
633,고급스러워진
636,좋게
637,이뻤구요
638,아름다운
639,있을지
642,그렇네요
643,기대하고
644,있을게요
647,그렇네요
650,그렇네요
653,그렇네요
654,깊었던
655,기대할게요
658,아쉽네요
662,아쉬웠습니다
663,있을지
665,빠르게
666,생생하게
667,아쉽습니다
668,강렬한
669,아름다운
670,아파하고
671,괴로워하며
673,멋진
675,멋지고
677,앙증맞은
678,아쉬운건
679,무리한
680,같기도
681,아쉽
682,안타깝
683,멋진
684,멋진
685,행복한
690,영원히
692,젊은
693,아니라며
694,바빠서
695,아쉽지만
696,아쉬운
698,깊었습니다
699,좋어
700,힘들어
701,아름다웠던
702,아름다웠던
703,씁쓸한
704,잔잔한
705,아쉬운
707,있었고
709,젊은
710,좋았고요
711,멋있었습니다
712,어렵지만
713,아름답네요
715,청아하다못해
716,여린
721,행복했습니다
722,재밌어요
723,재밌어요
724,훌륭했습니다
726,행복하고
727,사랑스러운
730,좋았던
731,같지만
732,아쉬워지는
735,좋음
736,좋은데
738,있겠습니다
739,유명한
743,좋았던
744,아쉬웠어요
745,아름다운
748,싫지만
749,그럴꺼면
750,재미있어요
753,부족할게
756,아쉽게도
757,같지만
759,아쉬웠습니다
760,멋진
763,행복했습니다
766,많지마
767,따뜻하게
769,좋겠네요
770,연약한
771,슬펐습니다
772,조아요
774,이상한
775,아쉬웠습니다
776,진정한
779,좋겠습니다
780,아름답고
781,아름답고
782,시리도록
783,아픈
784,아름답고
785,싫은
786,대단했다
787,섬세함과
788,섬세한
790,반했습니다
791,재미있어요
792,예쁘네요
793,싫어서
795,슬펐지만
796,행복한
