,Adjectives
0,싫어하셨습니다
1,친근한
2,반가운
3,만족하셨습니다
4,날카로
5,아름다
6,익살스러
7,가득한
8,훌륭했습니다
9,많으셨습니다
10,딱히
11,아니었습니다
12,좋아하는
13,가벼운
14,아니어서
15,강렬하게
18,궁금했는데
19,깔끔하게
20,빠른
21,지루하지
22,훌륭하게
24,역은
26,엄청나더라구요
28,유명함을
29,있었기에
30,없었습니다
35,완벽한
36,아니었지만
37,아깝지
38,적절히
39,짜릿함을
40,놀라운
41,있는데
42,다양한
43,신기하고
44,즐겁게
45,빠른
46,뛰어난
47,없었습니다
49,넘치면서도
50,섬세한
51,완전히
52,뛰어났구요
53,친한
54,안타까운
55,좋았던
58,화려한
60,단순히
61,좋음
63,완벽한
64,완벽하게
65,있는가
66,허무함은
67,묵직한
70,좋을
73,좋구요
74,좋겠습니다
75,없거든요
78,아닌가
79,멋진
80,멋있었구
81,멋졌습니다
82,못지않게
83,멋졌습니다
84,솔직히
85,길고
86,지루하다는
87,있었고
89,재미있게
91,화한다는
94,자연스러
95,좋어요
96,아름다웠습니다
97,계시다고
98,힘드실
100,귀여우셨어요
102,순수함이
104,있다고
105,멋지게
106,그리운
107,있었어요
109,어려웠을
110,확실히
111,아니었지만
112,있으시면
115,많던데
116,예뻐서
118,예쁘게
120,슬펐지만
121,같았구요
123,아름다워서
125,좋아하는
126,멋있었습니다
128,아쉽네요
129,좋겠습니다
133,있기
134,있겠지만
135,높다는
136,같아서
137,스럽고
138,자랑스럽
139,그랬네요
141,화려한
142,훌륭해서
143,아깝지
144,유명한
145,있다니
147,신선한
148,톡톡히
149,아닐
150,없으셨던
152,아닐까
153,좋았지만
154,다양한
156,여리면서도
157,뜨겁고
158,강하게
159,굉장히
160,아프죠
162,없었거든요
164,불편하기도
165,익숙해
168,있겠죠
169,심하고
171,매끄럽게
173,있었답니
177,있었나
178,없진
179,길었던
180,좋으셨으니까
181,좋았네요
182,힘드셨겠다는
183,힘들었을
185,훌륭한
186,아닌가
187,아쉬웠던
188,지루한
189,있었어요
190,필요한
193,중요한
194,아니거든요
196,비슷한
197,같더라구요
198,화려하고
199,멋지긴
200,필요할
202,깊은
203,있는데
205,있잖아요
206,단순한
207,충분히
209,불과했다는
210,필요했을까
212,불필요한
214,매끄럽게
215,길게
216,아니니까
217,아쉬웠던
220,궁금한
221,없네요
223,기대합니다
224,힘드실
225,없다는
226,아쉽지만
228,재미있어요
229,좋아한
230,만족하셨
231,아닙니다
232,다르게
233,다양하게
234,뛰어난
235,많구
237,궁금했던
238,멋졌고
242,오래된
243,짜릿한
246,궁금했는데
247,멋지고
248,다양한
249,확실했던
251,있었을
253,대단하셔요
256,좋음
257,좋음
258,좋게
261,없음
262,어렵다거나
263,훌륭해서
264,즐거운
266,좋구
268,멋진
271,옳은
273,아깝지
274,아쉽다지
276,훌륭했다고
277,좋았음
282,깊었다
283,중요한지
285,탄탄해서
286,좋겠다
287,필요한가요
289,아쉽고
290,행복한
291,완벽했다
292,멋졌어요
294,다정한
295,멋졌어요
296,화려하고
299,자랑스러운
300,같은데
301,정확한
302,훌륭했습니다
305,괜찮았던
307,불편한
309,불편했던
311,즐거운
313,완전히
314,아니지만
315,흡사하게
316,대단하네요
317,좋겠고
319,없지
321,좋게
323,멋진
324,높았어요
326,좋겠네요
327,행복한
332,있다가
333,궁금해서
334,실망한
335,계신다는데
336,그런지
339,그런지는
340,미워할
342,흥미로웠네요
344,그리운
347,행복했어요
354,좋겠습니다
355,그리운
356,아쉽네요
358,재미있게
360,아쉬웠거든요
362,기쁘네요
363,있었고
364,충분히
367,훌륭한
368,아낌없는
369,있었나
370,좋았던
