,Adjectives
0,재미있다며
1,추하더라구요
3,세련되진
5,화려한
7,반짝반짝하고
9,화려하고
10,신났어
12,없었고
14,아니었고
15,어리석은
16,충분히
17,있었고
18,대단하다고
19,화려하고
20,대단한
22,솔직히
23,기대하지
24,그랬는지
25,재밌었고
27,없고
28,뿌듯하게
30,가벼운
31,저렴한
32,신나는
34,신나고
35,재미있다고
36,좋아했어요
37,대단하신
39,멋있어요
40,지겹지
42,좋았는데
44,깊은
45,신나고
46,행복했습니다
48,저렴히
49,편하게
50,있었습니다
51,익숙한
53,기대했는데
54,많았는데
57,재밌네
58,현란한
59,미침
60,꾸준히
63,멋진
64,경쾌한
65,신나는
66,많아서
67,아쉬웠음
68,신나게
69,미쳤습니다
71,즐거운
73,멋진
74,멋졌어요
76,화려하고
77,멋지고
78,없었어요
81,멋진
82,멋진
84,멋진
85,좋겠다는
87,편안하게
88,있도록
90,그러면서
92,사랑스러웠어요
93,넘치더군
94,스럽고
95,익살스럽
96,있었어요
98,아쉽긴
99,멋진
100,멋진
101,쉬운
102,재미있게
104,즐겁게
106,재미있었습니다
107,행복하게
108,화려하고
110,넘치
111,있었습니다
113,있었으면
114,가득한
118,훌륭하고
119,화려한
120,멋졌어요
121,즐거운
122,멋진
123,화려하고
124,멋진
125,좋았음
126,그랬는지
127,피곤한
128,예쁘고
129,없고
130,좋아해서
131,아쉬웠어요
133,예쁘고
134,있었던
140,신나는
141,인해
142,안타까웠는데
143,무사히
146,새로운
147,있었고
148,어려운
149,많으셨습니다
150,재미있었어요
152,귀엽고
153,재밌어요
154,신나고
155,화려해서
156,재밌는
157,어렵지
158,무겁지
159,없게
160,화려하고
161,신비함
162,귀여운
163,재밌네요
164,멋지고
165,귀엽고
166,예쁘셨어요
167,건강하시고
168,있기를
170,재미있게
172,행복했던
173,아쉬웠어요
174,좋겠고
176,아쉽네요
177,화려한
178,즐거운
179,멋지더라
182,멋져
183,만족했답니다
184,아쉬운
185,아쉬운
187,아쉬운
188,없지만
189,멋지고
190,힘차고
191,가득하게
192,좋게
193,재미있었다
194,그러면서
195,익숙한
196,신기했다
197,화려하고
198,멋있고
200,지겨운
202,어느새
203,화려해지고
204,만족스러웠다
205,어렵지
206,재밌어요
211,같았고
212,흥미로웠습니다
214,재밌습니다
215,괜찮고
216,재밌습니다
218,재밌고
221,좋더라고요
222,없고
223,지루하게
224,화려함은
225,없고
226,즐거운
227,즐거워졌네요
228,없었어요
229,멋졌습니다
230,아깝지
231,훌륭하셔서
232,대단하신
235,완벽한
236,신나
237,지루할
238,다르게
243,신기하고
245,있었을까
246,경쾌한
248,재미있게
249,즐거웠네요
250,신나고
251,즐거운
253,생생함이
255,화려한
257,재밌다
258,괜찮다를
260,멋진
261,멋지고
262,재미있는
264,지루한
265,멋진
267,많으셨어요
268,멋진
269,멋있었어요
271,우아하고
272,멋졌습니다
273,충분히
276,많았는데
277,그런지
278,그랬던
279,같기도
281,뻔한
282,재밌었어요
284,화려하고
285,많네요
286,좋을
289,짧게
290,멋진
291,깊게
292,멋진
293,확실히
294,소홀함
295,생생하게
296,명료한
297,쉬운
298,화려한
299,시원시원한
300,멋진
301,입니다거기에
302,스럽군
303,만족스럽습니다
304,재밌었어요
306,화려한
307,훌륭하였습니다
308,화려함이
310,아쉽
311,없었습니다
312,솔직하게
