,Adjectives
0,재밌었습니다
2,편안해서
4,재밌어요
5,행복했으면
7,즐겁고
8,행복하게
9,멋있는
10,아름다운
11,강력하게
13,섬세한
14,넓은
15,아픈
16,다양한
17,완벽하게
18,만족하면서
19,있었습니다
20,다양한
21,있는데
22,뛰어나겠냐
23,엄청난
24,당하는
26,굉장히
27,깊었습니다
28,좋아했던
31,좋겠다
36,새로웠습니다
38,미쳤어요
39,후련함이
42,쓸쓸함을
43,행복해
44,좋으냐
45,좋아하지만
47,아니라는
50,궁금해서
51,아쉬워
52,아쉬운
53,행복했어요
54,예뻐요
56,예쁘고
58,역하시는
61,가득했습니다
62,가능하다면
65,아름다운
66,깊게
67,영원히
69,위대한
72,있으면
73,좋겠습니다
75,재미있게
77,처절하게
79,촉촉한
80,삭막한
81,따뜻한
82,좋았다고
84,아쉽다
87,행복하게
88,있는데
89,행복했어요
91,아름다운
93,완벽해
95,행복했습니다
96,좋겠습니다
97,그런지
99,슬퍼서
101,멋있는
103,재밌어요
104,어떨지
105,궁금했는데
109,솔직히
110,없어야
111,재밌었어요
112,아님
116,미쳤습니다
117,지긋지긋했겠지
118,행복했어요
119,슬프고
122,행복했고
123,고마웠어요
124,미쳐
126,행복했고
127,즐거웠습니다
128,아파
130,빠른
131,있었으면
133,대단한
134,좋겠습니다
135,그런지
136,멋있게
140,안타까웠습니다
141,이쁘네요
142,좋구
144,예쁘고
145,슬펐습니다
147,슬펐어요
148,재밌어요
151,좋겠습니다
153,행복했어요
154,슬펐던
156,단순히
158,애달프
159,슬펐던
161,깊었습니다
163,아름다운
164,아름다운
166,배고픈
167,힘든
168,뚜렷한
169,추워서
171,없고
173,아쉬워
174,그렇고
175,중요했을
177,즐겁게
178,재밌어요
180,없죠
181,힘들어서
182,멋진
183,예쁘고
184,후회될
188,아쉽다
189,행복하지는
190,행복한
191,유명한
192,아름답네요
193,어렵고도
194,좋았는데
195,힘든
196,있는데
197,재미있었어요
198,아쉽습니다
202,탄탄한
203,깊은
204,멋졌습니다
206,기뻐
207,좋겠네요
208,어떡하냐고
209,같은데
210,덤덤하게
211,같아서
212,없을
213,어땠을까
214,후련했던
215,후련해
216,무서웠는데
218,완벽해하는데
219,미쳐
220,인해
221,행복했으니
222,좋다면서
224,있던
226,완벽해하고
227,후련하단
228,없다는
230,행복했다
231,예쁘다
232,영원한
234,예뻐요
235,훌륭한
236,있었습니다
238,예쁩니다
239,재밌었어요
241,이렇게는
243,단단해서
244,재밌어요
246,좋았던
247,슬퍼
249,깊어요
250,재밌어요
252,재미있네요
253,재밌네요
254,그런지
255,잔잔하지만
256,소소한
258,어렵지
259,조화롭게
261,힘들게
262,이상해지고
263,아름다운
264,깊었던
266,아쉽지만
267,행복했어요
270,딱한
271,아름다운
273,신나게
275,없어
276,행복했으면
277,좋겠습니다
278,힘겨웠던
279,있었습니다
280,좋았는데
283,있더라
285,완벽해
286,좋아해서
289,아쉽네요
293,즐거웠습니다
298,아름답고
299,황홀하면서도
300,아프면서도
302,좋다고
303,재밌었습니다
304,강렬하게
305,있었습니다
309,좋았구요
310,힘들지만
311,재미있게
314,순수한
315,좋았어
316,멋진
317,예쁘
320,유익한
322,추합니다
323,추합니다
324,좋아했었습니다
328,지루했지만
331,좋아했다면
332,예뻐요
333,예쁘게
337,슬픕니다
340,아프
341,허전한
344,슬프
346,완벽해요
347,조아요
348,새롭게
353,좋았구요
356,입니
359,아쉬워
360,잔잔해요
362,분명히
363,힘들었을
364,이쁘구
367,완벽하게
368,아름답게
369,재밌어요
370,힘든
371,완벽한
372,굉장히
373,흥미로웠습니다
374,자세히
377,미친
378,좋구
379,재밌는
380,아름답고
382,짧은
384,간단하게라도
385,재미있게
387,예쁘지만
388,슬픈
389,가득해서인지
390,슬픈
392,행복한
394,고마워요
395,아름다운
398,힘드실지
401,살살했으면
402,좋겠
403,힘든
404,행복했다고
405,아플
407,미쳤어요
408,입니다용
409,아파요
410,멋져요
413,재밌었던
414,새로운
415,슬프면서도
416,행복한
417,아쉬워요
418,미쳐
422,지루한
423,있긴
425,굉장히
427,자세히
428,뭉클합니다
429,속상함
433,좋을
436,망했는데
437,재밌어가지고
439,슬퍼
440,안타깝지만
441,아름답게
442,슬픈
443,좋겠습니다
445,괜찮았어요
446,슬펐지만
448,미쳤고
449,아름다운
454,재밌었구요
455,많네요
457,재미있게
458,잔잔하면서도
460,꾸준히
461,있는데
462,확실히
463,깔끔해졌다는
464,새로운
465,기대하면서도
467,미안하다고
468,단단한
470,달랐다
471,단단해
472,싫은
473,아니다나
474,기대하게
475,예쁘고
476,아름다운
480,있다는
484,행복합니다
487,신들린
491,달랐습니다
492,슬프지만
494,재밌고
495,즐겁고
497,아쉽습니다
498,곱니다
499,미쳐
500,끝없는
501,괴로워하는
503,재밌어요
504,있었던
507,아니었을까
508,아름다
509,안타까운
510,아팠다
511,넓게
513,더해져
518,힘들었지만
520,아름답고
521,슬펐어요
522,아름다운
523,아름다운
525,아니었지만
526,좋다며
529,예쁘고
531,아프지만
532,그럴
533,없었던
535,그렇게라도
537,좋을
540,같기는
541,좋은데다
542,양하게
543,같아서
547,묵직한
548,재미있는데
549,나쁜
550,아닌데
551,불안정한
552,좋으셨나
553,무리하시는
554,아닌지
556,없네요
557,단단하고
558,따뜻한
562,행복합니다
567,슬퍼요
572,훌륭하고
574,심오하다
575,무려진
576,아니던가
577,있던가
578,재밌었습니다
580,애잔하고
581,안쓰러워
582,아프더라구요
583,영리하게
584,쏠쏠합니
585,없네요
589,재밌음
595,재밌네요
596,같을
597,즐거운
598,재미있게
601,괜찮아
602,어이없어
603,자세하게
604,있었던
608,살벌해요
609,좋아하지
612,이쁘고
614,행복했다면
615,어떻까
616,아파우는
618,아닌데도
619,화려한
621,새로운
622,예쁘고
623,슬퍼지네요
625,무서
630,유명한
632,없었는데
634,있었던
635,같아서
637,좋아하는
639,예쁘고
640,없이는
641,힘들
642,같다고
643,굉장히
644,화려하고
646,아름다운
648,재미있어요
649,아팠던
651,외로웠을까
652,행복하게
653,깔끔하고
654,좋으세
655,좋으시네요
656,귀여웠구요
657,빨간
658,예민해지고
661,행복한
662,짧은
663,짠하고
664,슬퍼요
667,궁금해지
668,안타깝고
669,슬프고
670,애틋하고
672,추웠어요
675,꾸준히
681,힘들었다는
682,있던
685,평범한
686,따뜻한
687,없다며
688,평범함이
690,아니라고
692,행복해요
697,새로운
698,신기하면서도
700,좋앗던
701,차가
703,그런지
708,따뜻하고
709,따뜻하고
710,슬픈
712,좋아하던
713,같아서
714,만족합니다
715,아담하니
716,재밌었어요
722,있었던
723,같아서
728,아프고
731,예쁘게
734,아름다우
737,아름답고
739,완벽해
741,없었을
744,아니냐고
745,좋았던
747,조았어요
748,아름다운
749,애틋하고
750,예쁘고
751,재밌었습니다
752,그렇게도
755,중요한
756,계셔서
757,황당해서
758,좋아하는
759,좋았는데
760,없었어요
761,아쉽네요
763,격해지
764,깊네요
765,귀여우시고테오의
766,돈독하기도
767,친한
769,좋으셨어요
770,짙으셨던
772,있다가
773,좋을
774,재밌음
775,좋았는데
776,힘들었습니다
777,아름답
779,힘든
780,없지만
781,촉촉한
782,추웠음에도
783,없었다면
784,아름다운
785,아프
786,힘든데
787,소중해서
788,멋진
789,아쉬워
790,대단하세요
792,좋아한다고
797,깊게
798,행복했습니다
799,많아서
800,없지
802,재밌어서
804,굉장히
806,있거나
807,잔잔하게
809,평범하게
810,힘들었던
811,평범한
812,슬프고
813,안쓰럽고
818,지루한데
819,안타까웠던
820,같을
823,아름다운
824,있었어요
826,살벌할
827,섬세한
828,아님의
830,아님이
831,좋아하던
835,곱니다
836,매운
837,조화롭네요
838,예쁘구
839,좋아해서
842,어둡고
843,우울한
849,아름다운
851,잔잔한
855,아름다운
857,인해
859,신선한
861,좋겠다
862,뻔했습니다
863,아름다
864,독특하고
865,아름답고
868,재밌었어요
872,좋았구요
873,예쁘더라
876,깊은
877,불편해서
878,입니다나만
879,불편한
880,다정하고
882,환생했나
886,좋더라구요
887,위대한
888,있었던
892,좋아했습니다
894,아름답고
895,고통스러웠다고
897,슬프지만
904,좋았지만
905,아니여서
906,아쉬웠다
908,좋도
910,파란만장한
911,아렸던
915,궁금해서
918,예쁘고
921,좋구
924,재밌었어요
925,깊게
930,있겠지만
932,아픕니다
933,행복하게
934,건강하게
937,따뜻하고
938,좋아하는
940,예쁜
941,아름다운
942,재미있게
943,환생한
944,행복해라
945,행복해라
946,많은데
953,대단하다는
955,행복하길
956,재미있었습니다
957,예뻐요
958,슬펐습니다
960,아쉬운
961,재밌어요
962,없나
963,슬퍼요
965,예쁘세요
966,이쁘네요
967,괜찮았습니다
970,멋진
974,아름답고
975,슬펐던
976,아름다웠어요
978,재미있었어요
979,예뻐서
980,어떡하란
981,잔잔하지만
982,아름답고
983,슬프고
985,예쁘고
987,잔잔하게
989,슬프고
990,좋았던
991,처절하고
992,아팠다
993,기대했던
994,깊었습니다
995,많았는데
996,편안한
998,좋겠습니다
999,만족하는
1001,독특하고
1002,새로워서
1003,신기했어요
1004,힘들었는데
1005,아름다워서
1006,재미있었습니다
1008,재밌어요
1009,깊은
1016,예뻤고
