,Adjectives
2,따뜻하고
3,친근하고
4,신나게
5,있었어요
6,신나게
7,즐거웠고
8,힘들고
10,유명한
11,있었고
12,예뻐요
13,좋아하는지라
14,유쾌하고
15,행복했어요
17,좋아하던
18,좋아했어서
19,기대하고
20,행복한
21,두터운지
23,완벽했던
24,완벽했습니다
28,길게
30,힘들
32,멋진
33,행복한
34,재미있었어요
36,멋진
38,빠르게
39,자리는
40,불편했으나
41,깊고
43,따뜻한
44,예쁘다
47,깊어
49,저렴하게
50,유명한
54,없다고
57,아쉬웠어요
63,좋을
65,없게
66,즐거운
69,힘겹게
70,완벽하게
71,완벽하게
72,성공했다
74,힘듦을
75,경쾌한
76,힘겹게
77,있었구나
79,다르겠지만
80,삭막하고
81,척박한
82,치열하게
84,힘들다
87,같다는
89,사느라
90,힘든
92,씁쓸하기도
96,있어야나
97,꾸준히
99,행복하길
100,따뜻해져
101,힘드셨을지
102,가득하길
103,좋음
104,작다지만
106,많았음
108,예쁜
109,귀엽고
110,따뜻했어요
111,행복하게
112,따뜻한
113,울적할
115,넘치셨지만
116,진부함과
118,더랴
120,있길
121,즐거운
123,좋았다고
127,재밌는
129,재밌어
131,좋을
133,힘들
134,필요해서
137,반했습니다
139,다르더라구요
141,즐겁고
142,따뜻한
145,아니네
147,미어지는지
148,순수한
149,순수한
151,이쁜
153,유명한
155,황홀했습니다
156,필요한
157,고맙다고
158,계시더군
160,애틋한
165,있는지
167,즐거우면
168,신나게
169,조용히
171,조용히
172,계시는
174,있었습니다
177,지독히
180,고셨고
181,대단하고
182,슬프고
184,좋았다고
185,좋앗습니다
187,저랬지
191,좋게
192,중요한
193,아쉬웠네요
197,행복한
198,답답하고
199,지루해요
200,빨랐으면
205,꾸준히
206,있지요
208,있었어요
209,오래되었다고
210,변하지
213,꾸준히
216,재미있게
217,재밌음
219,반가웠어
220,새로운
221,많답니
225,가까운
228,아파오기
231,새로운
232,중요하지
235,유연한
236,진지한
237,없었
238,예쁘시고
239,아쉬웠어요
240,재밌고
241,찡했어요
243,귀엽고
246,행복한
247,고맙습니다
251,있었어요
252,차가
253,기대한
257,만족했습니다
258,있었고
260,오래된
263,만족스럽네요
264,좋아하지
265,좋아하게
266,재밌어서
267,아프긴
268,따뜻한
269,좋더라고요
271,따뜻한
276,좋겠습니다
277,급하게
278,못지않게
279,좋았어
281,재밌다
282,적응하는
283,힘들고
284,외로웠었는데
285,비슷하여
286,따뜻하게
288,있다는
289,잔잔한
291,따뜻했어요
294,재미있게
297,즐거웠다
298,재밌었어
300,슬플
302,많으셨습니다
303,유명하고
305,익숙한
307,좋은데
309,부족해서
310,뻐근하고
311,지루합니다
312,예뻐
313,예뻐서
314,예쁜
317,좋겠네요
318,따뜻해지고
320,벅차오르고
325,탄탄하고
326,자연스럽고
327,훌륭했어요
330,유명해서
331,기대했습니다
332,재미있게
336,슬펐고
338,아쉬웠습니다
340,재미있대
341,그러곤
342,멋진
343,오밀조밀한
344,아쉬웠지만
345,같긴
347,유명하다는
348,유명한
349,없더라
350,재밌더라구요
352,정신차리면
354,바빠
355,힘든
357,같지
360,좋겠네요
361,좋았구요
363,재밌을
365,잔잔하니
371,지루한
373,마르신
374,미쳤습니다
376,멋있어
377,탁월한
380,스럽고
381,설레고
383,재미있게
384,그랬습니다
385,가까워
386,불편했어요
387,편할
388,소중한
389,재밌었어요
392,완벽한
395,있었어요
400,즐거워하셨습니다
403,뿌듯합니다
404,그렇더라구요
405,좋을
407,깊고
409,좋아하셨네
411,비슷한
412,정확히
416,멋지고
417,뭉클하고
420,야무져서
423,재밌다라는
424,강하고
425,아쉬운
426,많았어요
427,정확한
431,재미있게
433,만족했어요
435,역진
437,아쉽지만
438,좋음
440,어려운
442,호락호락하지만은
444,건조한
445,촉촉하게
447,만족하면서
449,아름다워요
451,자연스러운
453,찡한
454,있다가
455,예쁘게
456,있겠습니다
457,개운하게
458,새롭게
459,신선한
460,훌륭한
462,엄청난
464,미치셨다
469,미쳤다
470,아깝지가
471,미쳤다
472,쉬워도
473,힘든데이
475,수많은
476,반가웠고
477,우승하신
478,예뻐지신
479,아픈
480,재미있는
481,좋아할
485,뭉클하고
486,따뜻한
488,좋겠습니다
489,행복한
492,있구나
494,즐거웠습니다
496,특별한
497,가까운
498,멋진
504,행복하네요
505,흠잡을
508,자자한
511,고약한
512,씁쓸해졌지만
513,시원하게
514,통쾌했고요
516,역은
520,힘든
521,있어도
522,깨끗하게
523,멀어서
524,깊고
527,있던데
528,행복하시
531,불공평하고
532,부조리하지만
535,좋구나
536,없었는데
539,힘들거나
541,재밌게만
543,힘든
546,슬플
549,길었지만
553,같지
558,좋겠네요
560,재밌고
562,즐거웠어요
563,좋아하는
565,그러고
566,좋을
576,따뜻했습니다
578,좋아하는지
579,같더라
580,아쉬웠습니다
581,고달프지만
582,행복한
584,팍팍한
585,못지않은
587,예쁜
589,예뻐
590,아픈
591,억척스럽게
596,수많은
598,다를
600,좋아하긴
607,있더라구요
609,뛰어났지만
611,궁금함이
613,톡톡하게
615,녹녹할
616,없지요
618,아픈
621,따뜻한
624,분명히
625,있죠
626,아름다운
627,좋더라
628,알찬
629,지루하지
634,훌륭한
635,행복하면서도
636,뭉클했어요
637,따뜻해지는
638,좋을
640,쓸데없는
641,변함
644,지루할
645,없었네요
646,동떨어지게
648,담담하게
650,길게
651,생생했어요
652,훌륭하시더라고요
654,넘치는
655,있다는
656,힘들
658,예쁜
663,없었는데
664,재미있게
665,뿌듯해지
669,찝찝하죠
672,마르는
673,찝찝했던
677,새롭게
678,새롭게
679,있겠으나
681,남모를
682,있자니
683,남모를
687,힘들고
688,외로운
689,그랬듯
690,필요하지
692,조화로운
