,Adjectives
4,아쉽
5,재미있었어요
8,좋아야여
9,즐거웠지만
10,안타까웠네
12,아깝지
16,아쉬워요
17,있다는
19,영원하라
21,행복해요
22,재밌는
25,재밌고
26,신나더라구요
28,재밌습니다
29,재밌는
32,재밌고
33,신나더라구요
35,좋겟네요
36,있었으면
37,좋았을
38,아쉬
39,아니었어요
42,있을께요
43,멋있는
44,뻔한
45,뻔하지
46,미친
47,탄탄한
48,미친
50,행복했고
51,재미있게
52,아쉬워요
53,좋겠습니다
57,행복하게
58,재밌었습니다
59,아쉽네요
60,재밌었어요
61,있는지
63,다양한
64,가능한
65,재미있게
67,재미있었
69,재밌었어요
71,재밌어요
73,즐거운
74,괜찮잖아
75,재밌었어요
76,아쉽
77,미워해도
79,좋아하지만
81,있었으면
82,좋겠습니다
84,재미있게
85,아쉬운데
86,아쉬우니까
87,아쉬워요
88,끝내주고
91,싫네요
93,차가
94,없었어요
95,재미있었습니다
96,아쉬워요
97,작아서
98,어려워요
99,아쉬워요
100,있을지
104,반가웠어요
105,재밌었고
106,아쉽고
108,있길
109,재밌어서
110,속상해
112,재밌어요
113,재미있었어요
114,뜨겁게
118,깊은
119,재미있게
120,있길
121,재미있었어요
124,좋지만
126,재밌어요
129,행복했어요
131,행복했습니다
132,아쉽지만
133,없고
134,확실하지
135,고마웠고
137,재밌고
139,재밌는데
147,있길
148,길었던
149,아쉬워요
151,있었고
153,괜찮았던
154,아니라서
155,재밌었어요
156,같은데
157,있었으면
158,좋겠고
159,좋아했어요
160,짱짱한
161,재밌었어요
162,재밌어요
163,더해
164,흥미로운
165,높은
166,재밌는
167,재밌었어요
168,재밌었어요
169,재밌었어요
170,재밌었어요
171,재밌었어요
172,재밌었어요
173,재밌었어요
174,재밌었어요
175,재밌었어요
176,재밌었어요
177,재밌었어요
178,재밌었어요
179,재밌었어요
180,재밌었어요
181,재밌었어요
182,재밌었어요
183,재밌었어요
184,재밌었어요
185,재밌었어요
186,재밌었어요
187,재밌었어요
188,재밌었어요
189,재밌었어요
190,재밌었어요
191,재밌었어요
192,재밌었어요
193,재밌었어요
194,재밌었어요
195,재밌었어요
196,재밌었어요
197,재밌었어요
198,재밌었어요
199,재밌었어요
200,재밌었어요
201,재밌었어요
202,재밌었어요
203,재밌었어요
204,재밌었어요
205,재밌었어요
206,재밌었
207,재밌었어요
208,재밌었어요
209,재밌었어요
210,재밌었어요
211,재밌었어요
212,재밌었어요
213,재밌었어요
214,재밌었어요
215,재밌었어요
216,재밌었어요
217,재밌었어요
218,재밌었어요
219,재밌었어요
220,재밌었어요
221,재밌었어요
222,재밌었어요
223,재밌었어요
224,재밌었어요
225,재밌었어요
226,재밌었어요
227,재밌었어요
228,재밌었어요
229,재밌었어요
230,재밌었어요
231,재밌었어요
232,재밌었어요
233,재밌었어요
234,재밌었어요
235,재밌었어요
236,재밌었어요
237,재밌었어요
238,재밌었어요
239,재밌었어요
240,재밌었어요
241,재밌었어요
242,재밌었어요
243,재밌었어요
244,재밌었어요
245,재밌었어요
246,재밌었어요
247,재밌었어요
248,재밌었어요
249,재밌었어요
250,재밌었어요
251,재밌었어요
252,재밌었어요
253,재밌었어요
254,재밌었어요
255,재밌었어요
256,재밌었어요
257,재밌었어요
258,재밌었어요
259,재밌었어요
260,재밌었어요
261,재밌었어요
262,재밌었어요
263,재밌었어요
264,재밌었어요
265,재밌었어요
266,재밌었어요
267,재밌었어요
268,재밌었어요
269,재밌었어요
270,재밌었어요
271,재밌었어요
272,재밌었어요
273,재밌었어요
274,재밌었어요
275,재밌었어요
276,재밌었어요
277,재밌었어요
278,재밌었어요
279,재밌었어요
280,재밌었어요
281,재밌었어요
282,재밌었어요
283,재밌었어요
284,재밌었어
285,재밌었어요
286,재밌었어요
287,재밌었어요
288,재밌었어요
289,재밌었어요
290,재밌었어요
291,재밌었어요
292,재밌었어요
293,재밌었어요
294,재밌었어요
295,재밌었어요
296,재밌었어요
297,재밌었어요
298,재밌었어요
299,재밌었어요
300,재밌었어요
301,재밌었어요
302,재밌었어요
303,재밌었어요
304,재밌었어요
305,재밌었어요
306,재밌었어요
307,재밌었어요
308,재밌었어요
309,재밌었어요
310,재밌었어요
311,재밌었어요
312,재밌었어요
313,재밌었어요
314,재밌었어요
315,재밌었어요
316,재밌었어요
317,재밌었어요
318,재밌었어요
319,재밌었어요
320,재밌었어요
321,재밌었어요
322,재밌었어요
323,재밌었어요
324,재밌
325,재밌었어요
326,재밌었어요
327,재밌었어요
328,재밌었어요
329,재밌었어요
330,재밌었어요
331,재밌었어요
332,재밌었어요
333,재밌었어요
334,재밌었어요
335,재밌었어요
336,재밌었어요
337,재밌었어요
338,아쉬워서
340,행복하고
342,아름다
343,행복했습니다
344,있기를
346,없었던
348,그만하고
350,있었다면
351,좋을
352,없었던
353,있었음
355,재밌어요
365,새로운
366,색다르지만
367,재미있는
368,있다는
369,스러웠습니다
370,행복해요
371,완벽했습니다
373,재밌어요
376,없어야
377,재밌어요
379,있겠습니다
381,재밌고
384,좋겠다
385,행복한
387,있다는
388,신기해요
393,재미있어요
395,행복한
396,아니네요
397,재밌어요
400,아쉬워요
402,기대하겠다
403,치열한
405,추합니다
409,행복한
411,재미있습니다
412,재미있어요
413,아쉽네요
414,아쉬웠을까
415,스럽네요
416,행복한
417,힘들었던
419,서운하지만
422,재밌었습니다
424,힘들었던
426,아닙니
427,좋겠고
428,넓으면
429,좋았을
430,같다는
435,아쉬웠지만
437,좋다
438,기대해서인지
439,부족합니다
441,좋았다는
442,아파요
443,있다는
444,동그란
446,있겠습니다
447,행복했어요
449,좋았다는
450,아파요
451,있다는
452,동그란
454,있겠습니다
455,행복했어요
456,재미있게
457,같아서
458,힘드네요
459,괜찮을
460,같았는데
461,아닌데
462,괜찮은데
464,깊어졌는데
466,즐거웠습니다
468,재밌어요
471,깊은
472,싫다
477,재밌어하길래
478,딱히
479,아니었습니다
481,아쉬워요
482,아닌데
483,즐거운
484,즐거운
487,있었으면
488,좋겠습니다
489,재미있었
490,있다면
492,행복할까
509,아쉬운
511,깊은
512,좋은데
514,아프고
515,아파서
516,어렵고
517,아쉬운
518,완벽한
520,행복하게
521,재미있는
522,행복했어요
523,빠르게
525,재밌어요
526,참신하고
527,아름답게
528,멋있어요
529,좋겠습니다
530,완벽한
533,좋겠다
534,좋겠습니다
536,재밌어요
539,아쉬워요
540,재미있어요
541,즐거웠습니다
543,재밌어요
544,새롭네요
545,같은데
546,아쉽네요
551,있을까요
552,좋아했던
553,아쉬워요
554,좋아했고
556,같았던
557,좋아했습니다
558,어렵게
560,즐거운
561,추합니다
562,길게
565,재밌네요
566,작우
568,어려워서
569,아쉬워요
571,아쉽습니다
572,재밌고요
574,재밌어요
575,재밌어요
576,즐거웠습니다
577,즐거웠어요
578,차가
583,있었
584,행복했던
585,입니다아
586,아름다운
588,아쉽
589,있다니
590,행복했다
592,기대했던
594,짜릿해
595,행복하고
598,예쁘시고
599,아름다우시고
600,귀여우시고
601,대단하세요
602,재미있는
603,재미있었고
605,행복했습니다
607,멋진
608,멋진
609,아쉬우시죠
611,행복했습니다
612,즐겁게
613,새로운
614,새로운
615,아쉬워
616,아쉬워요
620,즐거웠고
621,행복했어요
622,재미있어요
623,좋겠다
624,재밌다
625,재밌었어요
626,멋져
627,행복했어요
628,재미있었다
630,그랬던
632,그만해야
633,같다고
634,깊어지는
637,즐거웠다
638,재미있었다
639,있었던
640,있기
641,재미있었습니다
642,완벽한
643,아름다운
646,재미있었다
648,재미있게
649,재밌어요
651,흥미롭지만
653,있으려나
654,힘들었는데
656,슬펐어요
657,즐거웠습니다
660,멀게
661,깔끔하고
662,담백했는데
663,부족한
664,완벽하게
665,아름다운
666,있었던
668,즐거웠습니다
671,가능할까
673,많았습니다
675,아쉽
676,힘들었는데
679,있을까요
680,창창하고
681,재밌었어요
707,부탁드려요
708,슬퍼요
709,재미있게
710,많았습니다
711,아니길
712,간절히
714,노련한
715,대담함
718,다르게
719,색다르게
720,강하게
722,같아서
724,미쳤다는
725,많으셨고
726,깔끔하고
727,행복합니
728,미쳤구요
731,없을
732,즐겁게
734,아쉬워요
736,행복했어
737,아쉬워요
738,재밌는
739,슬프
740,자리였지만
741,즐거웠습니다
742,있었어요
743,재밌는
744,아쉽네요
745,있길
746,없다는
747,슬퍼요
748,빠른
749,행복했습니다
750,지루하지만
752,같음
753,재밌습니다
754,싫다
755,빠른
757,좋겠습니다
758,재밌어요
760,있기를
761,좋겠네요
762,아쉽습니다
763,재밌는데
764,재미있어요
766,있기를
767,즐거운
768,있으면
769,좋겠네요
770,깔끔하게
771,있었습니다
772,재밌었습니다
773,멋진
774,멋진
775,있으면
777,멋진
778,재밌어요
779,원하는지
780,좋아해서
782,가득한
783,원하는
784,불타는
785,원하는
786,새로운
789,있었습니다
790,있었어요
792,없어
793,행복했어요
795,재밌어요
796,행복했었습니다
797,없었던
800,행복한
801,작우
803,재미있었어요
804,확실하게
805,재밌어요
806,안녕한
808,있었어요
809,그리워요
810,아쉬워요
811,좋지만
812,없어
815,재미있어요
819,탁해
821,미쳤음
822,아님
823,아쉬워요
824,아쉬워요
826,아니고
829,화려하고
830,행복했어요
831,많았습니다
836,높은
838,재밌어요
839,재밌어요
841,신선함을
842,있다는
844,더용
845,아쉽네요
846,잘생겼다
847,재밌었어요
