,Adjectives
0,무심히
2,영원한
3,궁금했던
5,맑게
7,매끄럽고
8,자연스러운
9,더하지도
10,덜하지도
11,정확하게
12,미흡함에서
13,산만함을
14,다를
19,아프게
21,경쾌한
22,그러했다
23,그래요
24,아깝지
25,멋진
26,멋져요
27,아름답고
28,익숙하고
29,탄탄한
30,아니었던것
32,재미있게
34,아름다운
36,재미있게
37,재미있었던
40,스러우면서도
41,좋지
42,슬프고
43,좋았던
44,좋았던
45,기대했던
46,좋았던
47,다를
49,좋았던
51,아깝지
52,많아서
53,아쉬워하며
54,원하는
55,기대하며
56,어수선하지
63,좋구
64,재밌게잘
66,아니더라구요
69,대단한
70,그런지
71,훌륭한
72,짜아아
75,멋진
76,좋다고
77,적당히
78,괜찮았던
79,상당히
80,멋있었구
82,멋진
83,좋다고
84,적당히
85,괜찮았던
86,상당히
87,멋있었구
88,굉장히
89,깊었습니다
90,높은
91,당당히
92,다를
94,가깝고
95,없었네요
97,없겠지만
98,재미있게
99,좋았네요
101,예쁜
102,안타까운
104,없지만
106,흠잡을
107,예쁘고
110,아쉬울수가
111,아닌가
112,멋진
114,훌륭한
116,탁월한
117,독특한
119,힘드셨던지
120,좋지
122,아쉬웠습니다
124,훌륭했습니다
128,다른건
129,나쁠
131,있기에
132,좋았는데
133,아쉬웠습니다
135,나쁘지
136,괜찮았습니다
138,기대했는데
139,멋있었네요
140,힘들겠지만
141,무서웠네요
142,같으면서도
143,무서운
144,애절해서
145,아쉽네요
146,아쉽습니다
147,급히
148,나쁘지
149,담백하고
151,풋풋함이
154,다를
155,애절한
157,아쉽게
159,다르게
161,좋았구요
162,많았던것
165,뛰어난
166,화려한
168,대단했으며
169,아님은
170,뛰어난
171,강한
172,굉장히
173,완벽히
174,굉장히
175,뛰어난
177,힘차게
179,슬프네요
180,좋았겠지만
182,좋아했지만
183,굉장했지만
184,시원시원한
185,아니었나
188,아쉬웠던건
190,잔잔한
191,힘들었던
192,아쉬웠어요
193,좋아하는
194,높은
195,아름다운
196,아쉬울
199,행복했던
200,아쉬울
201,그랬어요
203,멋진
204,멋진
205,성숙한
206,즐거운
207,멋졌습니다
208,멋졌지만
209,넘치는
210,아님의
211,귀여운
212,멋졌어요
213,멋진
214,아쉬웠을거
217,멋진
218,화려한
219,좋았구요
221,이쁜
223,힘들게
224,안좋아
225,멋진
228,멋있었다고
229,강렬한
230,화려한
231,충분했습니다
232,뻔한
233,찡했어요
234,화려한
235,좋아했던
236,기대해요
237,없네요
238,깊고
240,없다는
241,아쉬워요
243,뜨거운
244,화려한
245,많았습니다
246,대단하셨지만
248,좋았는데
249,그런지
250,좋을거
253,없었습니다
254,화려해서
255,똑같은
256,있다면
258,추합니다
259,화려한
260,흠잡을
262,슬픈
263,애절한
264,애절함이
267,없기에
269,뿌듯합니다
272,없나
273,그런지
274,멋진
275,아깝지
276,멋진
278,멋지고
279,만족스러운
280,화려한
281,아름다운
283,좋아하는
284,안좋다는
286,예뻤구요
287,아니구나
289,재미있다고
290,안되는
292,재미있게
293,없을
294,아쉽더군요
296,좋아하는
297,좋았는데
298,빠른
299,좋겠습니다
300,좋아하는
301,있던
302,다를
303,있던
304,식상한
306,뛰어나서
307,만족한
308,아님이
309,아니었나
311,달콤한
312,좋지
313,아쉬웠다
314,뛰어난
315,좋았던
316,단조로운
317,아쉬웠다
318,뛰어난
319,많아서
320,그런지
321,미치지
322,좋을
327,있던
328,찡해지는
329,힘들더라구요
330,아팠어요
331,아름다웠습니다
332,아쉬워요
333,다를
334,다를
336,이상하게도
337,지루한
338,없고
339,뿐이었던
340,다를
341,완전히
342,평범한
343,훌륭하게
345,그런지
346,섬세한
347,애절함과
349,아님
351,멋진
352,색다랐었요
353,화려한
354,좋았지만
355,멋진
358,멀어서
359,있어서는
361,필요하지
362,아름다운
363,벅찬
365,기대할게요
367,기대할게요
368,멋있었고
369,화려함에
371,멋진
372,격렬하고
373,화려한
375,힘들고
376,아니었을
377,좋아해서
378,없고
383,솔직히
384,밋밋한
385,강했거든요
386,좋아하는
387,아니더라구요
388,좋더라구요
389,재미있었습니다
390,그랬나
391,좋겠네요
392,화려한
393,아님
394,반했습니다
395,멋지시네요
396,없겠죠
398,멋지고
399,상관없이
400,멋지네요
401,다르기
402,멋진
403,즐거웠습니다
404,다를
405,없었는데
407,좋아하던
408,없었지만
409,비싼
411,비싼
412,스러워
413,진정한
414,어렵긴
416,좋게
418,가깝고
419,괜찮은
420,좋아하는
421,힘들고
