,Adjectives
1,아닙니다
2,있었던건
3,다르고
5,대단한
6,반해
7,뻔했
8,무서워서
9,야할지도
10,재밌어요
11,완벽한
12,필요한가요
14,좋음
16,엄청난
17,훌륭한
20,재밌고
21,좋고다
25,행복했습니다
28,그런지
30,좋았던
31,원해서
32,급히
33,많아서
34,지루해
35,아쉽구요
37,상당하네요
40,아쉬워
42,뻔한
43,속상하면서
44,조아요
45,조아요
46,조아요
47,조아요
48,조아요
49,조아요
51,재미있어요
52,아니고
53,좋았는데
54,없지만
55,멀어
56,아쉬웠어여
58,화려한
59,멋진
60,아쉽습니다
61,아쉬웠어요
62,굉장히
63,멋있음
64,멋짐
65,솔직히
67,지루하다
68,없었음
70,아니고
71,성공했을지
72,즐거웠습니다
73,화려했던거
75,좋지
77,지루해요
78,영원히
81,없고
82,짧은
83,놀라웠습니다
84,어마어마한
86,더있었고
87,높고
88,재밌었어요
91,기대했던
93,아쉬운
94,화려하고
95,대단한
96,헷갈릴
97,많았지만
98,완벽했다
99,좋겠다
100,재밌어요
101,아쉬웠고
103,아쉽네요
105,완벽해요
106,예뻤습니다
108,좀줄어도
109,부족하긴
110,화려하고
113,좋고요
114,있으면
116,아쉬울
117,행복한
120,완벽했어요
121,이쁘고
123,신기하고
124,재밌어서
125,높았던
126,있었습니다
127,좋아하는
128,좋아하는데
129,그랬습니다
130,좋았지만
132,즐거운
133,없지만
134,반가웠고
136,아깝지는
140,행복했어요
142,중요한
143,좋았을
144,좋았을거
145,같은데
146,중요하지
147,같았고
148,중요한
149,많지
150,없더라구요
151,재미있게는
152,좋아하
153,이렇
154,멋진
155,기대하고있겠습니다
158,궁금해서
160,굉장히
161,빈약하다
162,좋은데
165,멋졌어요
166,아쉬워요
167,멋있었어요
170,재밌네요
171,기대하고
172,있겠습니다
173,많은셨습니다
174,없었던
177,생생하게
179,아쉬워요
180,빠른
181,기대해요
183,아름다웠어요
184,매끄럽지
186,있기에
188,재밌었어요
189,야해요
190,즐거웠던
192,행복했어요
193,즐거웠어요
195,당하는
196,있도록
197,발랄하고
198,귀여웠고
200,많아서
201,즐겁고
203,즐거운
204,놀라웠다
206,새로운
208,탁월한
209,있다는
210,완벽했던
213,좋겠네요
214,새로운
215,새로운
218,비슷한
219,재미있게
220,비슷하지만
222,있었습니다
223,행복했습니다
224,섬세하고
225,아니었습니다
226,아쉬워요
227,신기했어요
232,생생하네요
238,급히
239,행복하게
240,그랬
241,있기를
242,빠른
243,약했음
244,신들린듯
246,없는데
247,아쉬웠어요
248,인해
249,좋아하고
250,기대하면서
251,재미있다며
252,뿌듯했다
253,슬퍼서
256,좋았거니와
257,아름다운
258,많아서
259,있었으니
260,없었다
261,어색한
262,없진
263,즐겁게
267,다시없을
268,기대할게요
269,아쉬웠지만
270,좋겠네요
271,아쉬웠지만
272,좋겠네요
273,있었고
275,기대했던
276,빠른시
278,있었고
280,기대했던
281,빠른시
283,흥미로웠습니다
285,아낌없는
288,그런지
289,멋진
290,즐거운
291,뛰어나고
292,없지만
293,스러웠던
294,화려하고
295,멋있음
296,완벽한
297,성했지만
299,아쉬운
300,빈약해서
301,아쉬웠습니다
302,궁금해서였는데
303,좋더라구요
304,화려한
305,뛰어난
306,뛰어난
307,없다는
308,더운
309,시원하고
310,짜릿한
313,풋풋한
314,외로운
316,미친듯이
318,불타는
321,대단합니다
