,Adjectives
0,궁금해져서
1,있을것이다란
5,희가
11,완벽한
12,대단했지만
13,중요한지
15,가득한
16,훌륭한
17,있을거
19,뜨거워지고
20,붉히게
21,수많은
22,뜨거워
24,뜨거운
27,좋아하지
28,아니었나
29,벅찬
30,뛰어난
32,화려한
33,뜨거운
34,기대하던
35,실망하거나
36,아쉬웠던
40,멋진
42,아픈
43,희가
44,짙은
45,더해져
46,아프고
47,괴로울지
48,비통해하며
52,재밌는
57,행복한
58,같다는
61,설친
65,노래말과
66,애잔했습니다
70,행복한
71,행복해지세요
72,좋겠지만
74,재미있는
76,행복한
79,탄탄한
80,뛰어난
83,무거운
85,휩쓸고
86,유명해지고
89,힘든
90,적절히
91,훌륭한
92,숨막히는
93,멋진
95,미의
96,당당한
98,시원하게
101,아팠다
105,없으며
107,아파
111,흠잡을
113,나열할
114,훌륭하게
115,화려함은
116,화려한
117,강렬한
118,아름다
119,자랑스러웠습니다
120,좋은지
121,깊숙히
122,자랑스럽고
123,고마운
124,딱인
125,재밌다는
130,탄탄한
131,깊었던
133,다양한
134,가까운
135,없다고
136,좋아하지
137,많은데
138,좋게
140,아쉬울
141,아름다워
142,찌릿찌릿해지더군요
145,자세한
146,같으니
147,야하는
149,더군요
152,있었구요
153,흥미로
154,충분히
156,충실히
157,없었다는
162,재미있게
163,충분히
165,나쁜
167,재미있는
169,좋겠다는
172,멋진
173,유명한
174,같기는
177,멋있습니다
178,충분히
180,만족할
181,좋았던것
183,못지않는
184,반가운
185,단순한
193,자랑스러
195,자랑스러
196,드높혀주실
197,뜨거워지는
199,없죠
200,뜨거워졌던
202,필요하겠습니까
206,재미있었습니다
207,재미있었어요
209,아슬아슬하게
210,근사한
211,아름다운
212,생생하게
213,두근거리게
214,멀어서
217,생생한
223,반하기도
224,새로운
225,아름다워서
228,동일한
230,같다는
231,나쁜
232,마땅한
235,나쁜
237,당하기
239,아무런
240,당하시는
241,교묘하게
243,없을까
246,가까운
249,대단하다
250,강한
251,찬란한
252,찬란한
258,좋겠네요
259,기대하는
260,화려함은
261,부족했지만
262,엄청난
264,아니었는데
265,예쁘고
266,멋있고
270,좋았구요
271,아니긴
272,좋을거
277,아닌지
278,고픈
280,아프게
282,있었기에
284,당연하지요
285,슬픈
286,있지는
288,유명한
294,대단한것
296,많던
297,희마저
299,좋으시더군요
300,좋았구
301,슬플줄만
302,많았고
303,같던
307,부단히
308,새롭게
311,없었다는
312,어느샌가
314,커다란
317,충실히
318,없다는
319,멋진
320,아니던가
321,악하긴
322,변함
323,없은
324,충분히
325,멋진
327,악할지라도
328,싫지만
334,뜨겁게
335,아니었겠지
337,없게
343,있겠다
344,미워할거
347,어색하시던지
350,굉장하네요
351,왠만한
352,못지않은
353,화려함과
354,좋게
355,지루하기까지
356,매끄럽지
357,구렸다는
358,많았고
360,멋진
361,아닌지
362,조마조마하던
364,뭉클하게
365,슬프면서도
366,따뜻한
368,깊었던
369,멋지더군요
372,새로운
373,벅찬
374,다양한
375,즐겁게
376,아닌가란
379,그랬지만
380,좋았지만
381,아쉽지만
384,멋있었고
385,아쉽지만
386,높게
389,간절함이
390,있는지를
391,깊은
395,멋진
400,아쉬운
402,좋으나
406,섬세하게
408,완벽하게
411,아쉬웠습니다
412,많으셨구요
413,뜨거운
416,기대하겠습니다
417,새로운
418,새로운
419,좋아하는
420,아니었고
421,아니었다
422,가까운
423,자리는
424,아니었으나
425,충분히
427,꾸준히
428,더했다
429,뒤늦게
434,대단했습니다
435,아까울
438,부끄러웠습니다
445,미친
446,뭉클해지며
448,좋은데
449,약하네요
450,희인가
452,예쁜것도
454,비싼
455,안되는지
456,좋았는데
457,민망해서
458,좋았던
461,있는건
462,진정한
463,당당했습니다
464,화려한
465,숨막히는
466,놀라운
467,있어도
468,있기에
469,충분했습니다
471,훌륭한
477,비슷하신
478,거창한
479,필요없이
481,멋진
483,멋진
489,아쉬워요
491,아쉬운
493,평정했다고
494,정확히
495,안되는
498,멋있었다고
501,식상했
502,부족했던듯
505,부담스런
506,훌륭하고
507,좋았으나
508,아니었던
509,훌륭한
511,그랬는지
513,연결한
514,어색했지만
515,벅차게
516,있었음
517,엄청난
518,벅차오르는
519,아쉬워만
522,지루한
526,멋진
531,재미있게
533,있었던것도
534,그렇고
536,지루한
538,아름답더라구요
539,아쉬웠습니다
542,멋지셨어요
544,아픈
545,뜨거워지다
546,같았던
549,부끄러워
552,자랑스럽고
553,기쁩니다
554,두근거림이
556,덥지
557,멋있고
558,벅차오르
559,기쁘다고도
562,좋았답니다
563,구성진거
564,같다는
567,막연히
570,어설프다
572,아쉽다
573,있으나
576,멋진
578,상당히
579,멋졌구요
581,번했을까
582,아찔하네요
583,순전히
584,이럴수가
585,있을까요
587,뛰어났다고
588,벌겋게
589,아쉽긴
590,다르는
593,완벽한
595,같던데요
596,계시더군요
597,멀다는거
598,슬프네요
599,멋지게
602,있었고
604,반하셔서
610,멋진
611,아쉽네요
612,지루한
613,있었고
615,부자연스러웠고
620,끝내줍니다
621,아쉬워
622,무거울
625,멋있습니다
626,없다는게
627,안타까울
628,안되는
632,가깝더군요
633,작아
635,생생한
637,만족스러웠습니다
638,스러웠습니다
639,놀라웠습니다
640,많았는데
641,시원해지는
