,Adjectives
1,있었
2,멋있게
4,슬퍼하는
5,예쁜
6,스럽
8,지루한
9,있나
10,있어도
11,예쁠수가
12,좋아하는
13,아깝지
14,재밌고
17,없지만
18,뻔하고
19,뻔하다
20,짧은
21,없기에
22,뻔할
24,다양한
25,어마어마한
26,확실히
27,넘쳐
28,즐겁다
29,다양한
31,현란한
32,화려한
33,성하다
34,대단하다
35,같지만
36,충분히
37,아름답고
38,충분히
39,성하다
40,아쉬운
41,있다면
42,싫었다
43,아름다운
44,깊게
45,있었던건
46,충실했던
47,못지않은
48,중요한거
50,훌륭한
52,깊게
53,깊게
54,좋아하는
55,충실하게
57,어렵게만
58,좋아하는
59,벅찬
60,충실히
62,실망해서
63,비슷해서
64,유사한
65,훌륭해도
66,많아
68,엄청난
69,좋았는데다
70,훌륭했습니다
71,실망했지만
72,뿌듯하고요
73,화려하고
74,멋지고
76,불쾌했습니다
77,없고
78,필요한
79,아닌데
80,불쾌했어서
82,좋았는데말이죠
83,조은
84,짜증나고
85,아쉽긴
86,화려하고
87,멋있고
91,아파
92,사랑스럽니
93,뻔했잖아
94,생생할
95,화려해서
96,있었구
98,만족했어요
99,없었습니다
100,아쉬울것
103,반하고
105,지루할
107,훌륭했습니다
109,완벽했습니다
112,없네요
114,없으니
117,화려한
119,만족스러운
120,멋진
122,행복했어요
123,아름답게
124,즐거웠던
125,엄청나더군요
126,멋있고
127,재밌고
129,불편함은
130,있었기에
131,열광하는지
132,있었답니다
133,이뻐서
134,추합니다
135,대단하지만
136,부족합니다
137,만족하고
138,아쉽지만
139,행복한
140,그런지
141,엄청난
142,있다는
143,있으면
144,좋겠습니다
145,멋진
147,행복했어요
149,아름다운
150,피곤함을
151,유명한
152,못지않았어요
154,멋져요
155,재밌어요
159,없을
161,아님도
163,완벽한
164,예뻤어요
167,화려하고
170,멋있어요
171,이뻐요
172,만족합니다
175,아름다운
176,재미있어요
178,예쁜
179,멋진
180,아쉬웠습니다
183,재미있었어요
184,완벽했어요
185,다르지
186,슬프다
187,더려
190,지루할
191,즐거운
192,완벽한
194,예쁘고
196,완벽하다
198,멋있어요
199,행복했어요
201,성장하는
202,예뻤어요
203,예뻤습니다
206,많아서
207,좋았던
210,완벽한
211,멋있어요
212,재미있었어요
213,벅차고
214,행복했어요
216,재미있었습니다
218,즐거운
219,대단하다
220,재밌었어요
222,예쁜
223,멋진
224,좋았는데
225,아쉽네요
227,없을
229,좋았어서
230,화려하고
231,멋졌어요
232,아름다운
233,훌륭했습니다
234,아쉬웠던건
235,높은
236,섬세한
237,없었어요
238,가까운
239,흥미로운
241,같다는
243,없고
245,없어
246,그러려니
247,그런지
248,작았어요
249,예쁘고
250,좋으시고
252,아쉬웠어요
253,있으면
254,많아서
255,좋아네요
256,재밌고
257,재밌었고
258,있는데
259,스럽습니다
260,편안한
261,있울지
262,부탁드립니다
263,소중한
264,좋아하셨습니다
265,재미있게잘
266,대단했어요
271,아쉬운
272,없네요
273,넓고
275,아름답게
278,사랑스런
281,급히
282,완벽히해
283,피곤하고
284,화려한
286,확실히
287,넓지만
288,화려한
290,좋어요
291,재미있게
292,청아하고
294,화려한
295,엄청난
296,추합니다
298,멋지고
299,그럽니다
300,그래요
301,멋져요
302,없고
303,자연스런
306,똑같은가
307,훌륭한
308,화려해서
312,있어는데
313,아름다운
314,즐거웠습니다
315,많아
316,덥어
317,훌륭하네요
320,굉장히
321,예쁘시고
323,재미있었어요
324,황홀했던
327,있는데
328,좋았던
329,아닙니다
330,완벽해요
332,재밌고
335,그런지
336,같은게
337,예뻤고
338,있었어요
340,그런지
341,있는데
342,멋진
343,즐거웠구요
344,없던
345,화려한
347,즐겁게
349,좋았네요
350,화려한
352,깊었습니다
354,슬픈
355,아쉽긴
356,훌륭하고
359,깊게
360,완벽한
361,변함이
362,없으나
363,새로운것
365,넘치는
367,아름다운
368,완벽합니다
369,필요없구요
371,확실히
373,그런지
374,좋았지만
376,조화롭게
377,훌륭한
378,찬란한
379,어려운
384,역은
385,같았어요
387,예쁘고
388,화려해서
390,멋진
391,곱니다
392,행복해요
393,아님과
394,아님께
395,아님의
397,아님의
398,좋은지
400,아쉬운
401,상당히
402,가까웠으나
403,어두웠기에
404,침침했다는
405,그런거
406,아쉬운
407,있는게
408,설레게
409,있을거
