,Adjectives
0,독특하고
1,참신해서
2,완벽해서
3,부족할
4,재미있습니다
5,훌륭했구요
8,재밌었구요
10,훌륭하시더라구요
13,많지
14,재미있었어요
17,고셨어요
18,있었으면
23,진지하게만
27,없을
32,재미있는
35,재미있게
36,좋겠네요
38,재미있게
39,좋아하고
43,재밌고
46,유쾌했던
47,아쉬워요
48,훌륭한
49,많으셨습니다
50,새롭게
51,즐거웠어요
52,즐겁게
53,색다른
54,완벽한
55,재밌어서
56,즐거웠고
58,기대하겠습니다
59,즐거워하시고
60,멋진
61,입니
62,즐겁게
63,좋았지만
64,아쉬웠습니다
65,역은
67,대단하더라고요
69,가볍게
71,즐거운
72,정확한
73,풍부한
78,기대한
81,좋았던
82,완벽한
83,넘쳤어
85,평범하지
86,지루하지
87,가득한
90,재미있게
91,좋겠네요
92,멋진
93,가난하고
95,유쾌하고
96,즐거운
99,좋았구요
100,유쾌하네요
101,재밌었어요
103,좋았구
104,많으셨습니다
105,예뻐
106,탄탄하고
107,유쾌하고
108,즐거웠습니다
109,없고
110,완벽했다
111,재밌어서
112,있던
114,완전히
115,속상할
117,재밌는
119,대단하게
120,만족스러웠던
122,사랑스럽고
123,재밌었는데
125,유쾌한
127,즐거웠습니다
128,아쉬워요
129,아쉽
132,만족했던
133,재밌
136,없네
142,재밌었어
143,적절한
144,즐거웠어요
145,좋을
149,슬프네요
150,재미있습니다
153,맛깔나서
155,잘생겼다
156,잘생겼다
157,잘생겼다
159,재밌고
161,재밌었고
163,재밌었던
164,좋겠습니다
165,좋다
169,탄탄한
170,아닐
171,있겠어요
172,완벽한
177,아쉬워요
178,유쾌하게
179,흠잡을
180,없었다
181,스럽고
182,살벌한
183,유쾌하게
186,재밌는
187,즐거운
189,재밌었어요
190,즐겁고
191,행복하게
192,굉장히
193,재밌었어
194,편하게
196,재밌는데
197,아쉬워
198,궁금하니까
200,완벽한
201,즐겁네요
202,재미있습니다
203,실망했다
205,즐거웠다
206,재밌었을
208,재밌기는
209,아까운
210,따끈한
211,시끄러운
212,멋져요
213,솔직하게
214,아름답다
215,영원히
216,역소
217,화하신다고
218,계시더군요
219,없으시고
220,재밌어요
221,재밌었습니다
222,튼튼해져서
225,약했지만
227,미에
229,행복하고
230,즐거운
232,있는데
233,똑같고
234,없었습니다
236,재밌어요
237,힘들게
238,행복했어요
239,재밌었구요
242,유연해졌더군
245,끝내주셔서
246,아쉽네요
247,재밌었습니다
248,유쾌하고
249,즐겁게
250,재미있게
251,뒤늦게
252,아쉬운
253,입니다다
257,흡족한
258,훌륭했습니다
259,아쉽네요
260,유머러스하게
263,즐겁게
264,화하시는데
265,많으셨다고
266,멋진
268,즐겁게
269,행복했어요
270,즐거웠습니다
271,좋았지만
273,재밌어요
277,필요했다
278,좋아하는
279,많았던
282,재밌었어요
283,좋아할지
284,같은데
285,재미있게
286,멋졌어요
290,있는데
292,완벽하고
294,엄청났다는
296,재밌다고
297,기대하며
298,재밌고
299,재밌는
300,즐겁게
301,즐겁게
302,있다면
305,재미있게
306,재미있게
307,아쉬운
308,없다는
309,아쉬웠
311,없다는
312,아쉬운
313,있던
314,좋았구요
315,화해서
318,아쉬운
319,딱히
320,없네요
321,아쉬웠습니다
322,많았구
324,죄송스러우면서도
325,재미있었고요
326,재미있었어요
327,재미있는
330,젊어진
333,재밌는
334,가볍게
336,가볍지
337,아름다우십니다
338,있다니
339,재밌고
341,즐거웠습니다
342,재미있는
343,없더라구요
344,대단하다고
347,같아서
348,유쾌한
349,있나
350,재미있어요
353,벅차요
357,완벽해서
358,좋았구요
359,많으셨어요
361,빠르게
362,재밌네요
363,좋았어
364,행복한
365,재밌어요
368,노련하게
369,완벽하게
370,확실히
371,다양한
372,즐겁게
373,재밌어요
374,완벽한
376,재미있어요
377,허전하네요
378,재밌었어요
379,기대합니다
380,좋았
381,기대할게
382,후회될
383,같아서
384,재밌어요
387,이렇게나
388,귀여운
390,재밌어서
392,불편할
393,없음
396,이럴
397,그랬나
398,없던
399,멋졌습니다
400,재미있었어요
403,많으셨어요
404,그런지
405,유쾌하고
406,즐거웠습니다
407,재밌고
408,즐거워서
409,재밌었고
410,넘쳤습니다
413,재밌는
415,재밌었네요
416,설렘으로
417,즐거웠고
419,행복했다
420,비싼
421,아쉽지만
425,재밌습니다
426,없고
429,찡했습니다
430,아쉽지만
431,유쾌한
433,없고
434,화하신
435,대단하시고요
436,멋졌어요
438,멋지셨어요
440,아쉬웠으나
441,덥고
442,건조해서
444,재미있었지만
445,실망했어요
446,아니니까
447,힘들었는데
448,재미있는
449,재밌었어요
450,아쉬운
451,가득한
452,싫었어요
453,즐겁게
454,신선했던
455,작다
456,아기자기한
457,빠른
460,지루할
462,신기한
463,좋겠다
465,즐거운
467,유쾌한
468,흠잡을
469,없네요
470,유쾌하게
472,있었으면
473,좋겠습니다
474,아쉬워요
475,아니지만
476,뛰어난
477,유명하지만
480,재미있었다
481,저렴한
482,아님에도
483,아깝지
484,계시다면
485,빠른
486,사랑스럽고
488,즐거웠습니다
491,적절하게
493,악셀
494,같았
495,그러면서도
497,이렇겠지라는
499,독특하면서
502,갑작스러운
503,완벽했다
504,좋게
506,아름다운
507,만족스러웠어요
508,재밌습니다
511,기웃하고
513,대단하게
517,좋을
519,재밌는
521,꾸준히
522,좋겠습니다
523,완벽하네요
524,차가
525,자연스럽고
527,역은
529,아쉽네요
533,아쉬워
535,아쉬운
537,적절하게
538,기발했고
540,역은
541,재미있어서
542,재미있네요
544,재미있어요
545,좋았지만
546,남다르셨던
548,다양했고
549,즐거웠던
551,길고
552,짧다면
553,짧았던
554,즐거웠어요
555,없을
558,유쾌했던
559,무사히
560,즐겁게
561,놀라운
562,좋았음
563,재밌고
564,많으셨을
566,즐겁게
567,분해야
568,쏠쏠합니
569,변해가는
572,가난하고
573,기대하고
575,즐겁게
578,즐겁고
579,훈훈했습니다
580,즐거웠습니다
582,재밌었던
584,완벽한
585,아쉽네요
587,있을까요
588,신나게
589,즐거운
591,재밌고
593,아니었어도
594,아쉬워
595,재밌었습니다
596,가볍게
597,가볍게
599,무겁게
601,뛰어난
602,고셨습니다
606,좋겠다
608,아무런
610,그런지
612,좋았을
616,없다니
617,아쉽습니다
618,반가웠어요
619,재밌었습니다
620,좋겠습니다
621,재밌었어요
622,아플
623,재밌습니다
625,신선하다
626,어떡해나
627,불쌍한
629,없고
630,없고
631,친절한
632,빠른
633,없다니
635,좋았
636,있었어요
637,즐거운
638,사랑스러운
639,즐겁게
640,들뜨고
641,산만할까봐
642,만족했
643,그렇고
644,지루하지
645,흥미로워서
646,없었으면
647,좋겠
648,놀랬어요
649,유쾌하고
651,박해서
652,아쉬울
654,아님에도
655,재미있어서
656,재밌는데
658,좋겠네요
659,겸손한
661,인해
662,있었습니다
664,추해요
667,재밌습니다
668,재밌어요
669,재미있어요
670,아쉬워요
671,재미있었던
673,훌륭했고
674,완벽한
676,훌륭했어요
677,재밌었어요
678,무서울까
679,그럴
680,없었네요
681,멋졌고요
682,없고
683,매끄럽게
685,깔끔하게
686,그런지
687,맛깔나게
689,있었는데도
690,신기한
692,그랬던
693,많았어요
696,행복합니다
697,행복하게
698,즐겁게
699,재밌는
700,재밌어서
701,완벽했던
702,따뜻한
704,행복했네요
706,아쉽습니다
707,즐거운
709,재밌어요
710,좋았지만
711,유쾌한
712,색다른
714,지루한
715,없지
716,없었어요
717,아니란
718,있었어요
719,재밌었습니다
721,즐겁게
722,후회되는
723,멋진
724,소중한
725,기대하겠습니다
726,즐겁게
729,다양한
733,좋겠습니다
734,좋거나
735,우울한
738,재미있습니다
739,멋지십니다
740,즐겁게
741,있겠습니다
742,재밌었습니다
743,잘생겼다
744,어마어마하게
745,대단하다고
746,성장하는
747,대단해요
748,이었어요
751,좋앗어요
752,멋지고
754,없었습니다
756,다행히
758,즐겁게
759,부족하다고
761,아니었지만
762,재밌었습니다
763,아니었지만
764,재미있었습니다
765,재미있게
770,소소하게
771,재밌었습니다
772,급하게
773,재미있네요
774,유쾌하고
775,넘치는
777,계신
778,같았어요
779,아쉽네요
780,좋았던
782,아쉽네요
783,재밌어서
784,좋았구요
787,완벽하게
789,많았던
790,아니였나
791,있었고
792,새로운
795,좋게
796,빠른
797,그런지
799,우울할
800,어느덧
801,즐거운
802,행복했다네요
803,즐거웠습니다
804,있실
805,뻔했어요
806,소중한
807,행복한
808,많으셨습니다
810,유쾌한
813,어려웠듯이
815,유쾌하고
816,재밌는
818,재미있어서
822,가능하여
823,재미있고
827,잘생겼다
828,소소한
829,많았던
830,아쉽지만
831,즐거웠습니다
832,즐거웠네요
833,반해서
834,그런지
836,미친
838,즐겁고
839,흥겹게
840,잘생겼다
841,즐거운
843,아쉽네요
844,행복한
845,많으셨습니다
846,아쉬웠어요
847,재밌습니다
849,재밌었어요
850,좋았던
852,유쾌하고
853,재밌는
854,완벽한
858,재밌습니다
859,좋겠네요
860,신나게
863,따뜻한
864,신나게
867,따뜻한
868,즐거워서
869,행복하게
870,다양하게
873,즐겁게
874,즐겁게
875,즐겁게
876,즐겁게
877,즐겁게
878,즐겁게
879,즐겁게
880,재밌었습니다
881,아쉽네요
882,아쉽네요
883,재미있어요
886,행복한
887,소소한
888,즐거웠습니다
889,행복하게
891,고맙습니다
892,있기를
893,즐겁고
894,재밌고
895,유쾌하고
896,행복한
897,강하시
900,재밌
901,흥미롭게
902,적당한
903,가벼
904,적당한
905,묵직함으로
906,가벼우면
907,가볍지
908,재밌는
910,만족스러워
911,행복했던
912,아쉬운
913,행복했던
914,아니한
915,아니나
916,있다고
917,없고
918,탄탄했다
919,아쉽고
920,아쉽네요
921,지루하지
922,훌륭했고
924,있었으면
926,아쉽네요
928,재밌었어요
929,생소한
930,벅찬
933,같아서
934,만족스럽네요
935,즐거웠고
936,재밌었어요
937,아쉬울
938,뿐입니다
939,없더라고
940,유쾌하고
941,즐거운
942,좋았지만
943,아니여서
944,그랬지만
945,괜찮아요
946,재밌었어요
949,지루하지도
950,신기했어요
951,그런지
952,신난
953,아쉬운
954,없구요
957,재미있게
958,궁금해지는데
959,없네요
983,재미있게
986,아쉬워요
987,재미있고
992,알찼습니다
993,재밌습니다
994,지루하지
995,재밌습니다
996,있었으면
997,좋겠네요
998,따스하고
999,훌륭한
1000,아름다운
1001,정성스럽고
1002,있던
1003,재미있는
1004,완벽했던
1005,재밌어요
1007,유쾌했습니다
1008,즐거웠습니다
1009,즐거웠습니다
1010,즐거웠습니다
1011,즐거웠습니다
1012,즐거웠습니다
1013,즐거웠습니다
1014,즐거웠습니다
1015,즐거웠습니다
1016,즐겁게
1017,즐겁게
1018,즐겁게
1019,유쾌하고
1020,즐거운
1021,유쾌하게
1023,아쉬웠어요
1024,즐거웠습니다
1025,즐거웠습니다
1026,즐거웠습니다
1027,즐거웠습니다
1028,즐거웠습니다
1029,즐거웠습니다
1030,즐거웠습니다
1031,즐거웠습니다
1032,즐거웠습니다
1033,즐거웠습니다
1034,즐거웠습니다
1035,즐거웠습니다
1036,즐거웠습니다
1037,즐거웠습니다
1038,즐거웠습니다
1039,즐거웠습니다
1040,즐거웠습니다
1041,아쉽다
1042,좋겠다
1043,재밌었고
1044,깊었습니다
1045,재밌어요
1046,완벽하게
1047,아닌데
