,Adjectives
3,행복한
6,재밌었고
7,행복했습니다
8,곱니다
10,좋을
12,재미있게
13,확실해서
15,가볍게
16,즐겁게
18,행복하게
19,재미있어요
25,즐겁게
26,작아서
27,불편함은
29,재밌었습니다
30,재밌는
31,행복했어요
32,귀엽고
33,재미있게
35,재미있었어요
38,아쉽긴
39,미는
40,미예요
44,고마운
48,만족하고
49,행복한
51,사랑스러운
52,재미있었어요
54,미잘
57,아쉬웠어요
58,재밌었네요
60,좋겠다
61,미이
63,재밌어요
64,아쉬웠지만
69,행복했습니다
70,미를
72,발랄하고
73,유쾌한
74,진정한
75,그렇다면에
77,상냥한
79,아닌지
80,사랑스럽다니
81,따뜻하고
82,재밌고
86,미는
88,아니였습니다
89,재미있고
90,편하게
99,좋으니
101,드럽게
102,재밌어요
103,귀여워서
104,귀여운데
106,행복하길
111,멋졌습니다
112,귀여우셨고
113,아름다우셨습니다
115,잘생겼다
116,잘생겼다
118,중요하다
121,재밌다고
122,재밌습니다
124,아쉽고
126,싫네요
128,고셨습니다
129,참신하고
131,귀여워요
133,미는
135,미가지마
138,따뜻한
146,좋았구요
149,색다르더라구요
150,궁금해서
151,새로운
152,나쁘지
154,귀엽고
155,귀엽고
158,좋으셨고
159,새로운
162,사랑스럽고
163,좋아하는
164,즐거웠어요
166,좋겠습니다
168,미의
170,행복했습니다
171,유쾌하고
172,예쁜
173,아쉽네요
175,행복했으면
176,아쉬워
181,예쁜
184,아쉽고
185,좋겠네요
187,아쉽고
188,좋겠네요
189,미를
190,행복하고
191,멀지
192,좋겠습니다
194,재미있었습니다
195,재밌어요
196,뻔하
197,재밌다
199,유쾌한
200,미의
201,바쁘지만
202,아니라서
206,생생한
207,유치해
209,분명합니다
210,좋겠습니다
211,한심하고
213,초라하게
214,필요한
215,회복하며
219,불완전하게
220,완벽한
222,재미있어요
223,귀여워요
224,재밌어요
225,행복하게
226,미있는
228,재밌어요
231,완벽했습니다
233,있겠죠
235,아쉽습니다
237,행복했어
239,예쁜
240,없다고
241,사랑스러웠어요
242,동그랗고
243,필요해요
244,다양한
247,좋았던
249,재밌고
251,행복했습니다
254,입니당
255,재밌어요
257,재밌었어요
259,미가지마
263,아쉬운
264,많다고
267,신나고
268,재미있었던
269,안타깝다
271,슬픈
273,아쉬웠지만
276,행복하게
277,성장한
279,행복한
282,좋아했어요
283,선함
284,서툴지만
286,행복했습니다
288,친하게
289,좋아하잖아
291,많아요
292,미였어요
295,재밌었어요
300,좋아해요
304,사랑스러운
305,대차진
306,사랑스럽고
307,원해
308,미에
309,멋있다
311,즐겁게
312,좋아했던
314,반가웠어
316,아쉽지만
319,행복했어요
320,따뜻한
321,미는
322,빠른
323,미를
325,미를
326,같다는
329,행복해
330,미야
331,미는
336,원해
342,행복했어요
344,좋아했어
348,좋겠고
349,좋겠구
352,사랑스러울
354,빠르게
357,좋다고요
360,따뜻한
361,좋은데
362,소소하게
365,평범한
366,같으면서도
367,좋구
368,유쾌하게
371,재밌었고
373,여려
374,유쾌하고
375,즐거운
376,따뜻한
378,행복했어요
380,재밌어요
381,아쉽지만
384,아쉬워요
386,원합니다
387,아니냐구요
389,재밌어요
390,그리워
391,재미있어
392,충분하다고
394,재밌었고
395,아쉬워요
401,슬프네요
402,같다는
403,막연한
406,아쉬워요
407,아쉬워
408,좋을
414,유치할
415,뻔한
416,유치하지
418,재밌어요
419,재밌었습니다
420,신선해서
421,재밌었어
422,재밌는
424,사랑스럽고
425,행복한
428,고마웠다
429,상냥해진
431,같다고
436,재미있는
437,그러지
438,좋더라구요
440,두렵고
441,실망하겠지만
447,미같이
448,멋진
454,재밌었어요
456,미는
457,미의
459,평범하고
460,성실하게
462,평범함과
463,착한
464,드문
467,좋구요
468,미는
470,소중히게
471,또랑또랑한
472,소중하고
473,귀여운
475,황홀하고
477,슬펐다가
478,아쉬워
480,없나요
482,아쉬운
484,아쉽다
485,새로운
487,아쉽지만
490,없겠지만
492,신나게
493,슬펐
494,소중하고
495,행복하고
496,즐거운
497,아쉬운지를
501,넘쳐서
502,사랑스러운
503,즐거웠습니다
510,행복하지만
512,행복하길
513,재미있어요
515,만족했습니다
518,미를
519,행복해져요
523,필요해
524,계셨어서
525,어려웠습니다
527,예뻐요
529,미를
530,재밌는
531,어려운
534,미는
535,자연스러운
536,뛰어난
539,유쾌해서
540,신나게
541,피곤해서
542,지루할
548,수줍어
551,사랑스러운
552,아니기에
554,소중하게
555,불확실한
556,두려워하고
557,있거나
558,미하세요
559,가벼운
561,탄탄해서
563,적당히
565,즐거워요
566,좋아해서
568,재밌었어요
569,유치하지만
572,즐거워지는
573,재밌었어
575,정확한
577,진지한
578,진지하진
579,가볍게
584,어려운
585,유쾌하게
592,미는
593,아프게
594,어려워요
595,미까지
596,미쳤습니다
597,재밌어
600,있느라
601,행복해
602,좋다는
603,재미있게
604,있더라고
608,즐거워요
610,재미있어요
611,아쉽네요
613,예쁘고
614,넘치는
615,재미있어서
617,멋지고
619,괜찮다
620,따뜻한
622,유쾌했던
623,유쾌하고
624,재미있으면서도
626,같던데다
627,좋겠다는
628,궁금해져서
634,원해
635,설레네요
636,유쾌하고
637,따뜻했던
642,재미있어요
643,아쉬워요
644,재미있어요
645,아쉬워요
646,귀여워요
647,재밌는
650,좋았지만
651,좋았네요
654,슬퍼요
656,사랑스러운
658,재밌었어요
659,귀엽고
661,아쉬워요
662,유쾌하고
663,즐겁게
668,재미있는
671,행복한
673,사랑스러워서
674,따뜻해지고
675,행복해지는
677,필요한
679,귀엽고
680,사랑스럽고
682,좋겠습니다
683,재밌어요
686,귀여워요
689,강하고
690,예쁜
692,좋겠네요
695,좋았구요
697,정확히
698,행복하고
699,즐거운
701,똑같고
702,지루할
703,좋겠다는
705,똑같아
707,깊었던
708,행복한
715,아닌지
716,없던
