,Adjectives
1,신나고
2,재미있었습니다
3,강하고
5,재밌습니다
6,힘든가요
8,더해
9,깊어지는게
10,아쉽지만
11,재밌었어용
12,재미있게
13,신나는
15,기대할게요
16,심각하네요
17,즐거웠습니다
19,재밌다
22,사랑스러운
23,행복했던
24,좋았던
26,멋졌어요
30,그렇고
31,아쉬웠네요
32,그리운
33,기대합니다
35,아쉽네요
37,슬픈
38,아름답고
39,신나는데
41,아쉽고
42,고마웠고
43,멋진
44,재밌었어요
45,재미있게
47,행복했습니다
48,안되었지만
52,재밌어요
53,새롭게
55,재미있었습니다
57,아쉽지만
60,즐겁게
61,즐거웠습니다
63,멋지게
64,멋있게
65,귀여운
66,불안하고
67,더해져
68,넘치는
69,고맙습니다
70,벅차게
71,있었기에
72,아쉽게
75,부족해
76,아쉬웠습니다
78,멋진
79,재밌었어요
80,속상하네여
82,재밌었어요
84,좋아하는
85,아쉬웠어요
88,재밌어요
89,잘생겼다
90,아쉬운
91,많았지만
92,재미있게
93,많으셨습니다
95,재밌어요
96,적응하기
97,힘들고
100,아쉬워
101,있었네요
103,아쉬워요
106,좋았던
108,신나고
109,즐거웠습니다
110,슬펐어요
112,안될까
113,재밌어요
114,아쉬워요
115,기대할게요
116,재밌어요
117,아쉬워요
118,기대할게요
120,아쉬운
121,역은
123,아쉽네요
125,부탁드립니다
127,이럴수가
128,후회되었습니다
130,야함
131,재밌다고
132,미친
134,슬퍼
136,새로
138,쉬워졌어요
141,멋진
143,행복했습니다
144,허전합니다
145,재밌었어요
148,재미있게
149,재미있었어요
150,좋았지만
151,지루하지
153,재밌고
155,재미있었어요
156,아쉬워요
157,재밌었어요
158,멋지고
159,싫거든요
161,아니라서
163,재밌다고
165,잘생기고
168,멋졌습니다
169,아쉬울
170,재미있었어요
171,멋졌습니다
172,필요없습니다
173,엄청났습니다
175,행복했던
176,고마웠어요
177,아쉬울
178,있을까요
179,강한
180,화려한
182,행복했습니다
183,빠른
187,행복했습니다
189,젊은
190,달랐었습니다
191,불편했었습니다
192,편한가보다
193,아프더군요
197,역시나였어요
198,가득한
199,좋았네요
200,재미있었어요
201,재밌었어요
202,좋겠습니다
203,기대할게요
208,화려해서
209,재미있게
210,잘생겼다
211,아쉬울
215,만족했습니다
217,좋겠습니다
218,신선하고
219,즐겁게
225,즐겁게
227,없단
228,즐거운
229,기대하겠습니다
231,멋지고
232,멋진
233,멋진
236,힘들었다
239,아니게
242,깔끔한
245,아픈
246,미치셨고
247,미치셨고하
248,시원했어요
252,좋겠습니다
255,소심하구
256,어리둥절한
257,손쉽게
258,아름다
259,설렘을
260,부드러울수록
261,허무하게
262,무력함이
264,괴로워
265,애틋함을
266,꼿꼿하게
267,굳세어
270,행복했고
271,영원히
272,같네
273,행복합니다
274,행복했어요
275,아쉬워서
278,즐겁게
279,신나고
280,신나게
281,아쉽네요
282,재미있게
283,좋을것도
285,다르다
286,재밌었어요
288,빡친
289,좋았지만
290,아쉬워요
293,재밌었어요
294,화려해요
295,아쉽네요
296,넘쳐나는
297,후련하게
298,슬퍼
299,재밌습니다
301,안남아서
302,아쉬워요
303,그렇고
304,어색해서
305,가벼웠습니다
307,괜찮네요
308,심해서
309,그렇고
310,어색해서
311,가벼웠습니다
313,괜찮네요
314,심해서
315,그렇고
316,어색해서
317,가벼웠습니다
319,괜찮네요
320,심해서
321,그렇고
322,어색해서
323,가벼웠습니다
325,괜찮네요
326,심해서
327,그렇고
328,어색해서
329,가벼웠습니다
331,괜찮네요
332,심해서
333,재밌었어요
334,재밌었어요
335,재밌었어요
336,재밌었어요
337,재밌었어요
338,재밌었어요
339,재밌었어요
340,재밌었어요
341,재밌었어요
342,재밌었어요
343,재밌었어요
344,재밌었어요
345,재밌었어요
346,재밌었어요
347,재밌었어요
348,재밌었어요
349,재밌었어요
350,재밌었어요
351,재밌었어요
352,재밌었어요
353,재밌었어요
354,재밌었어요
355,재밌었어요
356,재밌었어요
357,재밌었어요
358,재밌었어요
359,재밌었어요
360,재밌었어요
361,재밌었어요
362,재밌었어요
363,재밌었어요
364,재밌었어요
365,재밌었어요
366,재밌었어요
367,재밌었어요
368,재밌었어요
369,재밌었어요
370,재밌었어요
371,재밌었어요
372,재밌었어요
373,재밌었어요
374,재밌었어요
375,재밌었어요
376,재밌었어요
377,재밌었어요
378,재밌었어요
379,재밌었어요
380,재밌었어요
381,재밌었어요
382,재밌었어요
383,재밌었어요
384,재밌었어요
385,재밌었어요
386,재밌었어요
387,재밌었어요
388,재밌었어요
389,재밌었어요
390,재밌었어요
391,재밌었어요
392,재밌었어요
393,재밌었어요
394,재밌었어요
395,재밌었어요
396,재밌었어요
397,재밌었어요
398,재밌었어요
399,재밌었어요
400,재밌었어요
401,재밌었어요
402,재밌었어요
403,재밌었어요
404,재밌었어요
405,재밌었어요
406,재밌었어요
407,재밌었어요
408,재밌었어요
409,재밌었어요
410,재밌었어요
411,재밌었어요
412,재밌었어요
413,재밌었어요
414,재밌었어요
415,재밌었어요
416,재밌었어요
417,재밌었어요
418,재밌었어요
419,재밌었어요
420,재밌었어요
421,재밌었어요
422,재밌었어요
423,재밌었어요
424,재밌었어요
425,재밌었어요
426,재밌었어요
427,재밌었어요
428,재밌었어요
429,재밌었어요
430,재밌었어요
431,재밌었어요
432,재밌었어요
433,재밌었어요
434,재밌었어요
435,재밌었어요
436,재밌었어요
437,재밌었어요
438,재밌었어요
439,재밌었어요
440,재밌었어요
441,재밌었어요
442,재밌었어요
443,재밌었어요
444,재밌었어요
445,재밌었어요
446,재밌었어요
447,재밌었어요
448,재밌었어요
449,재밌었어요
450,재밌었어요
451,재밌었어요
452,재밌었어요
453,재밌었어요
454,재밌었어요
455,재밌었어요
456,재밌었어요
457,재밌었어요
458,재밌었어요
459,재밌었어요
460,재밌었어요
461,재밌었어요
462,재밌었어요
463,재밌었어요
464,재밌었어요
465,재밌었어요
466,재밌었어요
467,재밌었어요
468,재밌었어요
469,재밌었어요
470,재밌었어요
471,재밌었어요
472,재밌었어요
473,재밌었어요
474,재밌었어요
475,재밌었어요
476,재밌었어요
477,재밌었어요
478,재밌었어요
479,재밌었어요
480,재밌었어요
481,재밌었어요
482,재밌었어요
483,재밌었어요
484,재밌었어요
485,재밌었어요
486,재밌었어요
487,재밌었어요
488,재밌었어요
489,재밌었어요
490,재밌었어요
491,재밌었어요
492,재밌었어요
493,재밌었어요
494,재밌었어요
495,재밌었어요
496,재밌었어요
497,재밌었어요
498,재밌었어요
499,재밌었어요
500,재밌었어요
501,재밌었어요
502,재밌었어요
503,재밌었어요
504,재밌었어요
505,재밌었어요
506,재밌었어요
507,재밌었어요
508,재밌었어요
509,재밌었어요
510,재밌었어요
511,재밌었어요
512,재밌었어요
513,재밌었어요
514,재밌었어요
515,재밌었어요
516,재밌었어요
517,재밌었어요
518,재밌었어요
519,재밌었어요
520,재밌었어요
521,재밌었어요
522,재밌었어요
523,재밌었어요
524,재밌었어요
525,재밌었어요
