,Adjectives
0,새로운
1,아쉽고
2,재미있어요
3,좋아용
4,좋겠구나
6,적당한
10,행복해요
12,아쉽지만
15,즐겁고
16,행복했습니다
17,있기
18,싫어서
19,유명한
20,있길래
21,추웠네요
24,재밌었어요
25,몰락하더니
27,이럴
28,있죠
29,폭넓은
32,같은데
34,있다니
36,훌륭했습니다
37,아쉬워오
38,좋있습니다
39,행복할
41,좋겟어
44,행복한
45,재밌었다
46,재밌고
49,좋다
51,재밌어요
52,추합니다
53,없어
54,행복한
56,재밌어요
58,탁월한
61,짱짱했습니다
62,아니십니까
63,재밌어요
66,재밌습니다
68,아쉬워요
70,없네요
71,심하네
72,없네요
73,심하네
74,없네요
75,심하네
76,없네요
77,심하네
78,없네요
79,심하네
80,없네요
81,심하네
82,없네요
83,심하네
84,없네요
85,심하네
86,없네요
87,심하네
88,없네요
89,심하네
90,없네요
91,심하네
92,없네요
93,심하네
94,없네요
95,심하네
96,없네요
97,심하네
98,없네요
99,심하네
100,없네요
101,심하네
102,없네요
103,심하네
104,없네요
105,심하네
106,없네요
107,심하네
108,없네요
109,심하네
110,없네요
111,심하네
112,없네요
113,심하네
114,없네요
115,심하네
116,없네요
117,심하네
118,없네요
119,심하네
120,없네요
121,심하네
122,없네요
123,심하네
124,없네요
125,심하네
126,없네요
127,심하네
128,없네요
129,심하네
130,없네요
131,심하네
132,없네요
133,심하네
134,없네요
135,심하네
136,없네요
137,심하네
138,없네요
139,심하네
140,없네요
141,심하네
142,없네요
143,심하네
144,없네요
145,심하네
146,없네요
147,심하네
148,없네요
149,심하네
150,없네요
151,심하네
152,없네요
153,심하네
154,없네요
155,심하네
156,없네요
157,심하네
158,없네요
159,심하네
160,없네요
161,심하네
162,재밌고
164,만족스러운
166,벅차오르는
170,아플
171,없어야
172,재밌었어요
176,그렇습니다
177,재밌네요
178,따뜻한
179,좋았어도
180,아쉬워요
182,마라
184,영원히
185,영원히
186,없는데
188,깊숙히
189,낡은
190,마라
191,재밌어요
192,아쉬워요
193,검은
194,아쉽긴
195,재밌어
196,좋겠네요
197,좋았어
198,깔끔하게
199,아쉬워요
201,아니더라도
202,없어도
203,좋겠다는
206,원하는
207,재미있었습니다
210,더럽고
211,시끄러운
212,변하지
213,이쁘다
214,좋아했어요
219,재밌어요
220,성공해서
225,있기를
226,재밌어요
228,멋진
230,든든하게
235,익살스러울
236,확실하고
237,확실해서
240,아쉬워요
241,아님
245,따뜻하게
246,신선하네
247,행복히
248,슬프고
249,즐거우요
251,어느새
252,성장하고
253,깊어진
254,잘생겼어요
255,재미있습니다
256,완벽한
257,벅차다고
259,아름답고
260,슬픈
262,행복한
263,행복했어요
264,아쉽습니다
265,무사히
266,재밌어요
267,완벽하게
268,재밌고
270,같요
272,재밌습니다
277,슬프지만
279,탄탄함을
280,재밌어요
285,아쉽네요
286,재밌었습니다
287,슬프네요
288,슬픈
291,완벽한
292,깊게
293,있었습니다
295,재밌어요
297,좋겠습니다
298,재밌어요
299,없네요
300,아름답길
303,소중한
304,부자잖아
305,완벽한
306,깊게
307,있었습니다
309,재밌네요
310,아쉬웠어요
311,아쉬운
312,있긴
313,속절없이
314,많으셨어요
315,재밌었어요
317,완벽한
318,깊게
319,있었습니다
320,재밌는
321,완벽한
322,깊게
323,있었습니다
326,재미있게
327,좋았는데
328,아쉬운
331,아쉽네요
332,완벽한
333,깊게
334,있었습니다
335,재밌어요
336,재미있게
338,재밌는
339,완벽한
340,깊게
341,있었습니다
342,멋져요
343,없어
344,없어
345,재미있어요
346,검은
347,검은
350,재밌어요
351,완벽한
352,깊게
353,있었습니다
354,아쉽다
356,좋았어
359,있었
360,재미있는
361,없다니
369,완벽한
370,깊게
371,있었습니다
372,조아요
373,아쉽습니다
375,멋진
376,아쉬워용
377,재미있어요
378,완벽한
379,깊게
380,있었습니다
381,반해서
382,완벽한
383,깊게
384,있었습니다
385,멋지고
386,멋지고
389,신나는
390,재밌어요
391,아쉬운
392,영원하라
394,재미있고
395,지루할
396,없어
398,없다면서
399,슬퍼요
400,있었고
401,훌륭할
402,재밌어요
405,예뻐요
406,재미있었습니다
409,없으셔야
411,재밌어요
413,재밌어요
414,재미있었어요
415,없긴
417,미칠
419,없고
420,곱니다
423,즐겁게
424,멋진
427,성장하는
428,벅찬
429,많은데
430,있던
431,힘나는
432,행복했다
433,없던
435,없었지만
436,몰락하기도
437,없었던
444,완벽한
445,있는데
446,얌전히
449,뭉클해져
451,많으셨습니다
453,생소했는데
454,재밌었습니다
455,짧지만
456,귀여워
457,좋아하는
458,재밌네요
459,좋겠네요
461,아쉬워요
463,슬픈
465,재밌고
466,슬프고
467,아쉬워요
468,재밌으니까
470,없어
472,아니었고
473,무서운
476,있었다는
477,낡은
478,뜨거운
479,새로운
480,새로운
482,아파서
483,그런데려
486,만족스러웠습니다
487,아쉬웠습니다
488,충실하게
489,영원히
491,어땠는지
492,있길
494,뿐입니다
496,없지
497,헐렁헐렁한
498,아쉬워요
499,재밌야요
504,멋진
505,독특한
506,엄청난
507,재미있게
508,행복할
510,설레는
511,궁금하시죠
513,좋았네요
515,있기도
516,상관없이
517,충분히
518,가능한
519,귀여웠고
523,추합니당
525,안쓰럽게
526,어색하지
528,높은
589,있었
607,재밌었어요
610,재밌었어용
611,뜨거운
613,행복하게
614,행복했으면
615,좋겠다
616,아팠습니다
617,놀랬습니다
620,행복합니다
626,그렇기에
627,소중하고
628,아름다운
631,재밌어요
632,재밌어요
635,다양한
637,좋지
638,아쉬워서
639,재밌어요
640,힘들지만
641,멋졌다
642,재밌어여
643,이렇게나
644,있나
645,좋았는데
647,재밌어요
649,다양한
650,어둡지만
651,슬프고도
652,아름다운
653,괜찮지
654,재미있고
657,아름다운
659,재밌어요
660,재밌어요
661,뛰어나네요
662,행복한
663,아쉬울
664,재밌어
665,예뻐요
666,재밌었습니다
667,재밌어요
668,재밌는
672,재밌어요
673,엄청난
676,즐겁게
679,잘생긴
680,잘생긴
683,있죠
684,가볍게
686,원하다
688,멋있음
689,조았어요
690,아름다운
691,재밌고
693,재밌어도
694,재밌는
696,아름다운
697,즐겁게
698,좋죠
699,없어
701,있죠
702,아쉽습니다
703,잘생겼어요
704,멋진
706,없음
707,재밌어요
708,재밌어용
711,없었던
712,씁쓸하다
713,아름답습니다
714,하찮고
715,귀엽고
716,다정한
717,귀여운
719,다르고
720,다르게
721,좋다
723,다르게
724,무리한
725,하찮고
726,귀엽고
727,다정한
728,귀여운
730,다르고
731,다르게
732,좋다
734,다르게
735,무리한
737,재밌어요
739,재밌어요
740,없고
744,시끄럽고
745,멋지고
747,재밌는
749,잘생긴
750,재미있다고
751,재밌어요
752,역인데도
753,어색하지
757,거대한
759,재밌었어
760,말라
761,말라
764,고이는데
765,깊었어요
766,잘생긴
767,새로운
768,귀여운데
769,귀엽고
770,재밌어오
772,좋아합니다
773,있던
774,무서운
775,멋진
776,재밌어요
777,좋겠네요
778,원하게
780,우중충한
781,시원한
782,추합니다
783,멋진
784,완벽했다
785,멋있어요
786,멋있다
787,귀엽다
788,좋음
790,재밌어요
792,좋음
793,완벽하고
794,재밌어요
796,완벽합니다
797,완벽하고
798,재밌어요
799,재밌었어요
805,아닐
807,귀엽당
814,싫습니다
816,재밌어요
817,반하고
818,행복한
821,따뜻한
822,그런지
823,아니어도
825,재밌어요
826,재밌었어요
827,미치겠다
829,행복한
831,그런데도
834,재밌어요
835,재미있는
838,좋았어
839,멋지
840,멋져요
842,슬프지만
844,멋지
846,후회될
847,없음
849,가득한데
850,어른스러운
851,없게
852,빠르게
853,처절하지만
859,재밌었어요
860,꾸준하게
863,아쉽지만
870,재미있어
871,추합니다
876,재미있어
877,추합니다
880,설레이는
881,영원히
883,슬퍼
884,벅차
886,있는데
887,재미있어
888,엄청나게
891,잘생긴
892,재밌네요
893,멋진
894,신기한
895,재밌어요
896,멋진
897,즐거웠어요
898,재밌어요
899,귀여워요
900,재밌어요
901,아닐
906,따뜻함이
907,좋다
909,가득한
911,설레도
912,괜찮아
913,재밌어요
915,재밌어요
916,잘생긴
917,잘생긴
918,재밌어요
921,재미있어요
923,행복했습니다
924,있어서요
925,재밌었어요
930,반했습니다
931,싫은데
932,귀여워요
934,짜릿해
935,잘생긴
937,재밌고
938,벅차오르는
939,짜릿해졌습니다
940,힘들었어요
941,귀여워요
944,없잖아
946,미쳤어요
947,멋진
949,행복하고
950,완벽한
951,아름다
953,좋겠습니다
954,미쳤고
955,멋있다라는
958,궁금한데
959,입니
960,즐거운
962,재미있고
963,슬픈
964,넘쳐
965,재미있습니다
966,어려웠던
967,다행히
970,아니어서
971,아쉽습니다
972,좋겠습니다
973,입니당
975,잘생긴
976,없었습니다
977,멋지게
978,잘생긴
981,행복한
983,행복했으면
985,즐거운
986,즐거운
988,행복했어요
992,설레요
994,아닙니까
996,힘들었는데
999,상당히
1000,아쉽네요
1002,재밌었어요
1004,행복한
1005,재밌어요
1007,재밌네요
1010,설레이면
1011,아니지만
1012,행복한
1013,재밌네요
1014,잘생긴
1016,재미있었습니다
1017,재미있게
1018,재밌어요
1019,비싼
1020,많을
1021,미쳤어요
1025,행복한
1026,즐거운
1027,잔잔한
1028,놀라운
1029,입니당
1031,즐겁게
1032,아깝지
1034,역소
1035,화하느라
1036,대단했어요
1037,재밌어요
1038,재밌고
1040,재밌어요
1041,아닐
1043,힘들어
1044,연히
1045,아쉬워요
1046,재밌어요
1047,재밌어요
1051,즐거
1052,궁금해져서
1055,같아서
1056,재밌어요
1057,재밌어요
1058,재미있어요
1059,엄청났을
1063,스러울
1064,재미있어요
1066,아니에요
1067,같더라고요
1068,같았는데
1069,아쉬운
