,Adjectives
0,따뜻한
1,재미있었어요
2,들떠서
3,빠릅니다
5,행복했어요
6,재밌고
7,뭉클했습니다
9,다를
11,어렵지만
12,좋게
16,아쉬운
20,필요없이
21,완벽했고
23,어떡하란
24,힘든
29,미안해요
30,고마워요
31,좋겠습니다
35,슬프네요
38,없었음
39,지루한
41,슬펐어요
42,숨막혀
43,뻔했어요
46,아쉽지만
49,미침
53,즐거웠는데
56,있을게요
57,재미있었습니다
59,유명한
60,힘들게
61,엄청난
63,만족합니다
66,행복했어요
67,신나게
68,슬픈
72,기쁜
73,슬프고
76,안되나요
77,완벽했어요
78,역시네요
79,재밌어요
80,재밌어요
83,있을지
84,행복했습니다
85,좋은데
89,재밌어요
91,슬프고
93,꾸준히
95,완벽했던
97,노련하고
98,있었네요
99,예쁜
100,많하
101,곱니다
106,기대했는데
107,아쉽네요
108,건강하시요
110,자리는
111,아니었으나
115,만족합니다
117,허전하다고
120,아름다우시고
121,좋으시더라구요
122,좋겠습니다
124,신나게
125,좋겠네요
127,재밌어요
128,재밌어요
129,화려한
133,완벽하게
134,힘드네요
135,한결같으면서
136,섬세하게
139,행복해야해
140,행복한
141,엄청난
142,대단했어요
143,만족했다고
144,아쉬운데
145,아쉬운
148,간절함으로
149,멋있었어요
150,애틋하고
151,뭉클했던
152,없어야
153,행복했습니다
154,아쉬웠어요
155,분명히
158,야합니다
160,행복했어요
162,아쉬웠지만
163,영원한
165,행복한
166,행복하게
167,있는게
169,재밌는
170,산뜻하게
172,간절했던
173,불과하다는
174,앙칼지게
175,부으면서도
176,홀가분해지는
181,행복했습니다
186,나쁘
187,어려운
191,신선했다
193,힘들었겠지만
195,영원한
196,행복했어요
197,행복하시고
198,영원히
200,영원히
202,설레서
203,안타까웠습니다
205,행복하게
206,즐겁게
207,행복해지는
208,그리워하며
213,충분했다
214,진실됬던
219,재미있고
220,행복했으면
222,행복하세요
223,좋았었고
224,안되서
225,기대할게요
229,힘들어서
230,부족하지
231,기대하겠다
232,재밌었어요
233,행복했고
234,즐거웠습니다
239,완전히
241,행복했어요
242,있다가
243,고마웠어요
245,슬프다가
246,행복한
247,그러면서
249,재미있습니다
250,행복했다
251,고마워요
254,야해요
255,즐거웠어요
256,이상한
257,같다고
258,고맙습니다
260,완전히
262,행복했었습니다
263,있을까요
