,Adjectives
0,있더라
4,가깝게
5,아기자기하고
7,잔잔하고
9,있구요
11,없을
13,좋겠습니다
14,충분했다
15,궁금해지고
16,행복해야
18,좋으세요
19,있었어요
20,있었네요
22,못지않은
23,있었네요
26,멋진
28,대단한
30,잔잔하게
31,있었습니다
32,행복한
33,추합니다
34,깊고
35,진하게
36,찡해지는
37,있는데
39,좋았
40,좋아하는
43,좋았어
44,훌륭한
45,훌륭한
46,아니네요
48,있던
49,행복해
50,괴팍한
51,미친
52,처절하게
53,있었어요
55,귀여웠는데
56,포근하게
59,있었습니다
60,재밌어요
61,따뜻한
62,아니나
63,다를까
65,멋짐
66,따스한
70,있길
71,좋아했어요
72,찬란한
73,슬퍼서
74,좋겠다
79,중요한
80,없으면
82,행복했으면
84,같았다
85,있다면
86,그만한
89,안락했다면
90,아니더라도
91,힘든
93,있었던
94,아닐까
95,평범한
96,길게
97,아닌지
98,그랬다면
99,원하고
100,따뜻했다
101,그러고
103,있는지
104,있던
105,어려워하시긴
108,재밌었어요
109,슬프고
111,작아서
112,아쉬운
113,없음
114,충분히
115,좋아할
116,없고요
120,재밌
122,아니었고
123,좋아해서
127,지루할
128,미친
129,뭉클하고
132,뛰어나서
134,좋았
135,많아서
137,아닙니다
138,후련함과
139,따뜻함을
140,그런지
141,아니에요
144,깊게
145,아니야
147,따뜻해지는
148,재밌었어요
155,좋았
157,두렵고
158,밉고
160,있으며
161,뻔했다구요
162,같아서
164,그런지
165,깊은
167,따뜻함에
169,충분하다
170,아쉽습니다
171,따뜻한
172,깊어져서
174,재밌어요
175,재밌어요
176,즐거운
177,슬프
178,즐거운
179,찡하게
181,훌륭합니다
182,재미있게
183,따뜻해지는
184,탄탄하고
185,같거나
186,비슷한
187,높고
191,좋아하면
193,흥미로웠네요
195,같지만
196,많더라구요
200,완벽한
201,있다면
202,아프게
204,아쉽고
205,좋겠어
206,좋음
208,안쓰러웠어요
209,좋다며
210,신나게
211,중요하게
212,아팠습니다
213,끝없는
215,힘들어
216,나쁜
217,있었다면
219,안타까웠어
220,괜찮다고
221,충분하다면서
222,없겠죠
223,충분하니까
224,새로운
228,멀어서
229,있을지는
234,힘들었을까
235,충분하다라는
236,충분한
238,없었다
240,새로운
241,아닌가
242,후련하기보다는
244,있겠지만
245,쾌적했고
253,좋게
254,완벽한
256,따뜻함을
257,시원한
260,아픕니
262,더해
264,너덜너덜해져서
266,아쉽고
267,소중해요
268,없으면
269,기대하고
270,따뜻한
271,멋진
272,다정함과
274,단단한
275,좁아진
276,아쉽긴
279,행복하세요
281,힘들
282,좋아하는
283,아니고
284,힘든
285,따스하고
286,좋더라구요
290,다정한
291,행복했으면
293,있다면
295,없네요
297,스럽
298,재미있어요
300,즐거운
301,즐거운
304,행복해야
305,좋더라고요
307,충분히
