,Nouns
0,박지연
1,선생님
2,사랑
3,공도
5,강남
6,요즘
7,세대
10,라면
11,청소년
12,청년
13,세대
14,광화문
16,첫사랑
17,생각
18,사랑
19,사람
20,추억
22,감수성
24,추억
29,광화문
30,일대
31,이문세
32,노래
33,사람
35,그대로
36,추억
37,장소
38,날씨
39,라면
40,더욱
41,가슴
42,추억
44,광화문
45,연가
47,이영훈
48,감성
49,가사
50,이문세
51,목소리
52,노래
53,마음속
54,울림
55,세월
56,지난
59,노래
60,타이
61,머신
62,타고
64,시대
66,나이
67,발견
69,마음
70,소녀
71,감수성
72,옛날
73,생각
74,눈시울
77,심장
79,사람
82,광화문
83,연가
84,단어
87,나로
91,기분
92,힐링
96,용기
98,광화문
99,연가
100,추억
108,음악
109,음악
110,광화문
111,연가
112,가슴
118,생각
119,감동
121,기회
125,뮤질컬
126,감동
127,시영
128,이의
129,마음
130,감사
131,애인
133,아주
134,감동
137,열연
138,가슴
140,이영훈
141,주옥
143,무대
144,최고
145,감동
146,재미
147,성규
150,노래
151,시대
153,시대
154,김성규
156,졸귀
159,이영훈
160,작곡가
161,서정
163,옛사랑
164,추억
166,무대
167,최고
168,최고
169,광화문
170,연가
171,꿀잼
172,노래
173,스토리
175,걱정
177,핵잼
178,지연
181,자극
183,생각
184,옛날
185,생각
186,하내
188,나이
190,새삼
191,기도
192,추업
194,기도
195,옛날
196,생각
198,강추
200,노래
201,음악
202,연기
203,박강
205,차지연
208,이문세
209,콘서트
210,광화문
211,연가
212,보상
214,자꾸
215,예전
216,학창시절
218,노래
219,연기
220,최고
221,안재욱
222,안재욱
224,성규
225,연기면
226,연기
227,노래
228,노래
229,소개팅
232,후반
235,대가
236,나이
238,전체
239,노래
240,워낙
241,명곡
242,귀가
244,사람
245,광화문
246,네거리
247,명곡
248,한자리
250,목소리
252,듣기
253,노래
254,믹스
255,추억
256,여행
258,생각
260,자리
261,김성규
263,연기
264,노래
267,영광
269,작품
270,아마데우스
271,기대
272,남자친구
273,차지연
275,김성규
276,노래
277,노래
279,투어
280,티켓
281,홀린
282,듯이
283,구매
287,연기
288,아주
289,어딘가
291,내용
292,흥미
295,차지연
296,월화
297,흐름
298,리드
300,매력
301,주옥
302,이영훈
303,작곡
304,노래
305,맘껏
308,전문
311,노래
312,노래
313,감동
315,내용
316,실망
318,콘서트
320,음악
321,듣기
