,Nouns
6,감동
7,처음
9,김광석
11,노래
13,노래
15,몰입
17,내용
18,노래
21,몰입
22,감동
24,마지막
25,유준상
26,연기
27,눈시울
28,눈물
30,정학
31,감정
38,그날
39,그날
43,김광석
44,노래
46,티켓팅
48,무대
49,장치
50,음악
51,편곡
52,앙상블
55,그날
56,강태을
58,그날
59,이등병
60,편지
61,감정
65,눈물
68,경호원
69,주제가
70,남성
73,사랑
74,우정
76,편곡
77,김광석
78,노래
80,감동
81,사람
82,사람
84,역할
85,노래
86,연기
87,조화
88,그날
90,그날
92,스스로
94,누군가
95,그날
96,생각
98,연령
99,누가
100,감동
101,일수
104,주일
109,소문
111,그날
113,개시
115,달이
116,주말
117,관객
122,그날
124,인기
125,실감
127,김광석
128,노래
129,구성
131,라이브
132,배경음악
133,한층
135,감동
139,유준상
141,예능
142,프로
143,대형
144,창작
146,단어
147,강조
150,단어
151,무대
152,음악
153,구성
155,사람
162,절실
166,예매
167,가슴
168,감동
169,무대
171,노랫소리
172,귓가
173,맴도
179,손익
180,분기점
181,연전
182,유준상
184,공약
185,남자
187,상의
188,탈의
190,격파
191,장면
192,라이브
193,감상
194,사실
196,친구
201,칭찬
207,친구
211,예매
215,김광석
216,노래
217,세대
218,크게
219,공감
221,중간
222,중간
223,멜로디
224,몇몇
225,노래
227,공연장
228,친구
229,김광석
230,노래
235,약속
240,어휘
241,이루
245,감동
246,선사
249,그날
252,찬사
257,어워즈
259,창작
264,진가
265,직접
266,체험
267,보시
268,추천
269,대학
270,입학
271,학년
272,정신
275,대학교
276,학과
279,기타로
280,서른
281,즈음
282,이등병
283,편지
285,복학생
289,김광석
290,김광석
292,악보
295,이등병
296,편지
298,김광석
300,사서
301,보라
302,그게
303,김광석
305,이후
306,김광석
307,노래
309,대학
310,생활
312,지배
315,한잔
316,노래방
317,가면
320,가수
322,노래
326,노래
332,유준상
333,유준상
334,캐스팅
335,일정
336,예매
337,행운
340,감동
342,자리
347,강력
348,추천
349,평소
350,김광석
351,노래
352,예매
353,예매
358,궁금
360,김광석
361,노래
363,김광석
364,노래
367,우울
368,어쨌든
369,느낌
371,궁금증
377,예매
380,드뎌
386,걱정
389,김광석
390,노래
391,웅장
392,편곡
394,노래
395,미리
398,출퇴근길
399,예습
400,기분
401,미리
404,재미
407,노래
408,리듬
411,감동
414,오만석
415,오종혁
416,이정열
417,김산호
418,박정
419,표씨
421,오종혁
422,노래
423,솜씨
424,연기
426,이정열
427,예전
429,치면
430,노래
432,상상
433,공연장
434,쩌렁쩌렁
435,노래
437,생각
439,감동
440,도가니
442,커튼
447,인사
448,마지막
449,선물
451,노래
452,군무
454,그것
