,Nouns
0,대니
1,샌디
2,사랑
3,이야기
5,남자
6,여자친구
7,솔직
8,발랄
9,고등학생
10,이야기
11,미국
12,하이
16,느낌
20,파티
21,느낌
22,승화
23,부담
24,넘버
26,엉덩이
28,주크박스
31,기억
34,그리스
35,이름
37,윤활유
40,수고
41,여운
43,그리스
49,정면
51,미닫이
53,추억
56,새해
58,상수
59,크루
60,그리스
63,작품
64,자밌
70,신나요
71,엉덩이
73,어쨌든
74,나무
76,그리스
79,극장
80,하니
82,보이
83,그리스
84,학원
85,그리스
86,느낌
90,이해
93,입장
96,작품
98,지난번
99,시카고
105,기필코
107,사수
108,마음
109,조기
110,예매
111,중앙
115,표정
118,땀방울
122,거리
123,덕분
125,아주
126,몰입
129,열정
130,고스
132,감동
136,좌석
137,와우
138,처음
141,웃기
144,재밋어
145,그리스
150,학생
152,그리스
153,할인
154,부담
159,연기력
163,목소리
164,노래
168,분위기
170,여주
172,주의
173,달달
177,스트레스
182,생각
183,신인
186,만이
187,기대
188,나무
189,뭔가
190,무대
191,지방
193,기대
195,노래
197,위트
198,연기력
201,막공
202,고생
203,지방
205,파이팅
206,내용
210,처음
212,항상
216,생각
217,친구
218,통해
222,엉덩이
225,마지막
228,호강
229,이힛
231,그리스
232,진리
233,서울
234,마지막
237,순회
239,화이팅
240,댄스
241,음악
244,장면
246,지루함
248,초등학생
249,보기
250,무리
253,예전
254,대학로
257,포스터
258,었는데
259,마지막
263,예매
264,워낙
265,작품
266,내용
270,상상
272,즐거움
277,역할
280,최선
281,다해
284,서울
287,수고
288,마지막
291,열정
292,그대로
294,젊음
295,열정
296,최고
301,얼굴
307,열정
308,나볼
310,앤딩
312,사랑
313,사람
315,샌디
318,감동
321,어셔
322,불쌍
323,메뚜기
324,보기
327,컷콜
328,듯이
330,대학로
331,유니
332,플러스
336,좌석
337,예매
338,무대
342,스토리
345,학원
347,학생
348,노래
350,스토리
352,학생
353,위주
358,갈등
360,갈등
362,해결
364,갈등
365,해결
366,과정
368,느낌
370,개그
371,재미
373,추천
375,그리스
376,게막
377,마지막
379,마지막
383,내용
385,학생
387,표현
388,항상
394,기분
395,공연장
397,연령
398,대가
399,나중
400,부모님
402,그동안
403,스트레스
405,해소
410,소리
412,연기자
414,노래
416,가도
417,아이템
419,그리스
422,질리
424,노래
425,주가
427,생각
428,중독
437,그대로
438,강력
439,추천
440,생동감
441,이철
442,철철
444,조카
448,노래
451,중학생
452,딸아이
453,보기
454,줄거리
456,내용
457,고등학교
458,남여
459,학생
460,고치
461,내용
462,줄거리
464,정서
468,청소년
470,무대
473,열정
474,보기
475,인터파크
476,예매
478,교환
479,소의
480,여직원
482,명의
483,융통성
484,태도
485,짜증
486,하늘
488,컨디션
493,통해
494,무대
496,열정
497,전달
498,무대
500,보기
503,예전
506,기억
509,그리스
511,실망
517,노래
520,대학로
521,나들이
522,기분
523,모로
525,처음
527,재치
528,대사
529,연기
530,후반
531,몰입
532,샌디
533,역할
534,최서연
536,목소리
537,노래
538,최고
539,발음
541,쏙쏙
543,집중
549,추천
550,일반
552,대사
560,대니
561,역할
563,조연
567,대니
568,친구
569,노래
570,연기
573,노래
575,저녁
577,실소
578,금치
579,작품
582,실망
584,처음
586,전반
587,음향
588,상태
589,공연장
591,거기
592,편곡
593,노래방
594,반주
595,느낌
596,연기자
597,음정
599,느낌
600,연습
602,학예회
604,수년
606,코엑스
608,비교
614,연보
616,대학로
617,마침
618,카드
619,행사
621,예매
622,내용
625,사전
626,지식
627,결론
630,미국
631,내용
632,우리나라
633,정서
635,그리스
636,워낙
638,올드
639,느낌
643,느낌
647,몸매
648,비주
653,메이크업
654,데칼
655,코마
656,느낌
657,포인트
660,커튼
662,극장
664,대극장
665,퀄리티
667,음향
675,그것
678,극장
679,소규모
682,부디
683,박수
684,호응
686,여자
688,환호
690,해주시
691,팔짱
698,매너
699,친구
704,금방
710,그리스
711,처음
712,생각
713,퍼포먼스
714,엉덩이
716,커튼
725,참여
729,커튼
731,대박
732,신나요
736,재밋어
737,상영
741,주인공
742,대니
743,샌디
745,스타
748,그리스
749,스타
750,탄생
752,이해
753,하이
755,러브
756,스토리
757,사전
758,공부
759,사실
760,그리스
761,한국인
762,입맛
764,미국
765,고등학교
766,배경
769,사실
771,담배
772,섹스
773,비행
774,청소년
775,러브스토리
776,미화
777,작품
778,흰색
779,난닝구
780,가운데
782,리바이스
783,청바지
784,할리데이비슨
785,가죽
786,자켓
788,리스
790,발라
791,올백머리
793,동시
794,관객
795,중독
796,명감
797,가득
799,눈빛
800,응시
801,한쪽
802,다리
804,다리
806,한국
807,정서
808,관객
811,그리스
812,매력
817,면역
818,내러티브
820,노래
823,기분
824,그것
825,관객
827,지불
828,이유
830,작품
831,배역
832,연기
834,리뷰
836,자리
839,기립박수
843,커튼
845,보시
846,절대
847,후회
848,처음
850,선택
852,그리스
853,워낙
854,작품
855,생각
857,결제
858,내용
860,충격
861,소규모
862,공연장
866,시선
869,노래
870,댄스
873,어깨
875,샌디
876,대디
877,러브스토리
878,케니키
879,리조
880,이야기
885,그리스
889,그리스
892,감동
895,그리스
897,기쁨
901,함박
902,웃음
905,열정
907,박수
909,그리스
910,기대
911,살짝
912,음향
919,몰입
921,머리
923,엉덩이
924,하하호호
925,보기
926,어린이
928,인터
929,미션
931,일부
932,마이크
933,상태
938,경우
939,처음
942,휴일
943,오후
944,샌디
945,반전
946,매력
949,노래
950,캐릭터
951,노래
952,신도
956,노래
957,중간
959,단독
960,파트
961,마이크
964,거리
965,소리
972,하필
973,단독
974,파트
978,네이버
980,프로필
981,등록
984,열연
985,덕분
986,흥이
988,지하
990,워낙
991,내용
992,노래
996,남자
997,주인공
998,대니
1000,노래
1003,매력
1005,역할
1009,그리스
1013,막바지
1016,노래
1017,연기
1020,부담
1021,보기
1022,그리스
1025,추천
1026,초딩
1027,아들
1028,데이트
1029,선택
1030,그리스
1032,처음
1036,게로
1037,저가
1039,기억
1040,대니
1042,고은성
1044,미성
1045,목소리
1047,자리
1048,대성
