,Nouns
0,나이
2,클리셰
4,스톤
5,관계
6,감동
7,눈물
8,바가지
12,미래
14,생각
19,눈물
25,노래
26,무대
39,이해
42,오픈런
44,인정
46,힐링
50,연기
54,손수건
57,기억
61,그동안
75,연기
76,넘버
79,펑펑
80,다나
84,남지
85,요담
87,그땐
91,기억
100,인생
101,고통
102,슬픔
103,기쁨
105,농담
108,연기
110,로봇
111,관계
112,설정
113,아기
114,인형
119,케어
120,센터
123,남아
124,고장
125,로봇
126,추억
128,이하
130,파기
131,로봇
132,결말
135,연출
136,비호감
138,결말
139,힐링
142,마음
146,연기
147,노래
148,연출
149,별로
152,세계
153,최고
154,딸기
159,위로
169,승현
170,로봇
175,대신
180,넘버
181,스토리
186,인사
187,의미
191,시작
194,결말
195,우린
196,중이
198,기억
204,기능
215,개성
220,일찍
228,제목
239,몰입
240,아이엠
241,컬쳐
244,관객
252,위로
257,사랑
261,최고
269,넘버
283,어서
287,마음
301,어서
305,마음
313,아이엠
314,컬처
315,극도
316,스탭
319,장가
321,추억
334,그날
353,울면
355,눈물
357,눈물
361,요담
362,꼭꼭
368,혜택
369,오디오북
370,실황
371,영상
372,재관
373,혜택
374,실황
375,오슷
376,포토북
378,절대
379,절대
381,실황
382,영상
386,기억
390,내용
391,의아
395,연기
396,펑펑
397,다나
401,스콘
402,처음
404,내부
405,입구
406,찾기
407,눈물
408,눈물
411,나이
412,여성
414,주축
416,처음
419,수고
420,세미
425,생각
427,눈물
437,캐스팅
441,캐스팅
442,처음
448,중반
450,눈물
451,밤공
452,친구
453,영업
455,연장
458,열흘
463,로봇
465,로봇
466,딸기
468,사람
472,존버합니
482,무대
483,넘버
485,감정
486,연기
490,페어
492,진행
496,마워
497,떙큐
511,과거
512,연기
513,정화
515,현재
516,연기
519,마주
522,감동
526,그동안
534,레전
536,노래
537,연기
538,일품
541,오픈런
543,사흘
555,연기
557,기회
559,마음
562,최공
563,내용
565,세용
568,로봇
569,티키타카
570,과거
571,내용
572,어두움
574,고통
578,열연
581,몰입
587,힐링
591,기분
609,기도
611,위로
614,승현
615,로봇
616,페어
622,감정
626,기분
634,시작
636,감동
644,감동
646,여름
647,사랑
652,그동안
653,수고
657,눈물
661,작정
666,최고
668,공전
671,베스
672,제목
673,서사
674,생각
675,반전
676,시기
679,창작
684,눈물
685,펑펑
686,감동
687,처음
688,비극
689,생각
692,과거
694,응원
698,쓰레기
699,대사
701,마음
705,스톤
708,미아
711,어딘가
717,대신
718,고마
720,인생
721,슬픔
722,고통
723,기쁨
725,농담
729,보배
731,처음
733,몰입
735,소문
740,칭찬
744,힐링
755,가득
757,베사
759,평일
761,사랑
763,조합
764,후회
765,최고
766,사랑
768,마사
769,땡베
771,형태
773,남아
775,기억
779,기억
781,위로
786,미아
788,스톤
792,로봇
799,생각
800,예약
801,생각
802,여운
803,눈물
806,마음
808,마음
813,여운
814,남아
815,무대
816,장치
822,이용
823,햇다
824,생각
825,넘버
830,수도
833,기보
840,로봇
845,힐링
847,스텝
850,고생
855,최고
859,커튼
861,박수
865,최고
870,시기
874,창작
876,이하
878,어셔
886,에스티
887,마음
889,만날
904,여름
910,시작
912,무대
913,인사
919,최고
921,디테
922,일도
923,노래
928,인생
929,슬픔
930,기쁨
931,고통
933,농담
939,대신
943,쏘머취
955,사람
959,마워
960,사랑
964,눈물
972,여름
975,어서
979,이예
981,여름
985,그동안
987,해도
989,여행
990,발짝
992,내일
997,커튼
998,산책
1000,기운
1004,넘버
1010,거짓
1011,어쩌면
1014,수도
1015,얘기
1017,스톤
1018,미아
1019,로봇
1023,만날
1026,그동안
1036,요캐슷
1039,기억
1041,어딘가
1047,어딘가
1048,기억
1049,간직
1051,만날
1052,그날
1063,감사
1068,인생
1069,슬픔
1070,고통
1071,기쁨
1073,농담
1080,만날
1084,대신
1091,스텝
1092,고생
1095,스톤
1098,미아
1104,치유
1110,그날
1114,홀로
1118,희망이
1121,임무
1124,불안
1125,슬픔
1126,즐거움
1127,행복
1128,누르기
1129,이후
1132,생각
1138,세미
1140,자막
1141,옆쪽
1142,앞뒤
1143,커플
1144,무리
1147,짜증
1149,연기
1150,펑펑
1151,불행
1153,행운
1157,과거
1158,걸음
1166,자셋
1167,눈물
1169,나진
1173,연기
1184,할머니
1187,세월
1188,풍파
1190,구두
1191,신고
1192,머리띠
1193,스톤
1194,사랑
1195,미아
1196,엄마
1198,부모
1202,기억
1205,문안
1213,과거
1217,도우미
1218,로봇
1221,회전
1226,중계로
1228,땍땍거리
1230,할머니
1232,날랜
1233,할머니
1234,계시
1236,기억
1237,금방
1238,기억
1242,통감
1244,눈물
1245,핑돌
1246,공감
1247,기대
