,Nouns
0,워낙
2,구성
5,넘버
6,조명
7,스토리
8,연기
10,폴란드인
11,성과학
12,자로
13,고단
17,페어
18,인지
20,임별
22,추천
24,다임
27,목소리
28,마리
29,느낌
30,인지
31,연기
34,가창력
36,눈물
37,줄줄
38,넘버
39,소화
40,연기
41,박수
43,안느
44,연기
47,매력
48,목소리
50,요양
51,승리
52,항상
53,사람
56,처음
57,찰떡
58,당황
60,민수
64,조명
65,라이브
66,작품
67,조명
68,맛집
70,박수
75,인터
76,미션
79,시작
80,정말루
83,정인지
86,마리
87,퀴리
89,연기
90,인상
91,넘버
100,재연
102,눈물
103,펑펑
105,눈물
106,줄줄이
108,온갖
109,명대사
111,마지막
113,루즈
114,마지막
115,기억
116,마리
122,엠디
123,손수건
124,내지
126,오열
128,가슴
129,해지
130,작품
131,얼른
135,마리
136,안느
140,여자
141,라면
143,마리
144,퀴리
146,등장
148,여성
149,캐릭터
151,서사
152,매력
153,지니
157,로서
158,마리
159,안느
160,관계
161,유성
163,시선
164,무성애
165,시선
170,감정
172,안느
173,가상
174,캐릭터
175,실존
176,인물
177,마리
178,친구
182,사실
184,관객
186,생각
188,명의
189,안느
190,캐릭터
191,해석
196,생각
199,피에르
200,삼각자
201,앵콜
205,질척거릴래
208,라이브
209,대표
210,앵콜
212,우리나라
213,여성
215,이야기
217,여태
219,이야기
221,이야기
222,초점
226,혼란
227,중간
228,중간
229,욕심
230,억지로
233,아마
234,연출가
235,작가
244,매진
246,재정
248,생각
253,마리
254,퀴리
256,재연
260,작품
261,세미
263,처음
267,마리
270,매력
271,네이버
272,실황
273,중계로
274,작품
276,다행
277,다임
279,멜로
283,앙상블
285,작품
286,기대
287,노래
288,감정
289,코로나
294,창작
297,초연
298,시절
299,대학로
300,대극장
301,작품
303,블랙
304,회전무대
305,점도
306,코로나
307,종식
308,시일
313,창작
316,스태프
317,하우스
318,관계자
321,고생
322,작품
323,운영
324,예측
326,무언가
328,대극장
329,나위
333,자막
334,오열
335,퀴리부인
336,마리
337,퀴리
338,마리
339,퀴리
342,리사
345,공인
347,마리
348,퀴리
353,서사
354,주가
358,무대
362,보지
369,막공
373,커튼
378,마지막
380,소향
381,마리
382,관객
383,자고
385,매년
386,여성
389,마리
390,퀴리
391,지기
398,자리
399,시야
402,공이
404,실감
407,리사
408,마리
409,마지막
415,캐스트
417,내용
420,마리
421,퀴리
422,삼연
424,마리
425,퀴리
428,마리
429,퀴리
436,마리
437,퀴리
439,최고
440,내용
445,퀴리부인
446,단어
447,마리
448,퀴리
449,그녀
450,이름
462,여성
463,주체
464,역할
467,나날
471,마지막
474,보기
477,초연
478,서사
479,개연
480,마리
481,라돈
482,이야기
483,전개
485,스토리텔링
488,열연
489,작품
495,주인공
496,사극
497,이야기
498,넘버
499,나름
502,마리
503,퀴리
504,사랑
505,삼연
506,오기
507,앵콜
510,매혹
511,흥미진진
512,앵콜
514,온통
516,코로나
517,앵콜
518,앵콜
519,창작
520,산실
523,생각
525,이전
530,마리
531,퀴리
534,열연
536,작품
537,추천
542,소화
543,재미
544,이기
547,발전
549,스케줄
550,생각
555,열정
561,말퀴
562,아뇨
564,앵콜
566,얼른
569,여성
570,투톱
572,연기
573,분위기
576,프로메테우스
577,염불
580,마리
581,퀴리
582,위인
583,서사
585,압축
588,업적
589,인물
590,로서
591,갈등
593,표현
594,여성
595,사극
596,모로
598,자극
601,생각
602,느낌
607,마리
608,퀴리
610,만날
617,이과
621,공부
624,연기
625,연출
626,서사
627,얼른
629,시즌
630,마리
631,퀴리
632,그녀
633,인생
637,사실
638,노벨상
639,그녀
645,작품
648,만점
651,마리
652,퀴리
653,재연
656,마리
657,퀴리
658,무대
663,박수
664,김소형
665,김아영
669,응원
671,마리
672,퀴리
673,화이팅
676,무조건
683,감동
684,무조건
691,마리
692,퀴리
693,만세
696,라듐
698,일치
699,친구
700,안나
702,자아
704,과학자
705,마리
706,퀴리
710,넘버
712,마리
713,역할
715,재연
718,기간
719,슷딥디
720,박제
721,눈물
722,시일
724,마리
725,퀴리
726,재연
728,사람
731,얼른
732,최고
733,눈물
735,사랑
737,작품
738,인지
739,마리
741,천재
744,무대
745,인사
746,감동
747,사랑
748,무언가
752,예측
753,차마
754,감동
755,마리
756,안느
757,다사
759,마리스
760,클로도
762,스카
763,퀴리
764,마리
767,마리
769,감동
770,서사
771,여성
772,마리
773,퀴리
774,앵콜
778,입덕
780,회전
781,입니
782,제목
783,그대로
784,감동
785,마리
786,퀴리
789,시즌
790,얼른
791,왓으
792,작품
793,시너지
794,효과
795,최고
797,시즌
798,내용
799,넘버
800,듣기
806,앵콜
807,마리
808,안느
809,사람
810,지지
811,마리
812,영향
814,주변
821,진작
824,앵콜
825,삼연
827,지도
828,최고
831,연어
835,마리
836,퀴리
837,피에르
838,퀴리
839,세계
840,여성
842,즈음
845,읍니
849,주씨
851,앵콜
853,재연
855,무인
857,앵콜
859,얘기
861,기억
862,읍니
863,그대로
864,마리
865,퀴리
867,클린
873,최고
874,사랑
875,마리
876,퀴리
877,마리
878,피에르
879,서로
881,신뢰
882,조력
883,마리
884,안느
885,연대
886,관계성
889,약자
890,마리
891,성장기
892,식민지
893,국가
894,국민
895,이자
896,여자
898,가능성
899,가치
904,눈물
905,시작
906,과학
908,가치
911,가치
913,가치
917,존재
918,인정
923,주변
924,사람
926,영업
929,거지
932,매진
933,삼연
934,사람
935,듐맛
937,티켓팅
940,걱정
942,삼연
943,오기
945,마리
946,안느
947,약속
948,아무
950,삼연
955,반복
957,입니
958,초연
959,내용
960,넘버
962,유튜브
963,초연
964,영상
969,재연
972,경우
974,성공
977,확신
979,마리
980,퀴리
982,노벨상
984,여자
985,이유
988,과학자
990,로만
994,통해
995,재미
996,감동
997,과학
1000,마리
1001,퀴리
1004,정보
1007,마리
1008,안느
1009,서사
1011,피에르
1012,루벤
1013,직공
1014,서사
1016,마음속
1024,이름
1025,넘버
1027,감정
1028,표현
1029,노래
1032,마리
1033,고뇌
1034,고통
1035,슬픔
1036,불안
1038,감정
1039,기분
1040,막도
1042,마지막
1043,장면
1045,마리
1047,실황
1048,영상
1053,예매
1058,다기
1059,감동
1060,공감
1062,퀴리
1063,부인
1064,호칭
1066,마리
1067,퀴리
1068,사람
1071,기분
1075,삼연
1077,추천
1079,코로나
1082,무드
1085,연극
1087,덕후
1088,어니
1089,평소
1093,생각
1094,주변
1095,추천
1097,인간
1098,감동
1099,위로
1100,이야기
1101,가량
1102,절정
1103,파트
1104,기승
1105,전결
1107,기승
1108,해당
1110,전개
1112,처음
1117,가면
1118,몰입
1123,겨울
1127,기대
1128,만세
1129,삼창
1132,오슷딥디
1134,영광
1137,내년
1138,내후년
1139,눈빛
1140,손끝
1141,머리카락
1142,마리
1143,안느
1144,대변
1145,평범
1146,사람
1147,퀴리부인
1148,마리스
1149,콜로
1151,스카
1152,이야기
1156,폴란드
1158,초연
1163,초연
1166,보완
1168,열연
1173,야망
1175,선택
1176,후회
1177,고뇌
1178,여성
1179,캐릭터
1180,주인공
1182,여성
1183,간의
1184,우정
1185,삼연
1186,사연
1187,오연
1188,자첫
1189,자둘
1192,일찍
1193,보기
1194,시작
1198,아쉬움
1199,연기
1200,다리
1201,마리안느
1206,초연
1207,비교
1212,형식
1214,이야기
1216,극작
1218,연출
1219,스토리
1220,감동
1222,매년
1224,극소
1225,극장
1228,박수
1229,환호
1231,초연
1233,스토리
1238,호평
1239,일색
1240,이유
1241,초연
1243,생각
1245,마리
1247,본인
1248,욕심
1252,여성
1253,중심
1254,캐릭터
1255,무릎
1261,초연
1262,안느
1263,마리
1264,깨달음
1265,도구
1268,마리
1269,안느
1270,서로
1271,통해
1272,간다
1273,스토리
1275,초연
1278,아무
1279,생각
1281,캐릭터
1283,서사
1284,마리
1285,중심
1287,남편
1288,피에르
1290,동반
1291,협력
1292,자로
1294,안느
1295,역할
1297,중간
1298,중간
1299,심장
1300,여자
1301,과학자
1302,여야
1304,차별
1305,대우
1306,중간
1307,중간
1313,요전
1315,사랑
1316,인극
1318,살짝
1321,눈물
1323,얼른
1324,삼연
1328,필요
1329,마리
1330,마리
1332,마리
1333,퀴리
1339,김소향
1341,인생
1342,캐릭터
1343,만난
1346,마리
1348,자체셨
1350,눈물
1355,연기
1357,필요
1360,후회
1363,일찍
1364,시일
1368,인지
1369,마리
1371,마리
1373,마리
1379,캐스트
1381,호흡
1382,조화로움
1383,단연
1385,최고
1387,연말
1390,마리
1391,퀴리
1398,순간
1401,생각
1404,시국
1406,용기
1408,요트
1409,아웃
1412,이야기
1413,감동
1414,창작
1417,감사
1418,프리뷰
1421,시작
1422,막공
1423,처음
1426,장민수
1428,차기작
1429,얼른
1431,프리뷰
1435,몰입
1437,충무로
1438,출근
1443,생각
1444,하니
1446,시작
1448,눈물
1450,전이
1451,시작
1452,폴란드
1454,피에로
1457,베타
1459,웃음
1460,찾기
1461,시작
1465,머리
1470,시작
1471,후회
1472,후회
1475,몰입
1478,현실
1481,마음
1483,불쑥
1484,불쑥
1485,눈물
1486,기억
1487,장민수
1489,얼른
1491,리사
1492,마리
1494,마리
1496,생각
1498,프리뷰
1499,기간
1501,마리
1504,일부러
1513,마리
1514,회전
1517,판단
1520,회차
1523,절반
1526,다행
1528,마리
1531,다행
1533,페어
1534,리사
1538,번의
1539,회차
1543,회차
1544,자리
1547,보기
1549,마음속
1550,화산
1551,리사
1552,마리
1554,생각
1555,과학자
1558,마리
1559,선택
1560,마리
1565,안느
1566,갈등
1567,죄책감
1568,후회
1572,의지
1574,고뇌
1577,삼연
1579,마리
1580,퀴리
1581,금방
1585,리사
1586,마리
1587,양루벤
1588,리사
1589,마리
1590,양루벤
1591,막공
1593,마리
1594,루벤
1595,아쉬움
1596,잔뜩
1600,만족감
1601,잔뜩
1602,프리뷰
1610,벌써
1613,줄줄이
1615,승리
1622,루벤
1624,실수
1625,거나
1626,상대
1627,애드립
1629,안정감
1631,승리
1633,루벤
1634,제대
1636,사람
1640,사람인
1642,사업가
1644,명예
1648,사람
1649,마리
1650,안느
1651,삼중창
1653,루이스
1654,데리
1655,협박
1657,안느
1659,내면
1661,와중
1662,루이스
1663,인사
1667,협박
1668,마리
1669,압박
1671,루이스
1672,이용
1673,안느
1676,아주
1677,사람
1678,장면
1681,라듐
1682,엔젤스
1683,시계
1684,장면
1685,계단
1687,서서
1688,지휘
1689,그게
1690,캐릭터
1691,변태
1695,디테일
1696,나노
1697,위로
1700,벌써
1702,공이
1703,소향
