,Nouns
0,요즘
2,엔터테인먼트
3,아이템
7,추석
8,연휴
9,부모님
10,선물
11,드릴
13,여름
15,주로
16,젊은이
17,대상
18,부모님
21,찾기
22,부모님
23,어르신
24,대상
25,구태
26,이야기
27,명작
31,선택
32,유다
33,벤허
35,카이
36,복면
38,부모님
40,부모님
41,아주
42,카이
43,눈물
46,연기
47,유다
48,배신
49,친구
51,아이비
53,유다
54,어머니
55,자애
56,로움
57,헤롯왕
59,무대
60,노래
61,무대
63,용도
64,상상
66,전차
67,경주
68,장면
69,바다
70,로마
71,장군
73,장면
74,기술
75,발전
76,예술
77,발전
79,실감
82,스탭
84,수고
85,처음
86,벤허
87,타이틀
89,벤허
91,느낌
93,유준상
95,관심
96,유준상
98,번만
99,라며
100,시작
101,벤허
103,결제
106,선택
107,내용
110,여운
114,욕구
115,입니
117,마지막
119,쇼케이스
122,유명
126,궁금증
127,벤허
128,하이라이트
129,전차씬
130,처리
131,스토리
132,전개도
133,군더더기
134,진행
135,전차씬
136,무대
137,소화
138,느낌
139,전차씬
141,멀리
144,가까이
146,집중
147,유준상
149,민우혁
150,아이비
151,서지영
153,서지영
155,엄마
157,최고
158,덕분
159,언니
160,펑펑
161,유준상
163,뭐말
165,마지막
167,연기
168,몰입도
169,전체
170,노래
171,연출
172,스토리
173,흐름
175,프랑
180,고민
181,중이
182,라면
183,추천
188,시대
189,명작
190,재탄생
191,홍보
192,문구
193,호기심
195,제작
196,얘기
197,관심
199,생각
200,래서
201,보기
203,더욱
204,걱정
205,반기
206,대반
207,심정
208,결론
210,보기
212,우리나라
213,창작
217,연출
218,넘버
219,무대
220,주연
222,앙상블
230,창작
233,단연
234,최고
235,생각
237,티켓
240,무대
241,연출
243,영상
244,무대
245,접목
246,해상
251,대형
253,경우
255,고정
256,무대
257,사용
258,경우
261,무대
264,기억
268,장면
269,전환
270,무대
274,전환
276,몰입도
278,앙상블
279,연기
281,장점
282,더욱
283,연인
284,벤허
286,셀라
287,경우
288,워낙
289,쟁쟁
291,트리플
292,캐스팅
297,고민
299,기회
301,캐스트
305,유준상
306,벤허
311,무대
313,에너지
314,연기
316,상황
317,집중
319,감정
320,연기
321,대극장
322,도객
324,고스
326,전달
327,넘버
332,셀라
333,경우
334,박민
336,셀라
339,페어
340,벤허
342,셀라
343,친구
344,생각
345,페어
348,연기
349,벤허
351,셀라
352,관계
354,절절
361,에스더
362,미리암
363,티르
365,토시
366,테스
367,빌라도
371,캐릭터
376,무대
377,앙상블
379,떼창
381,군무
383,중간
384,중간
385,소름
389,셀라
390,골고다
391,장면
395,벤허
397,셀라
398,대표
400,생각
401,래서
402,커튼
404,넘버
405,선택
406,그게
408,넘버
412,장면
413,무대
414,연출
416,연기
417,배경
418,주시
419,앙상블
420,연극
422,넘버
423,중요성
429,어감
430,왕용범
431,연출
432,인터뷰
433,복수
436,경쟁
439,성취
445,질문
447,말씀
449,감상
450,메시지
452,생각
454,여운
455,고전
456,명작
458,추석
459,가족
463,대극장
465,장점
467,느낌
468,그것
469,티켓
474,전하
475,메시지
476,올가을
479,번은
480,현재
481,우리나라
482,남자
485,중대
487,박은태
492,박은태
494,결코
495,실망
499,노래
501,최고
502,연기
503,초반
505,노래
507,생각
509,전체
511,무대
512,연출
515,중간
516,수중
518,전차
519,경우
523,초반
524,남자
526,단체
528,노래
529,최선
531,박수
533,벤허
536,사람
537,박은태
538,안시
539,하씨
540,조합
541,단연
544,최고
545,생각
548,메이드
550,작품
552,원작
554,베스트셀러
555,로서
557,사랑
559,대인
562,호흡
563,느낌
565,기독교인
566,사람
567,감동
568,오진
569,벤허
571,소식
573,호기심
574,걱정
575,먼저
577,크게
578,흥행
580,상태
582,생각
585,유준상
586,박민
587,아이비
588,서지영
590,페어
592,감상
594,최고
595,유준상
600,무대
602,무대
606,운명
607,안정
608,샤우팅
609,아이비
611,카타콤
612,듀엣
615,목소리
617,드라마
618,와중
619,불구
621,커튼
625,보이
627,맑은
628,얼굴
630,박민
633,가창력
634,연기
637,생각
643,셀라
644,캐릭터
646,연출
648,장면
650,계시
652,매력
655,기분
656,아이비
660,소름
662,쇼케이스
664,무대
666,음향
669,감동
670,서지영
672,기도
673,항상
674,눈물
675,어쩌면
676,연기
678,체적
679,구조도
680,원작
681,보신
683,만들기
684,작품
686,불구
687,생각
690,작품
691,스탭
693,제작
696,노고
698,전체
701,몰입
704,최악
708,추천
710,스포일러
712,주의
713,벤허
714,주인공
715,허가
717,장면
718,등장
720,의상
722,의상
723,전체
724,시대
725,해치
726,생각
728,셀라
729,분량
731,임팩트
732,카리스마
733,극장
736,앙상블
737,넘버
738,연출
739,초반
740,식탁
741,넘버
742,이정수
744,시저
746,김성기
749,텝스
750,유대
751,지주
752,회의
753,씬이
755,장면
756,무대
757,미술
758,조명
759,연출
760,넘버
761,자꾸
763,남구
765,씬입니
766,커튼
767,콜도
769,커튼
771,데이
772,생기
773,홍보
776,초연
777,기간
781,재연
783,벤허
784,주신
789,부모님
790,프랑켄슈타인
792,충격
793,감동
795,창작
797,듣기
801,스토리
802,차이
804,극적
805,감동
807,취향
812,퀼리티
813,국내
814,창작
816,수준
818,여실히
819,작품
822,감탄
823,기도
824,군데군데
828,보이
830,대극장
831,무대
832,세트
834,장치
835,무대
836,효과
837,의상
839,그것
846,벤허
847,전차씬
851,장군
853,장면
854,콜로세움
855,전투
856,장면
858,전율
860,표현
862,물속
863,헤엄
864,장면
865,표현
867,무대
868,장치
869,효과
870,충격
871,인상
872,대극장
875,값어치
877,생각
881,대작
882,주변
883,사람
884,추천
886,본회
887,박은태
889,아이비
891,박민
894,박은태
896,명실
898,대한민국
899,대표
901,해도
902,과언
904,타이틀
906,작품
908,실망
909,작품
913,은태
915,지칭
916,수식어
917,최근
918,팬텀
919,메디슨
920,카운티
