,Nouns
1,인생
5,장면
9,한바탕
13,고민
15,털털
18,평생
19,사랑
23,리뷰
26,만이
27,워낙
31,넘버
32,워낙
33,기대
34,가득
35,기대
39,눈물
42,열연
43,창해
44,주신
46,진심
47,시절
49,여자친구
53,남자친구
54,남자친구
55,생일
56,맞이
61,넘버
62,잔뜩
63,기대
65,경험
69,마니아
75,캐스팅
79,노래
80,연기
81,유머
86,메세지
87,감동
89,기억
94,한지
95,일주일
96,매일
97,유튜브
100,넘버
102,여운
107,생각
110,시험
113,한국
114,최고
115,창작
117,명성
123,관계자
124,추억
125,선사
126,주신
127,전하
130,위로
134,명불
137,연기
145,사이
147,객석
149,조연
150,연기
151,감명
153,내용
157,사람
158,사람
159,과정
161,강연정
162,나영이
166,잡채
167,저번
172,지신
174,문화
178,워낙
181,이제야
182,생각
183,현실
185,공감
186,위로
188,최고
191,준비
192,고생
196,관객
199,무대
200,중앙
201,서면
203,안보
206,연기
210,관객
212,수만
214,인터
215,미션
216,시작
218,자리
221,확인
222,하우스
223,매니저
224,자리
225,이동
226,빈자리
228,시작
230,확인
231,자리
232,비어
233,휠체어
237,의자
238,주시
241,그것
243,빈자리
244,휠체어
246,비어
247,유통
248,활용
250,친구
251,연인
252,가족
259,공감
260,기도
261,재미
262,감동
268,추천
269,마구
270,마구
271,사람
272,롱런
275,새삼
278,음향
281,연기
283,연기
287,서울
288,살이
290,해인
291,가로
292,시작
293,질문
297,이유
298,서울
300,서울
301,살이
309,중심
310,주변
311,인물
312,서사
316,떡밥
317,회수
319,몇몇
320,눈물
321,관객
323,파주
324,좌천
329,그녀
330,위로
332,엄마
333,집주인
334,할머니
337,슬픔
339,노래
340,음악
343,아사
345,서울
346,참고
348,사람
350,상황
351,기회
352,도시
353,서울
357,롱런
361,공감
364,서인
366,생각
372,사회
373,반영
376,영은
377,반지하
378,옥탑방
379,형편
382,역경
383,극복
385,사랑
389,희망이
390,생각
391,희망이
392,영도
394,의지
397,시대
399,나영이
402,마음
405,연기
407,역구
409,지인
414,열연
418,반증
420,진심
421,응원
423,꽃길
428,울음
429,포인트
430,달라짐
431,현대
433,힐링
434,넘버
435,스토리
437,마이크
438,건가
440,혜민
443,도우
446,우산
447,가방
448,퍽내팽겨
449,박력
450,상웅
452,나용
459,마음
460,감동
466,힐링
469,연기자
472,에너지
473,내용
476,폭력
478,액션
480,인위
483,연기력
484,진정
485,감동
486,진심
487,부모님
494,조만간
496,방문
498,예정
500,연기
501,노래
502,연보
504,관객
505,박수
506,호응
510,감상
511,가족
516,연기
517,장기
519,이유
528,기차
529,타고
530,멀리
531,방촌
532,사람
533,지금껏
536,최고
537,사람
538,추천
544,연기
545,노래
546,최정화
548,할머니
549,연기
551,다리
554,주위
555,어르신
557,지방
565,주신
566,메세지
570,엄마
574,선택
578,엄마
583,세탁기
585,모녀
588,내용
589,엄마
591,마음
592,깨끗
594,기헌
596,김은지
598,장혜민
602,캐스팅
606,변신
607,생활
608,연기
610,장난
613,기헌
614,성량
615,예술
616,노래
617,음색
619,연기
621,대사
626,눈물
627,사랑
628,마음
630,힐링
631,기분
632,장혜민
633,보조개
635,매력
636,배역
637,사진
638,실물
645,힐링
647,레전드
651,기대
661,힐링
662,친구
666,친구
668,명성
669,그동안
671,일요일
673,안고
675,자리
679,단체
681,오신
683,어머니
684,무리
686,시작
690,안방
692,일행
696,무대
702,매너
703,처음
707,고의
708,장면
711,세상
712,결혼
713,결혼
714,구호
716,뮤지
717,컬입
718,예능
720,나영이
721,본인
722,자식
724,나영이
726,연기
727,나영이
728,경기
729,응원
730,도대체
732,나이
733,무기
735,주변
736,사람
740,본인
742,소리
743,무대
747,방해
748,참고
751,남자
757,스텝
763,관리
766,명도
768,어머니
770,분위기
771,망치
772,스텝
773,경로
774,우대
782,기억
785,현장
786,관리
793,생애
797,엄마
800,연극
803,봣는데
805,흥행
807,연기력
809,할머니
810,역할
811,최정화
814,행동
815,제스처
818,습관
821,할머니
822,행동
824,노래
825,감동
826,재밋
827,엄마
830,장혜민
832,기헌
833,최정화
834,김은지
835,장격수
836,김지훈
837,이태
839,정예지
841,최고
843,기간
845,이유
849,확인
853,내용
854,시대
859,감안
863,감사
872,음향
874,음향
875,몰입
877,요소
878,관객
881,마음
882,힐링
886,장현
887,실적
888,사람
889,냄새
893,다우
897,희노애락
901,마워
909,전개
910,전개
912,필요
920,이유
921,넘버
927,연기
928,노래
934,공감
937,이유
940,열연
942,눈물
947,기회
948,감동
950,보시
951,마음
952,치유
953,제주도
957,거임
961,시작
967,이후
968,드라마
972,어어
973,어무
975,후욱
978,인생
983,재미
984,당제
985,위로
988,부랑
989,할머니
998,감정
999,이예
1001,대파
1003,껍질
1004,애플
1005,베이컨
1006,염통
1007,팽이
1008,버섯
1009,삼겹살
1011,무대
1013,자리
1020,무대
1021,애턱
1022,괴고
1023,거리
1027,예술
1031,도저히
1034,자리
1035,시작
1038,어깨
1040,시작
1046,신발
1048,두통
1050,지난번
1051,친구
1052,세명
1055,잡고
1057,판매
1060,불가
1062,판매
1069,자리
1070,르루
1074,열연
1076,이승헌
1079,놀림
1080,몰입
1083,어요
1084,영역
1087,가창력
1091,열연
1094,최고
1095,만족
1098,앞줄
1100,감동
1101,노래
1103,마음
1104,강추
1106,연기
1107,재치
1111,몰입
1117,에피소드
1118,노래
1123,지인
1125,추억
1126,선물
1128,기대
1133,시대
1137,공감
1138,연기
1139,노래
1143,롱런
1144,청아
1150,이후
1156,기적
1163,감동
1164,연정
1169,얘매
1171,만난
1172,남자친구
1173,처음
1174,여행
1176,연극
1179,기억
1181,부산
1186,마음
1193,매력
1194,발견
1197,실력
1198,넘버
1201,감사
1203,관객
1205,연기
1207,노력
1210,감사
1213,테디
1214,셀러
1215,이제야
1216,감상
1218,예전
1219,연출
1224,힐링
1227,대극장
1230,처음
1235,추천
1237,별로
1239,재미
1240,감동
1243,부모님
1246,위로
1251,시작
1253,회전
1257,목소리
1259,국보
1261,공감
1270,최고
1271,선택
1275,오래오래
1277,엄마
1290,웃음
1291,감동
1292,재미
1294,연기력
1295,노래
1298,퍼펙트
1299,주변
1300,친구
1302,추천
1303,기회
1310,롱런
1314,가면
1316,작정
1324,최고
1328,취업
1329,동시
1330,시작
1331,타지
1332,생활
1334,퇴근
1336,깜깜
1339,내용
1341,마음
1343,무대
1344,세팅
1345,표현
1351,몰입
1353,감동
1355,부모님
1358,사람
1359,포스터
1362,힐링
1367,해치
1371,단비
1374,현재
1375,인기
1376,두고두고
1377,사람
1381,잔뜩
1382,기대
1384,살이
1385,소시민
1387,내용
1388,웃기
1389,기도
1390,감동
1392,감동
1393,재미
1396,가득
1398,최고
1409,감정
1413,중학교
1415,방과후
1416,수업
1423,노래
1426,소름
1428,가족
1431,웃기
1433,눈물
1437,휴지
1441,사랑
1446,스탭님들
1448,고생
1451,워낙
1452,인기
1455,넘버
1456,신파
1457,힐링
1459,장르
1463,취향
1465,흥미진진
1469,서사
1473,고가
1474,무지개
1475,나라
1477,창피해
1478,지지
1480,고랑
1481,나영이
1485,노래
1486,가사도
1487,스토리
1492,여건
1493,예전
1494,앨범
1495,복각
1496,마음
1497,위로
1500,의사
1501,시작
1502,면서
1503,갑자기
1504,눈물
1513,만족
1514,힐링
1517,내용
1519,연기
1520,조연
1521,노련
1522,미가
1524,조합
1529,서울
1534,상황
1535,감정이입
1541,노래
1542,분위기
1543,내용
1544,눈물
1545,노래
1549,몰입
1553,반주
1554,노래
1555,싱크
1562,부모님
1565,생각
1566,기간
1568,아들
1570,생각
1571,드뎌봤어
1572,후회
1574,이제야
1579,공연예술
1581,외한
1583,부부
1588,으리
1589,으리
1590,세트
1591,연상
1592,무대
1593,살짝
1595,연기
1596,실력
1597,감탄
1599,방촌
1600,불법체류
1601,노동자
1607,이슈
1608,사회
1609,일면
1611,감동
1612,위로
1620,연극
1628,도전
1630,연극
1631,특유
1632,분위기
1633,개그
1635,이색
1636,연극
1638,음악
1640,연기
1641,노래
1642,롱런
1644,이유
1645,십여
1652,타향살이
1653,서울
1654,살이
1655,주인
1657,할머니
1659,외국인
1660,근로자
1667,남일
1668,눈물
1670,눈물
1678,원동력
1680,장수
1684,화이
1686,친구
1694,연기
1695,스토리
1696,무대
1697,연출
1703,강력
1704,추천
1705,롱런
1706,지방
1707,상경
1708,케이스
1709,공감
1711,울음
1712,여유
1717,감동
1718,고향
1719,서울
1720,정착
1721,사람
1731,열연
1732,장기
1735,깨알
1736,디테일
1737,곳곳
1739,멀티
1741,역할
1743,남자
1745,열정
1746,에너지
1749,페어
1752,전번
1753,비교
1756,영강
1759,에너지
1760,포인트
1761,진심
1763,리심
1764,슬롱
1767,기헌
1769,성량
1771,데몬
1774,연기
1781,여자
1785,기헌
1790,차만
1793,미사
1795,주인
1796,양미경
1798,정이
1799,엄마
1800,진심
1801,감초
1806,진심
1807,나사
1809,굳이
1810,오늘이
1812,대심
1813,우성
1815,주심
1818,깜놀
1819,연기
1820,대박
1821,이윤성
1824,멀티
1825,함며
1826,저번
1828,루즈
1829,해지
1833,나칭
1838,하여튼
1841,커튼
1844,페어
1850,엄마
1851,학생
1853,기억
1860,무대
1861,자리
1868,시작
1870,분위기
1872,공감
1874,관객
1876,평생
1877,회전
1881,유니
1882,플렉스
1885,세상
1886,하루
1888,이후
1892,시대
1893,변화
1894,각색
1896,감동
1899,초창
1903,서울
1904,살이
1909,서울
1910,살이
1913,어쩌면
1915,인생
1918,서울
1920,통해
