,Nouns
1,사람
4,정상
5,번만
8,넘버
9,스토리
10,무대
19,무대
25,용기
26,위로
31,그동안
32,수고
36,학자
38,거리
40,소식
42,사람
48,재밋어
50,기억
53,금방
67,기세
69,박새
75,넘버
78,무대
79,세트
81,감정이입
82,극하왜
84,공인
86,조명
88,체감
93,기분
94,별보
95,감기
96,계절
97,만만
99,소식
100,전하
104,애드립
107,절절
108,진행
114,희망
121,기세
122,박새
124,페어
135,소식
136,매일
138,행복
140,짱짱
141,힐링
145,마음
146,해지
147,힐링
148,생각
149,기분
151,소식
152,전하
153,무대
155,향복
159,만날
167,존경
168,공작
172,한덕
173,구가
178,공주
180,막차
181,탑승
183,플러
184,회차
185,회전
190,플러그
191,잡채
209,무대
211,넘버
212,조명
213,무대
216,힐링
218,전하
223,최고
224,최고
225,넘버
226,최고
227,조명
228,최고
229,캐슷
235,짱짱
237,나라짱
240,생각
242,힐링
244,돟아
245,구질
246,구질
252,거지
254,레전
255,마무리
258,기왕
259,이면
260,무대
267,박제
268,밋슴레
269,레알
270,밋슴
272,엄마
273,함슴
276,하나요
279,내년
280,내후년
283,연장
288,이대
290,아포
291,갑자기
292,만원
294,인생
295,최고
296,뮤지
300,최고
302,지방
303,이천
304,군포로
305,내용
306,나름
307,굴곡
308,넘버
310,공한
313,렘플러
317,자막
318,사람
325,무한
326,감사
330,인터파크
331,계정
332,정지
335,친짓
336,부정
338,핑계
342,구실
344,서버
346,애꿎
347,회원
348,차단
351,차단
352,계정
353,정지
356,제작사
358,인터파크
359,단독
362,예비
363,관객
364,계정
365,정지
368,조명
369,무대
371,연기
372,종교
374,생각
376,이입
377,진실
380,해도
381,조명
386,넘버
387,조명
388,기분
391,소식
392,전하
393,자시
396,눈치
398,노래
399,무대
400,장면
401,연출
402,노래
404,연기
410,진정
411,우주
413,데리
419,소식
425,성렘
426,연기
428,눈물
429,왈랄
430,알라
434,무대
441,별자리
442,조명
443,한눈
448,보이
454,마음속
456,가득
460,연출
461,연기
462,노래
470,안내
471,멘트
472,무대
473,인사
482,소식
484,사람
487,스토리
489,애드립
490,노래
491,연기
492,넘버
495,짱짱
498,힐링
505,준비
509,진실
511,마주
515,한여름
522,힐링
533,아픔
536,소식
545,직접
546,신념
547,세상
548,사람
549,노력
550,사람
552,본진
557,대사
558,눈물
559,사랑
562,자리
566,힐링
572,소식
573,전하
574,사람
581,역할
582,넘버
588,고기
590,파멸
593,희망
