,Nouns
1,안우
3,성도
4,연기
7,얼른
12,하늘
13,나들이
15,선녀
20,눈물
21,버튼
22,판소리
23,조합
25,오픈
31,연장
32,해주시
33,인혜
36,사랑
40,더욱
41,아랑
43,연장
44,박정원
46,이마
47,해명
48,퓨전
50,요도
52,매력
56,중단
57,바람
64,시즌
65,무대
66,조명
67,배경
69,연기
70,노래
71,도창
72,인상
74,한국
77,자주
80,여운
81,남고
83,노래
84,연기
86,전체
87,관통
88,소재
90,시기
91,보기
94,생각
95,실황
96,아랑
97,아랑
98,아랑
99,아랑
100,자꾸
102,요통
103,사연
104,마을
107,노래
108,무대
109,의상
110,코로나
112,예매
113,취소
114,연기
116,보기
117,시작
118,기간
119,요가
120,아쉬움
121,무대
122,구성
123,넘버
124,코로나
126,보지
132,코로나
134,별로
136,요담
138,송원근
143,박민
145,역할
146,아랑
147,지숙
149,정연
155,매력
156,달라
160,시즌
165,막공
167,중간
169,중단
173,정연
176,천재
178,평생
179,연기
180,아랑
182,권력
183,성범죄
186,최고
187,뮤지카
190,시즌
191,꼭두
193,상상
194,연기
195,아랑
205,간만
206,더욱
208,넘버
210,불구
211,전통
212,악기
213,음악
219,예매
221,아스
222,라지
223,아스
224,라지
227,마음
229,작년
230,대학로
231,처음
232,아랑
234,정동극장
235,기대
236,무대
238,심플
239,연출
243,소름
244,박정원
246,정연
247,아랑
248,박민
250,승리
251,도림
252,이진우
253,정지혜
257,중단
260,아랑
261,구천
262,헤메
266,박민
267,도미
269,장군
271,장군
275,취소
277,무대
278,조명
279,세트
280,연출
282,중단
283,기도
288,관객
290,수고
293,음악
294,무대
295,장치
298,아무
300,영업
302,재연
304,전문
307,보지
310,시일
312,재연
317,넘버
318,무대
319,연기
322,사랑
324,앵콜
329,아유
330,코로나
332,취소
334,앵콜
336,가즈
340,일정
342,중단
343,기간
350,시즌
351,처음
353,넘버
354,매일
357,캐스팅
359,의미
360,에스티
361,넘버
362,안내
369,조만간
370,소식
371,아랑
372,가오
374,저서
376,위로
377,하라
378,아랑
379,아랑
380,등장인물
381,이름
382,노래
383,내년
387,내년
390,스토리
393,불호
394,수도
397,연기
398,워낙
399,노래
400,인지
402,캐릭터
403,공감
404,기도
406,정연
409,벌써
411,지숙
413,작품
414,처음
417,소리
421,슬픔
424,감정
425,상황
426,소리
428,디테일
429,승리
431,얼굴
434,고구려
436,배신
441,아랑
442,가가
443,지숙
444,아랑
446,시즌
449,마지막
450,정원
454,런개
457,처음
458,중앙
459,뒷쪽
460,조명
461,배경
462,처음
464,전체
468,느낌
470,버렷어
472,벌써
475,누가
477,사람
478,생각
480,사정
482,연기
484,피아노
486,수가
487,생각
490,사극
491,취향
494,맴도
496,이름
497,가사
500,빛과
501,어둠
505,가사
506,매치
507,의미
508,대화
511,캐스팅
512,그대로
516,법치
517,큰절
520,넘버
528,가슴
530,생각
532,무대
533,무대
534,조명도
535,노래
541,코로나
543,중단
544,일자
546,일자
548,연출
549,조명
550,넘버
552,연기
561,정동극장
564,무대
565,인사
566,커튼
571,기억
574,송원근
575,지숙
580,아랑
583,넘버
584,무대
585,연출
588,노래
589,코로나
591,자꾸
592,노래
593,머릿솟
595,아랑
597,생각
598,듭니
601,더욱
604,매화
606,봄날
609,만날
612,페어
614,레전
616,저번
617,아랑
623,연기
624,캐릭터
626,도창
627,소리
628,마음
631,오슷
632,한국
633,느낌
634,전통
639,예술
640,작품
641,생각
642,아랑
645,아랑
649,시즌
651,중독
652,노래
654,아랑
655,아랑
656,아랑
657,아랑
658,아랑
659,아랑
660,아랑
661,아랑
662,벌써
665,노래
666,아랑
667,아랑
668,아랑
669,아랑
670,아랑
671,아랑
672,아랑
673,아랑
674,아랑
675,아랑
676,아랑
677,초연
678,재연
680,삼연
682,사실
683,취향
685,취향
686,이면
687,초연
688,재연
694,설득
697,실컷
698,송원근
706,송원근
707,지숙
708,박민
709,노래
710,지난번
711,정동극장
715,소리
722,무대
724,아랑
725,가도
726,장군
727,한국
731,매화
733,봄날
735,리아
736,아랑
737,아랑
738,아랑
740,폐하
744,아랑
745,아랑
746,랑그
747,노래
749,보나
751,유료
752,생중계
754,지숙
756,목소리
758,국보
759,판소리
761,아랑
762,강력
763,추천
766,아랑
767,아랑
768,거려
769,최고
770,후크송
773,걱정
775,애배
777,성도
780,박정원
784,아랑
785,아랑
786,아랑
791,기도
792,아랑
795,지세
796,다가
798,인혜
799,창의
800,목소리
802,사람
803,홀린
805,도미
806,장군
809,도미
810,아랑
812,눈물
814,계절
818,아랑
820,하필
821,아랑
822,볼거리
823,판소리
825,접목
827,무대
830,판소리
831,활용
836,있브니
838,아침
839,마을
843,새벽
845,아산
854,보름달
857,앞길
859,그림자
862,대손
865,먼저
866,태양
869,아랑
871,연기
873,중단
876,판소리
877,진입
878,장벽
882,후회
884,판소리
885,하드캐리
886,재미
887,동시
888,아랑
889,지숙
891,어쩜그리
892,목소리
893,신지
894,처음
896,목소리
898,초반
899,시절
901,꾀꼬리
902,후반
903,목소리
904,단호
911,우근
912,시나
913,후반
914,점점
915,고생
916,결귝
926,후크송
927,머리
929,나가요
930,코로나
932,예매
934,가슴
935,입니
936,아랑
937,넘버
938,귓가
942,개로
943,아랑
945,이해
946,여운
948,기간
953,즐거움
954,원근
956,연기
957,소리
960,지숙
961,아랑
962,대현
963,아랑
964,아랑
967,대학로
969,캐슷고
970,아랑
971,아랑
972,아랑
973,아랑
974,아랑
975,아랑
976,아랑
978,시국
980,장군
981,이오
982,송원근
984,데리
985,온몸
986,전율
987,정동극장
989,중단
991,정동극장
992,분위기
993,무대
994,연출
996,정동극장
997,이해
998,초연
1000,삼연
1001,연출
1003,연기
1005,노래
1007,위로
1008,목소리
1009,아랑
1010,아랑
1011,아랑
1012,아랑
1014,오슷
1015,오늘이
1019,최고
1020,개로
1021,기간
1024,무대
1026,사용
1027,인상
1029,완성
1032,인생
1033,사랑
1035,고민
1039,아랑
1040,아랑
1041,아랑
1042,무대
1043,도서
1044,사도
1045,비어
1051,중단
1052,연장
1055,딥디
1056,아랑
1057,아랑
1059,가락
1063,마지막
1064,백제
1065,최고
1066,후크송
1067,아랑
1068,아랑
1069,아랑
1070,아랑
1071,아랑
1072,기간
1075,회한
1076,회의
1078,느낌
1080,중단
1083,열연
1084,몰입
1086,노래
1088,재밋었어
1089,아랑
1090,아랑
1091,수가
1094,봐슨
1098,판소리
1099,조화
1100,인혜
1111,걱정
1115,만날
1117,이기
1119,넘버
1121,연기
1122,감탄
1129,아랑
1130,아랑
1131,아랑
1132,아랑
1133,멜로디
1137,눈빛
1138,연기
1140,시즌
1141,여백
1143,여백
1144,연출
1145,인상
1146,코로나
1153,만날
1155,디비디
1156,디비디
1158,번의
1160,중단
1161,재개
1163,스텝
1165,고생
1166,덕분
1170,송원근
1172,최고
1174,조명
1175,작품
1179,코로나
1180,취소
1186,도무지
1189,중단
1191,연장
1196,백제
1197,이야기
1198,기도
1199,넘버
1200,기억
1201,남아
1202,요도
1204,카리스마
1206,전통
1207,현대
1208,감각
1209,조화
1211,인상
1213,중단
1215,사이
1216,회차
1217,시일
1221,넘버
1223,요도
1225,선생님
1226,자꾸
1228,엄마
1229,엄마
1232,담번
1234,캐슷데리
1236,아랑
1237,아랑
1238,아랑
1239,재개
1240,덕분
1243,오슷
1245,알림
1247,어제
1248,처음
1250,멜로디
1253,수능
1254,금지
1256,무대
1257,비어
1262,연기
1266,해설
1267,등장
1269,창의
1270,기량
1274,시즌
1278,취소
1279,아쉬움
1286,아랑
1287,가오
1289,귓속
1290,자꾸만
1291,코로나
1292,취소
1293,기간
1294,연장
1297,오늘이
1299,공이
1301,짜증
1304,스텝
1306,고생
1307,아랑
1308,아랑
1309,아랑
1310,뭔가
1311,아리
1313,아랑
1314,가판
1315,소리
1317,조합
1318,넘버
1319,도창
1322,숨죽
1323,집중
1324,무대
1325,절제
1328,느낌
1329,비어
1332,코로나
1337,다행
1342,전체
1344,비극
1345,결말
1346,마음
1347,보이
1349,장군
1350,아랑
1351,사랑
1352,파멸
1353,이야기
1355,연기
1356,노래
1357,가슴
1358,입니
1359,무대
1360,장치
1361,조명
1362,소품
1363,국악기
1364,서양
1365,악기
1366,조화
1370,창의
1373,공간
1376,아랑
1377,아랑
1378,귓가
1381,마음
1383,번의
1384,예매
1385,취소
1388,아랑
1389,대형
1391,공연장
1392,가득
1393,넘버
1394,연기
1395,림막
1396,활용
1397,연출
1398,판소리
1399,활용
1400,넘버
1401,소름
1402,개로왕
1403,상처
1404,탈출
1406,욕망
1407,대상
1408,더욱
1409,집착
1410,스스로
1411,나라
1416,슬픔
1420,도무지
1426,취소
1428,최대한
1433,정지혜
1434,박인혜
1436,요도
1442,넘버
1443,무대
1444,연출
1448,쫀쫀
1449,연기
1450,무대
1452,성량
1453,압도
1457,세미
1459,막공
1464,아랑
1465,가오
1466,길목
1470,연장
1471,최대한
1472,일자
1478,머리
1480,소름
1481,인물
1482,감정
1483,공감
1484,매력
1486,연장
1488,개로왕
1489,도미
1490,설화
1491,바탕
1493,창가
1494,판소리
1495,활용
1497,소리
1499,박인혜
1501,분명
1502,주인공
1504,자의
1507,설명
1508,카리스마
1509,무대
1510,장악
1512,정연
1513,아랑
1517,공이
1520,수가
1525,아랑
1526,판소리
1528,만남
1529,요도
1531,소리
1532,매력
1533,노래
1535,공주
1536,처음
1543,정동극장
1544,시야
1545,무대
1546,심플
1547,분위기
1548,좋븟다
1549,적벽
1553,처음
1554,창의
1555,내공
1556,소리
1557,쩌렁쩌렁
1558,하니
1560,작품
1564,취소
1565,바람
1567,보나
1570,국적
1571,넘버
1572,아랑
1574,공이
1576,코로나
1578,여파
