,Nouns
0,조국애
1,적국
2,원수
3,사랑
4,번뇌
5,나일강
8,조국
9,누비아
11,노예
13,합창
16,사랑
17,피어
19,조국
21,운명
23,여운
24,여인
26,사랑
27,세계
28,우린
31,캐스팅
36,분한
37,소냐
38,그녀
39,가창력
40,연기
41,기대
43,안정감
45,고음
46,세포
49,소름
50,연기
57,공명
58,기관
60,소리
62,발성
63,음악
64,성의
67,흐름
72,비중
75,이집트
77,누비아
78,백성
80,울음
81,노예
83,몸부림
84,계산
85,안무가
86,그것
88,메세지
89,전달
91,격동
92,절박
93,언어
95,구음
97,음향
98,의존
99,절규
100,효과음
102,이보
105,표현
108,아프리카
109,원색
110,컬러
111,화색
113,이집트인
114,무대
115,미술
119,단연
120,으뜸
123,패션쇼
124,장면
125,수영장
129,볼거리
130,거리
133,감각기관
135,베스트
136,오브
137,베스트
145,열정
149,스토리
153,컨디션
154,최고
155,스토리
156,배경
157,의상
158,넘버
160,김준현
166,연기
170,노래
171,군무
172,최고
173,디즈니
174,어른
175,눈높이
177,노래
178,퍼포먼스
180,기억
181,컨디션
182,그동안
185,절절
186,감정
192,감동
196,지휘
198,칼론
199,감독
200,열정
201,오케스트라
203,절규
204,앙상블
208,기윤
209,조세르
210,철완메렙
211,관중
212,환호성
213,감동
221,감성
228,커플
229,엮어서
230,처음
232,최수형
233,조합
237,후회
239,대사
241,노래
242,소리
247,외적인
248,요소
249,앙상블
251,몇번
253,겨울
262,캐스팅
263,캐스팅
269,분위기
270,걱정
278,노래
279,연기
280,최선
281,최고
282,기량
283,객석
284,반응
285,폭발
287,기억
288,최고
290,기억
293,남녀
295,하모니
296,소름
297,무대
298,조명
299,의상
300,넘버
305,김준현
308,래서
309,평소
311,감미
317,버전
320,기대
321,토요일
322,저녁
325,소냐
326,캐스팅
328,마직막
330,엔딩
331,펑펑
332,시작
334,눈물
335,연기
336,노래
337,내용
339,부모님
342,감동
344,노래
345,연기력
346,주위
347,추천
350,역쉬
353,출연
356,장난
360,감솨
368,무대
370,구조
371,앙상블
372,퍼포먼스
379,절절
380,사랑
386,무대
387,장악
391,아앙
392,일주일
393,감명
395,대박
397,최수형
398,처음
400,소냐
403,노래실력
408,기대
411,근대
412,무대
414,의상
417,무대
418,예술
422,최수형
423,처음
425,소냐
428,노래실력
433,기대
436,근대
437,무대
439,의상
442,무대
443,예술
447,무대
448,연출
449,인상
450,수준
452,연기력
453,최고
461,하루
462,무대
466,음악
467,연출
468,노래실력
474,캐스트
477,차준
479,페어
481,무대
482,조명
483,소품
484,의상
485,넘버
491,사랑
496,기억
511,실망
513,무대
514,음악
515,조명
516,군무
520,최고
524,처음
525,소냐
527,수형
530,조합
537,지인
539,좀처럼
542,김준현
544,무대
546,환상
547,기립박수
548,절로
551,우연
552,기회
553,소식
556,기전
558,연출
560,다한
561,출연자
562,연기
571,가게
574,소냐
575,성량
576,압도
578,주역
580,하씨
581,매력
582,무대
583,연출
584,현대
586,접목
587,안무
592,장군
594,최수형
596,상태
602,기대
604,감동
605,앙상블
606,조합
608,연기
612,지식
613,별로
615,내용
616,전달
618,노래
620,감정
621,호흡
624,이집트
625,무대
626,배경
627,표현
629,오래오래
630,뇌리
631,기억
