,Nouns
0,박효신
2,무조건
3,생각
6,조연
8,노래
9,감동
11,실력
13,구나
14,새삼
16,시아
17,공작부인
18,노래
22,노래
23,실력
24,배경음악
27,취향
28,가슴
31,위로
32,우르
33,수스
34,노래
35,소리
36,감정
37,배경음악
39,눈물
40,살짝
43,죽음
44,그윈플렌
45,노래
46,배경음악
47,눈물
48,대박
49,무대
50,배경
52,전시회
54,느낌
55,기도
57,판타지
58,기도
60,보기
62,예매
63,도서관
65,주일
66,기한
67,장도
69,어쩜
72,한숨
76,인생
78,무대
79,엑소
81,수호
83,노래
85,노력
88,라스트
89,키스
90,볼때
97,감동
101,나름
102,적지
104,스토리
105,짐작
108,스토리
109,전체
113,내용
114,구성
116,전개
117,나름
118,짐작
119,이해
123,의미
124,넘버
125,리도
126,볼거리
127,제작비
128,볼거리
129,무대
130,세트
131,연출
132,의상
134,무대
135,연출
138,스토리
141,웃는남자
143,꼬리
144,상징
145,무대
146,세트
148,배경
149,세트
150,완성
151,시작
152,바다
153,포현
154,연출
155,그야
156,감탄
157,바다
159,상황
160,볼거리
167,방불
171,넘버
172,비중
173,글쎄
174,무대
175,연출
177,무게
179,매료
180,넘버
182,한가지
184,코믹
185,요소
186,넣기
189,여왕
190,등장
191,장면
196,책속
197,표현
199,상상력
200,자극
203,소유
206,웃는남자
208,책보
210,감동
215,공이
218,음악
219,색깔
220,대본
221,각색
222,요즘
223,무대
224,연출
225,예전
226,기술
227,무대
228,분위기
229,색감
230,예술
231,표현
232,사실
233,기대
238,단연
239,무대
240,연출
243,손안
246,박효신
247,압도
248,성량
249,연기
250,노력
252,더욱
253,남자
255,한층
256,업그레이드
259,연기
260,우르
261,수스
262,시아
263,공작부인
264,기타등등
266,인물
267,표현
268,감동
269,벌써
273,몇번
277,추천
281,스텝
282,오케스트라
283,감동
284,사실
285,박효신
288,덕분
290,소설
292,막상
295,가수
297,원작
298,고민
299,신경
300,느낌
301,형언
302,감동
303,빅토르
304,위고
305,소설
307,가수
308,덕이
309,페이지
310,가까이
312,마음
313,페이지
314,감탄
315,감동
317,난건
318,작가
319,위고
320,애정
321,집필
324,캐릭터
325,분석
326,덕일
330,크게
331,대안
332,장면
338,상상
340,감격
341,몰입
342,대작
344,니나
345,무대
346,생략
349,캐릭터
350,해석
351,스케이트
353,부수
354,요소
355,볼쇼
356,발레단
357,몰입
358,방해
359,웃는남자
360,빅토르
361,위고
362,캐릭터
363,설명
364,페이지
365,할애
368,바이올리니스트
369,통한
370,분위기
371,암시
372,전달
373,누가
374,외국
379,한국
380,하니
381,덩달아
382,자부심
383,세계
384,누비
385,영광
386,작품
387,기원
389,웃는남자
390,초연
394,쿄윈
395,플랜
397,뿌듯
398,무대
399,진짜진짜
400,노래
403,리모
404,경이
408,유혹
409,강간미수
410,장면
412,원작
414,내용
415,굳이
417,장면
418,의도
421,그것
424,윈플렌
425,쿄윈
426,깡윈
428,형님
429,브로드웨이
430,빰치
431,무대
432,장치
433,배경
434,감동
436,사람
437,자꾸
439,노래
443,망원경
444,대여
445,무대
447,구도
449,색감
451,플렌
453,아가
454,듀엣
455,장면
458,심장
461,플렌
462,콩트
464,익살
465,소화
466,노래
468,대장님
470,육성
471,감동
472,중간
473,몰입
474,쉬는시간
