,Nouns
7,연기
8,마지막
9,인사
11,농구
12,선수
17,반전
18,라면
19,반전
20,재미
21,눈물
22,짱짱
23,제목
25,마냥
29,눈물
31,소년
32,이야기
35,제목
37,외면
38,노래
39,내용
40,감동
42,전설
43,리틀
44,농구단
45,제목
47,눈물샘
48,자극
56,최고
57,더욱이
61,공이
62,디테일
64,회상씬
66,정수
67,모래
68,찜질
70,종우
71,커튼
78,피날레
83,면서
89,여름
91,자락
92,스콘
93,추천
94,흐엉
95,줄줄
96,마음
97,느낌
98,상록
99,구청
100,식구
102,입니
104,사랑
105,입니
108,지훈
109,다인
110,전리
111,농어
112,자막
113,회차
114,웰댕
115,다행
116,짜임새
117,실제
119,이용
120,안무가
121,동선
122,스토리
124,메시지
125,넘버
126,티켓팅
128,할인
132,타임
133,자주
136,시즌
137,처음
138,팃팅할
140,할인
143,눈물
146,아이스크림
147,장면
148,눈물
151,방법
154,유독
160,감동
161,농구
162,하자
163,눈물
166,추천
171,생각
172,잔뜩
174,에너지
175,충전
178,전리
187,진섭
190,창주
193,보물
194,보물
195,평생
199,남녀
200,노소
202,추천
207,웰댕
211,웰댕
212,공막
214,무인
215,안준
217,마뉴
218,그거
219,별개
222,실컷
223,다나
225,웰댕
227,눈물
229,벌써
231,공주
235,듀웰댕
236,전리
241,최고
242,입니
243,농구
244,판이
246,전설
247,리틀
248,농구단
250,여름
251,청춘
252,다인
253,펑펑
254,다나
256,감동
257,힐링
259,승지
261,최고
262,친구
263,다윤철
265,민우
266,지훈
267,정수
268,다인
269,인생
270,친구
271,임윤철
273,덩크슛
274,학창시절
276,인기
277,운동
278,선배
280,우한
283,사랑
285,시절
286,민우
288,춤짱
289,세상
290,친화력
291,지훈
292,어울림
293,정수
295,단추
297,채운
298,교복
301,눈물
307,윤철승
308,우진
309,레전드
311,노래
312,표정
313,감정
314,피지
320,의심
321,되쟈
322,목소리
323,호소
324,전리
328,힐링
334,찰떡
335,제목
340,작품
341,스콘
342,관심
344,작품
347,위로
349,기왕
351,연장
354,해주
356,연기
357,노래
358,내용
359,주인
361,성격
362,강약
364,마음
365,힐링
373,예매
374,십대
376,연기
377,스포
379,구체
380,언급
382,장면
383,작품
384,주민
386,엔젤
393,전설
394,리틀
395,농구단
396,상록
397,구청
398,친구
402,웰댕
403,요웰댕
405,나너
408,상태
409,우정
410,포에버
411,딥디
413,상록
414,사랑
415,내용
416,넘버
417,감동
420,초등학생
423,체고
425,예상
426,스토리
427,뒷받침
428,연기
431,여름
432,전리
434,생각
436,여름
441,스콘
445,온라인
448,극장
450,처음
452,전리
454,극장
455,전율
456,아주
458,요한
461,라이브
462,밴드
464,조명도
465,무대
466,극장
469,스콘
470,넘버
473,에너지
475,온라인
477,내용
483,직접
487,분도
488,캐릭터
489,매력
491,주제가
492,주제
493,힐링
494,공감
495,멜로디
496,가사
498,막공
499,무대
500,인사
502,감동
503,중계로
504,공연장
505,감동
506,한참
507,깔깔
508,거리
512,미소
514,끅끅거리
517,감정
520,오르락
521,내리락
522,임규
524,수현
525,마음
528,호흡
530,보이
531,농구
535,시작
537,김수현
538,홍종우
539,상태
540,지훈
542,다인
543,가슴
544,이야기
545,여름
546,농구
547,한판만
549,비얀코
550,서울
553,무대
554,인사
555,코튼
557,마지막
559,케볼떄
562,눈물
564,쥐막공
568,상록
570,쥐웰댕
574,사랑
575,해안가
577,제작사
579,후기
580,오슷
581,딥디
583,소원
584,글구
585,전리
586,농안
587,여름
589,지인
590,봣습니
591,지인
592,추천
595,상록
596,오픈
600,전리
602,눈물
603,콧물
605,다인
606,아종
609,수현
611,또래
612,친구
615,창작
617,재미
618,감동
620,웰댕
622,감동
623,이야기
624,추천
625,농구
626,노래
629,고생
630,스콘
634,농구
635,판이
638,눈물
639,힐링
640,농구
642,순간
643,전리
648,다행
650,수현
651,종우
652,종우
654,지다
655,호루라기
657,장면
661,호루라기
662,종우
664,지다
665,연결
666,수현
667,세상
669,친구
670,연기
671,자꾸
673,몰입
674,다인
678,무기징역
681,라면
683,더욱
684,웰컴
685,대학로
687,기대
692,정수
693,다인
694,애드립
697,속초
699,강정
701,휴가
703,어서
704,여름
706,전리
708,여름
710,전리
712,막공
713,마지막
717,느낌
719,주간
722,내일
723,연기
725,기억
726,애드립
728,우의
731,눈물
733,다인
735,안우
736,방법
737,아시
738,분계
739,신가
740,유독
741,정수
743,다인
745,넘버
747,주책
749,갈래
750,눈물
753,상황
754,애드립
756,업그레이드
757,재능
760,수학
761,대충
766,눈물
768,오래오래
769,기억
772,여름
773,사랑
779,출구
780,상태
781,수현
782,조합
785,감탄
786,어차
796,사가
800,상태
803,창주
805,발성
810,약골
812,섭수
813,현도
814,처음
816,농구
817,매진
818,요즘
819,행복
820,발견
822,보조개
823,패일
829,소년
831,학창시절
833,었습니
838,임웰댕
839,폭풍
840,오열
841,더블
842,비얀코
845,공이
850,이제야
851,소문
854,힐링
855,넘버
857,연기
858,다인
859,소문
860,전리
862,소문
863,다가
864,스콘
865,이야기
878,눈물
883,전리
884,농웰댕
888,코튼
889,홀문
894,아무
895,정보
898,연기
899,넘버
900,웰컴
901,대학로
907,이유
909,감동
910,농구
912,순간
914,푸르렀던
915,여름날
916,상록
917,안녕
919,전리
922,페어
926,중계로
927,실제
930,사실
931,내용
934,기도
935,기도
937,자꾸
941,코트
943,땀방울
944,패스
947,주황색
950,드리블
953,숨소리
955,멀리
956,골대
958,목표
959,와나
963,사람
964,함성
965,소리
967,코트
968,위엔
969,우린
971,보이지
973,땀방울
977,코트
979,땀방울
980,패스
983,주황색
986,드리블
989,숨소리
991,코트
993,우린
995,수현
998,수현
1000,웰컴
1001,대학로
1002,아포
1004,원만
1005,당첨
1006,시오
1008,질리
1009,지도
1014,옆집
1015,과거
1017,질책
1019,수형
1021,수형
1023,종석
1028,웰댕
1032,구한
1033,판이
1035,전설
1036,리틀
1037,농구단
1039,리농
1040,여름
1041,이자
1042,청춘
1046,우한
1049,어른
1050,주소
1052,코트
1054,땀방울
1056,간의
1059,저항
1061,몰입
1064,이해
1065,성장
1072,작품
1075,최고
1079,농구
1081,순간
1083,패스
1084,드리블
1085,골인
1089,시대
1093,힐링
1095,전리
1097,평생
1098,웰컴
1099,대학로
1101,코튼
1102,스콘
1107,혜택
1108,연결
1111,연장
1113,구성만
1116,무인
1118,기획사
1119,생각
1121,코로나
1122,시국
1123,현재
1124,진행
1126,함성
1127,유도
1129,임진
1132,최고
1134,수현
1136,잡채
1137,요웰댕
1139,여름
1142,연기
1143,귀신
1147,수현
1148,귀신
1151,전설
1152,리틀
1153,농구단
1155,어른
1159,남자
1160,어른
1164,사실
1165,연령
1166,성비
1168,관객
1170,하나로
1172,생각
1173,눈물
1174,시절
1175,청춘
1176,전설
1177,리틀
1178,농구단
1180,어른
1184,남자
1185,어른
1189,사실
1190,연령
1191,성비
1193,관객
1195,하나로
1197,생각
1198,눈물
1199,시절
1200,청춘
1201,웰컴
1202,대학로
1203,남아
1204,농구
1206,순간
1208,전설
1209,리틀
1210,농구단
1211,전설
1212,리틀
1213,농구단
1214,넘버
1217,최고
1218,호루라기
1220,훈련
1221,장면
1224,장면
1225,사실
1227,장면
1229,장면
1230,꼽기
1232,장면
1233,장면
1234,농구
1235,진심
1236,전설
1237,리틀
1238,농구단
1239,승리
1242,농구
1244,순간
1248,우린
1249,전설
1250,리틀
1251,농구단
1252,이면
1255,전설
1256,리틀
1257,농구단
1258,웰컴
1259,대학로
1260,전국
1261,학교
1262,필수
