,Nouns
0,미리
3,사랑
5,오랬
7,기억
8,생각
9,크뤼
11,선생
13,월요일
16,보기
19,어디가
22,바다
23,헤엄
24,제니
25,브라
27,마지막
28,연주
29,무대
30,현악기
31,기도
32,타악기
33,기도
34,피아노
36,거예
37,덕분
39,미니
41,연기
42,음악
43,연출
45,눈물
49,미니
52,덕이
53,라면
56,집중
58,수도
60,심혈
62,메세지
64,생각
72,별로
73,체적
74,스토리
75,연출
76,넘버
79,스토리
80,라인
81,연출
82,대박
84,이야기
85,담번
90,공이
92,기약
93,마지막
95,여운
97,제니
99,덕분
101,내용
104,최고
112,그대로
117,기억
122,무대
123,지난
124,시즌
126,마지막
127,브라보
128,머리
133,피아노
134,연주
135,감상
136,관객
137,기분
140,서로
141,변화
143,사람
144,만남
145,인상
146,서로
147,변화
149,사람
150,만남
151,인상
152,서로
153,변화
155,사람
156,만남
157,인상
158,제니
159,크뤼
161,관계
165,거리
166,관계
168,관계성
169,재연
171,내용
172,제니
173,마음
175,과정
176,진행
178,마음
181,인물
182,장면
185,제니
186,크뤼거
187,마음
188,과정
192,거리
193,관계
195,관계성
197,재연
200,내용
201,서로
202,변화
204,사람
205,만남
206,인상
207,피아노
208,무대
213,연주
217,인물
218,메시지
219,여성
220,캐릭터
221,이야기
224,공이
226,넘버
227,눈물
230,봉련
231,크뤼
233,재아
234,제니
238,덕분
240,인천
242,회상
244,친구
245,현재
249,무척
250,인상
251,정동극장
253,친구
255,극장
257,호흡
258,소리
259,생기
261,열연
263,사랑
265,열연
266,인상
268,공보
270,서사
271,생각
272,촘촘했던
274,서로
277,주인공
279,마지막
282,막공
283,날자
286,생각
289,봣어
290,최고
291,마지막
292,최고
293,무대
295,최고
296,마지막
297,인천
299,한재
301,봉련
303,막공
310,친구
311,감동
312,친구
314,추억
317,수가
320,사람
324,가사
325,넘버
331,연기
332,소름
333,넘버
334,멜로디
336,멜로디
337,가사
338,작품
342,멜로디
349,작품
350,처음
353,완성
354,작품
355,울림
358,에너지
360,미니
362,최고
364,미니
367,미니
369,사랑
370,삼연
371,체적
372,한재
373,연기
374,내용
375,느낌
377,요새
378,대학로
379,극들
380,차이
381,피아노
385,무작정
386,예매
389,미니
391,평소
392,유튜브
393,통해
394,김경민
395,피아니스트
397,피아노
398,연주
399,최고
400,회상
403,변화
404,자주
407,연기
412,성량
413,최고
414,유튜브
416,미니
418,넘버
420,직접
422,최고
426,처음
431,비밀
433,재아
434,제니
435,연기
436,넘버
437,성량
439,최고
441,대화
443,최고
444,사람
445,추천
448,만이
449,서울
452,인천
456,유튜브
457,넘버
459,재아
460,마리아
461,마리아
463,마지막
467,재아
468,제니
469,봉련
470,크뤼거
473,힐링
475,미니
478,시즌
480,마지막
481,연주
482,퍼포먼스
483,다한
486,스탭들
489,애정
492,관객
494,작품
496,사랑
500,시즌
504,마지막
505,인상
506,마지막
507,최고
509,시즌
516,상실
518,혐오
519,죄책감
523,결심
525,사람
526,이야기
527,군데군데
530,연출
531,존재
532,특정
533,캐릭터
534,비중
535,분배
536,아쉬움
537,남지
541,상쇄할
543,제니
544,크뤼
546,연대
547,성장
548,메시지
551,부디
554,발전
555,삼연
556,감동
557,추천
559,감동
561,마지막
563,기억
565,전설
566,연기력
569,무대
570,제니
572,공이
576,무대
577,인사
578,크뤼거
579,선생님
581,중간
582,중간
583,서사
585,넘버
586,사랑
588,연기
589,구멍
596,두운
597,분위기
600,도의
601,조명
602,상구
603,조물
604,인상
605,포그
606,조명
611,무대
613,크뤼거
614,제니
617,열연
618,마지막
623,예술가
624,연주
625,기억
628,마지막
630,예술
631,봉련
632,크뤼거
633,니사
634,정동극장
635,쩌렁쩌렁
636,성대
641,사실
642,내용
643,제니
644,고통
647,설명
648,생각
649,아버지
650,갈등
651,줄기
655,이해
657,이해
660,연기
661,마지막
662,연주
663,장면
664,충격
667,인상
668,극장
671,제니
672,재아
673,재니
675,빨리
677,짱짱
679,미니
684,연기
686,인천
688,막공
690,최고
691,피아노
692,울림
696,프로그램
697,북도
698,사고
699,오스
706,바다
708,생각
710,성경
711,달란트
714,소흘히
715,수도
717,사람
718,그것
720,생각
722,마지막
723,연주
724,장면
726,가치
728,공이
734,의무
735,의미
737,최고
738,삼연
742,예정
744,감동
745,아픔
746,동시
748,연기
749,초연
754,서초
758,거지
765,문제
767,초연
769,감동
773,다반
780,벌써
781,현기증
783,담달
785,여운
786,작품
787,만날
789,크뤼
791,목소리
792,피아노
793,오스카
794,서로
795,쉼표
797,사람
798,마지막
799,브라
801,크뤼거
803,제니
804,인사
805,기립
806,수가
807,박수
809,수가
810,무대
811,오른
813,김경민
814,피아니스트
815,진심
816,존경
822,삼연
827,서영이
828,봉련짱
829,오픈
831,정동
835,도시
837,최고
839,연기
840,넘버
842,최고
844,주연
846,연기
847,노래
853,심장
854,피아노
856,마지막
859,인생
861,최고
864,최고
870,봉련
872,작품
875,포미니츠
879,신랑
885,긴장
886,기도
888,별로
889,마음
893,마음
895,시작
899,연기
900,피아노
901,연주
902,스토리
903,저절로
904,몰입
907,마음
908,노래
909,가사
910,선율
911,마음속
912,남아
913,작품
914,준비
915,전율
916,제니
917,피아노
920,회피
921,일부러
922,사랑
923,마음
924,기저
925,마지막
928,장면
929,소름
931,가야크뤼거
941,참고
942,봉련
944,순간
945,응원
949,시작
950,마지막
952,마스크
953,눈물
955,관통
956,주제
958,공감
959,생각
964,주연
969,감사
970,박수
972,사이사이
973,솔로
974,가슴
975,사이
976,박수
980,가슴
981,저림
983,강추
985,제목
986,포미니츠
990,연기
991,노래
992,몸짓
997,봉련
1000,체구
1002,소리
1004,감탄
1006,이제야
1012,포미니츠
1013,등장
1015,존경
1018,미니
1020,마지막
1025,처음
1026,정동극장
1028,보기
1030,힐링
1031,제니
1032,크뤼
1034,관계성
1036,힐링
1037,서로
1038,구원
1041,감동
1042,넘버
1043,맛집
1044,중간
1046,납득
1048,마지막
1050,나머지
1052,울면
1054,서영
1056,소정
1060,분도
1061,특정
1064,예상
1066,덕분
1067,몰입
1068,음극
1069,분위기
1071,절망
1074,와중
1075,위로
1076,희망
1077,노래
1079,데뮈체
1080,입장
1081,이해
1088,작품
1089,감동
1090,처음
1091,아무
1092,지식
1093,응뭘
1094,점점
1095,몰입
1096,작품
1097,전하
1098,메세지
1100,마지막
1102,감동
1103,사람
1104,작품
1105,제니
1106,콩쿨
1107,피아노
1108,장면
1110,후회
1117,최고
1118,소정
1119,크뤼
1121,재아
1122,제니
1123,동수
1124,뮈체인트
1125,연출
1126,깜놀
1130,몰입
1134,공감
1135,여운
1137,주연
1139,이소정
1141,서영
1142,실력
1143,습량
1144,박수
1145,조명
1146,무대
1147,치가
1149,극장
1150,다운
1151,연출
1152,연극
1156,마지막
1158,인상
1160,연기
1161,소름
1162,피아노
1163,연주
1164,호기심
1165,예매
1167,열연
1169,스토리
1170,기립박수
1172,피아노
1173,소리
1175,목소리
1177,귓가
1178,인간
1179,욕구
1181,티어
1182,탑인
1183,자아
1184,실현
1185,욕구
1186,만족
1190,보시
1191,렛잇고
1192,지리
1194,미니
1197,예술
1198,재아
1201,예매
1203,봉련
1208,최고
1209,디비디
1212,에너지
1213,연기
1214,노래
1215,안무
1216,마지막
1217,피아노
1218,연주가
1219,마음
1220,깊이
1224,연출
1225,앞줄관
1226,최고
1227,작품
1228,무대
1229,연출
1231,연기
1232,감동
1233,장면
1236,연기
1237,최고
1240,불구
1243,최고
1244,소정
1245,크뤼거
1246,영제
1247,뮈체꼭
1249,누군가
1251,이야기
1252,피아노
1253,중심
1254,인물
1256,스스로
1257,표현
1258,도구
