,Nouns
2,이지
4,마음
8,페어
10,재미
11,해적
16,세미
20,페어
22,해적
23,강력
24,추천
26,해적
27,강력
28,추천
30,해적
31,강력
32,추천
34,해적
35,강력
36,추천
37,처음
38,순간
42,느낌
43,처음
46,애드립
47,감정
49,캐릭터
54,이야기
55,해적
57,페어
61,넘버
62,사가
63,휴일
65,대학로
67,서치
69,가해
72,가도
74,에어컨
75,빵빵
77,북극해
78,해적선
79,타고
80,기분
81,나중
82,추위
84,열연
86,덕분
87,몰입
88,추위
89,지도
90,집중
92,무료
93,생각
95,추천
96,실컷
97,갑자기
98,해적
99,울음
101,참게
105,가족
107,연령
108,대가
110,초등학생
111,부모님
113,가족
115,해적
116,마지막
120,추천
121,강추
122,해적
123,모험
124,약탈
125,보물
126,이야기
129,이야기
133,동화
134,김수연
135,정연
137,표현
138,루이스
141,메리
142,추천
143,창작
144,캐스
146,변경
147,항해
148,일지
151,루이스
154,메리
157,행복
159,은울
163,줄줄
165,사실
166,스토리
168,비어
169,느낌
171,노래
173,뭔가
176,매력
178,모태
179,해적
182,어제
183,넘버
184,연기
190,남아
191,손가락
192,어가
194,레전
196,페어
197,재미
200,수가
212,집중
213,마지막
215,바다
216,사랑
217,해적
218,사랑
219,려후
222,해적
223,이야기
224,해적
225,처음
227,페어
229,선택
231,넘버
232,연기력
236,천재
237,대박
238,최고
239,반했어
240,천재
241,최고
242,낭만
243,사람
247,작품
248,존잼
250,보물
253,차지
254,평생
255,해적
256,지상
257,낙원
258,로예
259,요별
260,요별
261,요별
262,요별
263,요별
264,요별
265,요별
266,요별
267,요별
268,요별
269,요별
270,요별
271,요별
272,요별
273,요별
274,요별
275,요별
276,요별
277,요별
278,요별
279,요별
280,요별
281,요별
282,요별
283,요별
284,요별
285,요별
286,요별
287,요별
288,요별
289,요별
290,요별
291,요별
292,요별
293,요별
294,요별
295,요별
296,요별
297,요별
298,요별
299,요별
300,요별
301,요별
302,요별
303,요별
304,요별
305,요별
306,요별
307,요별
308,요별
309,요별
310,요별
311,요별
312,요별
313,요별
314,요별
315,요별
316,요별
317,요별
318,요별
319,요별
320,요별
321,요별
322,요별
323,요별
324,요별
325,요별
326,요별
327,요별
328,요별
329,요별
330,요별
331,요별
332,요별
333,요별
