,Nouns
0,귀가
1,호강
4,처음
6,연기
8,본인
9,인지
10,호흡
11,위로
12,개월
19,감동
21,감동
30,사람
32,호도
34,생각
39,설명
60,상한
62,회복
66,언니
67,간다
69,극싸
73,다짐
74,요조
79,최고
81,사람
82,연기
83,웃기
87,최고
89,보람
92,최고
95,위로
96,용기
104,마음
115,내년
118,려츠학
119,사랑
121,캐슷
122,그것
123,소식
131,행운
132,오제
137,오제
143,감정
144,저번
149,개새끼
152,몸싸움
153,처음
156,최고
157,인도
159,최고
160,에소
162,원더
166,저번
168,커튼
169,콜때
170,최고
171,기회
172,지방
173,공도
176,정석
178,레전드
182,천년
183,만년
184,무대
185,고기
188,시국
189,감정
191,무대
192,커튼
193,콜때
194,대신
195,메들리
197,최고
198,오리진
199,오씨
206,최고
208,최고
211,바람
215,제이민
218,최고
220,넘버
221,최고
223,최고
224,최고
228,약속
229,해애애애애
230,달동
233,회전
238,사랑
240,언니
244,만날
247,정석
250,적금
257,적금
258,언니
265,아쉬움
266,즐거움
267,슬픔
271,감동
272,내용
277,영정
279,내용
280,그다지
283,호기심
284,충족
286,사과
289,캐스팅
290,소식
291,전쟁
295,최고
298,호흡
299,말로
300,표현
302,월동
306,최고
310,컷콜
312,여운
313,가조
317,캬캬캬캬캬캬컄
319,다카
320,컄캬캬캬캬캬
322,명불허전
323,최고
331,강력
332,추천
333,최고
334,스토리
335,넘버
339,위로
340,응원
342,언니
343,응원
345,포기
348,추가
351,기적
353,마음
356,나니
359,지방
364,피날레
365,서울
366,앵콜
371,평생
374,최고
377,시국
378,캐슷그
381,최고
385,인생
386,최고
389,가면
398,혼연
399,일체
401,열연
404,진정
406,연기
407,감동
413,페어
418,더더
420,오리진
421,오씨
424,최고
425,오언
426,사랑
427,평생
429,오슷
432,약속
433,위로
435,어쿠스틱
436,오리진
437,오브
438,러브
439,기억
446,최고
447,율츠학
448,호흡
449,앵콜
450,무대
451,인사
452,최고
455,여운
456,지방
457,공도
458,언니
460,이유
461,힐링
463,커튼
465,최고
466,이예
467,서울
469,팽팽
471,전문
472,방공
473,대중
474,역쉬
475,명불허전
476,요오드
478,연기
479,내공
482,언니
486,언니
487,넘버
488,연기
489,후유증
491,기억
492,휘발
494,영상
496,기억
498,굿즈
499,프로그램
502,그리움
506,시기
512,살짝
515,진리
518,연속
520,행복
523,음해
527,예약
529,사정
531,예약
533,자리
536,기도
537,노래
541,환호성
544,진정
548,인터
549,미션
551,걱정
553,순삭
555,제이민
557,노래
565,최고
568,나중
571,달동
573,감동
574,재미
576,훌륭
577,최고
581,감동
582,감동
583,최고
584,조명
585,음향
587,가창력
588,연기
590,처음
597,뉴이스트
602,표현
603,감동
604,노래
606,연기
607,박자
612,가야로
613,시작
614,앵콜
615,어쿠스틱
616,버전
617,오리진
618,오브
619,러브
621,여운
622,일상
624,변주
626,무대
629,바나나
630,해도
634,오리진
635,오씨
636,이유
640,어케
642,여름
644,예전
650,애드립
652,현장
653,기운
655,부모님
662,노래
664,오기
665,초고
671,만날
673,제나
674,최고
676,거리
677,두기
679,함성
680,금지
681,기립
682,금지
684,박수
686,소통
689,관객
691,교감
694,이전
697,생각
703,페이스
705,뉴이스트
708,려츠학김
711,호흡
713,여름
714,가을
715,행복
718,발자국
722,대극장
725,무대
726,압도
727,장악
729,제이민
730,천재
733,사람
741,최고
742,세미
745,오라
753,무대
759,역사
761,전설
763,교과서
767,리지
771,오리진
772,오씨
775,평생
780,한일
785,시국
787,레전드
790,개월
792,무대
793,인사
797,고민
801,넘버
804,모로
805,걱정
806,캐스트
810,정서
811,기도
813,비극
814,엔딩
815,리도
816,해석
817,가능케
821,이기
825,떼쟁이
829,구박
831,욕설
835,사랑
842,순간
843,어딘가
846,할머니
847,언니
852,제츠
865,지방
867,파이팅
868,여운
872,스누
878,처음
881,율츠학
882,페어
884,처음
885,달리
886,발전
889,율츠학
890,케미
894,그동안
896,맥락
899,즐거움
902,해석
903,꼭꼭
904,사람
905,기도
906,기도
908,극일
911,이해
916,조합
918,관계도
923,하루
927,딸기
933,여성
935,역할
943,언니
945,천년
946,만년
951,헤이걸
952,진심
954,평생
959,사랑
960,시국
965,페어
966,진심
968,만날
969,그날
972,간다
973,오페라
974,글라스
976,얼굴
977,연기
979,편의
980,다큐멘터리
983,해석
985,감정
989,재미
992,노래
994,관객
995,순간
996,선사
997,평생
999,굿바이
1004,최고다
1005,관객
1006,몰입
1015,커버
1019,포인트
1021,센스
1022,애드립
1029,관객
1030,최고
1033,기억
1037,알코올
1038,의존
1039,마음
1041,여리고
1043,최고
1044,오리진
1045,오씨
1047,명성
1056,넘버
1057,최고
1066,덕후
1068,처음
1069,렌언
1070,기대
1074,청춘
1075,언니
1076,렌드윅뮤배
1078,미래
1080,기대
1082,아이돌
1084,활동
1089,영광
1091,레전드
1096,언니
1097,위로
1103,해석
1104,발성
1106,움직임
1108,젊음
1109,패기
1110,절대
1111,소화
1112,극인데렌
1113,특유
1114,개성
1115,노력
1116,무한
1117,박수
1118,찬사
1122,행보
1123,위로
1126,마무리
1136,넘버
1137,소화도
1141,실력
1144,본인
1146,창조
1147,생각
1151,주기
1160,최고
1162,언니
1166,언니
1168,개월
1172,사랑
1174,감정
1175,오르락내리락
1180,공감
1182,내용
1184,얼굴
1186,미소
1195,몰입
1199,시국
1201,언니
1202,언니
1203,후회
1214,조언
1215,지방
1217,그동안
1225,세상
1227,나라
1228,앨리스
1230,이해
1233,통곡
1234,번만
1236,의미
1240,역할
1249,마무리
1251,재미
1259,위로
1267,위로
1268,용기
1270,사랑
1275,사랑
1284,체고
1285,뀨드윅뀨
1289,나볼
1295,감정
1298,최고
1303,월동
1306,사랑
1313,월간
1320,여리고
1321,사랑
1322,언니
1325,볼때
1326,마음
1328,유독
1330,언니
1336,최고
1339,최고
1342,최고
1348,최고
1350,감정
1351,전달
1352,려츠학
1354,언니
1355,시작
1357,생각
1358,교차
1362,사랑
1363,사람
1364,존재
1368,자유
1370,포기
1374,장면
1376,온몸
1377,소름
1378,인상
1379,마이크
1380,커버
1381,골무
1384,관객
1389,가치
1391,언니
1392,사랑
1393,내년
1395,세미
1401,젭알
1402,기적
1404,구해
1409,공지
1410,방공
1414,기대
1416,인생
1421,기회
1422,생각
1428,영광
1429,삐삐
1430,빠빠뿌
1436,무릎
1438,나니
1442,가족
1443,명복
1444,캐스팅
1445,변경
1451,만난
1460,자릿수
1468,평생
1472,최고
1474,약속
1475,조율
1478,최고
1480,실화
1484,시국
1486,언니
1487,조율
1495,세미
1498,최고
1508,엊그제
1515,울면
1518,드림캐스트
1519,무대
1521,앵콜
1522,어쿠스틱
1523,버전
1524,음악감독
1526,함성
1527,기립
1530,고문
1531,커튼
1533,여운
1534,남아
1535,며칠
1538,생각
1543,돌고래
1544,함성
1549,레전드
1550,무릎
1551,관리
1555,조뒥
1556,가기
1560,걱정
1562,구해
1563,극일
1567,스포
1570,심장
1571,시국
1575,감사
1580,싱어
1583,노래
1585,인어
1586,박스
1587,넘버
1589,객석
1590,나볼
1592,커튼
1593,콜때
1596,열기
1597,가득
1599,비루스
1611,인생
1612,최고
1616,사랑
1618,인천
1619,고양
1620,대구
1621,해도
1622,서울
1626,부디
1627,내년
1630,내년
1634,캐스팅
1635,고재
1637,할인
1639,이준
1640,감독
1641,최고
1645,최고
1646,전도
1653,감동
1655,세상
1658,장담
1661,연기
1662,공부
1664,위로
1665,행복
1672,세상
1675,표현
1677,과거
1681,서사
1686,사랑
1687,지지마
1688,포기
1693,습니
1707,노트
1715,사고방식
1716,요소
1717,전과
1718,감상
1719,여운
1722,만날
1724,기쁨
1725,이자
1726,행운
1732,제츠
1734,쭌밍잭
1736,무대
1741,신한
1743,굿바이
1746,사람
1752,납득
1759,아트
1760,센터
1761,대극장
1764,존재
1765,이유
1766,건너
1772,영광
1774,무대
1775,매체
1777,무대
1778,자주
1781,본사
1785,채포
1788,연때
1789,추가
1790,디테일
1795,텍스트
1796,공부
1797,연구
1802,역할
1803,최선
1804,다해
1805,주시
1808,유독
1810,노력
1812,관객
1814,노력
1815,열정
1817,객석
1822,만날
1832,필요
1833,만요
1835,여운
1837,알코올
1838,의존
1839,뀨언
1845,넘버
1846,가창력
1847,감동
1852,행복
1854,굿바이
1856,감사
1860,자막
1862,머치
1872,언니
1879,사랑
1883,언니
1884,왓다언
1885,간다
1886,눈물
1892,몇번
1897,해도
1901,사랑
1902,언니
1904,언니
1906,후회
1908,우씨
1910,무지
1913,자리
1914,바이
1915,굿바이
1918,언니
1920,제이민
1921,최고
1923,학도
1930,굿바이
1934,렌드윅보다
1935,감개
1936,무량
1941,영광
1943,존재
1944,가치
1946,고민
1947,의미
1948,생각
1949,굿바이
1951,핸복햇
1952,굿바이
1957,고생
1959,건강
1961,언니
1962,사랑
1963,오언
1965,전설
1973,만날
1978,무색
1981,물씬
1982,페어
1987,캐스팅
1989,매력
1990,생각
1995,인터
1996,미션
1999,몰입
2003,열연
2009,페어
2010,공기
2013,눈물
2024,최고
2027,최고
2028,페어
2029,페어
2030,막컷
2032,듀엣
2033,평생
2036,최고
2037,정해진
2038,페어
2045,언니
2046,하나요
2048,헛헛
2049,오언
2052,오프닝
2053,생각
2054,눈물
2055,위로
2057,기대
2058,실망
2059,회차
2061,언니
2062,얘기
2064,방공
2066,율츠학
2068,최고
2069,최고
2072,최고
2075,위로
2077,눈물
2079,밴드
2080,세션
2081,님들
2082,감사
2083,말씀
2087,기억
2090,최고
2091,최고
2095,눈물
2098,보람
2100,최고
2105,다행
2106,개월
2116,최고
2121,최고
2122,쭌감
2123,최고
2124,평생
2128,여운
2131,언니
2141,예전
2142,애정
2148,소식
2149,갑자기
2152,상황
2153,발생
2159,마음
2161,스리
2166,지방
2173,파이팅
2181,어쿠스틱
2182,버전
2183,오리진
2186,공서
2187,가문
2188,영광
2189,다모
2192,밴드
2197,최고
2200,고생
2201,언니
2202,무릎
2203,존재
2205,시작
2211,갑자기
2212,캐스트
2213,변경
2214,걱정
2221,최고
2225,기회
2227,인생
2231,하루
2234,은성
2238,일로
2241,최애
2245,마음
2246,추스르셨으
2248,제츠
2250,두번째
2254,위태
2259,강인
2264,최고
2269,노래
2270,처음
2271,연기
2272,검증
2274,노래
2275,연기
2278,한눈
2281,의도
2285,왕팬
2286,한창
2287,여름날
2289,바람
2291,매일
2295,무대
2297,민기
2299,응원
2301,어민
2303,민기
2304,인생
2307,찾기
2312,응원
2314,갈래
2315,감동
2316,내년
2323,소리
2324,못내
2330,줄거웠
2332,최고
2340,포기
2341,지지마
2342,미드나잇
2343,라디오
2345,요가
2347,지하철
2348,광고
2353,밴드
2354,환상
2355,호흡
2356,평생
2363,에두
2364,시야
2365,방해
2369,미드나잇
2370,라디오
2375,포기
2377,지하철
2379,광고
2381,하드
2383,조율
2384,페어
2388,율츠학
2391,미츠학
2393,마음
2395,여운
2397,남아
2399,드네
2400,의미
2401,감동
2403,캐스팅
2404,변경
2407,처음
2414,감사
2415,감동
2417,자막
2418,마무리
2422,세미
2424,관객
2426,노래
2427,맛보기
2429,상큼
2435,마마
2439,이전
2442,최고
2443,그동안
2450,충격
2451,무대
2452,장면
2453,전환
2454,비교
2456,역량
2457,생각
2458,장면
2459,전환
2460,조명
2461,연출
2463,시야
2465,경사
2467,사람
2469,시야
2470,방해
2476,차라
2480,모로
2482,시국
2486,앵콜
2487,다운
2488,앵콜
2491,공주
2494,처음
2496,회전
2499,감정
2500,몰입
2504,무대
2505,장면
2508,여운
2513,연기
2516,경험
2519,최고
2521,최고
2522,대사
2523,넘버
2525,에너지
2528,에너지
2529,마음
2531,존중
2535,최고
2541,의존
2542,위태
2545,슈가
2546,대디
2548,찰떡
2550,전설
2554,애드립
2555,감정
2556,표현
2557,몰입
2559,순간
2560,감정
2561,최고
2562,나니
2563,기억
2564,여운
2565,기네
2566,최고
2570,인생
2573,막연
2575,여장남자
2580,자유
2587,기회
2589,미츠학
2590,최고
2591,수고
2593,지인
2596,카톡
2597,프사
2599,캐스팅
2600,보드
2602,레전드
2613,굿굿
2623,인터
2624,미션
2625,진행
2630,사랑
2634,나이
2635,생각
2636,에너지
2637,장난
2638,탈진
2639,걱정
2641,열연
2644,예술인
2645,일반인
2647,하늘
2650,대의
2651,슬픔
2652,인간미
2653,남자
2654,여자
2656,음악
2657,후회
2659,주가
2665,순간
2673,이제야
2678,조언
2681,털털
2683,미움
2684,불행
2686,보이
2687,사랑
2688,용서
2693,연기
2694,노래
2697,롱런
2701,캐스팅
2706,모노드라마
2707,형태
2708,연극
2715,감정
2716,연기
2719,귀염
2720,소년
2721,소녀
2725,최고
2728,이츠학역
2730,입덕
2731,부정
2733,금빠
2734,입덕
2735,락커
2736,포스
2737,음색
2744,기대
2747,미츠학
2748,페어
2753,레전드
2761,세미
2764,티키타카
2766,포한
2768,최고
2773,조합
2776,순간
2780,연기
2781,애드리브
2784,목소리
2785,본캐
2786,목소리
2788,목소리
2790,목소리
2793,기본
2795,목소리
2797,진행
2799,꾸밈
2800,목소리
2802,감정이입
2806,미드나잇
2807,라디오
2809,자유
2813,펑펑
2818,팝송
2821,밈들
2824,국악인
2826,알았곸
2829,소리
2833,웃겼곸
2835,밴드
2836,농담
2838,웃음
2846,마음
2847,울면
2848,티케팅
2849,빡세
2853,번만
2855,소원
2860,싱어
2864,더박스
2865,나이아가라
2866,폭포
2867,석도
2869,엊그제
2876,백퍼
2877,백퍼
2880,언니
2883,인정
2886,최고
2887,페어
2889,언니
2891,율츠학
2892,호흡
2899,미드나잇
2902,사랑
2904,제츠
2910,최고
2913,전관
2917,마음
2919,연기
2920,넘버
2921,경험
2932,달동
2939,명불허전
2944,노래
2947,의상
2948,무대
2949,조명
