,Nouns
0,처음
1,몰입
2,펑펑
3,울면
7,배역
9,존재
11,조형
14,이프덴
16,목소리
18,성량
19,성량
21,목소리
22,김수연
24,과거
30,기침
32,집중
35,몰입
37,다윗
40,표정
41,연기
44,가면
45,하이라이트
46,영상
47,바닥
48,조명
50,창작
51,주변인
52,추천
54,중소
57,처음
58,관객
59,차서
60,대극장
62,열기
65,형훈
67,김수연
72,기회
78,마디
80,감동
82,무대
83,퇴장
84,열연
87,무대
89,박수
92,울림
93,감동
99,인물
100,서사
101,감동
104,포인트
109,몰입
110,의미
112,만난
113,만이
115,문득
116,문득
119,생각
120,중임
122,평일
124,퇴근
126,주말
132,칭찬
136,목소리
137,직장
143,감사
144,회차
145,거듭
147,감정
148,장난
149,눈물
150,요제프
151,발표
152,원고
153,생각
155,인생
158,사람
159,기억
162,휴지
163,질질
165,눈치
166,보임
167,이혜경
170,처음
171,동네
172,할머니
174,연기
178,눈물
179,김수연
182,연기
184,과거
185,서사
186,몰입
190,처음
193,재판
194,나하
196,댕댕
200,위로
203,인생
206,판결
208,음색
209,배역
210,찰떡
214,감동
217,호프너
219,갑자기
222,요강
226,자막
227,생각
228,무대
229,연출
230,소품
231,활용
232,책갈피
233,매력
235,자둘
236,상치
238,위로
242,레전
243,캐슷
244,레전
245,기도
246,레전
249,멍하니
250,객석
252,외침
253,귓가
255,안우
261,열연
262,지현
266,매력
268,자극
269,여진
273,절실
275,메시지
277,만날
279,기도
280,친구
281,형훈
282,원고지
286,최고
287,어엉
295,행복
296,실화
297,기반
299,넘버
300,스토리
303,연기
304,감동
305,장면
306,연기
307,신경
309,기구
310,인생
321,처음
325,소설
326,원고
328,신앙
329,엄마
332,언뜻
333,현대인
335,차이
336,그것
339,스스로
340,선택
342,라면
343,현대인
344,먹이사슬
346,그것
347,진심
348,라면
349,가치
352,사슬
354,가족
355,진심
356,가치
358,사랑
359,아내
364,행복
365,일상
366,그것
368,세상
369,보람
374,나이
375,탓일
376,게다
377,김보경
379,노래
380,소리
384,자주
392,엄마
400,고민
401,엄마
405,스토리
406,무게
409,기차
411,차력
414,나야
416,연기
417,소리
418,가사
420,휴지
421,무조건
424,눈물
427,머글
430,연기
433,워낙
439,인것
440,콩콩콩
443,최고
446,펑펑
448,스토리
452,파멸
454,수도
455,김수연
458,노래
459,인생
460,생각
461,감동
465,연출
466,넘버
468,열연
471,구역
475,눈물
477,감동
480,가창력
481,연기력
482,어머니
485,조형
487,페어
488,눈물
489,얘기
490,휴지
491,준비
492,미처
496,오열
499,관객
500,이지
501,비극
503,자리
506,서사
508,집중
509,넘버
510,가사
511,멜로디
512,기억
515,대사
521,감명
522,볼때
523,눈물
526,시작
530,반전
535,위로
537,조형
540,사이드
541,통로
542,앞쪽
544,스피커
547,통로
548,제외
550,사람
551,시야
556,사랑
558,기억
561,시작
567,눈물
571,감동
572,짱짱
