,Adjectives
1,그리워요
2,그리워요
3,어려운
4,옳다
5,부족하지
6,아쉬웠어요
10,재밌어요
11,아쉽고
12,슬프지만
13,있기를
14,기대합니다
15,아쉬워요
16,예쁘고
17,멋있었어요
18,없고
19,훌륭했습니다
20,행복하고
21,즐거웠지만
22,허전하구
23,있었으면
27,갑작스럽게
28,넘치는
29,없었던
30,없어
31,건강하길
34,어렵지만
35,그렇기에
36,그만한
38,호화로운
41,힘든
42,변함
47,입니
48,재밌어요
49,그리워요
50,적절하게
51,있던
53,행복했어요
54,아쉽고
55,슬펐습니다
57,완벽했어요
58,즐거웠습니다
59,멋진
60,즐거운
62,재미있게
63,넘치는
64,아쉽습니다
67,아쉽네요
68,슬프면서도
69,따뜻한
70,좋겠네요
71,멋져서
72,아쉬운
74,많아요
75,멋진
76,화려한
78,더해진
83,같았다
87,아니었다는
88,고마웠어요
91,있다고
92,다를
93,고마웠어요
94,없어
95,뜨거운
96,안전하게
97,싫네요
98,고마웠고
99,따뜻한
100,많으셨습니다
101,슬프네
102,행복한
103,그리워요
104,미친
105,있는데다
106,있었어요
111,불쾌해서
113,아름다운
115,아쉬워요
116,귀한
118,막연히
119,좋다라고만
120,있더라
121,들뜬
124,그런지
128,아쉽고
129,아쉬워요
130,뛰어났고
131,사랑스러웠어요
137,부족한
138,있겠지만
139,버거웠어요
140,힘든
141,많으셨습니다
143,오래되었지만
145,허무하게
147,아쉽습니다
148,소중했던
149,슬펐지만
151,재밌었어요
154,재밌는
156,멋진
157,아쉽습니다
158,슬프네요
159,멋진
160,멋진
161,충분히
162,좋았는데
163,많았고
164,낡은
165,아쉽습니다
166,강한
167,확고한
169,슬픈
170,많으셨어요
171,인한
174,없지만
177,안전한
178,탄탄하고
181,당하는
182,대단한
184,고마운
186,대단한
187,힘든
188,아프지만
191,귀한
192,행복했던
193,괜찮아
194,그렇다면
195,빠른
197,행복했어요
198,아쉽네요
202,행복했어요
204,행복했고
205,무사히
206,슬퍼요
207,더해
212,나쁘지가
213,힘들고
214,기쁘고
215,슬프고
216,행복한
217,당연한
218,당연한
219,같기도
221,있길
222,불편할지도
223,불편하지
225,망할
227,있다가
228,급하게
229,행복했어요
232,간절하게
234,힘든
236,작음
237,사랑스럽고
238,건강하시
239,미쳐
240,있었어요
242,흥분한
243,갑작스러운
245,아니었지만
246,깊었습니다
249,슬펐지만
251,아쉬운
256,많으셨습니다
257,안타까웠습니다
258,건강하세요
261,귀한
262,아쉬웠어요
263,아쉽습니다
264,있길
265,기대합니다
266,멋지네
267,철저한
268,행복했어요
270,행복했어요
271,즐거운
272,아니예요
275,있길
278,귀한
279,따뜻해지는
280,노래네요
281,설렜고
282,넘치는
284,행복했습니다
286,오래된
287,같았네요
288,급하게
289,많으셨습니다
291,재밌어요
292,영원히
294,있던
296,있길
297,귀한
298,행복할
