,Adjectives
0,있었고
1,대단하단
2,많았지만
4,아쉬우면서도
6,벅참이
7,행복하네요
9,빠른
11,안쓰럽
12,대견하고
13,멋있었어요
15,입니
16,건강히
18,없고
19,슬퍼요
20,뭉클하고
21,행복했습니다
24,부족한
27,없어
28,빠른
29,귀여운
30,없었던
31,영원히
32,행복할
33,있었습니다
36,완벽한
39,뒤늦게
40,슬플
42,행복하게
44,그리워져
45,멋있고
46,자랑스러운
47,영원히
48,멋있고
49,자랑스러운
51,없겠지만
52,행복한
53,건강하고
54,행복하길
58,행복해졌음
60,있었습니다
63,부족한
64,있었습니다
65,있다는
66,소중한
68,영원히
69,좋은데
70,없고
71,있던데
72,그렇고
73,있나
76,따뜻한
77,많으셨고
79,행복했던
80,고맙고
81,영원히
83,영원히
84,행복했습니다
87,행복했어요
88,입니당
89,영원히
91,좋은데
92,아니겠죠
93,없을
95,귀여웠다
96,없었던
97,같은데
98,귀엽고
99,넘쳤던
100,있나
101,어마어마했다
102,어떨지
103,좋더니
104,아니나
105,다를까
107,없도록
108,부은
109,대견하고
110,멋있고
111,사랑스럽고
112,자랑스런
113,사랑스러웠다
115,행복한
117,묵묵히
118,간절하게
119,원하는지
120,안타까웠다
122,빨개지던
124,미치는
125,귀여웠다
128,아기자기한
129,사랑스러웠다
130,다행히
132,죄송하다는
135,꾸준히
136,성장했고
137,따뜻한
138,같아서
139,안쓰럽고
140,뻔했는데
142,사랑스러워
143,많았어
144,영원히
145,없을
146,깊고
147,많았어
148,철저히
150,멋진
151,좋다
152,없지만
154,아니에요
156,영원히
157,없을
158,따스했어요
161,좋겠습니다
164,영원히
166,그리워
167,건강하고
168,행복하셨으면
171,영원히
172,그리워요
173,영원히
175,행복했다
177,아쉬웠던
178,있던
179,멋진
180,없기에
181,아쉽지만
182,새로운
183,영원히
185,있었음에도
186,무사히
188,만족스러웠습니다
189,슬프고
190,아쉬운
191,힘들게
192,새로운
193,영원히
194,아니였죠
195,있으면
196,좋았을
198,행복했습니다
199,영원히
200,영원히
203,있을까요
204,아쉬울
206,같아서
207,넘치는
208,만족스러운
210,새로운
212,슬프네요
214,슬프지만은
216,성장할지는
218,영원히
219,행복한
222,재밌
224,재밌어요
225,자랑스러웠어
227,어려운
228,유치할
229,같다는
233,황홀하고
235,있도록
236,행복했다
237,행복한
238,행복했어
239,영원히
240,영원히
241,완벽한
242,무사히
244,뿐이
245,아쉬워요
246,좋으면서도
247,아쉬워
248,꾸준히
249,좋을
251,없지만
252,같았던
253,슬펐는데
254,어떨지
255,아프지
256,고마웠어요
257,벅차고
258,행복한
259,벅차고
260,행복했습니다
261,좋으면서도
262,아쉬워
263,꾸준히
264,좋을
266,없지만
267,같았던
268,슬펐는데
269,어떨지
270,아프지
271,고마웠어요
272,무사하게
273,고마워요
274,똑같겠지
277,가득하길
278,영원히
280,다정한
281,고마워
282,완벽한
284,빠른
285,고마워요
287,따뜻한
288,있었던
289,슬퍼요
291,같아서
293,없다는
294,아쉬워요
295,슬퍼요
297,같아서
299,없다는
300,아쉬
301,슬퍼요
303,같아서
305,성장한
307,미치네요
309,뿐이기에
312,영원히
313,아쉽네요
314,빠른
315,있기를
316,아쉽네요
317,재밌어요
318,무사히
319,많으셨습니다
320,없어
321,슬펐던
322,영원히
323,슬펐는데
324,덜했지만
325,그리워
326,있었어
327,성장하는
329,있던
332,행복했어요
334,그리운
336,기대하고
337,있겠습니다
338,없다니
339,아쉽네요
340,빠르게
341,있었어
343,없다는
344,아프지만
345,새로
347,기쁘
348,특별해요
349,있길
350,영원히
351,벅차요
353,영원히
354,따뜻해지는
355,좋으니까
356,행복했어요
357,영원히
358,멋진
359,고마웠어요
360,다정한
361,없다는
364,기뻤습니다
366,있을까요
368,슬프지만
369,있었
370,고마워요
371,영원히
373,재밌
374,신선하다
376,새로운
378,영원히
379,없겠지만
380,검은
381,있겠지만
382,영원히
383,미쳐
384,깊었어요
385,벅찰
386,많았어
387,그리워
388,영원히
390,괜찮아요
392,고마워요
393,있다는
394,아프지만
395,촉촉한
397,야무지게
398,유쾌하게
399,멋진
400,기대할게요
401,귀엽고
402,재밌었습니다
403,야무진시
406,슬퍼요
407,아니었습니다
408,기대하겠습니다
409,영원히
411,있다는
412,행복했습니다
416,대단합니다
418,정신차리고
419,어느새
420,뒤늦게
421,그러는
422,아니냐고
424,귀여운
425,없잖
426,아쉽다
434,인한
435,멋지게
436,성장해
437,벅찬
438,행복했던
440,있겠지만
441,가까운
442,있을까요
443,불안해하며
444,행복했습니다
516,있는데
517,멋져요
518,특별한
519,행복하고
520,그랬다
521,없어
522,영원히
523,아름답고
524,멋진
525,있으면
527,즐겁고
528,행복했어
529,영원히
530,행복했어요
531,사랑스러워요
532,좋겠네요
533,행복해야
534,완벽한
536,즐거웠어요
537,행복했어요
539,계실
543,어떡해
545,미친
546,필요해
547,아쉬울
550,완벽했다
554,길었다
555,예쁜
557,완벽했다
558,울적하다
559,고마워요
560,있기를
561,행복한
563,아쉬울
564,완벽한
565,뜨거워지는
568,엄청나고
569,그리운
572,행복했습니다
573,많아서
574,재미있어요
575,많았어요
577,행복했습니다
578,좋겠습니다
579,행복했습니다
580,즐겁게
581,아쉽네요
582,행복했어요
584,멋진
586,완벽한
587,있기를
589,있다는
590,아니고
591,아니니까
592,영원히
