,Adjectives
0,궁금했어요
1,아니고
3,당당하게
4,황홀했습니다
6,깜찍하면서도
7,발랄하고
8,훌륭한
9,대단하다는
10,멋지고
11,황홀한
12,좋았던
14,없을
15,빠르고
16,재미있게
17,더웠어요
18,싫을만큼
19,시원함과
20,안될
21,멋진
22,멋졌어요
25,있으시고
26,조화로운
27,즐거운
28,넘쳐
29,넘치시고요
30,같아서
31,멋지지
33,좋으셔서
34,깊지만
35,깊은
36,있었는데요
37,굉장하더라고요
38,화려한
39,화려하지
40,화려한
41,재밌고
44,멋진
45,대단한
47,멋져용
48,부럽고
49,고픔
50,멋져요
52,재미있어요
53,화려했어요
54,재미있었고
55,완벽하게
56,없던
57,안되었었고
58,신나고
60,작아
61,그런지
62,아쉬웠네요
65,신나고
66,즐겁게
67,통쾌함으로
70,신나고
71,멋있었다
72,아름다웠고
75,좋겠다라는
76,멋진
81,유명한
82,다르긴
83,다르더라구요
84,멋있고
86,없었어요
87,재밌고
89,좋아해서
90,괜찮게
91,민망했습니다
92,화려하진
95,멋있었고
97,좁아서
98,다양한
99,힘들었고
100,심해서
101,아쉬운
103,그런지
104,있다는거
105,같은거
106,있잖아요
107,그랬나
108,같은걸
109,훌륭하고
110,아쉬웠을거
111,같구요
113,불편했고
114,그런지
116,높네요
117,좋아한지라
118,기대하고
119,충분히
120,멋졌음
122,괜찮은
123,그런지
126,익숙해
128,설레게
129,신나게
131,추합니다
135,사랑스럽고
138,안되는
139,당당하게
140,없다기
142,굉장히
143,특이한
145,신선한
146,독특한
147,착한
148,있다고
149,아닐지도
151,단순하지
152,있던가
153,얄밉다가도
154,사랑스러워지는
155,섹시하다
157,있느냐고
158,대단한
159,있죠
160,멀게
161,기대하고
162,여전했습니다
163,멋지고
164,있는듯
165,멋진
167,재미있게
168,멋지고
169,대단했습니다
171,많지
172,없었던
173,아쉬웠지만
174,즐거운
176,원했던
178,실망했지만
179,뛰어난
183,새로운
184,멋진
185,가까웠으면
186,좋았을걸
188,그런지
189,재밌었고
190,재밌어요
191,그런지
192,없었지만
193,기대했던
194,멀었던
197,귀엽고
198,깜찍했고
199,엄청나게
200,멋졌습니다
201,유명한
202,멋진
203,색다르고
205,화려한
208,좋앗습니다
210,좋았다고
211,불편하다는
212,있는데
213,괜찮더라구요
214,아쉬워요
215,시를
217,궁금한데
218,즐거운
220,즐겁고
221,벅찼던
222,있어야지
224,멋진
226,멋있네요
227,기대했던
228,좋았던
231,흥미로운
232,인해
236,흥겹고
237,섹시한
238,그런지
239,흥겹게
240,반해
241,부족하다
242,있었으나
243,그런지
244,재밌었습니다
245,유명해서
246,없구요
247,놀라웠습니다
248,아쉬운건
249,생생하게
250,있었을것
254,멋진
259,식상할
261,있었던
265,아닐까
266,높고
267,만족하면서
268,그런지
270,즐겁게
272,좋았네요
273,만족한
275,원하는
277,재미있게
278,재미있고
279,멋졌습니다
280,괴롭긴
281,멋진
282,있었는지를
283,아름다웠습니다
286,다르더라구요
287,신나는
288,즐거운
289,불타는
290,안좋은
291,좋았다며
292,좋앗긴
293,놀랬고
294,좋았던
296,있다면
298,좋겠다는
299,신나게
302,아쉬운듯
303,훌륭했지만
304,자연스럽지못한
306,오만했던
307,오래되서
308,그런지
310,없어
311,좁고
312,답답하게
313,좁았다
314,같았다
316,즐거웠던
317,돈독한
318,특별한
319,화려한
321,탁월한
323,아깝지
325,없을
326,멋진
327,풍부한
328,화려한
329,섬세하고
330,새로운
331,섹시하고
332,강렬했던
333,귀여운
334,아깝지
335,신났어요
336,자세한
337,재미있게
338,그런지
339,아쉽게
340,지루했던
341,같기도
342,즐겁
343,동일한
344,없을
345,같았습니다
346,솔직한
347,벅차
348,앙큼한
349,변하고
350,변하고
351,변하셨는데요
352,중요한
353,같았답니다
356,솔직히
357,유명한
358,좋을
359,화려한
360,얄밉지만
361,귀엽고
363,좋았구요
364,자리는
365,괜찮았습니다
366,많습니다
367,어느새
368,높은
369,짙은
370,높게
376,좋았는데
377,멋진
379,아쉬웠습니다
380,그러는것도
381,아니고
382,아니고
384,꾸준히
385,있었네요
386,식상할
387,재미있어요
388,넓고
389,만족했습니다
390,좋아하시네요
391,유쾌하고
392,똑같
393,똑같
394,같다고
395,저렴하니까
398,있다고
399,탄탄했습니다
401,화려하게
403,아닙니다
404,화려한
406,훌륭한
409,이상해
412,없는지
413,그러한
415,아닌지
416,적절하게
417,중요한
418,순수한
420,원했고
421,순수한
422,철저히
423,힘든
424,미있는
425,유명한
426,어느새
429,아찔했어요
432,아니여서
433,아쉽
434,멋지신
435,꾸준히
437,스러웠다
438,없어
439,신기했어요
440,좋앗음
441,아쉬웠네요
442,죄송해요
444,길면
445,아쉽네요
447,좋았
451,아쉬었습니다
455,있기까지는
456,있었습니다
457,대단하신듯
458,유명한
459,가득한
460,화려함
463,개운해지고
464,상쾌해지는
466,지루하지
467,아쉬웠습니다
470,무거울
471,재밌어서
472,많았네요
473,멋지고
474,스러
478,노래말
479,부족했습니다
480,어땠는지는
481,부족하지
482,아니였으면
483,즐겁게
485,놀랬고요
490,같은거
491,좋아해서
493,깊었습니다
496,없어
497,신나는
498,없는듯
499,당당함이
500,멋있던
501,화려한
502,없이도
503,재미있다는
505,오래된
506,그런지
507,편하지
508,없지만
509,활기찬
510,기대했는데
511,있는데
512,재밌습니다
513,지루하지
514,멋진
515,인해
516,유명해진
518,멋진
519,훌륭한
