,Adjectives
1,멋있어요
2,기대했는데
5,좋았구요
7,좋았다는
8,궁금하다
10,재밌는
11,재밌는
12,멋지지
13,없었고
14,즐겁고
17,재밌어서
18,재밌고
19,확실하게
23,멋진
24,있을까요
27,좋아하던
28,흔쾌히
29,행복하고
31,좋아하지
32,지루하더라도
33,좋아하는데
34,신나고
35,재미있었어요
36,유쾌하고
37,독특한
38,기대할게
39,완벽한
40,재밌는
41,재밌어
44,재밌는
45,길었어서
46,아쉽고
47,슬픕니다
48,아니었어도
50,재미있고
51,신나는
52,다르고
53,재미있어서
54,다양하게
55,있었던
57,만족스러웠고
58,편안하게
59,없다는
60,아쉬웠어요
61,없었더라면
63,신나는
64,슬펐습니다
66,더신
67,재미있게
68,있길
69,건강한
70,있겠습니다
71,재미없는
72,없었던
73,가득했던
74,만족스러웠고
75,신나게
76,있었던
77,즐겁고
78,재밌을
80,많았다
81,재밌고
84,좋구요
85,당연하고
86,완벽했습니다
87,없었어요
88,많으셨습니다
89,재미있어요
90,재밌었습니다
91,귀여웠어요
92,좋은가
94,있었으면
95,좋았을
96,아쉽지만
97,있겠죠
98,재밌어요
99,재밌었어요
100,미었어요
102,즐거운
103,고맙습니다
106,유쾌한
108,좋구
109,재미있어요
110,흥겹고
111,유쾌하고
112,따뜻한
113,힘들어
114,힘들어
116,재밌어서
117,신나게
119,신나는
120,인한
121,아쉬워요
122,아쉽다
123,기대했지만
126,아쉬웠지만
128,없다니
129,없어
130,좋았을
131,아쉬워요
132,재밌어요
133,흥미로운
134,재밌고
135,신나고
136,좋았던
137,신나고
138,유쾌한
139,즐거운
141,아쉽습니다
142,힘들었어요
144,아쉬웠는데
145,아쉬웠을
147,재미있었습니다
148,아쉬웠습니다
150,힘들어
151,힘들어
152,좋아한다면
153,재미있었습니다
154,좋게
155,없다가
156,재미있네요
157,좋겠습니다
158,재밌었다
159,재밌고
160,신났다
161,어렵구나
162,아쉽
163,다양한
164,화려한
166,유쾌하게
168,재밌을
170,재밌었어요
171,재밌었어요
172,재밌었어요
173,재밌었어요
174,재밌었어요
175,재밌었어요
176,재밌었어요
177,재밌었어요
178,재밌었어요
180,유쾌한
183,그리워요
184,행복했던
186,행복했던
188,재밌었습니다
189,딱히
190,재미없던
191,스러워
192,놀라워
193,새로운
194,눈부시게
195,세련되고
196,멋진
197,멋져
198,새로운
200,새로워라
201,새롭네
202,새로
213,아니고
216,재미있게
217,굉장히
218,기대하면서
219,행복하게
220,힘든
221,아쉽습니다
223,무사히
224,신나는
225,유쾌하게
227,억울하고
228,억울하고
229,있겠습니다
230,많으셨고
231,좋았을
232,아쉬웠어요
234,신나니까
235,재밌으니까
236,즐겁고
237,유쾌한
238,섹시한
239,소중히
241,자유로워지고
242,적절한
244,재밌었습니다
245,재밌었고
247,아니었나요
249,있는지
250,특별히
251,뿐이었어요
252,바쁘다가
255,아니고
256,아니고
257,아닌가요
258,그렇
259,있어도
260,아닙니
261,없으시다면
263,좋았어서
264,좋겠습니다
265,신나는
266,가볍게
268,엄청납니다
269,유쾌하고
270,즐거운
273,아쉽네요
275,깊다
276,달콤한
278,같으니
279,좋겠지만
280,힘들게
281,같았어요
282,재밌고
284,아쉽지만
285,재밌었어요
286,달콤한
287,재미있었어요
289,즐거워
291,잘생겼다
296,사랑스러워요
297,재밌다
301,재밌습니다
302,재미있어요
303,아쉬워요
304,길게
305,아쉽네요
306,있었으면
307,좋을
309,귀여워
311,궁금해지
312,재밌는
313,많았구요
314,초조함
315,색다른
316,재밌었어요
317,재밌어요
319,재밌겠지만
321,충분히
322,재미있었습니다
325,높은
326,즐거웠습니다
327,즐겁게
329,멋진
330,신나는
331,즐겁고
332,좋있습니다
333,있기를
336,아쉬울
337,아쉽습니다
338,유쾌하고
339,새로운
342,뒤늦은
343,후회될
345,소중함까지
346,있었기에
347,아쉬워
348,인해
350,필요하고
351,없었던
352,아쉬우면서도
353,있었지
355,아쉬웠습니다
356,그랬을지도
357,행복한
358,어려워
360,더했던
362,필요했지
363,괜찮은
365,유쾌하고
367,유머러스함과
369,절묘하게
370,사랑스러웠던
371,발광함은
373,노련해지는
375,없고
376,새로운
378,어려운
379,아니고
380,소중한
381,행복한
383,열렬히
384,즐겁고
385,훌륭한
386,재미있게
387,아니네요
388,없지만
389,같아서
390,아니네요
391,없지만
392,같아서
396,좋겠네요
397,아쉽고
398,없었네요
399,많아서
401,있기를
402,아쉽다
403,대단하지만
405,많아서
406,어려운
407,독해서
408,같다는
411,끊임없이
412,대단하다
414,즐겁게
415,즐거웠어요
416,어려운
418,행복한
420,있었으면
421,좋겟어요
422,귀여웠어요
423,있어도
424,즐거워지는
425,흥겨운
426,아쉬웠어요
430,즐거운
431,재밌는
432,신나게
433,속상했습니다
438,사랑스러워
439,괜찮습니다
440,아쉬워요
442,있으리라
443,행복하게
444,있던
445,아쉽고
446,좋았을
447,아까
448,답답해
449,그랬음
450,좋게
451,있겠습니다
452,재밌었고
453,행복했습니다
454,즐거워
456,재밌다는
457,뒤늦게
459,행복했어요
460,망하면
461,신나고
462,즐겁게
463,있었어요
464,재밌는
465,행복했습니다
467,아쉽
468,유쾌한
469,아쉬웠음
472,재밌는
473,아쉽습니다
474,쏠쏠한
476,있겠습니다
477,진정한
478,아무런
479,무사히
481,많으셨고
482,많은데
484,있기를
485,행복한
486,멋진
487,어려운
488,행복하고
489,즐겁게
490,있었으면
491,좋겠습니다
492,행복하고
493,즐겁게
494,행복했어요
495,어려운
496,멋진
498,즐겁게
501,귀엽고
502,벅차오르는
505,많아서
506,아니지만
507,아무런
509,있겠지만
510,싫어
511,강했음
512,신나고
513,미친
514,좋아하는
515,없어
516,아쉽지만
517,많았음
518,아니라고
519,재밌었고
520,많이는
522,귀엽고
523,솔직히
525,즐겁고
526,재밌는
527,좋겠습니다
528,아쉬웠지만
529,좋았음
530,재밌었고
531,아쉬운
533,힘들어하는
535,즐겁게
537,독특해서
538,부질없는
539,강하고
541,좋다고
542,작아서
543,아쉬워요
544,재밌었어요
545,없습니다
546,재밌어요
547,즐거웠어요
548,신나고
551,힘듭니다
552,좋겠다
553,신나고
554,재밌었던
555,있기를
556,신나는
559,즐겁게
561,그런지
562,똑같은
564,유쾌하고
565,즐거운
569,부탁드려
570,즐거웠어요
572,미쳐
575,힘들었어요
577,행복해
581,즐겁고
582,만족스러웠습니다
583,아쉽진
584,아니에요
586,행복해지는
587,용맹하고
588,재밌고
589,즐거웠던
590,재미있는
593,있기를
594,좋아하면
597,신나게
600,우울했는데
601,즐거운
605,재밌는
606,아쉬워요
608,힘들었어요
611,추합니다
612,신나게
613,재미있게
614,아쉬울
615,재밌고
616,유쾌한
617,많아서
618,편하게
621,아까워서
622,달콤하지
623,좋고요
626,강했어요
627,많아서
628,재미있었어요
629,미치는
630,자세히
631,낡은
634,있으시다고
635,좋았겠다
636,아쉬운
638,아낌없는
639,아쉬운
644,즐겁게
645,깊은
647,따뜻했습니다
649,아쉽지만
651,완벽한
652,아쉬워
653,쉬운
655,화려한
656,있으면
657,즐거워져요
659,가득해요
660,신나는
661,있으면
662,즐겁고
663,확실한
664,유쾌한
665,신나는
667,뻔했어요
669,노련하고
671,어려운
674,아쉬웠고
677,아니었던
679,재밌습니다
680,좋겠네요
681,재밌었어요
682,좋겠다
683,유쾌하고
684,즐거운
685,재밌었어요
686,즐거운
689,있는지
691,즐겁게
694,신나고
696,재밌고
697,즐거운
698,죄송할
701,있었으면
702,좋겠습니다
704,많았는데
705,멋진
706,신나게
708,달콤한
709,가득했던
710,쉬운
711,쏠쏠하네
712,많아
713,원하는
714,아닙니다
716,좋겠어
717,아쉬
719,뒤늦게
720,후회될
721,재미있었고
723,쏠쏠했던
724,힘들어진
725,힘들어
726,아니야
728,좋았던
730,행복했습니다
733,재미있고
735,있으면
737,유쾌하고
738,행복한
739,재밌습니다
743,미았었어요
744,미았었어요
745,즐거웠던
748,재밌었어요
750,있길
751,즐거웠습니다
753,유쾌하고
754,재미있는
755,재미있었습니다
756,아쉬웠는데
758,힘들었
759,없지만
760,유쾌하고
761,재밌었어요
762,가벼운
766,예뻐요
767,좋았던
768,재밌네요
769,유쾌하고
770,벅차오름
772,즐거웠어요
775,독특한
776,괜찮았을
779,많지
780,아쉬웠지만
781,씬나
782,씬나
783,신나는
784,없었지만
786,신나여
787,힘들게
788,신나고
789,재미있게
791,많지만
794,재밌어요
796,재밌었습니다
797,아쉬운
799,재미있는
800,많았다
801,재미있게
804,좋은데
805,재밌어요
806,굉장히
807,즐겁고
809,가볍게
810,즐겁게
811,재밌었어요
814,많았던
815,아쉬웠어
816,아니던데
818,즐겁고
819,행복했습니다
820,우울할
825,힘든
827,완벽했던
831,있나와
832,있던
834,재밌어요
837,즐거웠습니다
838,그럴
839,우울한
840,멋진
841,좋아하는
842,즐겁게
844,즐거웠어요
849,무서운
850,있었어서
852,기대했는데
853,아쉬우니
855,빠른
856,신나고
857,가득한
858,아쉽
859,우울한
860,평화로운
862,그러지
863,아쉽고
864,찰지
867,즐거웠다네요
869,행복한
870,재밌고
871,행복했어요
872,인해
873,아까워
876,있었던
877,있기를
878,변함
880,진실하라
881,신나는
882,행복해요
885,흥겹고
886,즐겁고
888,행복했습니다
889,아프게
890,즐겁고
891,사랑스러운
892,안전한
893,재미있게
896,재밌습니다
898,넘칩니다
899,흥겹고
900,즐거웠어요
902,즐거운
904,싫어
906,완벽한
907,부탁드려요
908,재밌고
909,유쾌했어요
911,완벽했네요
912,재밌는
914,있으면
915,좋겠다
916,자유롭게
917,있길
918,싫으니까
919,행복했습니다
920,힘든
921,멋있고
922,섹시하고
923,재밌었어요
924,귀엽고
925,재미있어서
926,색다른
927,많아서
928,아쉽네요
929,재밌긴
930,재미있게
931,아쉽습니다
934,있던
936,재밌었어요
937,재미있다
938,재미있다
939,귀엽고
940,사랑스럽고
941,재밌었네요
942,많지
943,재밌고
944,사랑스러운
946,재밌
947,재밌었어요
949,신나고
950,짜릿해
951,그런지
952,아니시
953,신나는
954,귀엽고
955,사랑스럽고
956,있기를
959,좋아하는데
963,있었지요
964,아니었으면
965,신나고
966,재밌었
968,재밌습니다
969,재밌었어요
970,좋을
971,같지만
972,유쾌한
974,좋겠습니다
975,멋진
976,재미있어요
977,잘생겼다
978,재밌었어요
979,없어
980,슬프네요
982,짜릿하고
984,행복했습니다
985,신나고
986,재밌었어요
988,아니었으면
989,즐거웠겠네요
990,많았네요
991,유쾌하고
992,재미있는
994,재미있어요
999,아쉽지만
1000,아니었나요
1001,재밌
1006,행복한
1007,어려운
1008,편히
1009,아쉽지만
1012,좋겠습니다
1013,있었으면
1014,좋겠습니다
1015,어렵게
1016,좋겠습니다
1017,있었으면
1018,좋겠습니다
1019,어렵게
1020,좋겠습니다
1021,있었으면
1022,좋겠습니다
1023,어렵게
1024,좋겠습니다
1025,있었으면
1026,좋겠습니다
1027,어렵게
1028,힘든
1029,있었어요
1030,신나고
1033,빠른
1034,가까운
1036,팍팍한
1037,행복했습니다
1038,아쉬워요
1040,하얀
1041,그럴듯하게
1044,선명히
1045,그랬어요
1046,유쾌한
1047,있었다면
1048,즐거웠을
1050,재밌었어요
1051,아쉽네요
1052,재밌어요
1053,재밌었어요
1054,아쉬웠지만
1055,행복하고
1056,즐거운
1058,같은데
1059,좋겠습니다
1063,깨끗하게
1064,유쾌한
1066,재밌어요
1070,좋아한다면
1073,있으며
1074,엄청난
1075,원하는
1076,반해
1077,소박한
1078,귀엽고
1079,순수한
1081,자연스러운
1082,완전히
1084,있다면
1085,없고
1088,힘든
1090,아쉬웠어요
1091,있길
1092,재밌었어요
1094,유쾌하고
1095,뻔해서
1096,즐거운
1097,비슷한
1098,길게
1099,있었어요
1101,있으면
1106,아닐
1108,재밌어요
1110,재미있어요
1111,귀여워
1112,끊임없이
1113,유쾌한
1114,즐거웠어요
1115,신나고
1116,있었어
1117,좋겠네
1119,즐거웠어요
1120,재밌
1121,좋으네요
1123,지루했지만
1126,짧게
1127,수많은
1128,재미있게
1131,어떨지
1133,있었겠구나
1134,수많은
1135,재밌을
1136,행복한
1137,행복했어요
1138,만족할
1141,재밌어요
1142,많아서
1144,같아서
1145,좋았구요
1146,행복했습니다
1147,재미있었습니다
1148,재미있었어요
1149,있으면
