,Adjectives
0,좋아하고
3,없을
5,멋지고
6,아름다운
11,있다는
17,따뜻하고
18,아픈
19,슬퍼요
20,좋겠습니다
21,유명한
22,재밌어
27,그리운
30,없겠지만
32,재밌는
33,부탁드리는
34,가능했던
36,아니었으면
39,반가웠던
40,있기를
41,없다니
42,없네요
43,행복한
44,행복하다고
45,없겠지만
51,좋은데다
52,어지간하면
54,같진
55,심하게
57,급하게
58,행복한
60,재밌어요
61,재밌어요
62,재밌어요
63,아련한
64,아름다운
65,아름답다는
70,아쉬워요
73,즐거운
74,아름다워
75,좋아하는
81,재밌네요
83,좋았던
84,아릿해지는
85,아쉽지만
87,기대하고
88,설레여
89,좋지
90,없다니
91,아쉽지만
92,멀고
93,재밌어요
97,수많은
98,아프다는
101,좋아했어요
102,예쁘고
103,재미있게
105,재미있을까
108,아쉬운
109,재밌었어요
110,아니야
112,반갑고
113,아쉽고
114,좋았던
116,있겠으나
118,그리워하겠죠
119,길다라고
120,슬프면서도
121,소중하게
126,재밌어요
127,슬프고
128,슬픈
129,행복했습니다
130,재밌어요
131,멋진
134,행복했어요
137,재밌었습니다
138,아름다운
139,아쉽지만
140,재밌어요
142,즐거운
143,있겠습니다
144,아니지만
147,있을까요
148,무사히
151,반가웠구요
155,행복했어요
156,슬펐어요
158,어려운
159,있길
161,재밌어요
162,많았지만
163,좋겠
164,그리워요
165,재미있었습니다
166,불안했는데
167,귀하게
171,있던
172,소중했어요
173,있었으면
175,행복했습니다
176,없었는데
179,같았어요
180,슬퍼하던
181,있으면
182,좋겠네요
184,특별한
188,새로운
189,행복했어요
190,재밌어요
191,넘치게
192,슬펐어요
196,당하는
197,자리는
198,슬프고도
199,아름다운
200,더해진
201,역이었던
202,아니하지
203,없었던
204,있기를
206,없죠
209,또렷한
210,동그란거
212,좋게
214,좋앗습니다
215,잔인해
216,그래다
217,아니라고
220,추합니다
221,다르지만
222,저렇구나
223,신선하고
224,재밌었어요
225,따뜻해지는
227,행복했습니다
228,재밌어요
230,어떨까
231,궁금해하면서
232,급격하게
233,변한
236,있길
238,행복했습니다
240,아쉬웠어요
241,생생한
242,아쉽고
243,있다고
246,없어도
247,섭섭해
248,달콤한
249,당당하고
250,아름답고
251,없어
252,없어
253,없어
254,따스함
255,소소하게
256,소소하게
257,소소하게
258,소소하게
259,소소하게
260,있다는
261,아니겠습니까
262,재미있어요
263,벅차는
266,재밌었어요
267,그렇습니다
268,아쉬울
273,힘든
274,행복했던
277,좋은데
278,어떡해요
280,벅찬
281,중요한
282,행복했어요
