,Nouns
0,왜냐면
3,초연
4,무대
5,퀄리티
7,후기
9,다가
10,극장
12,아센
15,본진
17,번만
18,줄줄이
19,예매
20,사람
24,아더
25,넘버
26,뮤직뱅크
27,넘버
28,직관
29,확인
33,장단
40,자리
41,고민
42,보람
46,후회
48,브리튼
49,백성
50,보아
53,더킹
54,아더
56,넘버
57,조명
58,삼연
60,삼연
61,어서
62,연장
63,넘버
64,중독
66,연기
67,갈수록
68,슬픔
69,원근
70,아더
72,레아
73,강윤
75,슬롯
76,조합
78,보기
84,조합
85,꼭꼭
87,선거
90,회차
91,갈수록
92,원근
93,아더
94,고뇌
96,막공
100,웨이
104,아더
105,중독
106,넘버
108,시즌
109,벌써
115,최고
122,웨이
124,웨이
126,고훈정
127,중독
129,항상
133,아더
134,노래
135,연기
138,덕분
143,진심
144,천재
147,아더
153,넘버
154,조명도
156,삼연
158,중계
160,뭔가
161,뮤직뱅크
162,특별무대
164,정면
165,보고서
166,노래
167,장면
168,더욱
170,조명도
171,전반
172,뭔가
174,레아
175,강의
176,넘버
177,매력
179,시즌
180,브리튼
181,세금
182,넘버
183,맛집
184,벌써
186,아더
188,재연
189,캐스트
190,그대로
191,삼연
192,오기
194,재연
196,아더
198,레아
200,귀네비어
201,렌슬
203,넘버
204,운명
206,베레
207,로이
211,재연
212,넘버
213,연기
214,사랑
216,아더
220,명작
221,명작
222,재연
223,초연
225,달라
226,처음
227,적응
229,넘버
230,조명
231,사용
233,앤디
234,작품
235,재연
239,훈정
241,막공
242,삼연
248,아더
250,시작
251,폐하
252,왕자
253,브리튼
254,백성
256,웨이
258,웨이
260,절대
266,케이
267,늑대
268,사슴
270,삼연
273,굿바이
275,아더
276,내용
277,분노
278,고통
280,아더
282,초연
285,재연
287,브리튼
288,골반
289,대장
290,브리튼
291,클럽
292,마음껏
295,재연
297,더백형훈
298,레아
300,삼연
303,최고
304,앙상블
307,최고
309,굿바이
311,아더
312,씨유
314,리즈
315,그동안
317,삼연
318,최고
323,넘버
325,마지막
326,검술
327,연습
328,충주
329,아더
331,막공
332,바퀴
333,착지
334,어깨
335,잔뜩
339,객석
340,박수
341,환호
342,귀네비어
343,알콩달콩
344,커플
348,등장
349,저주
350,시작
351,아더
352,위태
354,호수
355,랜슬롯
357,안정
358,브리튼
359,랜슬롯
360,사심
361,레아
362,강의
363,복수
365,간의
366,마법
368,박진
371,아더
372,막공
373,무대
375,앙상블
377,기복
378,항상
380,마지막
381,가슴
382,마무리
383,조연
385,사랑
387,아더
392,연오
394,서사
395,설득
398,봣습니
401,공해
404,얼른
405,삼연
407,안녕
408,웨컵웨컵
409,사랑
410,바보
413,얼른
414,얼른
415,뮤뱅
417,아더
418,삼연
423,노래
425,페어
428,최고
429,막공
430,고생
434,아센
436,지붕
437,보수
438,공사
440,지붕
445,아더
446,조만간
448,도록
449,재연
453,넘버
455,진리
456,취향
460,향사
462,해료
463,화이팅
469,아더
470,초연
471,서사
472,처음
473,불호
476,연기
478,테일로
479,재연
480,마지막
481,눈물
482,훌쩍
483,커튼
484,콜찬
485,레아
486,강의
487,골반
488,댄스
489,클럽
490,브리튼
492,삼연
494,레아
495,강꼭
497,최고
498,기사
499,왕자
500,레아
505,하루하루
507,아더
510,영업
513,삼연
514,웨이
516,내용
517,막공
518,중독
519,넘버
520,자존심
521,상하
522,넘버
528,회전
529,내용
533,이요
536,삼연
537,루즈
540,진심
541,짱짱
543,아더
546,다행
554,재연
556,아더
557,자막
558,기억
561,최고
567,지방
569,계획
572,충주
574,아더
575,진리
576,레전드
579,주기
580,앙상블
582,예술
583,지방
587,네티켓
590,리뷰
592,개입
596,통신사
597,통해
598,예매
601,가슴
602,레아
604,반드
605,레아
607,사랑
608,벌써
611,적금
612,친구
613,추천
618,뱅크
622,이틀
625,낮밤
627,하필
628,이면
630,공주
631,수가
638,렌디
639,레아
642,심장
645,사랑
649,고민
650,무조건
651,가세
653,아더
654,추천
656,연기
657,가창력
658,짜임새
659,구성
660,갓상블
663,오늘이
667,자막
669,생각
673,아더
675,충주
677,홍륜
679,김찬호
682,초연
686,서사
688,얼른
