,Nouns
0,조국애
1,적국
2,원수
3,사랑
4,번뇌
5,나일강
8,조국
9,누비아
11,노예
13,합창
16,사랑
17,피어
19,조국
21,운명
22,가슴
23,여운
24,여인
26,사랑
27,세계
28,우린
31,캐스팅
36,분한
37,소냐
38,그녀
39,가창력
40,연기
41,기대
43,안정감
45,고음
46,세포
49,소름
50,연기
57,공명
58,기관
60,소리
62,발성
63,음악
64,성의
67,흐름
70,주인공
72,비중
73,가슴
75,이집트
77,누비아
78,백성
80,울음
81,노예
83,몸부림
84,계산
85,안무가
86,그것
88,메세지
89,전달
91,격동
92,절박
93,언어
95,구음
97,음향
98,의존
99,절규
100,효과음
102,이보
104,가슴
105,표현
108,아프리카
109,원색
110,컬러
111,화색
113,이집트인
114,무대
115,미술
119,단연
120,으뜸
121,브로드웨이
123,패션쇼
124,장면
125,수영장
127,더욱
129,볼거리
130,거리
133,감각기관
135,베스트
136,오브
137,베스트
145,열정
149,스토리
153,컨디션
154,최고
155,스토리
156,배경
157,의상
158,넘버
160,김준현
162,차지연
164,정선
166,연기
170,노래
171,군무
172,최고
173,디즈니
174,어른
175,눈높이
177,노래
178,퍼포먼스
180,기억
181,컨디션
182,그동안
185,절절
186,감정
187,라다
188,메스
189,덕분
192,감동
194,막공
196,지휘
198,칼론
199,감독
200,열정
201,오케스트라
203,절규
204,앙상블
207,리스
208,기윤
209,조세르
210,철완메렙
211,관중
212,환호성
213,감동
217,막공
221,감성
222,마지막
228,커플
229,엮어서
230,처음
231,차지연
232,최수형
233,조합
236,마지막
237,후회
239,대사
241,노래
242,소리
247,외적인
248,요소
249,앙상블
251,몇번
253,겨울
257,보지
258,마지막
262,캐스팅
263,캐스팅
267,공이
269,분위기
270,걱정
276,느낌
278,노래
279,연기
280,최선
281,최고
282,기량
283,객석
284,반응
285,폭발
287,기억
288,최고
290,기억
293,남녀
294,주인공
295,하모니
296,소름
297,무대
298,조명
299,의상
300,넘버
304,차지연
305,김준현
307,막공
308,래서
309,평소
311,감미
316,시즌
317,버전
320,기대
321,토요일
322,저녁
324,주인공
325,소냐
326,캐스팅
327,그날
328,마직막
330,엔딩
331,펑펑
332,시작
334,눈물
335,연기
336,노래
337,내용
339,부모님
342,감동
344,노래
345,연기력
346,주위
347,추천
348,차지연
350,역쉬
351,차지연
353,출연
356,장난
358,지난
360,감솨
368,무대
369,전체
370,구조
371,앙상블
372,퍼포먼스
376,라다
377,메스
378,가슴
379,절절
380,사랑
381,이야기
384,정선
386,무대
387,장악
391,아앙
392,일주일
393,감명
395,대박
396,작품
397,최수형
398,처음
400,소냐
403,노래실력
408,기대
409,인지
411,근대
412,무대
414,의상
417,무대
418,예술
422,최수형
423,처음
425,소냐
428,노래실력
433,기대
434,인지
436,근대
437,무대
439,의상
442,무대
443,예술
447,무대
448,연출
449,인상
450,수준
452,연기력
453,최고
460,막공
461,하루
462,무대
466,음악
467,연출
468,노래실력
474,캐스트
477,차준
479,페어
481,무대
482,조명
483,소품
484,의상
485,넘버
489,라다
490,메스
491,사랑
492,이야기
493,리스
494,이야기
496,기억
505,얼른
511,실망
513,무대
514,음악
515,조명
516,군무
520,최고
523,리스
524,처음
525,소냐
527,수형
528,라다
