,Nouns
0,웨스트앤드
1,엘리엇
3,난후
4,한국
5,창작
8,선택
9,작품
10,수상
11,작품
13,수준
14,생각
15,사실
16,창작
19,불신
21,상태
23,대반
24,의심
25,반의
26,마음
29,동맹
30,생각
32,외국
33,견주어봐
34,손색
35,무대
36,장치
37,스케일
38,이토히로부미
40,기차
41,신의
42,연출
43,포인트
46,연기
47,가창력
49,마음
51,정성화
56,명성황후
57,노래
59,눈물
60,안무
61,가창력
62,연기
63,조명
64,무대
65,연출
68,수작
71,탄생
74,예매
78,영웅
79,보기
84,감동
86,대상
87,정성화
88,노력
89,고스
91,안중근
92,카리스마
94,정성화
95,파워
98,무대
100,환상
103,압권
106,열차씬
107,실제
108,열차
109,무대
111,실감
113,연출
115,호흡
116,척척
117,추격씬
118,군무
120,사람
121,사람
122,호흡
124,다시금
126,노력
127,덕분
128,무한
129,감동
130,안고
131,공연장
134,안중근
135,소재
137,관객
138,애국심
139,호소
141,걱정
143,작품
144,사람
146,주인공
147,시대
148,상황
150,감동
151,눈물
157,노력
158,열정
159,실력
160,최고
161,작품
162,좌석
165,시야
168,아마
169,석도
170,무난
173,정성화
175,동영상
177,영웅
185,찬사
186,가슴
187,눈시울
189,장면
190,안중근
191,의사
192,수의
193,직접
194,안중근
195,의사
196,어머니
197,눈물
198,몰래
199,의사
200,안중근
201,어머니
202,아들
203,안중근
204,인간
205,안중근
206,대한민국
207,사람
208,라면
210,가슴
211,지리
212,확신
213,주변
214,가족
215,친지
216,친구
217,직장
218,동료
219,널리
220,알리
221,추천
223,영웅
226,감동
230,정성화
232,역사
235,그다지
237,대안
240,순간
242,생각
244,감동
245,가슴
248,추격
253,마지막
255,그날
256,기약
259,가슴
260,주체
261,눈물
263,누가
264,죄인
265,분노
266,슬픔
267,감정
268,뒤엉킨
269,눈물
270,맺혔습니
272,무대
273,미술
274,측면
276,색채
277,영상
278,미가
281,호강
282,정성화
283,비롯
285,열정
286,무대
288,진심
289,박수
292,난후
293,머리
294,가슴속
295,영웅
297,넘버
298,기회
300,가족
303,영웅
304,어제
305,영웅
307,마음
308,공연장
310,항상
311,뭔가
314,기대
317,가끔
318,영웅
320,기대
321,걱정
324,시작
325,안중근
327,왼손
329,손가락
330,독립
331,투쟁
332,결의
333,다지
334,정천
335,동맹
337,걱정
340,영웅
342,기대
347,공부
349,지망
351,내용
353,연기
354,노래
355,움직임
356,무대
357,효과
363,생각
366,영웅
368,가슴
371,대한민국
372,가슴
373,역사
375,옥호루
377,황후
378,노래
379,장면
380,무대
381,뒷쪽
382,실루엣
383,명성황후
384,시해
385,장면
386,연출
388,장면
390,이상은
391,호소
392,목소리
393,관객
395,마음
396,마지막
397,안중근
398,사형
399,집행
400,장면
401,아들
402,마지막
404,직접
405,수의
406,어머니
408,마리아
409,노래
410,아들
411,먼저
412,어머니
413,마음
417,안중근
419,운명
420,노래
421,절친
422,친구
425,장면
426,감동
427,우덕순
428,도선
429,아리랑
431,중간
432,중간
433,소재
434,후기
436,영웅
438,한국
439,역사
440,사람
441,라면
446,생각
449,스탭
450,연출
453,고생
454,작품
455,어제
456,저녁
460,노래
461,감동
463,스스로
464,생일
465,선물
467,예매
468,생일
469,선물
471,뮤직
473,영웅
475,감동
476,요약
478,소름
481,마직막
482,사형
484,수의
485,마지막
487,안중근
488,신성록
489,영웅
491,노랫말
493,어제
496,이유
500,하늘이시여
503,하늘이시여
508,뮤직
510,영웅
511,영웅
512,가사
513,신성록
515,열연
516,안중근
519,이상은
520,링링
521,미도
522,살의
523,유동
524,임진웅
525,우덕순
526,성혁
527,도선
528,조휘
529,대사
530,온몸
532,나라
533,슬픔
536,머리
540,조국
541,신음
543,부모
544,형제
545,뮤직
547,영웅
548,그날
549,기억
551,노랫말
552,우덕순
553,조도
554,선의
555,아리랑
557,머리
560,경제력
561,비교
563,가격
565,결제
569,가격
571,후회
577,신성록
579,버젼
580,참으로
581,사고
583,라나
590,영웅
591,라면
594,어제
595,엄마
597,영웅
599,이제껏
605,감동
607,안중근
609,정성화
613,반한
615,처음
619,활짝
625,눈물
626,감동
627,기립박수
631,엄마
634,일제시대
636,국민
637,아픔
638,고난
641,생각
642,안중근
643,의사
644,비롯
645,독립
646,투사
647,희생
649,대한민국
653,마지막
654,안중근
655,의사
656,유해
657,고국
659,기대
660,귓가
661,맴도
662,음악
663,구성
664,가슴
665,스토리
666,연기
670,종합
671,작품
674,영웅
677,정성화
678,작품
681,처음
682,영웅
683,무대
685,주제
687,낯선
688,정성화
692,더욱
693,선뜻
695,시상식
699,생각
701,예매
703,유명
706,공연장
707,만원
708,상태
710,기대
711,마음
714,영웅
715,안중근
716,무작정
717,영웅
718,시대
719,필요
720,거사
723,나머지
724,독립
725,투사
726,운명
727,동지
728,죽음
729,현실
730,인간
731,고뇌
732,조화
735,자의
736,긴장감
737,독립
738,운동
739,일본
740,순사
741,대립
742,조명
743,안무
744,무대
745,효과
747,장면
748,장면
749,몰입
750,기억
752,장면
753,이토
754,히로
756,살인죄
757,기소
758,안중근
759,도마
760,안중근
762,재판관
764,사람
766,목소리
767,일본
768,만행
773,나라
774,설움
775,온갖
776,만행
777,당한
778,사람
779,대변
783,폭발
784,목소리
787,누가
788,죄인
789,누가
790,죄인
793,이야기
796,이야기
799,안중근
800,동양
801,평화
802,무어
808,권총
809,아들
812,기도
813,시대
814,영웅
816,나라
817,사랑
818,청년
819,마음
820,그대로
821,가슴
822,간수
825,어머니
826,수의
828,용기
830,어머니
831,목소리
832,도마
833,안중근
835,눈물
837,가야
838,이의
839,슬픔
840,가슴
841,객석
842,여기저기
843,훌쩍
844,소리
845,형장
846,이슬
848,마감
849,안중근
850,무대
851,스크린
853,글자
854,안중근
855,시신
856,일본인
857,만행
858,유린
860,시신
864,조국
867,더욱
868,가슴
870,커튼
872,시작
875,사람
876,기립박수
879,구경
880,처음
881,기립
882,박수
886,가슴
888,저녁
889,국립극장
891,영웅
892,정성화
893,안중근
894,출연
896,기대
897,예매
898,영웅
899,평가
904,칭찬
907,캐스트
908,분한
910,노래
911,연기
913,군무
916,게이샤
917,부채춤
918,매력
919,추격씬
923,최고
924,무대
925,장면
926,전환
927,무대
928,미술
930,기차씬
931,특수
932,효과
934,연출
935,표현
936,넘버
942,거리
943,안중
945,정성화
947,성량
949,가슴속
951,동맹
953,가슴
954,찌릿
955,누가
956,죄인
957,장부
960,환상
964,영웅
965,안중근
970,영웅
971,국립극장
972,지하철
973,타고
974,동대입구역
976,무료
977,셔틀
978,타고
980,오름
981,극장
