,id,date,rating,views,like,title,text
0,5,chlgudtj***예매자,2019.12.05,조회 792,"공감 60
공감하기",베스트너무너무 재밌었던 가족과 함께 봤던 그리스♡,"그리스 진짜 너무너무 재밌었어요~~~ 원래 뮤지컬을 좋아해서 가족끼리 자주 보러 다녔었는데 그리스는 봐야지 봐야지 하고 있다가 이번에 엄마랑 같이 보고 왔습니다!! 가족과 함께 보기에도 괜찮은 뮤지컬인 거 같았고 전체적인 무대, 동선, 노래 다 좋았어요~ 배우님들의 연기와 노래도 정말 좋았구요!! 특히!! 정대현님!! 목소리도 너무 좋으시고 연기도 너무너무 잘하셔서 좋았습니다~!!! 또 보고 싶은 뮤지컬 그리스, 보는 내내 웃음이 끊이질 않았던 뮤지컬♡"
1,5,rhdwna***예매자,2020.03.22,조회 27,"공감 0
공감하기",오래된 친구들과의 공연,20년 이상 함께한 모임에서 연말 뜻깊은 공연을 친구들과 식사패키지와 공연을 함께한 간만의 멋진 외출이었습니다.
2,3,lake1***,2020.03.10,조회 51,"공감 0
공감하기",그리스,그냥그랬음 ㅠㅠ
3,5,su***예매자,2020.03.04,조회 12,"공감 0
공감하기",재밋네용,재밌었어요ㅋㄱㄷ아무생각없이보기좋은..
4,3,gkswjd1***예매자,2020.02.25,조회 47,"공감 0
공감하기",그리스,가족들하고 재미있게 보았네요
5,4,h***예매자,2020.02.19,조회 31,"공감 0
공감하기","춤, 음악, 연기 모두 멋지네요","춤, 음악, 연기 모두 멋지네요 코믹한 연기도 재미있었어요"
6,5,dol1***예매자,2020.02.17,조회 33,"공감 0
공감하기",젊은 뮤지컬 인재들의 멋진공연,"춤과 노래 너무 좋았어요.
10년전쯤 지방에서 같은 뮤지컬을 봤는데 지방공연이라그런지 배우들의 노래가 정말 일반인들보다 못하다고 생각했는데 이번공연은 모두 좋았어요"
7,5,2y2***예매자,2020.02.16,조회 23,"공감 0
공감하기",상큼발랄,"보고나면 귀염뽀짝한 캐릭터들덕분에
제
마음도 상큼발랄해지고 기본좋아져요!"
8,2,sing0***예매자,2020.02.16,조회 92,"공감 3
공감하기",살면서,뮤지컬 보면서 잔건 처음임
9,5,pgh8***예매자,2020.02.15,조회 41,"공감 0
공감하기",너무 늦게 알아버린 절 탓하겠습니다,"얼른 돌아오세요,, 돈 모아놓겠습니다 ,,"
10,5,selay***예매자,2020.02.13,조회 36,"공감 0
공감하기",ㅇㅇㅇ,공연내내 너무 즐겁고 신났습니다
11,5,vgund***예매자,2020.02.13,조회 16,"공감 0
공감하기",재밌게 즐기고 왔습니다.,"여자 친구가 보고 싶다고 해서
같이 다시 봤습니다^^;; 즐겁게 공연 잘 즐기고 왔습니다."
12,5,pio***예매자,2020.02.11,조회 17,"공감 0
공감하기",너무신나요,"흥을참을수가없어요
웃겨서눈물나...
정말많은배우분들이출연하는데
단한분도빠짐없이
너무열심히하는모습이
참보기좋았습니다"
13,5,hosan***예매자,2020.02.11,조회 20,"공감 0
공감하기",기대보다 너무 재밌었음,또 보고 싶어요
14,5,woojooi***예매자,2020.02.10,조회 9,"공감 0
공감하기",진짜 너무 신나네요,"경대니 어쩜 춤을 이렇게 잘 출 수가 있죠
진짜 춤추는 것만 넋놓고 본 것 같아요"
15,5,dustn4***예매자,2020.02.10,조회 10,"공감 0
공감하기",너무 즐거워요~,신나네요~
16,5,chlgudtj***예매자,2019.12.05,조회 792,"공감 60
공감하기",베스트너무너무 재밌었던 가족과 함께 봤던 그리스♡,"그리스 진짜 너무너무 재밌었어요~~~ 원래 뮤지컬을 좋아해서 가족끼리 자주 보러 다녔었는데 그리스는 봐야지 봐야지 하고 있다가 이번에 엄마랑 같이 보고 왔습니다!! 가족과 함께 보기에도 괜찮은 뮤지컬인 거 같았고 전체적인 무대, 동선, 노래 다 좋았어요~ 배우님들의 연기와 노래도 정말 좋았구요!! 특히!! 정대현님!! 목소리도 너무 좋으시고 연기도 너무너무 잘하셔서 좋았습니다~!!! 또 보고 싶은 뮤지컬 그리스, 보는 내내 웃음이 끊이질 않았던 뮤지컬♡"
17,4,slcl***예매자,2020.02.10,조회 8,"공감 0
공감하기",재밌었어요,"늘 열정적인 배우분들도 너무 좋았고
막공 날 빈스와 린치쌤의 애드립이 괜히 뭉클했어요"
18,4,bbanssa***예매자,2020.02.10,조회 16,"공감 0
공감하기",끝나니까 아쉽네요,"긴 기간동안 볼만큼 보고 즐길만큼 즐겼다고 생각했는데
어느 사이에 저도 모르게 그리스 넘버를 흥얼거리고 있어요 요즘"
19,5,lengis***예매자,2020.02.10,조회 19,"공감 0
공감하기",귓가에 들리는 라디오,왜이리 내맘을 울리나~
20,5,8402j***예매자,2020.02.10,조회 8,"공감 0
공감하기",시간이 지나도 사랑 받는 극은,이유가 있다고 생각해요~
21,4,cdm0***예매자,2020.02.10,조회 14,"공감 0
공감하기",그리스,글글글이스
22,5,taof***예매자,2020.02.08,조회 80,"공감 0
공감하기",너무 재밌었어요!,"막공날 본게 너무 아쉬웠습니다ㅜ
한시도 지루하게 않게 변하는 무대세팅과 억지스럽지않고 자연스레 빵빵 터지게 해주는 대사와 연출덕에 엄청 웃으며 봤어요 ㅎㅎ
모든 캐릭터가 너무 매력넘쳤고 덕분에 저 학교다닐때 기억도 소환해봤네요 ㅎㅎㅎ
넘 즐거웠습니다 잘봤습니다~ :D"
23,4,khy3***예매자,2020.02.08,조회 67,"공감 0
공감하기",한국에서 내돈주고 본 첫뮤지컬..,"너무신나고즐겁게 봣어요
학생들이야기라해서 젊은이들만 올줄알았는데
전 연령대가 모두 관람하기 좋은 뮤지컬인가봐요 ㅎㅎ 다양한연령대의관객들과 재미있게봣습니다!
저도 어머니와함께갔구여 ,, ㅎㅎ
이제 마지막공연도 끝낫겟네요..고생많으셧어요 :))"
24,4,suminbe***예매자,2020.02.07,조회 11,"공감 0
공감하기",좋았어요,익숙한 멜로디와 화려한 댄스가 좋았습니다
25,5,thisbr***예매자,2020.02.07,조회 14,"공감 0
공감하기",신나요 신나,마지막공연이라 넘 아쉬워요. 또 보고 싶어요.
26,5,thisbr***예매자,2020.02.07,조회 15,"공감 0
공감하기",너무 신났어요,"코로나 때문에 취소할까 말까 고민하다가 갔는데 정말 잘 한 것 같아요.
마지막 공연이라서 관객들도 많았고 아빠엄마 모시고 갔는데 귀에 익은 노래들이 나오니 즐거워 하셨어요.
음악도 너무 신나서 즐거운 가족모임 했어요."
27,4,m890***예매자,2020.02.07,조회 8,"공감 0
공감하기",신나는 공연이였습니다,"꼭 보고싶었던 공연이였습니다.
춤과 음악 모두 신나고 재미&#45788;게 관람했습니다."
28,5,***예매자,2020.02.05,조회 8,"공감 0
공감하기",재미있고 좋네요. :),"첫 뮤지컬이라는 친구랑 함께 보았는데, 친구도 만족스러워하더라구요.!

입문도 잘 시켜주고, 재밌고 유쾌하게 보았습니다.
또 보고싶은데, 아쉽게도 굿바이무대였네요.. ㅠㅠ

또 나오면 꼭 보러가고 싶은 뮤지컬입니다 >_<!!"
29,5,pushek***예매자,2020.02.05,조회 18,"공감 0
공감하기",저세상 흥을 만나고 옴,"좀 지루한 부분도 있었지만
커튼콜 진짜 신남"
30,4,gaulnam***예매자,2020.02.04,조회 13,"공감 0
공감하기",그리스 관람후기,"예전부터 보고싶던 뮤지컬이었다. 귀에 익숙한 노래들. 밝고 신나는 음악. 역동적인 춤.
다 좋았다."
31,5,wongi***예매자,2020.02.04,조회 9,"공감 0
공감하기","내 인생 첫 뮤지컬, 그리스!","슬로건 그대로 진짜 처음 제 돈주고 본 뮤지컬입니다!
회전문을 7바퀴정도 돌았는데 정말 최고의 뮤지컬이었어요.
서경수 배우님께 입덕해 시작했지만 여러번 봐도 질리지 않는 스토리라인과
배우님들의 깨알같은 개그와 그걸 기가막히게 받아주는 합, 중독성 강한 넘버들까지...!
일년 대장정의 막을 내렸지만 아직도 아쉽네요.

첫 뮤지컬이자 가장 기억에 남는 뮤지컬일 것 같아요.
그리스 사랑합니다!!"
32,5,chlgudtj***예매자,2019.12.05,조회 792,"공감 60
공감하기",베스트너무너무 재밌었던 가족과 함께 봤던 그리스♡,"그리스 진짜 너무너무 재밌었어요~~~ 원래 뮤지컬을 좋아해서 가족끼리 자주 보러 다녔었는데 그리스는 봐야지 봐야지 하고 있다가 이번에 엄마랑 같이 보고 왔습니다!! 가족과 함께 보기에도 괜찮은 뮤지컬인 거 같았고 전체적인 무대, 동선, 노래 다 좋았어요~ 배우님들의 연기와 노래도 정말 좋았구요!! 특히!! 정대현님!! 목소리도 너무 좋으시고 연기도 너무너무 잘하셔서 좋았습니다~!!! 또 보고 싶은 뮤지컬 그리스, 보는 내내 웃음이 끊이질 않았던 뮤지컬♡"
33,5,isds***예매자,2020.02.04,조회 8,"공감 0
공감하기",그리스,그리스 여름때부터 앵콜 공연까지 거의 1년이라는 시간 동안 수고 많으셨고 너무 재미있었습니다.
34,5,iuss***예매자,2020.02.03,조회 10,"공감 0
공감하기","배우님들의 열연과 무대, 노래 무엇하나 빠지지 않는 뮤지컬","N차 관람은 기본적으로 해야하는 관객참여도가 높은 뮤지컬
배우분들의 연기 열정과 중간중간 관객들과의 소통이 아주 재미있는 뮤지컬"
35,4,with***예매자,2020.02.03,조회 10,"공감 0
공감하기",좀 더 일찍 접했으면 좋았을것을...,재밌었어요
36,4,rilla***예매자,2020.02.03,조회 10,"공감 0
공감하기",재밌네요,막공까지 고생 많았네요 배우들
37,2,chjk0***예매자,2020.02.03,조회 36,"공감 0
공감하기",관람평,"재밌게 잘 보긴했는데요
끝나고 배우들 집으로갈때 관람객들 인사를 좀 잘 받아줬으면 좋겠어요
인사를 했는데 한 배우분 못본척 그냥 휙 지나가더군요
배우분들 인성도 신경을 썻으면 좋겠습니다"
38,5,qktlf***예매자,2020.02.03,조회 15,"공감 0
공감하기",뮤지컬 그리스 관람후기,"작년 5월에 보고 다시보구 싶은 맘에 다시 예매해서 관람하고 왔어요.
역시 굿 굿 굿!
관객과 함께 즐겨보는 뮤지컬 그리스
못 보신분들 꼭 한 번 보세요.~~~ 정말 재미있어요.~~~~"
39,4,kimjm0***예매자,2020.02.03,조회 10,"공감 0
공감하기",그리스재밌어요,서경수 잘생겼다
40,5,jyh0***예매자,2020.02.03,조회 15,"공감 0
공감하기",????????사랑합니다 그리스,그리스 짱이에요 너무 재밌어요 특히 박광선 배우님 넘 좋아요 케니키 연기 넘 잘해요 ost도 냈으면 좋겠어요 2019 한국판 버전으로요 그리스 또 해주세요 넘 좋아요^^ ♡♡♡♡♡
41,4,brownslo***예매자,2020.02.03,조회 10,"공감 0
공감하기",재밌었어요,1년간 모든 스태프들 캐스트들 수고많았어요
42,4,mkr***예매자,2020.02.03,조회 10,"공감 0
공감하기",신나게 잘 보았어요.,"신나게 잘 보았습니다.
배우들의 신나는 기운을 받았어요."
43,3,mira***예매자,2020.02.03,조회 22,"공감 0
공감하기",부모님과 재밌게 봤습니다,"부모님이랑 같이봤는데요. 통로쪽에 앉으셔서 아주 재밌게 보셨다고 하셨어요 ㅎㅎ
방댕이 노래는 정말 알 수 없었지만 ㅋㅋㅋ 잼나게 봤습니다"
44,4,ceoso***예매자,2020.02.03,조회 12,"공감 0
공감하기",추천,추천합니다.
45,4,ceoso***예매자,2020.02.03,조회 7,"공감 0
공감하기",추천,추천합니다.
46,5,kyungal***예매자,2020.02.03,조회 21,"공감 0
공감하기",엉덩이 조금도 안뜬 사람 있으면 손드세요..,"뮤지컬도 지루한 부분이 조금씩은 있구나 생각했던 사람으로서
이 뮤지컬 <그리스>는 지루할 틈 없이 처음부터 끝까지 아주 신나고 재밌었습니다.
흥이 나서 몸이 절로 움직이더군요..
관객과 함께 소통하는 공연을 보게 된 것 같아 기뻤습니다.
막공이다보니 배우들 목상태가 안좋아 보였음에도 불구하고,
감정선 하나 깨지지 않고 유지되었던 점이 가장 인상적이었네요.
무엇보다 많이 들어본 노래를 직접 들으면서, 이 장면에서 쓰이는 노래였구나 알고 보니
신기하기도 하고 사랑스러운 무대였습니다.
아주 어릴 때 봤던 그리스, 다시 오픈되면 또 보러가고 싶습니다.
배우 분들, 스탭분들 모두 너무 고생하셨고 멋진 막공 소감까지 감명깊게 잘 봤습니다!
즐거운 시간 만들어주셔서 감사합니다~"
47,5,juns***예매자,2020.02.03,조회 10,"공감 0
공감하기",잘 봤습니다,잘 봤습니다
48,5,chlgudtj***예매자,2019.12.05,조회 792,"공감 60
공감하기",베스트너무너무 재밌었던 가족과 함께 봤던 그리스♡,"그리스 진짜 너무너무 재밌었어요~~~ 원래 뮤지컬을 좋아해서 가족끼리 자주 보러 다녔었는데 그리스는 봐야지 봐야지 하고 있다가 이번에 엄마랑 같이 보고 왔습니다!! 가족과 함께 보기에도 괜찮은 뮤지컬인 거 같았고 전체적인 무대, 동선, 노래 다 좋았어요~ 배우님들의 연기와 노래도 정말 좋았구요!! 특히!! 정대현님!! 목소리도 너무 좋으시고 연기도 너무너무 잘하셔서 좋았습니다~!!! 또 보고 싶은 뮤지컬 그리스, 보는 내내 웃음이 끊이질 않았던 뮤지컬♡"
49,4,cokom***예매자,2020.02.03,조회 11,"공감 0
공감하기",재밌고 유쾌했습니다~,그리스 언제봐도 중타는 치죠~! 배우들 연기도 노래도 다 좋았어요. 특히 마티역 분 배우님이 잘하셨던 것 같아요~ 정대현 배우님도 능청스럽게 연기 잘하셨구요. 다만 정말 아쉬웠던건 사운드 인데요. 연주곡의 음량때문에 배우들의 가사와 딕션이 묻히더라구요. 특히 케니키의 그리스 라이트닝은 배우의 노랫소리가 거의 묻혀서 깜놀했어요..제가 늠 좋아하는 we go together 두요 ㅠㅠㅠ 그것만 아니었다면 정말 최고로 재밌었습니다~!
