,id,date,rating,views,like,title,text
0,5,nl***,2019.08.06,조회 455,"공감 5
공감하기",베스트오랫만에 멋진 공연을!,"우연한 기회에 다른 사이트 이벤트에서 초대가 되어 가벼운 마음으로 찾았던 공연인데,
정말 오랫만에 멋지고 감동적인 공연을 만났습니다. 그저 보게된 것이 민망스러워 굳이 찾아와서
댓글을 남깁니다. 기회가 된다면 꼭 다시한번 더 보고 싶네요!
배우분들의 호연도 좋았고, 음악도 전체적으로 참 좋았고,,, 시종일관 참 좋았습니다!
오랫만에 좋은 공연을 만나게 되어 참 좋았네요. 감사합니다. ^^"
1,5,thgus2***예매자,2019.10.02,조회 22,"공감 0
공감하기",시인 난설이라 좋았어요,시인으로서의 난설에 집중되어서 좋았습니다
2,5,mission1***예매자,2019.10.01,조회 16,"공감 0
공감하기",너무,"좋았어요
심플한 무대와 영상 조명 잘 어우러진 극이었습니다
넘버가 집 가는 길에 맴돕니다"
3,5,chirene***예매자,2019.09.09,조회 23,"공감 0
공감하기",너무좋아요,난설난설 행복해질거야
4,4,Berrie***예매자,2019.09.09,조회 50,"공감 0
공감하기",좋아요,좋았어요 곧 다시 만나요
5,4,ginny***예매자,2019.09.09,조회 23,"공감 0
공감하기",추천합니다,추천합니다
6,5,dy1***예매자,2019.09.09,조회 31,"공감 0
공감하기",막공까지 너무 좋았어요,"이제 곧 웰컴대학로로 오니까 그것만 기다리고 있습니다. 근데 왜 이렇게 기간은 짧은 건가요. 조금만 더 길게 해주면 좋을텐데... 배우들 연기에 음악, 조명, 대사와 분위기까지 너무 사랑하는 극입니다."
7,5,ppu***예매자,2019.09.09,조회 17,"공감 0
공감하기",난설,바닥에 비치던 시 구절과 뮤지컬 넘버들이 아름답고 좋았습니다. 허초희 라는 인물에게 바치는 찬사와 같은 극.
8,5,lee1312***예매자,2019.09.09,조회 27,"공감 0
공감하기",최고의 뮤지컬,또보고싶어요
9,5,lee1312***예매자,2019.09.09,조회 25,"공감 0
공감하기",허난설헌의 이야기. 지음에 대한 생각,나에게도 지음이 이ㅆ었으면 좋겠다 생각했어요
10,5,hyang1***예매자,2019.09.09,조회 27,"공감 0
공감하기",최고ㅠㅠㅠㅠ,공연 최고예요ㅠㅠㅠㅠ
11,5,hyang1***예매자,2019.09.09,조회 15,"공감 0
공감하기",최고...,최고의 공연입니다ㅠㅠ
12,5,mom***예매자,2019.09.08,조회 33,"공감 0
공감하기",재밌어요,"허난설헌과 허균 이야기
재밌게 봤습니다~
넘버가 좋았어요"
13,4,mulo***예매자,2019.09.07,조회 21,"공감 0
공감하기",넘버랑 배우님들 좋았습니다,넘버가 정말 좋았어요
14,5,sk0209***예매자,2019.09.05,조회 41,"공감 0
공감하기",난설 좋다 재연 기대됨,"옆에서 훌쩍훌쩍..1분단위로 사람 미치는줄
뒤애서 부시럭부시럭..내가 이걸 미쳤다고 뒤로와서 본다고 ㅅㅂ... 좃같은 관크 진짜 살인충동 느낀다
맆이달 거문고 잘 치는데?(거문고알못) 거문고 잘 튕기면 더 맑고 고운소리 난다더니 궁금하다 원래 음은 어떨지...
맆이달 연기 진짜 잘 어울린다 목소리랑 의상이랑 진짜 쩐다.. 사극이 잘 어울리나봐.... 인지초희 목소리 너무 좋아ㅠ
내가 원하는 것이 그것이라고 생각하느냐? 하는데 목소리에서 벌써 떨림이 느껴져ㅠ
기범균 표정이 자꾸 찌그러지던데 속상한건 알겠는데 다른감정 무슨 표현인지 모르겠고 마지막에 우린 오~래 전부터 서로를 알아봐주는 지음이었다는 대사에 우는씬... 좀 아쉬워ㅠ 현석균 우는걸 너무 잘봐서 그런가 비교되는건 어쩔수가 없음ㅠ"
15,5,sk0209***예매자,2019.09.05,조회 44,"공감 0
공감하기",난설 사랑한다ㅠ,"끝에서 2번째였지만 그래도 잘 보였음 사이드 앉으니까 조명에 바깥나무가 그림자져서 검은 나무들을 더 만들어내서 그게 더 을씨년스럽고 슬프더라ㅠ 그들의 세상은 그랬겠지ㅠ
맆이달 붓 왜 그렇게 잡는거냐ㅠ
현석균 춤 진짜 너무 못춘다ㅋㅋ 그래서 맆이달한테 스승님은 춤도 잘 추신다ㅋ/집중하거라ㅋㅋ
현지초희 광한전백옥루상량문 부를때 고음 조금 더 잘 올라가네 좋아!! 시 태우고 울지말거라 괜찮다하는데 본인이 울컥해서 울려고하네ㅠ 입은 ㅅ이렇게되서ㅠ
눈은 이미 허망함으로 가득차있고ㅠ 시집생활이 힘들었다더니 그걸 너무 잘 표현해준거같음
현석균 초반에 무릎꿇고 앉아서 울부짖듯이 노래부르는부분 너무 좋음
궁뎅이 팡팡할때 아 이거 좀 하지 마요랑 간지럽힌다고 콕콕찌를때 하지마시오.. 하지마시오..하지마시오!! 다 큰 어른한테 이게 뭐하는 짓이요!!하는데 애가 후엥~하고 우는거같음ㅋㅋ 귀여워ㅋ 그리곤 앉아서 헤헤거리면서 다리뻗고 손 앞으로 가지런히 모으고 누이바라보는데 진짜 귀여운 남동생임ㅋ"
16,5,nl***,2019.08.06,조회 455,"공감 5
공감하기",베스트오랫만에 멋진 공연을!,"우연한 기회에 다른 사이트 이벤트에서 초대가 되어 가벼운 마음으로 찾았던 공연인데,
정말 오랫만에 멋지고 감동적인 공연을 만났습니다. 그저 보게된 것이 민망스러워 굳이 찾아와서
댓글을 남깁니다. 기회가 된다면 꼭 다시한번 더 보고 싶네요!
배우분들의 호연도 좋았고, 음악도 전체적으로 참 좋았고,,, 시종일관 참 좋았습니다!
오랫만에 좋은 공연을 만나게 되어 참 좋았네요. 감사합니다. ^^"
17,5,kaira***예매자,2019.09.04,조회 21,"공감 0
공감하기",뮤지컬난설,정말 좋아하던 공연이였는데 끝나서 아쉽네요
18,5,k177***예매자,2019.09.04,조회 7,"공감 0
공감하기",다시보고싶은공연,뮤지컬난설 다시보고싶습니다
19,5,zayusy***예매자,2019.09.04,조회 4,"공감 0
공감하기",울지마 이리와,"허초희와 허균, 이달"
20,5,phl7***예매자,2019.09.04,조회 8,"공감 0
공감하기",난설 못 보내,곧 다시 만나요!
21,5,phl7***예매자,2019.09.04,조회 10,"공감 1
공감하기",초희언니 나 여덟살이야,허초희 사랑했어요
22,5,j970***예매자,2019.09.04,조회 5,"공감 1
공감하기",난설 좋았어요..,넘버도 좋고 분위기도 좋고 재연 오길 바랍니다
23,4,purel***예매자,2019.09.04,조회 4,"공감 0
공감하기",난설,멋진 배우님들이 함께 하는 좋은 작품을 만나서 기쁩니다.
24,4,hn12***예매자,2019.09.04,조회 6,"공감 0
공감하기",난설..............,정인&#51620;.............. 넘 쩨고야
25,3,hrwo***예매자,2019.09.03,조회 6,"공감 1
공감하기",잘 봤습니다.,인지배우 최고!
26,5,lovspi***예매자,2019.09.03,조회 4,"공감 0
공감하기",최고의 공연.,멋졌습니다. 그리울 겁니다.
27,5,lth0***예매자,2019.09.03,조회 3,"공감 0
공감하기",난설 보세요,이미 끝났지만
28,4,sang940***예매자,2019.09.03,조회 5,"공감 1
공감하기",구슬픈 노래가락이 돋보였어요!,"허난설헌이라는 인물 자체에만 초점을 맞춘 것이 아니라
허난설헌을 둘러싸고 있는 상황, 주변 인물들 등 골고루 이야기를 하는 뮤지컬이었습니다.
남자 복식을 한 허난설헌보다 당시 ''정상적인 여자''로 규정지어지는 여성 한복을 입고 있던 허난설헌의 모습이 더 안타까웠어요.
배우들의 구슬픈 노래 정말 멋있었어요."
29,5,swing***예매자,2019.09.03,조회 6,"공감 1
공감하기",나는 하늘을 향해 손을 뻗고 너는 땅을 향해 뿌리를 내리고,허남매 행복하게 해주세요....
30,5,wonn***예매자,2019.09.03,조회 5,"공감 0
공감하기",흩어지는 눈 ㅠㅠ,인지 배우님 짱입니다 ㅠㅠ
31,5,gooho***예매자,2019.09.03,조회 7,"공감 0
공감하기",정인지 만만세,"정인지 사랑해요
언니 잘생겼어요
최고예여!!!!"
32,5,nl***,2019.08.06,조회 455,"공감 5
공감하기",베스트오랫만에 멋진 공연을!,"우연한 기회에 다른 사이트 이벤트에서 초대가 되어 가벼운 마음으로 찾았던 공연인데,
정말 오랫만에 멋지고 감동적인 공연을 만났습니다. 그저 보게된 것이 민망스러워 굳이 찾아와서
댓글을 남깁니다. 기회가 된다면 꼭 다시한번 더 보고 싶네요!
배우분들의 호연도 좋았고, 음악도 전체적으로 참 좋았고,,, 시종일관 참 좋았습니다!
오랫만에 좋은 공연을 만나게 되어 참 좋았네요. 감사합니다. ^^"
33,5,tnals1***예매자,2019.09.02,조회 4,"공감 0
공감하기",안돼,난 난설 못보내
34,5,tnals1***예매자,2019.09.02,조회 3,"공감 0
공감하기",정인지 최고야,인지 초희 데려와
35,5,tnals1***예매자,2019.09.02,조회 4,"공감 0
공감하기",너는,변하였느냐
36,5,dy1***예매자,2019.09.02,조회 6,"공감 0
공감하기",웰컴대학로만 기다리고 있어요.,"뒤늦게 보고 너무 사랑해버린 공연입니다. 위로도 많이 받았어요. 힘겹게 보냈는데 웰컴 대학로로 돌아온다니 너무 좋네요. 근데 제 표 왜 한장밖에 없죠... 기간 늘려주던가 얼른 재연으로 돌아오세요. 한국적인 멋을 띈, 그러나 다미로 음감 특유의 분위기가 너무 좋았습니다. 가사도 조명도 음악도 배우들도 무엇 하나 빠지지 않은 공연이었어요."
37,5,lnata***예매자,2019.09.02,조회 5,"공감 0
공감하기",좋아요,잘봤어요 ㅎㅎㅎ
38,4,agap***예매자,2019.09.02,조회 3,"공감 0
공감하기",마지막이라니요!,"다시 한번 조금 더 큰 극장에서 봤으면 좋겠어요!!!!

배우님들의 열연이 돋보이는 이런 작품을 이렇게 짧은 기간에만 볼 수 있다니요 ㅠ

다시 한번 만나길 바라며!"
39,5,dkssud***예매자,2019.09.02,조회 3,"공감 0
공감하기",난설,"한번 보고 너무 좋아서 또 두번 보게된 뮤지컬 난설.
넘버가 너무 좋았고, 배우님들의 연기도 너무 좋았습니다ㅠㅠ
서로 너무 잘 맞아서 허균과 허초희 배우님들 정말 남매 같았어요!
무대도, 영상도 넘버도 다 너무 좋아서 또 보고싶네요."
40,5,horis***예매자,2019.09.02,조회 4,"공감 0
공감하기",재밌어요,좋은 공연 재밌게 잘 봤습니다
41,5,ddadd***예매자,2019.09.02,조회 4,"공감 0
공감하기",난설!,"정인지
정인지
정인지"
42,5,travi***예매자,2019.09.02,조회 5,"공감 0
공감하기",멋진 배우님의 발견,인지배우님의 표정과 노래에서 난설의 아픔을 더 깊게 느낄 수 있었던 것 같습니다. 내용도 좋고 넘버도 좋았지만 배우님을 만난 것이 가장 의미 있었던 난설
43,5,alice***예매자,2019.09.02,조회 4,"공감 0
공감하기",즐거운 시간 보냈어요,백기범 잘생겼다 너무 좋아요
44,5,znzldms***예매자,2019.09.02,조회 3,"공감 0
공감하기",정말 좋은 극이었어요,초희가 노래 부를 때마다 너무 슬퍼서 계속 눈물이 났네요
45,5,jibong11***예매자,2019.09.02,조회 3,"공감 0
공감하기",난설,"조금 더 다듬어진 모습으로 빠른 시일 내에 볼 수 있엇으면..
최근 본 창작극 중 단연 좋앗가"
46,4,dbs8***예매자,2019.09.02,조회 3,"공감 0
공감하기",난설,웰컴댕로 기대합니다
47,4,tls***예매자,2019.09.02,조회 3,"공감 0
공감하기",난설,예상 외로 넘나 좋았어요
48,5,nl***,2019.08.06,조회 455,"공감 5
공감하기",베스트오랫만에 멋진 공연을!,"우연한 기회에 다른 사이트 이벤트에서 초대가 되어 가벼운 마음으로 찾았던 공연인데,
정말 오랫만에 멋지고 감동적인 공연을 만났습니다. 그저 보게된 것이 민망스러워 굳이 찾아와서
댓글을 남깁니다. 기회가 된다면 꼭 다시한번 더 보고 싶네요!
배우분들의 호연도 좋았고, 음악도 전체적으로 참 좋았고,,, 시종일관 참 좋았습니다!
오랫만에 좋은 공연을 만나게 되어 참 좋았네요. 감사합니다. ^^"
49,4,tls***예매자,2019.09.02,조회 3,"공감 0
공감하기",난설,잘 봤습니다~!!
50,5,skyblue8***예매자,2019.09.02,조회 9,"공감 0
공감하기",재공연이 반가울 따름입니다,"충분히 공연했음에도 끝나 가는 게 아쉬웠는데, 짧게나마 추가 공연 일정이 확정돼서 기쁩니다 ^^"
51,5,vero***예매자,2019.09.02,조회 3,"공감 0
공감하기","아름다운 의상과 무대,노래",정말 최고였어요. 한국적인 분위기를 너무도 잘 살린 멋진 공연이었습니다!
52,5,wjdtnwl1***예매자,2019.09.02,조회 5,"공감 0
공감하기",검고 검은 붓으로 낮을 그렸다,아무 날에 누구의 아무나가 되어
53,5,helly990***예매자,2019.09.02,조회 4,"공감 0
공감하기",잘 봤어요,더 좋아져서 또 돌아왔으면 좋겠어요
54,3,jsseo2***예매자,2019.09.02,조회 5,"공감 0
공감하기",난설,제목에 비해 주인공 내용이 좀 부족한것같아요...
55,3,stary***예매자,2019.09.02,조회 5,"공감 0
공감하기",한시를 좀 더 잘 활용했으면 좋겠어요,"한시를 그냥 읊기만 해서야
무슨 뜻인지 뭐가 뭔지 잘 모르겠어요
넘버가 귀에 잘 들어오지도 않고..
다음에는 가사가 좀 수정됐으면 좋겠습니다"
56,5,polaris1***예매자,2019.09.02,조회 4,"공감 0
공감하기",난설 갓지만 웰컴댕로로 돌아오니 꼭 보시긔로해오,나도 봐야지 웰컴댕로난설
57,5,arxje1***예매자,2019.09.02,조회 5,"공감 0
공감하기",넘버 마약,ost 빨리 나왔으면ㅠㅠ 넘버가 떠나질 않네요
58,5,enchante***예매자,2019.09.02,조회 4,"공감 0
공감하기",정인지 초희 최고 + 폴라로이드 이벤트 앵콜공에도 해주세요,정인지 초희때문에 재관람하게됩니다.
59,5,haey***예매자,2019.09.02,조회 3,"공감 0
공감하기",흩어지고 부서지는,그이름 난설
60,5,ch***예매자,2019.09.02,조회 5,"공감 0
공감하기",넘버가 정말 좋아요,내용은 조금 지루했지만 배우들 노래 덕분에 넋놓고 봤네요
61,5,hajon***예매자,2019.09.02,조회 4,"공감 0
공감하기",난설,넘 좋았고 다시 보고 싶어요!
62,5,youha***예매자,2019.09.02,조회 7,"공감 0
공감하기",너무 짧아요,"공연기간늘려서 다시와주세요
정인지배우 꼭 데리고오세요 ㅠㅠ"
63,5,youha***예매자,2019.09.02,조회 6,"공감 0
공감하기",너무아쉬워요,빨리 재연올려주세요..난설 사랑해 ㅠ
64,5,nl***,2019.08.06,조회 455,"공감 5
공감하기",베스트오랫만에 멋진 공연을!,"우연한 기회에 다른 사이트 이벤트에서 초대가 되어 가벼운 마음으로 찾았던 공연인데,
정말 오랫만에 멋지고 감동적인 공연을 만났습니다. 그저 보게된 것이 민망스러워 굳이 찾아와서
댓글을 남깁니다. 기회가 된다면 꼭 다시한번 더 보고 싶네요!
배우분들의 호연도 좋았고, 음악도 전체적으로 참 좋았고,,, 시종일관 참 좋았습니다!
오랫만에 좋은 공연을 만나게 되어 참 좋았네요. 감사합니다. ^^"
65,5,mse***예매자,2019.09.02,조회 6,"공감 0
공감하기",난설,너무 좋아요
66,5,koun***예매자,2019.09.02,조회 5,"공감 0
공감하기",난설,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
67,4,cjy3***예매자,2019.09.02,조회 5,"공감 0
공감하기",굿,재밌었어요
68,5,alrzl***예매자,2019.09.02,조회 6,"공감 0
공감하기",샵정인지,도포자락이 멋지고 슬프네요. #정인지 #잘생겼다
