,id,date,rating,views,like,title,text
0,5,hoya1***예매자,2021.07.19,조회 2047,"공감 20
공감하기",베스트정말 너무너무너무너무 행복한 공연이었어요,"울고 웃고 행복했던 공연이었습니다.
차지연 배우님의 안나는 객석의 저를 웃게도 울게도 하더라고요
앙상블 배우님들의 기합 들어간 모습, 오케스트라의 멋진 연주까지
그 시간에 그 극장에 앉아있는 제가 세상에서 가장 행복한 사람이 된 것처럼 느끼게 해주셔서
감사합니다!!"
1,5,82sil***예매자,2021.07.19,조회 1433,"공감 11
공감하기",베스트너무 아름답고 감동적인 뮤지컬,"차안나와 경브라운 페어로 봤는데, 두 분이 아주 관객들을 울리다 웃기다 들었다 놨다 하더라고요. 분명 코믹이고 해피엔딩인데 마냥 가볍게만 받아들일 수는 없는 묵직함이 있어요. 우리 인생을 담아내서 그런가봐요. 안나의 입장도 브라운의 입장도 이해가 되니 너무 슬프더라고요. 내가 나로 받아들여질 수 있는 사회가 되었으면 좋겠습니다."
2,3,prettyss***예매자,2021.09.29,조회 218,"공감 0
공감하기",레드북 강추입니다,"코로나로 우여곡절 끝에 보게되었네요
차지연배우에서 아이비배우님의 레드북은 예상대로 너무 잘어울리고 만족스러웠어요
다음에 재오픈하면 다시 꼭 볼예정입니다~"
3,5,dbwlsths***예매자,2021.09.08,조회 72,"공감 0
공감하기",잼잼,잼잼잼
4,5,zoa38***예매자,2021.09.06,조회 78,"공감 1
공감하기",안나 이야기를 들려주렴,"안나의 이야기가 더 듣고 싶어요~!!
빨리 돌아와!"
5,4,***예매자,2021.09.06,조회 148,"공감 2
공감하기",김세정의 가치 증명~!,평소 김세정 배우님의 연기에 대해서 큰 인상이 없었던 저였지만 이번 공연을 통해서 김세정 배우님의 특유의 밝음 에너지를 느낄수 있었습니다~!
6,5,hs4***예매자,2021.09.06,조회 60,"공감 0
공감하기",감동적인 무대!!,"배우분들이 보여주신 무대가 너무 감동적이고 좋았어요!!
정말 최고의 공연이었습니다!!"
7,5,dsk***예매자,2021.09.06,조회 44,"공감 0
공감하기",레드북,이제 레드북을 보러 가고 싶어도 못 가는 게 넘 슬프다..ㅜㅜ
8,5,ddori***예매자,2021.09.06,조회 60,"공감 0
공감하기",앙상블까지 너무나 잘해줬던 극,"사랑스럽고 재밌던 극이었습니다
특히 앙상블 분들 연기와 노래 화음이 너무 좋았습니다
로렐라이 언덕의 여인들 여앙들 너무나 캐릭터가 입체감 있고
연기들 좋아했어요
주연들 연기도 좋았습니다
노래도 좋아서 들으면서 많이 울었어요
이 분들로 다음 시즌에도 그대로 왔으면 좋겠습니다
오늘 공연도 감동이었어요ㅠㅠ"
9,5,lhk080***예매자,2021.09.06,조회 42,"공감 0
공감하기",멋진 마무리!!,"레드북 덕분에 정말 정말 행복했어요~
끝까지 주연, 조연 배우님들의 레전드 연기에 감사드립니다!!"
10,5,cji***예매자,2021.09.06,조회 37,"공감 0
공감하기",레드북,다시 보고싶어요
11,5,chlwlsd***예매자,2021.09.06,조회 70,"공감 0
공감하기",좀 더 볼껄,몇 번 못 봐서 진짜 아쉽다... 진작 더 볼껄ㅠ
12,5,eunhee1***예매자,2021.09.06,조회 37,"공감 0
공감하기",.,.......... .......... .......... .......... ..........
13,5,igreatv***예매자,2021.09.06,조회 41,"공감 1
공감하기",재밌었어요,좋은 공연 행복하게 볼 수 있었습니다
14,5,ondal***예매자,2021.09.06,조회 47,"공감 0
공감하기",너무너무 기다렸던 극 레드북,당연한 것들이 당연해질 때까지 올라와줘요
15,5,nag***예매자,2021.09.06,조회 34,"공감 0
공감하기",최고였어요,얼마 남지않은 무대 배우님들 모두 파이팅하세요!!!
16,5,jig0***예매자,2021.09.06,조회 34,"공감 0
공감하기",잘 봤습니다.,잘 봤습니다.
17,5,hoya1***예매자,2021.07.19,조회 2047,"공감 20
공감하기",베스트정말 너무너무너무너무 행복한 공연이었어요,"울고 웃고 행복했던 공연이었습니다.
차지연 배우님의 안나는 객석의 저를 웃게도 울게도 하더라고요
앙상블 배우님들의 기합 들어간 모습, 오케스트라의 멋진 연주까지
그 시간에 그 극장에 앉아있는 제가 세상에서 가장 행복한 사람이 된 것처럼 느끼게 해주셔서
감사합니다!!"
18,5,82sil***예매자,2021.07.19,조회 1433,"공감 11
공감하기",베스트너무 아름답고 감동적인 뮤지컬,"차안나와 경브라운 페어로 봤는데, 두 분이 아주 관객들을 울리다 웃기다 들었다 놨다 하더라고요. 분명 코믹이고 해피엔딩인데 마냥 가볍게만 받아들일 수는 없는 묵직함이 있어요. 우리 인생을 담아내서 그런가봐요. 안나의 입장도 브라운의 입장도 이해가 되니 너무 슬프더라고요. 내가 나로 받아들여질 수 있는 사회가 되었으면 좋겠습니다."
19,5,alice20***예매자,2021.09.06,조회 30,"공감 0
공감하기",레드북,넘버도 좋고 내용 너무 좋아요
20,5,lllmii***예매자,2021.09.06,조회 23,"공감 0
공감하기",잘 봤습니다.,잘 봤습니다.
21,5,jamm***예매자,2021.09.06,조회 19,"공감 0
공감하기",잘 봤습니다.,잘 봤습니다.
22,5,yki***예매자,2021.09.04,조회 50,"공감 0
공감하기",진짜 좋은 공연이었어요,"항상 후기는 영혼없이 쓰게 되는데 레드북은 정말 좋았어요 이 극이 담고 있는 메시지도 좋았고 표현 방식도 유쾌하고 좋았습니다 개인적으로 이 날 무대인사에서 홍우진 배우님이 말씀해주신 게 정말 마음을 울렸어요 언젠가 이 극이 낡았다고 느껴지는 시대가 오길, 저도 간절히 바라봅니다. 배우님들 울지 마세요! 또 만나요!"
23,5,s13***예매자,2021.09.04,조회 37,"공감 0
공감하기",진짜 너무 재밌었어요!,재밌게 잘 봤습니다 ㅠㅠ
24,5,mic***예매자,2021.09.04,조회 22,"공감 0
공감하기",레드북,너무 잘 봤습니다 행복한 시간이었어요
25,5,alsdn1***예매자,2021.09.03,조회 34,"공감 1
공감하기",꼭 봐야만 하는 뮤지컬,"역시나 마지막 공연까지 최고였던
언제나 감동받는 뮤지컬입니다!!!!"
26,5,ellen9***예매자,2021.09.02,조회 22,"공감 0
공감하기",너무 좋았어요ㅠㅠ,다시 이 캐스팅으로 돌아와주세요ㅠㅠ
27,5,irion2***예매자,2021.09.02,조회 35,"공감 0
공감하기",레드북 감사합니다,"총막으로 레드북 보낸지도 벌써 일주일이 되었네요.

이번 시즌 처음 만난 레드북 덕분에,
안나와 함께 같이 울고 웃으며 행복했습니다.

훌륭한 작품을 위해 애써주신 모든 분들께 감사드립니다.

다음 시즌 꼭 다시 만나길 기다리고 있겠습니다."
28,5,jhi4***예매자,2021.09.02,조회 43,"공감 0
공감하기",레드북은 마치 마치,"예상할 수 없지만 기대하게 만들죠

삼연도 벌써부터 기대하게 만드는 공연이었습니다."
29,5,ksjksj1***예매자,2021.09.02,조회 26,"공감 1
공감하기",넘 행벅했어요,빨리 다시와주세요 진짜 너무너무 사랑스러운 뮤지컬
30,5,qltkfkds***예매자,2021.09.01,조회 29,"공감 0
공감하기",너무 의미있었던 막공이었어요!,"재미와 감동이 있는 공연이었어요!

레드북 기다릴게요!"
31,5,wxz2***예매자,2021.09.01,조회 40,"공감 0
공감하기",평생 잊지 못할 배우들과 레드북 이야기,"몇번 더 볼 걸 하는 마음이 드는
뮤지컬이에요ㅠㅠ
다시 돌아가고싶다ㅠㅠ"
32,5,dy1***예매자,2021.09.01,조회 14,"공감 0
공감하기",너무 재밌어요,다시 보고 싶네요
33,5,whoop***예매자,2021.09.01,조회 19,"공감 0
공감하기",꼭 다시 돌아와주세요!,"마지막 공연이 되어서야 첫 관람을 하게 되었는데, 너무 아쉽네요ㅠㅠ 빠른 시일 내에 돌아와주세요 레드북!!"
34,5,hoya1***예매자,2021.07.19,조회 2047,"공감 20
공감하기",베스트정말 너무너무너무너무 행복한 공연이었어요,"울고 웃고 행복했던 공연이었습니다.
차지연 배우님의 안나는 객석의 저를 웃게도 울게도 하더라고요
앙상블 배우님들의 기합 들어간 모습, 오케스트라의 멋진 연주까지
그 시간에 그 극장에 앉아있는 제가 세상에서 가장 행복한 사람이 된 것처럼 느끼게 해주셔서
감사합니다!!"
35,5,82sil***예매자,2021.07.19,조회 1433,"공감 11
공감하기",베스트너무 아름답고 감동적인 뮤지컬,"차안나와 경브라운 페어로 봤는데, 두 분이 아주 관객들을 울리다 웃기다 들었다 놨다 하더라고요. 분명 코믹이고 해피엔딩인데 마냥 가볍게만 받아들일 수는 없는 묵직함이 있어요. 우리 인생을 담아내서 그런가봐요. 안나의 입장도 브라운의 입장도 이해가 되니 너무 슬프더라고요. 내가 나로 받아들여질 수 있는 사회가 되었으면 좋겠습니다."
36,5,jyeon***예매자,2021.09.01,조회 19,"공감 0
공감하기",넘 좋았어요~^^,너무 나 좋았어요 ~~^^
