,id,date,rating,views,like,title,text
0,5,ebi***예매자,2020.02.23,조회 2896,"공감 41
공감하기",베스트모든 것이 최고인 공연,"워낙 훌륭한 배우들로 구성된 공연인 것도 있지만 넘버부터 조명 스토리 연기까지 빠짐없이 훌륭한 공연이었어요. 폴란드인으로, 여성 과학자로의 고단했던 삶을 정말 잘 풀어낸 극이에요. 페어는 특히 인지배우와 임별배우 추천합니다!
임별배우의 다정한 목소리로 마리를 보듬는 느낌 너무 따뜻하고 좋았어요.
인지배우는 연기도 말할 것 없이 좋은데 가창력이 이렇게 좋은 줄 몰랐네요. 눈물은 줄줄 흐르는데 넘버 소화에 연기까지 훌륭해서 박수는 쳐야겠고 너무 힘들었어요.
히어라 배우의 안느 연기도 정말 멋졌고. 역시 매력적인 목소리었어요. 양승리 배우도 항상 좋은 사람역만 하시다 이런 서늘한 역 처음인데 찰떡이라 당황스러운데 잘 어울리고ㅜ 민수배우 더 잘생겨지고 첨보는 우리배우도 너무 잘하고.
특히 조명!!! 라이브에서 만드는 작품은 언제나 조명 맛집이에요. 박수를 보냅니다!!"
1,1,kosoo***예매자,2020.05.05,조회 153,"공감 0
공감하기",열정넘치는공연이었지만,저랑은 잘 안맞었던거 같아요 어떻게든 볼까 싶어 인터미션 끝날때 까지 기다렸는데 2부 시작하고 나서 걍 나왔네요..
2,4,lsj1***예매자,2020.05.04,조회 145,"공감 1
공감하기",정인지 배우님 최고에요,정말루요 ! 또 오면 또 정인지 배우님으로 봅니다 제발~~~~
3,5,dlfks***예매자,2020.04.24,조회 45,"공감 0
공감하기",다시 돌아오리라고 믿으며.,"마리퀴리 정말 좋았습니다.
연기도 인상깊고 넘버들도 좋네요.
다시 보고 싶습니다."
4,5,dawon0***예매자,2020.04.20,조회 29,"공감 0
공감하기",최고에요,꼭 다시 보고싶은 공연입니다
5,5,don04***예매자,2020.04.19,조회 21,"공감 0
공감하기",굿,매번울어요
6,5,don04***예매자,2020.04.19,조회 22,"공감 0
공감하기",최고예요,다시 재연해줬으면 좋겠어요 갓극
7,5,mins***예매자,2020.04.14,조회 26,"공감 0
공감하기",굿,눈물 펑펑 흘리고 나왔어요ㅜㅜ
8,5,mins***예매자,2020.04.14,조회 55,"공감 0
공감하기",여성 서사 여성 연대,2막 눈물 줄줄이에요 ㅠㅜ... 온갖 명대사들 1막 마지막이 좀 루즈하긴 했지만 넘 좋았어요!!
9,4,Interl***예매자,2020.04.13,조회 35,"공감 0
공감하기",울면서 봤어요,마지막에 울던 기억이 나네요..마리 가지말아요
10,4,Interl***예매자,2020.04.13,조회 34,"공감 0
공감하기",돌아와요 마리..,보고싶어요...
