,id,date,rating,views,like,title,text
0,5,ghdus0***예매자,2016.03.08,조회 14,"공감 0
공감하기",감사합니다,"다시와주셔서 감사해요
로망스다방에서 곧 만나요!"
1,5,chri***예매자,2016.02.23,조회 20,"공감 0
공감하기",내사랑 명로,날 대성통곡하게 만든 최고의 뮤지컬
2,5,chri***예매자,2016.02.23,조회 12,"공감 0
공감하기",최고,넘감동적이라 내눈물 쏙 뽑아버린♥♥♥
3,3,prinky***예매자,2016.02.12,조회 45,"공감 0
공감하기",애매..,저는지루했어요
4,4,man***예매자,2016.02.04,조회 26,"공감 0
공감하기",그들은 삶을 살아가고 있었다,살아 있음에 솔직했던 그들의 이야기를 다시 보고 싶다
5,5,xopowo***예매자,2016.02.03,조회 12,"공감 0
공감하기",명동 로망스,강력 추천!!!
6,4,polo***예매자,2016.02.01,조회 19,"공감 0
공감하기",명동로망스 빨리 돌아오길,현기증 나니까 빨리 재연으로 돌아와요
7,4,sugeun***예매자,2016.01.30,조회 11,"공감 0
공감하기",끝나서 아쉬워요ㅠ,같이 본 여자친구도 엄청 좋아했어요!!
8,5,jandayjj1***예매자,2016.01.29,조회 8,"공감 0
공감하기",좋았어요,꿈을 찾는 내용이라 호불호가 좀 갈릴 지도 모르겠지만 저는 정말 재미있게 봤습니다! 캐릭터들도 정말 귀엽고 즐거운 분위기의 넘버들도 많아서 정말 좋았습니다~
9,5,xcoo***예매자,2016.01.25,조회 16,"공감 0
공감하기",명동 로망스,명동 로망스
10,5,s00y0un***예매자,2016.01.25,조회 13,"공감 0
공감하기",좋아요,여운이 많이 남는 뮤지컬이에요. 다시 올라오면 또 보고 싶어요
11,4,rizo0***예매자,2016.01.25,조회 9,"공감 0
공감하기",따뜻,젊은 예술가들의 이야기... 뭔가 생각하게 해주는...
12,5,siel***예매자,2016.01.25,조회 9,"공감 0
공감하기",명동로망스,얼른 다시 보고 싶어요 ㅜ
13,4,rizo0***예매자,2016.01.25,조회 8,"공감 0
공감하기",돌아와요,참 따뜻한 공연이었어요~ 꼭 돌아와요~
14,5,sound***예매자,2016.01.23,조회 9,"공감 0
공감하기",웰메이드 창작뮤지컬,"대사도 음악도 이야기도 독창적이면서 유쾌한, 창작뮤지컬의 무한한 가능성을 보여준 작품"
15,5,mel***예매자,2016.01.21,조회 10,"공감 0
공감하기",정말 뭉클해지는 뮤지컬,"그시대와 이시대를 오가는 손호를 통해 꿈을 한번더 되돌아보는 시간을 가질수 있어서
행복했습니다.
로망스 다방에서 다들 보고싶네요"
16,5,psb***예매자,2016.01.20,조회 6,"공감 0
공감하기",인생을 되돌아 보게 되는극,"주인공 선호처럼 안일하게 지나가기만을 바라지는 않았는지..
진정하게 내가 꿈꾸고 있는건 무엇인지.. 돌이켜 보게 하는 참 좋은 공연이었음
지금.. 지금.. 지금.. 설레고 꿈꾸고 사랑하라고 얘기해줘서 고마운 공연임
다시 재연으로 오면 무조건 보고 싶은 극!!!
명동로망스 최고!!!!^^"
17,5,psb***예매자,2016.01.20,조회 5,"공감 0
공감하기",감동,"항상 봐오던 배우가 아닌 다른 배우의 캐스팅으로 또다른 감동을 받았음
명동로망스 최고!!!"
18,5,hsy91***예매자,2016.01.20,조회 4,"공감 0
공감하기",명로,보고싶어요ㅠㅠㅠ힝 가지마
19,5,gks4***예매자,2016.01.19,조회 7,"공감 1
공감하기",즐거운 시간,춤과 노래로 즐거웠고 보는 동안 지금 나는 꿈이 뭐지?? 라고 생각해 보는 시간이 되었고 오랫만에 힐링의 시간이었다.
20,5,gks4***예매자,2016.01.19,조회 7,"공감 1
공감하기",꿈에 대하여,잔잔한 감동과 꿈에 대하여 생각하게 해준 뮤지컬이었다. 2015년을 살고있던 젊은이가 1956년대의 시대상황과 그 시대의 젊은이들을 만나 벌어지는 일들을 주제로 하고 있지만 현실에 안주하지 말고 꿈을 가지기를 요청하는 공연이었고 청년들에게 추천해주고 싶은 뮤지컬이다.
21,5,dayla***예매자,2016.01.19,조회 2,"공감 0
공감하기",그리워요,명동다방 그립다 ㅠㅠ
22,5,dkssk***예매자,2016.01.19,조회 7,"공감 0
공감하기",정말 좋아요,꼭 다시 돌아와주셨으면 ㅠㅠ
23,5,solo***예매자,2016.01.19,조회 2,"공감 0
공감하기",명동로망스,최고
