,id,date,rating,views,like,title,text
0,5,dlarmsdk1***예매자,2021.05.09,조회 26,"공감 0
공감하기",ㅠ,또 보고싶어요
1,5,df0***예매자,2021.04.19,조회 32,"공감 0
공감하기",최고!!!,믿고보게됩니다!!! 무조건 필히 바야할 공연!!!
2,5,jesaran***예매자,2021.03.29,조회 35,"공감 0
공감하기",여성들의 이야기,여성들의 이야기가 이렇게 감각적으로 극화될 수 있다니... 공연도 보고 생중계도 챙겨봤어요. 기다릴게요. 꼭 다시 와주시기를:)
3,5,Hayoon0***예매자,2021.03.29,조회 18,"공감 0
공감하기",최고…,배우들도 음악도 너무 좋았어요
4,5,Hayoon0***예매자,2021.03.29,조회 15,"공감 0
공감하기",최고…,배우들도 음악도 너무 좋았어요
5,5,Hayoon0***예매자,2021.03.29,조회 17,"공감 0
공감하기",최고…,배우들도 음악도 너무 좋았어요
6,5,Hayoon0***예매자,2021.03.29,조회 13,"공감 0
공감하기",최고…,배우들도 음악도 너무 좋았어요
7,5,Hayoon0***예매자,2021.03.29,조회 9,"공감 0
공감하기",최고…,배우들도 음악도 너무 좋았어요
8,5,jhyun***예매자,2021.03.29,조회 10,"공감 0
공감하기",최고,공연 정말 좋았어요 다시 와주세요
9,4,hie***예매자,2021.03.26,조회 43,"공감 0
공감하기",시작 부터 전율!,시작부터 다른 형식과 진행에 깜짝 놀랐어요. 베르나르다 알바가 호불호가 강한 극이라고 들었는데 그럴것 같긴 하지만 의미 있는 작품 같아요. 배우님들의 연기가 모두 후덜덜 너무 굉장했습니다. 막공 전날 겨우 보게 되어서 자첫자막 했는데 기회가 된다면 다음에 꼭 또 보고 싶어요.
10,4,lin022***예매자,2021.03.26,조회 18,"공감 0
공감하기",베르나르다 알바,오소연 배우님을 다시 한 번 알고 가요ㅠㅠㅠㅠㅠㅠㅠㅠ진짜 잘하십니다.
11,5,chaj***예매자,2021.03.25,조회 23,"공감 0
공감하기",다시 보고싶어요,"자꾸 생각나요..ㅠㅠ
부산 못 가는데ㅠㅠㅠㅠㅠㅠ
다시 보고싶어지네요ㅠㅠㅠㅠㅠㅠ"
12,5,soekm***예매자,2021.03.25,조회 19,"공감 0
공감하기",미친듯한 에너지,"에너지 미쳤음
자유와 욕망을 찾아 가자!"
13,5,sujs0***예매자,2021.03.23,조회 14,"공감 0
공감하기",소문난 맛집,"초연때 정말 보고 싶었는데 팃팅 다 튕기고 이제서야 못사탈출했어요ㅠㅠㅠㅠㅠㅠ
발구르는 소리, 손뼉치는 소리, 펄럭이는 치맛자락....프롤로그 씬부터 갓-벽합니다....

꿈에서 다시 만나
꿈에서 다시 만나"
14,4,duye1***예매자,2021.03.22,조회 15,"공감 0
공감하기",여성의 극,통쾌하고 멋있었습니다 마음도 아프고요
15,5,duye1***예매자,2021.03.22,조회 7,"공감 0
공감하기",최고였고 멋있었습니다,최고였고 멋있었습니다
16,5,muni***예매자,2021.03.22,조회 8,"공감 0
공감하기",멋있다는 말 밖에,할 말이 없어요 정말 압도되는 느낌!
17,5,lue***예매자,2021.03.22,조회 7,"공감 0
공감하기",여성배우들의 힘,공연 전체에 흐르는 배우들의 힘과 매력. 너무 잘 봤습니다!
18,5,aozor***예매자,2021.03.22,조회 11,"공감 0
공감하기",뮤지컬 〈베르나르다 알바〉,뮤지컬 〈베르나르다 알바〉
19,4,fin***예매자,2021.03.22,조회 13,"공감 0
공감하기",묵직한 분위기,"내용만으로 보자면 참 한숨이 나오는데
배우들의 연기와 넘버를 보고 듣고있으면
압도되는 그 느낌이 참 강렬합니다
오랫동안 기억에 남는 공연이 될것 같아요"
20,5,missj***예매자,2021.03.22,조회 8,"공감 0
공감하기","정말 많이, 좋은 배우들을 알아갑니다.","정영주 프로듀서님이 고생을 많이 하셨을 것 같아서 큰 박수를 드리고,
이소정 배우님 정말 대단한 베르나르다 알바를 보여주셨습니다.
삼연이 꼭 올라오기를 기원합니다."
21,5,missj***예매자,2021.03.22,조회 7,"공감 0
공감하기",세미막이었네요.,"종일을 했습니다.
배우진이 크로스로 전캐를 볼 수 있었다면 참 좋았을텐데, 많이 아쉬웠습니다."
22,5,missj***예매자,2021.03.22,조회 7,"공감 0
공감하기",오소연 배우는 정말 대단했습니다.,"사랑해요 오소연!
혼을 불사르는 느낌."
23,5,kimhw***예매자,2021.03.22,조회 3,"공감 0
공감하기",꼭 다시 보고 싶은 작품,저번처럼 3년은 안됩니다ㅠㅠ 2년 이내로 돌아와주세요ㅠㅠㅠㅠ 약속!!!!!
24,5,kimhw***예매자,2021.03.22,조회 4,"공감 0
공감하기",꼭 다시 보고 싶은 작품,저번처럼 3년은 안됩니다ㅠㅠ 2년 이내로 돌아와주세요ㅠㅠㅠㅠ 약속!!!!!
25,5,kimhw***예매자,2021.03.22,조회 3,"공감 0
공감하기",꼭 다시 보고 싶은 작품,저번처럼 3년은 안됩니다ㅠㅠ 2년 이내로 돌아와주세요ㅠㅠㅠㅠ 약속!!!!!
26,5,dudwls8***예매자,2021.03.22,조회 4,"공감 0
공감하기",이진경 배우는 정말 대단합니다.,"이진경 배우의 춤사위에 반해갑니다.
정말 멋지더군요.

오소연은 정달 대단한 배우입니다."
