,id,date,rating,views,like,title,text
0,5,vic9***예매자,2017.11.06,조회 1296,"공감 9
공감하기",베스트고흐의 삶을 볼 수 있던 극.,"박한근 임강성 페어로 봤는데 정말 좋았습니다.
한근고흐의 연기 정말 좋았고 첫공으로 느껴지지 않았습니다.
강성테오도 멀티 아닌 멀티 연기 하는데 과하지 않고 적절한 연기를 보여주셔서 잘 보고 왔습니다.
원형극장에서 진행되기에 무대가 잘 보이는데 앞열보다는 뒷열이 좀 더 좋을 것 같습니다.
좋은 작품, 좋은 무대 감사합니다."
1,4,golde***예매자,2018.04.02,조회 43,"공감 0
공감하기",좋았어요,굳굳bb
2,5,xowlw***예매자,2018.03.19,조회 33,"공감 0
공감하기",빈센트반고흐,좋아여
3,5,hayoon***예매자,2018.03.16,조회 23,"공감 0
공감하기",자꾸 생각나네요,고흐흑 고흐흑
4,5,01201***예매자,2018.02.19,조회 31,"공감 0
공감하기",돌아와요,돌아와줘요
5,5,knye***예매자,2018.02.17,조회 29,"공감 0
공감하기",진짜 짱,감동받았어요 다시 올라오면 좋겠네요
6,5,asteri***예매자,2018.02.15,조회 32,"공감 0
공감하기",좋은공연,두번이나 봤어요
7,4,luxury1***예매자,2018.02.07,조회 32,"공감 0
공감하기",잔잔하니 좋았어요.,"고흐에 빠지게 되어 보게된 뮤지컬.
잔잔한 넘버들과 화려한 영상미가 만나 작품을 이뤄냈다."
8,4,gdkom***예매자,2018.02.07,조회 28,"공감 0
공감하기",굿,잘 만든 극
9,5,Rha***예매자,2018.02.06,조회 39,"공감 0
공감하기",ㅠㅠㅠㅠ 작덕ㅠㅠㅠㅠ,가지마!!!!
10,5,Rha***예매자,2018.02.06,조회 44,"공감 0
공감하기",바람과 온도~,달과 별의 하모니~ ㅠㅠㅠㅠㅠ
11,5,Rha***예매자,2018.02.06,조회 18,"공감 0
공감하기",빈센트 반 고흐....,그림을 사랑 했던 사람~ ㅠㅠㅠㅠㅠ
12,5,Rha***예매자,2018.02.06,조회 25,"공감 0
공감하기",하 ㅠㅠㅠㅠㅠㅠㅠ,가지마라 작고흐 ㅠㅠㅠㅠㅠㅠㅠㅠ
13,5,wjdwldud***예매자,2018.02.05,조회 26,"공감 0
공감하기",재밌어요,잘봤습니다
14,5,inmy***예매자,2018.02.05,조회 22,"공감 0
공감하기",ㅠㅠ,테오만세
15,5,ghtkd0***예매자,2018.02.05,조회 25,"공감 0
공감하기",다음에 또 와요,고흐.ㅠㅠㅠ
16,5,vic9***예매자,2017.11.06,조회 1296,"공감 9
공감하기",베스트고흐의 삶을 볼 수 있던 극.,"박한근 임강성 페어로 봤는데 정말 좋았습니다.
한근고흐의 연기 정말 좋았고 첫공으로 느껴지지 않았습니다.
강성테오도 멀티 아닌 멀티 연기 하는데 과하지 않고 적절한 연기를 보여주셔서 잘 보고 왔습니다.
원형극장에서 진행되기에 무대가 잘 보이는데 앞열보다는 뒷열이 좀 더 좋을 것 같습니다.
좋은 작품, 좋은 무대 감사합니다."
17,4,drys***예매자,2018.02.05,조회 6,"공감 0
공감하기",^^,"매 시즌마다 보는 작품이에요.
이번에도 놓치지 않고 볼수 있어서 다행이었습니다."
18,5,min***예매자,2018.02.05,조회 8,"공감 0
공감하기",고흐를 더 잘 알게 해 준 뮤지컬,고흐의 유명한 작품만 조금 알았을 뿐 고흐에 대해서는 잘 몰랐는데 고흐의 다양한 면을 알게 되어서 좋았어요
19,4,gjr***예매자,2018.02.05,조회 5,"공감 0
공감하기",빈센트 반 고흐,"김경수, 박유덕 배우 빈센트 반 고흐에서 다시 만날 수 있었으면 좋겠습니다."
20,5,to***예매자,2018.02.05,조회 5,"공감 0
공감하기",잘봤습니다~,잘봤습니다~
21,5,kyo1***예매자,2018.02.04,조회 5,"공감 0
공감하기",추천,추천합니다
22,5,soph***예매자,2018.02.02,조회 5,"공감 0
공감하기",좋은 공연 감사합니다.,좋은 공연 감사합니다.
23,5,ever***예매자,2018.02.02,조회 9,"공감 0
공감하기",사랑해요 웅고흐,"많이 행복하고 많이 웃고 많이 울고 동감하고 공감하고 교감하고...
사랑합니다 웅고흐"
24,5,whtjs***예매자,2018.02.02,조회 25,"공감 0
공감하기",난 아무렇지 않다고,"걱정하지 말라고 프롬 빈센트 반고흐
모든게 잘될꺼라고 아무 문제 없을 거라고 프롬 빈센트 반고흐
평생에 걸친 우리 대화 그안에 내가 있어 우리가 있어
빈센트 반고흐 테오 반고흐...."
25,4,phrlov***예매자,2018.02.01,조회 5,"공감 0
공감하기",최고!,감동적이었습니다!
26,5,rsm0***예매자,2018.01.31,조회 9,"공감 0
공감하기",영상미,영상 진짜 잘쓴 공연
27,5,matt***예매자,2018.01.31,조회 3,"공감 0
공감하기",승테오,ㄷㅂㅁㅈ
28,5,vov8***예매자,2018.01.31,조회 4,"공감 0
공감하기",다시 만날수 있다면,좋은 연출로 훌륭했어요
29,5,vov8***예매자,2018.01.31,조회 6,"공감 0
공감하기",눈물이 났어요,다시 개봉하면 당연하게 또 볼 것같습니다. 감사합니다.
30,5,dicas***예매자,2018.01.31,조회 3,"공감 0
공감하기",빈센트,고흐의 삶을 너무 비극적으로만 그리지 않아서 좋았던 작품.
31,5,dicas***예매자,2018.01.31,조회 4,"공감 0
공감하기",꼭 다시,볼 수 있으면 좋겠어요
32,5,vic9***예매자,2017.11.06,조회 1296,"공감 9
공감하기",베스트고흐의 삶을 볼 수 있던 극.,"박한근 임강성 페어로 봤는데 정말 좋았습니다.
한근고흐의 연기 정말 좋았고 첫공으로 느껴지지 않았습니다.
강성테오도 멀티 아닌 멀티 연기 하는데 과하지 않고 적절한 연기를 보여주셔서 잘 보고 왔습니다.
원형극장에서 진행되기에 무대가 잘 보이는데 앞열보다는 뒷열이 좀 더 좋을 것 같습니다.
좋은 작품, 좋은 무대 감사합니다."
33,5,870***예매자,2018.01.30,조회 5,"공감 0
공감하기",빈센트반고흐,추천합니다!!
34,5,ring1***예매자,2018.01.30,조회 3,"공감 0
공감하기",최고입니다,배우님들 정말 정말 최고입니다~~~!!!
35,5,pho***예매자,2018.01.30,조회 4,"공감 0
공감하기",*********************************,************************************************************
36,5,***예매자,2018.01.30,조회 2,"공감 0
공감하기",뮤지컬 빈센트 반 고흐,즐거웠습니다.
37,5,angergir***예매자,2018.01.29,조회 6,"공감 0
공감하기",너무 감동적인 공연이었습니다,정말 감사합니다
38,5,hoo1***예매자,2018.01.29,조회 5,"공감 0
공감하기",막공,"막공 너무 감동적이였어요
무대인사ㅋ"
39,3,janelee0***예매자,2018.01.29,조회 10,"공감 0
공감하기",빈센트 반 고흐,빛으로 무대를 끌어가는 연출이 정말 화가 고흐의 표현에 영향을 많이 받은 것 같아 재미있었다.
40,5,yn830***예매자,2018.01.29,조회 6,"공감 0
공감하기",진짜 너무너무 좋은 공연,정말 최고의 공연 너무 사랑하는 공연 진짜 행복하고 행복했어요
41,4,vkd***예매자,2018.01.29,조회 5,"공감 0
공감하기",좋았습니다.,"입체영화 보는듯한 느낌이었어요.
감성적이고 잘 보았습니다."
42,5,mino***예매자,2018.01.29,조회 5,"공감 0
공감하기",좋았습니다.,"볼수록 고흐에 대해 테오에 대해 알아 갈 수 있어서 너무 좋아요
이번시즌도 역시 만족스러운 !!!! 공연이었습니다.

다시 또 만나요~~"
43,5,a3***예매자,2018.01.29,조회 4,"공감 0
공감하기",왜 이제야 봤을까,다른 페어도 궁금
44,5,a3***예매자,2018.01.29,조회 5,"공감 0
공감하기",아름다운 영상,환상적이었던 무대와 배우들! 고흐형제... 너무 슬펐습니다
45,4,cind***예매자,2018.01.29,조회 9,"공감 0
공감하기",페어별 분위기가 많이 다른 극일듯 해요.,"페어가 많아서 고민 많이 하고 잡은 공연이었어요.

기대했던 배우님이 컨디션이 별루셨는지 기대에 못 미쳐서 살짝 실망했지만
여전히 멋진 매력 뿜어주신 배우님이 계셔서 좋았어요.

배우님 열연시에 아이컨텍 가능한 자리에서 보는데 감정이 어긋나니
넘 속상하더군요 ㅠㅠ

다시 돌아올땐 더 많이 만나고 싶은 고흐 공연이예요~"
46,5,micky***예매자,2018.01.29,조회 4,"공감 0
공감하기",dsfsdfdsf,dsfsdfsdfsf
47,4,wia***예매자,2018.01.29,조회 4,"공감 0
공감하기",다음번 공연 기다릴께요,"고흐가 끝나서 너무 아쉽네요
언제가 될지는 모르지만 꼭 다시 돌아와 주세요~~"
48,5,vic9***예매자,2017.11.06,조회 1296,"공감 9
공감하기",베스트고흐의 삶을 볼 수 있던 극.,"박한근 임강성 페어로 봤는데 정말 좋았습니다.
한근고흐의 연기 정말 좋았고 첫공으로 느껴지지 않았습니다.
강성테오도 멀티 아닌 멀티 연기 하는데 과하지 않고 적절한 연기를 보여주셔서 잘 보고 왔습니다.
원형극장에서 진행되기에 무대가 잘 보이는데 앞열보다는 뒷열이 좀 더 좋을 것 같습니다.
좋은 작품, 좋은 무대 감사합니다."
49,5,psrsrs***예매자,2018.01.29,조회 4,"공감 0
공감하기",영상미가 짱이네요,"이번에 처음 본거였는데
영상 정말 화려하고 잘쓴다는 생각~
와~~~! 하게 되는 뮤지컬이네요
배우들 연기도 대단하고"
50,5,hyemifri***예매자,2018.01.29,조회 2,"공감 0
공감하기",빈센트 반 고흐,그의 열정과 삶을 알 수 있는 좋은 공연이었습니다
51,5,hitoto***예매자,2018.01.29,조회 3,"공감 0
공감하기",최고의공연이었어요,김경수 빈센트 최고입니다 ㅠㅠ
52,4,yen***예매자,2018.01.29,조회 2,"공감 0
공감하기",잘봤습니다.,항상 고흐를 볼때마다 마음이 벅차네요.
53,5,caom***예매자,2018.01.29,조회 3,"공감 0
공감하기",고흐,"그림과 함께 했던 그의 인생에서
삶의 의미를 찾을 수 있었고,
함께 할 수 있어서 행복했습니다."
54,4,first***예매자,2018.01.29,조회 3,"공감 0
공감하기",많이 울었어요,"ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
고흐형제들 정말 너무 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
55,3,ziyin***예매자,2018.01.29,조회 4,"공감 0
공감하기",음악은 우울하지만 그림이 아름다운 공연,"슬퍼요, 하지만 영상, 무대설계가 아름다워요"
56,4,taijid***예매자,2018.01.29,조회 5,"공감 0
공감하기",동생과 함께 본 공연 (내용동일),"정말 보고 싶었던 작품이었는데 조상웅배우님 막공때 보게 됐습니다!
미술학도인 여동생과 함께 봐서 기분이 더 남달랐네요ㅋㅋ
아티스트 본인과 아티스트 가족의 이야기라서 더 몰입도 되고 그랬어요ㅋㅋㅋ
살아 생전에 본인의 예술성을 인정받지 못한 사람들이 많겠지만 작품으로 만난 빈센트 반 고흐는 그런 부분을 더 못견뎌했던 것 같네요.
조상웅 배우님은 워낙 믿고 보는 애정하는 배우인데 오랜만에 작품으로 만나게 돼서 너무 반가웠고 그의 몸짓과 목소리 하나하나에 감탄하면서 봤어요....!
어제로 총막공까지 끝냈겠네요.
제작진과 배우들 모두 고생 많으셨습니다!"
57,4,taijid***예매자,2018.01.29,조회 5,"공감 0
공감하기",배우 두 명이서 풀어낸 화가 빈센트의 일생....!,"정말 보고 싶었던 작품이었는데 조상웅배우님 막공때 보게 됐습니다!
미술학도인 여동생과 함께 봐서 기분이 더 남달랐네요ㅋㅋ
아티스트 본인과 아티스트 가족의 이야기라서 더 몰입도 되고 그랬어요ㅋㅋㅋ
살아 생전에 본인의 예술성을 인정받지 못한 사람들이 많겠지만 작품으로 만난 빈센트 반 고흐는 그런 부분을 더 못견뎌했던 것 같네요.
조상웅 배우님은 워낙 믿고 보는 애정하는 배우인데 오랜만에 작품으로 만나게 돼서 너무 반가웠고 그의 몸짓과 목소리 하나하나에 감탄하면서 봤어요....!
어제로 총막공까지 끝냈겠네요.
제작진과 배우들 모두 고생 많으셨습니다!"
58,5,day0***예매자,2018.01.29,조회 3,"공감 0
공감하기",고흐가 끝났네요.,다음에 다시 오기를...
59,5,rjfdle***예매자,2018.01.29,조회 3,"공감 0
공감하기",끝났네요 고흐ㅜㅜ,"너무 좋은 극이었어요
끝나서 참 아쉽네요ㅠㅠ"
60,5,chay***예매자,2018.01.29,조회 3,"공감 0
공감하기",감동을 주는 공연,공연을 본후 빈센트반고흐에 대해 많은 관심을 가지게 되었습니다 공연이 얼마 안남아 아쉽기는 하지만 열연을 해주신 배우분께 감사드립니다
61,5,kyo1***예매자,2018.01.29,조회 3,"공감 0
공감하기",추천합니다,"경수고흐와 유덕테오 영원히 빈센트 반고흐 작품 해주세요
경수고흐와 유덕테오 영원히 빈센트 반고흐 작품 해주세요"
62,5,c***예매자,2018.01.29,조회 2,"공감 0
공감하기",좋아요,좋아요
63,5,kag***예매자,2018.01.29,조회 4,"공감 0
공감하기",끝이없는길은없어,곧 도착할거야
64,5,vic9***예매자,2017.11.06,조회 1296,"공감 9
공감하기",베스트고흐의 삶을 볼 수 있던 극.,"박한근 임강성 페어로 봤는데 정말 좋았습니다.
한근고흐의 연기 정말 좋았고 첫공으로 느껴지지 않았습니다.
강성테오도 멀티 아닌 멀티 연기 하는데 과하지 않고 적절한 연기를 보여주셔서 잘 보고 왔습니다.
원형극장에서 진행되기에 무대가 잘 보이는데 앞열보다는 뒷열이 좀 더 좋을 것 같습니다.
좋은 작품, 좋은 무대 감사합니다."
65,5,c***예매자,2018.01.29,조회 2,"공감 0
공감하기",좋아요,좋아요
66,5,minjook***예매자,2018.01.29,조회 5,"공감 0
공감하기",판매종료,"고흐가 정말 갔네요 ㅠㅠ
좋은 연기, 좋은 무대 너무도 고마웠어요."
67,5,tmwld***예매자,2018.01.29,조회 2,"공감 0
공감하기",좋아요!,좋아요!
68,5,skyoymh***예매자,2018.01.29,조회 3,"공감 0
공감하기",빈센트 반 고흐,늘 좋은 공연 감사합니다.
69,5,sorr***예매자,2018.01.29,조회 3,"공감 0
공감하기",빈센트 반 고흐,빈센트 반 고흐
70,5,lajun***예매자,2018.01.29,조회 2,"공감 0
공감하기",빈센트 반 고흐,수고 하셨습니다.
71,4,gmldnj***예매자,2018.01.29,조회 9,"공감 0
공감하기",영상미는 좋으나 음향이 아쉽,영상이 너무 좋아서 놀랐어요. 그치만 음향이너무 뭉게져서 알아들을수가없었어요
72,4,1978s***예매자,2018.01.29,조회 3,"공감 0
공감하기",빈센트 반 고흐,"아쉬운 점도 있었지만 다시 본 고흐 좋았습니다.
다음 고흐를 기다리고 있겠습니다"
73,5,Berr***예매자,2018.01.29,조회 3,"공감 0
공감하기",고흐,고흐 ㅠㅠㅠㅠ끝나서 너무 아쉬워요
74,4,loveandlo***예매자,2018.01.29,조회 3,"공감 0
공감하기",아주아주좋았습니다!,"고흐의 생애와 테오와의 관계에대해 강의를 듣고 뮤지컬을 보았습니다.

인물들의 감정선이나 표현이 어마어마하더군요.

넘버들은 말할것도없고, 매우만족햇습니다!"
75,5,dramatae***예매자,2018.01.29,조회 2,"공감 0
공감하기",Good!,빈센트반고흐 덕분에 행복했습니다.
76,5,kangnabi1***예매자,2018.01.29,조회 4,"공감 0
공감하기",고흐 0116,빈센트 반 고흐ㅠㅠㅠㅠㅠ야근할까봐 맘졸였는데 누구보다 빠르게 충무 도착했었음... 뭐한걸까 나는ㅎㅎㅎㅎㅎㅎㅎ
77,5,kangnabi1***예매자,2018.01.29,조회 4,"공감 0
공감하기",평일밤공이라니,18.01.17 평일 밤공...야근에 못갔어...ㅠㅜㅠㅜㅠㅠㅜ그래도 표만 찾으러 갔다. 표 대신 찾아주신 지인분 감사해요...ㅠ
78,5,kangnabi1***예매자,2018.01.29,조회 4,"공감 0
공감하기",고흐 승테오 종일반 중 낮공,180120 빈센트 반 고흐 토요일 3시 낮공 승테오 종일반이라 나도 종일반...준혁고흐와 승현테오 좋아써ㅎㅎㅎㅎ
79,5,momo***예매자,2018.01.29,조회 3,"공감 0
공감하기",행복하고 소중한 시간이였습니다.,"빈센트 반 고흐를 알게 해주셔서

그리고 테오 반 고흐를 알게 해주셔서

참 행복했고 즐거웠던 시간이였습니다.

다음에 꼭 다시 고흐 형제들을 만나서 그림으로, 진심으로 위로를 받을 수 있게되면 좋겠습니다.

다시 돌아올 그 날을 손꼽아 기다려봅니다."
