,id,date,rating,views,like,title,text
0,5,suuny1***예매자,2023.01.06,조회 20,"공감 0
공감하기",사의찬미,정말 최고여라…
1,5,JEN***예매자,2022.11.10,조회 23,"공감 0
공감하기",비극의 이야기,음악도 좋고 분위기도 좋았습니다
2,5,Kgm***예매자,2022.11.09,조회 17,"공감 0
공감하기",좋아요,강추 짱
3,5,bbisvip2***예매자,2022.11.07,조회 13,"공감 0
공감하기",담에도 꼭 보고싶어요,배우들도 무대밖의 스탭들도 모두 감사합니다
4,5,porbe***예매자,2022.11.07,조회 11,"공감 0
공감하기",믿고듣는 사찬,노래들이 너무 좋아요 다들 연기도 잘하심!
5,5,makaio0***예매자,2022.11.04,조회 11,"공감 0
공감하기",짱!!,너무너무 좋았어요ㅠㅠ
6,5,gnohc***예매자,2022.11.03,조회 12,"공감 0
공감하기",아쉽,또 못보니 아쉽네여
7,5,mjgur***예매자,2022.11.01,조회 15,"공감 0
공감하기",사의찬미 너무 재밌어요,십주년 캐스팅 한 번 더 보고싶네요 퓨
8,4,zian7***예매자,2022.10.29,조회 13,"공감 0
공감하기",사의찬미,첫 댕로극이었는데 너무 재미 있었어요~
9,5,llS2youS***예매자,2022.10.27,조회 13,"공감 0
공감하기",난 이대로 못보내오,사찬 돌려주세요ㅠㅠㅠ
10,5,kmj041***예매자,2022.10.24,조회 14,"공감 0
공감하기",연우심덕 먹지깔아,제발요 진짜 최고의 심덕ㅠ
11,5,puka***예매자,2022.10.24,조회 17,"공감 0
공감하기",뮤지컬 〈사의찬미> 관람후기,명품넘버들과 배우님들의 열연 굿굿!!
12,5,yhyh3***예매자,2022.10.24,조회 12,"공감 0
공감하기",벌써 보고싶어요,언제오나요... 11주년......
13,5,ddw9***예매자,2022.10.24,조회 12,"공감 0
공감하기",문우진ㅠ,다시봐서좋았어요ㅠ
14,5,kdjn***예매자,2022.10.24,조회 11,"공감 0
공감하기",사찬보고싶어요,꽃우진보고싶어요
15,5,Heys***예매자,2022.10.24,조회 11,"공감 0
공감하기",정민 사내 또 보고싶습니다,다음에도 와주세요... 꼭..
16,5,gooda***예매자,2022.10.24,조회 13,"공감 0
공감하기",나를 욕해도 좋아,"난 원래 이런걸,,, ㅠㅠㅠ"
17,5,dptmfd***예매자,2022.10.24,조회 8,"공감 0
공감하기",좋아혀,좋아야여여영
18,5,moc***예매자,2022.10.24,조회 8,"공감 0
공감하기",최고,최고의 공연이었어요
19,5,wjsdbwl***예매자,2022.10.24,조회 10,"공감 0
공감하기",사의찬미 20주년까지.,10주년 즐거웠지만 제작사 운영 부족이 안타까웠네요 배우들 열연은 너무 좋았습니다.
20,5,vhxj***예매자,2022.10.24,조회 13,"공감 0
공감하기",DVD 내주세요.. 중계해주세요..,이렇게 보내는 거 너무 아깝지 않나요..? 제발.. 다시 보고 싶어요.. 10주년 캐스팅 최고..
