,id,date,rating,views,like,title,text
0,4,leeks1***예매자,2019.08.29,조회 71,"공감 0
공감하기",시데레우스,또보죠
1,5,erin0***예매자,2019.08.22,조회 36,"공감 0
공감하기",ㅎㅎ,공연 짱~!
2,5,tkdzmal0***예매자,2019.08.19,조회 28,"공감 0
공감하기",케플러,신주협 최고
3,5,rnrgidq***예매자,2019.08.12,조회 43,"공감 0
공감하기",정말 매력적인 공연,무대가 정말 예쁘고 극 서사에 그 매력을 더해줍니다. 배우님들의 연기야 말할 것도 없고요ㅎㅎ!!
4,5,miny55***예매자,2019.08.11,조회 46,"공감 0
공감하기",최고의 뮤지컬,"정말 최고의 뮤지컬, 창작뮤지컬의 미래"
5,4,summerwa***예매자,2019.07.30,조회 58,"공감 0
공감하기",다시 보고 싶은 공연,총막공으로 자첫했는데 넘버가 익숙하지 않다 보니 귀에서 빠져나가는 게 너무 아쉬웠어요. 미리 몇 번 더 봤으면 오래 기억에 남았을 텐데. 그래도 OST를 구입할 수 있어서 다행이었죠. 잔인한 극이 나날이 많아지는데 그 속에서 희망찬 극이라 행복했습니다. 재연으로 만나요!
6,4,anhs***예매자,2019.07.29,조회 50,"공감 0
공감하기",생각이 많아지는 뮤지컬,괜찮아여~!
7,5,albino***예매자,2019.07.29,조회 45,"공감 0
공감하기",ㅠㅠㅠ 재연언제와요 ???,또보고싶어요 ㅠㅠㅠㅠ 마지막에 바닥에 누워서 별 보는 모습 진짜 짱 …
8,5,choin***예매자,2019.07.22,조회 33,"공감 0
공감하기",다음에 오면,또 보고싶어요 시데
9,5,jaeeun***예매자,2019.07.15,조회 33,"공감 0
공감하기",재밌었어요!!,"이렇게 가까이 무대를 보는게 처음이라 신기했고 조명이며 무대 연출이 예쁘고 독득해서 좋았다!!!!
그리고 마리아역 하신분 짱 좋았어....
갈릴레오 머리띠 잊혀지지 않고
케플러 발랄한 캐릭터 최고!!"
10,5,field***예매자,2019.07.15,조회 32,"공감 0
공감하기","근래 보기 드문, 따뜻하고 완벽하게 행복한 공연.","요즘 여러 자극적인 요소가 들어간 공연들에 지쳐가던 와중에 만난,
따뜻하고 완벽하게 행복한 공연이었다.

무엇보다 아무도 죽지 않다니!!

실화를 기반으로 하면서도 적절하게 섞인 허구의 요소는 관객들을 더 행복하게 해주었으며,
원형 형태인 극장의 특성을 아주 잘 살렸다.

무대도 예쁘고, 대본도 좋으며, 넘버까지 다 좋다니.

이렇게 완벽하게 멋진 작품이 근래에 있었을까?

너무 행복하게 보았다.

재연이 온다면 반드시 다시 보고 싶은 작품. 최고였다."
11,5,brownslo***예매자,2019.07.15,조회 22,"공감 0
공감하기",재밌었어요,좋아용 좋아
12,4,sos9***예매자,2019.07.15,조회 23,"공감 0
공감하기",넘버,넘버가 좋았어요.
13,5,tpdus0***예매자,2019.07.15,조회 23,"공감 0
공감하기",재연올라오길,재연 올려주세요.....하루빨리.....ㅜ
14,5,hopei***예매자,2019.07.15,조회 16,"공감 0
공감하기",좋은,"ㅠㅠ
다시보고 싶은"
15,5,tjfgus2***예매자,2019.07.14,조회 7,"공감 0
공감하기",별의 소식을 전하는 사람,기나긴 시간을 넘어 별들의 이야길 전하고
16,5,ivory1***,2019.07.14,조회 7,"공감 0
공감하기",고영빈배우님 최고,작품마다 항상 멋있어요
17,5,jwj0***예매자,2019.07.14,조회 8,"공감 0
공감하기",그립다..,보고싶어요 다시ㅜㅡㅜ 너무좋았었는데..
18,4,grace8***예매자,2019.07.14,조회 15,"공감 0
공감하기",박민성 신주협 나하나,좋은 넘버도 있고 극도 좋은 내용이지만 조금 지루한 장면도 있어요. 그래서 약간 청소년들 교육용으로 좋을듯한 느낌이에요 다음에는 많이 다듬어서 올라오면 좋겠어요!
19,5,hoyi***예매자,2019.07.13,조회 7,"공감 0
공감하기",행복했던.,처음엔 어렵지만 볼수록 가슴찡했던! 별들아 안녕~~~
