,id,date,rating,views,like,title,text
0,5,yjnoh0***예매자,2022.09.27,조회 11,"공감 0
공감하기",보는 내내 펑펑 울었어요,유진과유진 명작 ㅠㅠ
1,5,chaneun1***예매자,2022.09.26,조회 8,"공감 0
공감하기",모두가 공감할 수 있는 이야기,모녀의 이야기를 담았다는 점이 관객의 나잇대와 상관없이 울릴 수 있었던거 같습니다
2,5,asn1***예매자,2022.09.26,조회 2,"공감 0
공감하기",공감,공감이라는 이름의 위로를 주는 작품입니다
3,5,nrgs5qx***예매자,2022.09.23,조회 7,"공감 0
공감하기",너무 좋아요,벌써 그립네요 유진이들과 정동진
4,5,clea***예매자,2022.09.19,조회 4,"공감 0
공감하기",재밌어요,재밌어요
5,5,dmma0***예매자,2022.09.19,조회 6,"공감 0
공감하기",극을 늦게 안 것이 그저 아쉬운,"넘버도, 배우들 연기도 버릴 것 하나 없는 너무 좋은 극이었습니다!"
6,5,krisle***예매자,2022.09.19,조회 4,"공감 0
공감하기",너무 울었다,진짜 너어어무 슬퍼요..
7,5,plusalph***예매자,2022.09.18,조회 3,"공감 0
공감하기",좋아요,홍나현 송영미 배우님 외차로 봤는데 합도 잘 맞고 귀여워서 좋았어요 노래도 너무 좋았구요
8,5,ford4***예매자,2022.09.12,조회 9,"공감 0
공감하기",삼연이 빨리오기를,"정말 좋아하던 뮤지컬이었습니다
빠른시일 내에 삼연이오길ㅜㅜ"
9,5,pucka1***예매자,2022.09.12,조회 5,"공감 0
공감하기",유진과 유진,"유진과 유진을 보는 순간이 내 상처에 햇빛을 쪼이며 옹이를 만들던 순간이었던 것 같다.
세상 모든 유진이들아, 행복하자!"
10,5,qksqu***예매자,2022.09.08,조회 5,"공감 0
공감하기",재밌어요,재밌어요
11,5,Sou0***예매자,2022.09.08,조회 4,"공감 0
공감하기",유진과 유진,유진과 유진
12,5,ieew***예매자,2022.09.07,조회 38,"공감 1
공감하기",두 유진이 잘 살아가길.,"베스트셀러 유진과 유진이 뮤지컬로 만들어졌다고 해서 보러갔는데, 재밌었습니다. 우선 배우가 두 명만 나오다보니 20년 후의 두 유진이 20년 전의 일을 재현하는 식으로 진행되는데 좋은 선택이었다고 생각합니다. 원작은 열린 결말이다 보니 이 뮤지컬이 후일담 역할을 해준 느낌이었습니다. 둘 다 잘 지내는 것 같더군요. 다만 멀티쓰면 안되나라는 생각이 들 정도로 처음엔 어색할 수 있습니다. 그래도 배우들이 연기를 잘해서 곧 적응할 수 있습니다. 큰유진, 작은유진도 힘든 역할인데 1인 다역을 하다니 배우들이 정말 대단했습니다. 소설에서 봤던 장면들이 노래가 가미되어 나올 때마다 감탄했고, 2인극이라서 두 유진과 각자의 어머니를 제외하면 비중이 확 줄거나 안 나오다보니 두 유진의 심리에 집중해 자세히 나와서 좋았습니다. 아동 성범죄 가해자와 피해자를 잘못된 태도로 대하는 인간들에 대한 비판과 두 유진이 우정을 쌓는 과정도 잘 보여줍니다. 무엇보다 넘버들이 다 좋았습니다. 큰유진과 작은유진이 손 내밀어 rep를 부른 후 서로 맞잡은 손을 번쩍 들면서 환호하는 마무리는 최고의 엔딩이었습니다."
13,5,somin4***예매자,2022.09.06,조회 4,"공감 0
공감하기",손 내밀어,"가자 바다로 가자!
부산공까지 따라갈게요~"
14,5,jelee021***예매자,2022.09.05,조회 6,"공감 0
공감하기",모든 유진이들을 위해서,라는 말이 참 좋습니다. 의도가 선하면서 넘버도 좋고 배우들 연기도 좋습니다. 정말 재밌게 봤어요. 가짜인생과 상상속괴물 넘버의 유기성이 특히 좋았습니다.
15,5,hyemi***예매자,2022.09.05,조회 4,"공감 0
공감하기",잘봤습니다~~!!!,잘봤습니다~~!!!
16,5,flight***예매자,2022.09.05,조회 5,"공감 0
공감하기",세상의 유진이들에게,"이 멋진 공연을 왜 마지막 주에서야 봤을까요 ㅜㅜ
세상의 모든 유진이들에게 위로와 응원을 보내주는 공연... 정말 너무 좋았어요!"
17,5,ezlov***예매자,2022.09.05,조회 5,"공감 0
공감하기",잘 봤습니다,잘 봤습니다
18,5,yidon***예매자,2022.09.05,조회 9,"공감 0
공감하기",강지혜 배우님과 정우연 배우님,"""유진과 유진"" (원작:이금이 청소년 소설 「유진과 유지」(밤티, 2020) 각색:김솔지 작곡:안예은 연출:이기쁨 음악감독:양지해 안무:이현정 무대,영상디자인:EASThug 조명디자인:정유석 음향디자인:송선혁 의상디자인:오현희 소품디자인:노주연 분장디자인:정서진 사진:박태양 출연:강지혜, 정우연 제작:낭만바리케이트 극장:대학로 자유극장 별점:★★★★★) 며칠 전에 봤지만 예대로 걸려서 보게 되었다. 두 번째라 중간에 살짝 지루 했지만, 역시 마지막 장면은 정말 좋았다. 전작 ""아일랜더"" 의 너무나 애정하는 강지혜 배우님과 ""작은아씨들"" 의 정우연 배우님은 환상의 케미를 보여 주었다. 다음 공연 올라오면 꼭 보시길 바란다."
19,5,tkfkd5***예매자,2022.09.05,조회 6,"공감 0
공감하기",혼자였던 아이들에게,서로가 힘이 되어주고 아픔을 극복해나가는게 나도 어른으로서 참 많은걸 생각하게 하는 뮤지컬
20,5,hans***예매자,2022.09.05,조회 3,"공감 0
공감하기",다시 시작된 방학,"얼른 개학하는 날이 오길!
유진과 유진 초연 앵콜 덕분에 행복했습니다"
21,5,hans***예매자,2022.09.05,조회 5,"공감 0
공감하기",네가 있어서 나는 나를 사랑할거야,위로가 되어준 작품
22,5,ppang***예매자,2022.09.05,조회 2,"공감 0
공감하기",세상의 모든 유진이들에게 용기가 되어준 극입니다.,"배우들이 보여주는 에너지가 굉장히 큰 극입니다.
두 배우가 그려내는 여성.
어린 유진이들과
성장을 한 유진이들...
유진의 어머니들 모두가 아프고, 대견하고, 사랑스러워서
공연을 보는 내내
울고 웃고 기뻐했습니다.
공연이 너무 좋아서,
뒤늦게 본 것이 참 아쉬웠는데요.
빨리 다음 시즌이 돌아왔으면 좋겠습니다.
소설을 읽지 않고 공연부터 접하게 됐는데
공연을 보니
소설에선 유진이들이 어떻게 그려져 있는지
꼭 읽어보고 싶네요."
23,5,pucka1***예매자,2022.09.05,조회 3,"공감 0
공감하기",유진과 유진,"유진이들이 있어서 버틸 수 있는 날이 있었습니다.
세상 모든 유진이들아! 행복하자!!"
24,5,pucka1***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진과 유진,"이제 괜찮아 우리 이제 괜찮아
가끔 괜찮지 않아도 또 괜찮아질거야"
25,5,ppang***예매자,2022.09.05,조회 5,"공감 0
공감하기",많이 운다고 해서 무거운 극일까 망설인 분이 계시다면... 걱정말고 꼭 보시길,"좋다는 이야기는 많이 들었지만
보고 온 사람들 대부분이 많이 울었다는 이야길 해서
관람을
조금씩 미뤄왔는데요.
뒤늦게 본 것이 너무나도 아쉬울 정도로
극이 좋네요.
많이 울게 되지만
눈물이 전부는 아닌...
세상의 편견을 향한 한걸음이 얼마나 큰 의미를 갖는지를 느끼게 해준
소중한 공연이었습니다.
유진과 유진의 성장을 볼 수 있어서 좋았고,
그들의 엄마도
어른이지만 아직은 세상을 배워가는 어린 나이였구나 하는 생각까지 들면서
가족의 의미까지 생각하게 하는 극이었습니다.
너무 좋은 극이라, 다른 분들도 꼭 보셨으면 좋겠네요."
26,5,nao***예매자,2022.09.05,조회 4,"공감 0
공감하기",좋은 극이에요 얼른 다시 만날 수 있기를,좋은 극이에요 얼른 다시 만날 수 있기를
27,5,ksm2***예매자,2022.09.05,조회 2,"공감 0
공감하기",굿,총막이라니.. 벌써 끝났다니... 얼른 돌아와주세요
28,5,dbs***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진과 유진,잘 봤습니다~~~~!!!!
29,5,yeye***예매자,2022.09.05,조회 2,"공감 0
공감하기",볼수록 정말 좋은 극,유진이들 덕분에 많이 위로받고 가요
30,5,koala0***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진,재밌었어요
31,5,sne0***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진이들ㅠㅠㅠ,가끔 괜찮지 않아도 또 괜찮아질 거라는 위로를 준 따뜻한 극 너무 최고였어요ㅠㅠㅠㅠ
32,3,jins***예매자,2022.09.05,조회 3,"공감 0
공감하기",유지니들...,"유지니들 다시 만나서 행복했어요.
안녕 유지니들...ㅠㅠㅠㅠ"
33,5,krw***예매자,2022.09.05,조회 2,"공감 0
공감하기",진짜 슬퍼요,공감도 많이 가고.. 한국의 엄마와 딸이라면 모두가 봤으면 좋겠는
34,5,ljh960***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진과 유진,ㅠㅠ 재연이 빠르게 왔는데도 왜 이렇게 빨리 끝난 느낌인지 모르겠어요ㅠ 삼연도 얼른 오기를 기다리고 있겠습니다!
35,5,nasan1***예매자,2022.09.05,조회 2,"공감 0
공감하기",펑펑 울다 왔어요,생각이 많아지는... 정말 좋은 극이었습니다ㅠㅠㅠ
36,5,pulcherri***예매자,2022.09.05,조회 2,"공감 0
공감하기",너무 좋아요,"정말정말 좋은 공연
너무 사랑스럽고 미안한 모든 유진이들을 위해"
37,4,tayyoun0***예매자,2022.09.05,조회 3,"공감 0
공감하기",유진이들이 전해주는 따스한 위로,유진이들의 위로 덕분에 여름이 너무 행복했습니다! 여름마다 유진이들이 전해주는 위로를 들을 수 있어서 너무 좋았던 것 같아요. 유진이들이 앞으로 나아갈 길을 너무너무 응원합니다! 저의 여름을 아름답게 만들어주셔서 너무 감사해요
38,5,cys0***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진이들.. 안녕..,"졔우연은.. 졔우연이야..ㅠㅠ
유진이들 덕분에 펑펑 울기도하고 위로도 받고.. 너무 행복했어요..
유진이들아 항상 행복해라.. 3개월동안 너무 고마웠어.."
39,5,gosh***예매자,2022.09.05,조회 2,"공감 0
공감하기",너무좋아요,덕분에 엄청 위로 받고 갑니다ㅠㅠㅠ
40,5,emmaj***예매자,2022.09.05,조회 2,"공감 0
공감하기",유진과 유진,유진이들아 빨리 다시 만나자♡
41,5,nam***예매자,2022.09.05,조회 2,"공감 0
공감하기",좋아요,"두번째 보는데 배우들 감정선이 너무 신기해요
슬픔과 기쁨이 확확 바껴요
진짜 학생들같아요"
42,5,thdlth***예매자,2022.09.05,조회 2,"공감 0
공감하기",최고의 뮤지컬,"모든 유진이들이
행복하길"
43,5,undinn***예매자,2022.09.05,조회 2,"공감 0
공감하기",너무 좋았어요,넘버도 연기도 너무너무 좋았어요 정말 큰 위로를 받았습니다 너무 좋은 극이에요
44,5,pjs3***예매자,2022.09.05,조회 2,"공감 0
공감하기",최고...,"진짜 유진과유진은 최고입니다...
너무 좋아요..."
45,5,pjs3***예매자,2022.09.05,조회 2,"공감 0
공감하기",아쉬워요...,"지방공연을 못가는데...
이렇게 마지막이라는게 너무 아쉽네요 ㅠㅠ"
46,5,pjs3***예매자,2022.09.05,조회 2,"공감 0
공감하기",최고...,"공연 끝난게 너무 아쉬워요...
진짜 배우님들 연기도 너무 좋고... 넘버도 너무 좋고 ㅠㅠ"
47,5,suhyun9***예매자,2022.09.05,조회 1,"공감 0
공감하기",추천합니다,너무 좋았어요 최고에요ㅜㅜㅜㅜ
48,5,8677***예매자,2022.09.04,조회 3,"공감 0
공감하기",유진과 유진 재연 총막,"유진과유진은 이번 재연으로 처음 봤는데 유진이들한테 너무 많은 위로를 받았어요.
이런 작품 만들어주셔서 감사합니다."
49,5,eijkro***예매자,2022.09.03,조회 1,"공감 0
공감하기",최고였어요ㅠㅠ,너무 감동적이고 좋았습니다.
50,5,kait***예매자,2022.09.03,조회 7,"공감 0
공감하기",뮤지컬 보고 이렇게 울어본거 처음이에요,"강지혜 윤진솔 배우님 회차로 봤는데
정말 저항없이 줄줄 울고 그러면서도 치유받고 나왔습니다
연기 살살 해주세요 ㅠㅠ"
51,5,vintag***예매자,2022.09.03,조회 1,"공감 0
공감하기",그때의 우리를 안아줄 수 있는건,"지금의 우리뿐이지 않을까?
네가 옆에 있어서 나는 다시 웃을 수 있어
네가 옆에 있어서 나는 나를 사랑할거야"
52,5,7117***예매자,2022.09.02,조회 2,"공감 0
공감하기",짧게 말하자면,맨 뒤에 앉을껄 그랬어요. 편하게 울게
53,5,asn1***예매자,2022.09.02,조회 1,"공감 0
공감하기",공감이라는 위로,큰 위로가 되었습니다
54,5,Pretty***예매자,2022.09.02,조회 8,"공감 0
공감하기",따뜻한위로,보는 내내 정말 많이 위로받고 힘이 되었습니다 광희여중 개학 기다려~~!ㅠ
55,5,dnjsals0***예매자,2022.09.01,조회 4,"공감 0
공감하기",끝났지만 또 올라온다면 많이들 봤으면 좋겠어요!,"일단 넘버들이 너무 좋고 배우분들도 너무 잘하시고 사이코드라마형식의 연출이 신선했습니다
사이코드라마라는 명칭에 대해서 처음 알게됐는데 이극에 딱 맞는 연출인거 같아요"
56,5,itosik***예매자,2022.09.01,조회 1,"공감 0
공감하기",잘 봤어요,잘 봤어요! 세상의 모든 유진이들 꼭 행복하길!!
57,5,mydelie***예매자,2022.08.31,조회 3,"공감 0
공감하기",책과 공연이 보여준 시간의 차이. 그만큼 진짜 세상도 달라졌을까?,"유진과 유진이 책으로 출판된 건 2004년이고, 뮤지컬로 만들어진 건 2021년이다.
고전인 작품은 그 시대의 풍경과 모습을 충분히 담을 수 있으나,
지금과 그리 멀지 않은 20~30년 전 작품은 시대적 배경을 잘못 담으면, 지금 관객들에게 촌스러워 보일 수도 있다. 공중전화나 삐삐나 아이돌 같은 배경을 잘못 쓰면 말이다.

그래서 유진과 유진은 영리한 선택을 했다. 이제는 성인이 된 두 주인공들이, 자신들의 중학생 시절을 돌아보는 방식으로 만들었기에 굳이 각색을 크게 안 해도 어색함 없이 그 이야기를 받아들일 수 있다. 영리한 선택은 그것만은 아니다. 주인공과 주요한 관계를 맺는 어머니를 인형을 통해서 표현함으로서, 이제는 나이가 든 주인공들과 어머니와의 역할극에서 ‘아동성폭력’이라는 민감한 주제를 ,때로는 과한 감정으로 다가갈 수 있는 상황들을 피하였다. 그렇게 2022년에 맞는 방식으로, 관객들을 만나고 있다.


물론 거의 20년이 흘렀지만, 이런 문제에 대한 사회에 대응은 근본적으로 변화했는지, 과연 그 때보다 나아졌는지 질문할 수도 있다. 누군가에게는 거의 변한 것이 없을지도 모르겠다. 가해자보다는 피해자를 탓하는 문화는 여전히 있으며, 밖으로는 공감능력이 강하고 쿨한 척 했으나 막상 나의 이슈가 되면 나는 그들과 다르다고 선을 그을지도 모른다. 그렇다면 좀 더 이러 작품과 같은 계기를 통해서, 노력한다면 좋겠다.



공연은 함께 아동성추행을 당했으나, 부모님의 선택으로 인해 그에 대한 대응방법이 달랐던 같은 이름의 두 학생이 중학생이 된 후 만나서 경험하는 일들로 전개된다. 한 친구는 부모님과 함께 그 상황을 잘 받아들이고 - 너가 잘못한 것이 아니야 - 자연스레 이야기하며 지내고 있으나, 다른 친구는 부모님의 선택과 여러 환경적 영향으로 그 선택을 잊고 있다가, 스멀스멀 떠오르는 그 기억에 괴로워한다.

아동성폭행이라는 소재를 다루기는 하지만, 공연이 마냥 어둡지는 않다. 아무래도 가장 에너지가 넘칠 시기는 질풍노도 중 하나인 중학교 시기를 다루어서 그렇지 않을까. 때로는 아기자기한 면도 있고, 시행착오도 있을 수 밖에 없는 시기이니 부모님의 성향에 관계없이 치열하게 다투기도 한다.
어쩌면 그래서, 주제곡인 ‘또 다른 나’처럼 자기자신을 더욱 사랑하고 이해해야 하고, 그런 자신을 이해하고 받아줄 수 있는 사람이 주변에 있어야 할지도 모르겠다.

아이가 경험한 사건과 관련된 부모의 대응에 대해, 완전 이분법까지는 아니더라도, 어느 정도 우열은 가리는 것처럼 보여줬다. 물론 각자가 처한 상황과 주변환경을 고려하지 않고 하나의 방식만 옳다고 하는 것은 폭력적일 수 있으며, (현실적으로) 나와 내 소중한 사람들이 당당하더라도 주변의 편견으로 인해 피해 보는 일이 발생할 수 밖에 없다. 그럼에도 모녀 등 상호간의 신뢰관계를 쌓아간다면, 왜 그런 마음을 가지고 있는지 이해하려고 한다면, 갑자기 크게 사고를 치는 일도 줄어들 것이고, 불가피한 문제가 생겼을 때 회복하기도 상대적으로 쉬울 듯 하다. 어쩌면 극의 마지막 장면은 비록 지금까지는 그런 관계가 아니었을지라도, 서로 노력한다면, 앞으로는 그럴 수 있는 가능성이 있음을 보여줄지도 모르겠다.

나에게 상처를 주었던, 어머니를 비롯한 누군가의 행동을 동의하지 않더라도, 나라면 다르게 선택했을지라도, 그 사람의 마음은 이해할 수 있을지 모르겠다. 조금씩 나이가 들어가면서 기존과는 다른 관점에서도 볼 수 있기를, 객체가 아닌 주체로 살아갈 수 있기를, 비록 현실적인 문제에 순응할 때도 있고 위선을 경험하기도 해야 하겠으나 그렇다고 상처받고 좌절하지만은 않았으면 좋겠다. 내 선택이 옮음만을 강조하지 않되, 그런 방향으로 개인과 사회가 함께 성장할 수 있기를 바란다."
58,5,eunazzan***예매자,2022.08.30,조회 4,"공감 0
공감하기",유진과 유진,정말 유명한 뮤지컬이라 기대하고 갔는데 내도록 펑펑 울었어요 갓극!!
59,5,wldud6***예매자,2022.08.30,조회 3,"공감 0
공감하기",3번째 보는데 이렇게 울 일인가,봐도봐도 눈물이 멈추지 않는 극
60,5,hina***예매자,2022.08.30,조회 2,"공감 0
공감하기",잘 다녀왔습니다.,안예은님 때문에 관심이 생겨서 보게 되었는데 이렇게 좋은 뮤지컬이 있었는지 몰랐습니다. 이제야 알게 되어서 아쉬울 따름이네요. 나중에 다시 관람 할 기회가 생긴다면 엄마와 손 잡고 다시 와봐야할 듯 합니다. 감사합니다.
61,5,caca6***예매자,2022.08.30,조회 3,"공감 0
공감하기",최고의 공연 최고의 배우,이야기를 풀어나가며 왜 우리가 유진이들에 공감하고 다가설수 있는지 알게된다
62,5,sn0***예매자,2022.08.30,조회 1,"공감 0
공감하기",재밌습니다.,재밌습니다.
63,5,dngus1***예매자,2022.08.29,조회 3,"공감 0
공감하기",유진이들,"울고 싶을 땐 울어도, 화가 날 땐 화를 내도 괜찮고, 미움받아도 괜찮다고, 생존해줘서 고맙다고 이야기 해주는 귀하고 소중한 극"
64,4,nunnunann***예매자,2022.08.29,조회 4,"공감 0
공감하기",-,"왜 매번 엄마가 신발을 짝짝이로 신고 온다고 할 때마다 눈물이 나는지 알 수가 없습니다,,,,,"
