,id,date,rating,views,like,title,text
0,5,ekgml9***예매자,2019.12.12,조회 42,"공감 0
공감하기",최고의 공연입니다!!,너무 너무 재밌어요! 힐링이 필요한 분들께 추천합니다??
1,5,sampe***예매자,2019.12.10,조회 21,"공감 0
공감하기",상록즈,사랑해 ㅠ
2,5,sdlrud***예매자,2019.12.09,조회 15,"공감 0
공감하기",전리농 최고,농구 한 판이면 모든게 해결되는 그들 덕에 행복했어요!
3,5,bhw3***예매자,2019.12.09,조회 16,"공감 0
공감하기",전설의 리틀 농구단,저도 농구허고싶네요
4,5,mumutt1***예매자,2019.11.25,조회 19,"공감 0
공감하기",잘봤어요,잘봤습니다!!!!!!!
5,5,kimdh***예매자,2019.11.18,조회 21,"공감 0
공감하기",전설의 리틀 농구단ㅠㅠ,제목이 유치하다고 생각할 수도 있지만 극 내용은 전혀 유치하지 않았습니다. 남겨진 사람들에 대한 위로와 희망을 전하는 따뜻한 극입니다. 유택배우님 너무 잘하심
6,5,rladbsru***예매자,2019.11.18,조회 21,"공감 0
공감하기",좋아요,좋아요
7,5,cm***예매자,2019.11.16,조회 29,"공감 0
공감하기",웃다가 울다가...,이렇게 웃기다가 막 울리고... 흑흑 ㅠ
8,5,gpwl0***예매자,2019.11.12,조회 18,"공감 0
공감하기",진짜재밌어요,농구공팡팡ㅜㅜㅜ
9,5,hh***예매자,2019.11.11,조회 20,"공감 0
공감하기",주순다인,주순다인 만세 만ㄴ만세
10,5,sumire***예매자,2019.11.11,조회 24,"공감 0
공감하기",전설의 리틀 농구단,"이미 끝난 공연이긴 하지만 정말 강력 추천입니다.(지방공연은 아직 보실 수 있어요)
넘버가 하나같이 너무 좋구요. 서사도 잘 다듬어져 있어서
웃다가 울다가 -이게 말 그대로 됩니다. 약간 CJ영화 감성? 같이 본 친구는 명절영화로 만들어야 한다고 하더라구요. 잘 설명은 안되는데 유쾌하고 찡하고 결국 엔딩은 감동적인 해피엔딩이에요."
11,5,tlstu***예매자,2019.11.11,조회 9,"공감 0
공감하기",전설의 리틀 농구단,꼭 다시 보고싶은 공연!!
12,5,tlstu***예매자,2019.11.11,조회 19,"공감 0
공감하기",전설의 리틀 농구단,너무너무 좋아요!!!!
13,5,acl0***예매자,2019.11.11,조회 21,"공감 0
공감하기",한편의 청춘 드라마,"전리농은 청춘물입니다,... 진짜로 정말로 손수건 없이는 버티지 못하는 뮤지컬,,,"
14,5,acl0***예매자,2019.11.11,조회 18,"공감 0
공감하기",ㅠㅠㅠㅠㅠㅠㅠㅠ,"뒤늦게라도 전리농을 볼 수 있었어서 다행이었습니다
행복해요ㅠㅠㅠ 근데 공연이 끝난 지금도 못보내주고 있어요 최대한 빠른 시일내에 다시 볼 수 있었으면 좋겠어요"
